,PL6F8D~1,
Raman shift [1/cm],Intensity,
3014.167,-2.125,
3011.256,3.4250107,
3008.346,224.03707,
3005.435,292.64178,
3002.525,290.38507,
2999.614,279.05425,
2996.704,307.05232,
2993.793,313.99885,
2990.882,323.34824,
2987.972,321.95067,
2985.061,337.7617,
2982.151,359.13048,
2979.240,360.2923,
2976.329,374.1564,
2973.419,389.58283,
2970.508,388.19164,
2967.598,405.7758,
2964.687,393.42663,
2961.777,420.18286,
2958.866,431.86461,
2955.955,437.52767,
2953.045,461.05845,
2950.134,472.18406,
2947.224,476.61519,
2944.313,496.48184,
2941.403,494.22035,
2938.492,513.00236,
2935.581,510.80505,
2932.671,530.11535,
2929.760,525.45961,
2926.850,530.30019,
2923.939,538.67406,
2921.028,546.49858,
2918.118,556.5954,
2915.207,559.28639,
2912.297,557.87923,
2909.386,568.07938,
2906.476,567.45646,
2903.565,575.37649,
2900.654,552.71018,
2897.744,529.23959,
2894.833,551.68955,
2891.923,555.84941,
2889.012,560.08887,
2886.102,538.25068,
2883.191,535.875,
2880.280,545.18121,
2877.370,512.24131,
2874.459,479.62985,
2871.549,520.54628,
2868.638,556.83168,
2865.727,561.95575,
2862.817,593.37632,
2859.906,568.69836,
2856.996,583.87047,
2854.085,578.71322,
2851.175,580.51659,
2848.264,582.86533,
2845.353,583.59463,
2842.443,568.47918,
2839.532,559.4422,
2836.622,567.8073,
2833.711,542.81536,
2830.801,555.37132,
2827.890,540.92049,
2824.979,562.44298,
2822.069,570.84088,
2819.158,565.21462,
2816.248,556.39237,
2813.337,553.37011,
2810.427,581.4783,
2807.516,564.78172,
2804.605,553.75722,
2801.695,556.9934,
2798.784,576.58338,
2795.874,577.86443,
2792.963,574.37468,
2790.052,574.87328,
2787.142,568.12488,
2784.231,566.5194,
2781.321,568.5607,
2778.410,567.19479,
2775.500,563.45052,
2772.589,575.10589,
2769.678,579.65997,
2766.768,588.55656,
2763.857,589.50699,
2760.947,586.33402,
2758.036,595.1235,
2755.126,614.83226,
2752.215,612.51149,
2749.304,622.7473,
2746.394,596.43743,
2743.483,604.37507,
2740.573,603.29541,
2737.662,606.10872,
2734.751,626.15637,
2731.841,615.36034,
2728.930,610.12071,
2726.020,617.31887,
2723.109,625.74083,
2720.199,633.89367,
2717.288,632.36769,
2714.377,619.26254,
2711.467,627.41567,
2708.556,638.74742,
2705.646,655.31167,
2702.735,655.52447,
2699.825,645.7223,
2696.914,659.35137,
2694.003,643.26036,
2691.093,647.6608,
2688.182,644.52907,
2685.272,636.19363,
2682.361,642.63373,
2679.450,649.70626,
2676.540,616.99694,
2673.629,634.15745,
2670.719,654.30568,
2667.808,646.21545,
2664.898,664.47227,
2661.987,678.67513,
2659.076,684.74784,
2656.166,678.13466,
2653.255,686.80527,
2650.345,693.6917,
2647.434,696.30369,
2644.524,707.05249,
2641.613,705.90328,
2638.702,707.76453,
2635.792,688.8431,
2632.881,706.57717,
2629.971,701.0427,
2627.060,709.87438,
2624.149,713.49688,
2621.239,712.62648,
2618.328,718.62068,
2615.418,708.56136,
2612.507,724.07649,
2609.597,717.07859,
2606.686,720.62802,
2603.775,730.2758,
2600.865,738.22655,
2597.954,727.49788,
2595.044,737.89271,
2592.133,734.48647,
2589.223,746.46554,
2586.312,763.14136,
2583.401,753.91516,
2580.491,756.69712,
2577.580,761.84694,
2574.670,749.02606,
2571.759,758.22346,
2568.848,780.74805,
2565.938,769.82745,
2563.027,760.97272,
2560.117,762.875,
2557.206,774.62777,
2554.296,758.5615,
2551.385,770.19708,
2548.474,790.02333,
2545.564,780.31818,
2542.653,801.57969,
2539.743,799.55368,
2536.832,797.71239,
2533.922,809.20615,
2531.011,825.47537,
2528.100,820.27223,
2525.190,821.92213,
2522.279,808.01569,
2519.369,811.78061,
2516.458,820.54639,
2513.548,816.97512,
2510.637,809.14986,
2507.726,830.44746,
2504.816,809.87613,
2501.905,829.86037,
2498.995,820.65135,
2496.084,826.43594,
2493.173,844.4813,
2490.263,845.34728,
2487.352,854.3742,
2484.442,844.01418,
2481.531,845.82182,
2478.621,844.875,
2475.710,872.86733,
2472.799,871.875,
2469.889,865.57305,
2466.978,863.20486,
2464.068,888.81688,
2461.157,865.37744,
2458.247,878.43385,
2455.336,891.76738,
2452.425,897.76651,
2449.515,870.32823,
2446.604,892.81045,
2443.694,903.61925,
2440.783,890.30067,
2437.872,894.91146,
2434.962,891.1469,
2432.051,892.01724,
2429.141,907.58676,
2426.230,913.48385,
2423.320,903.25977,
2420.409,942.4968,
2417.498,931.10532,
2414.588,941.85971,
2411.677,939.40884,
2408.767,929.91043,
2405.856,936.52977,
2402.946,935.24408,
2400.035,942.16843,
2397.124,916.24396,
2394.214,939.9554,
2391.303,941.91362,
2388.393,962.31224,
2385.482,957.31562,
2382.571,960.3814,
2379.661,964.94464,
2376.750,980.34788,
2373.840,985.22811,
2370.929,1011.5934,
2368.019,994.63487,
2365.108,991.50066,
2362.197,1021.0422,
2359.287,997.13516,
2356.376,1002.8521,
2353.466,1006.0411,
2350.555,1010.9249,
2347.645,1006.0591,
2344.734,1017.1193,
2341.823,991.35591,
2338.913,1023.7168,
2336.002,1027.2339,
2333.092,1037.3458,
2330.181,1044.2945,
2327.270,1045.545,
2324.360,1049.1274,
2321.449,1048.8614,
2318.539,1074.4285,
2315.628,1066.4134,
2312.718,1067.1746,
2309.807,1067.8067,
2306.896,1073.9298,
2303.986,1091.8295,
2301.075,1082.9388,
2298.165,1072.6922,
2295.254,1110.0133,
2292.344,1088.1903,
2289.433,1086.8518,
2286.522,1101.9239,
2283.612,1121.875,
2280.701,1108.0275,
2277.791,1111.396,
2274.880,1130.2949,
2271.969,1143.8174,
2269.059,1139.6053,
2266.148,1147.4159,
2263.238,1155.8711,
2260.327,1181.7368,
2257.417,1157.6194,
2254.506,1176.516,
2251.595,1179.5914,
2248.685,1179.3481,
2245.774,1187.0837,
2242.864,1195.6157,
2239.953,1184.3648,
2237.043,1161.6025,
2234.132,1180.7425,
2231.221,1205.6658,
2228.311,1216.9639,
2225.400,1213.5786,
2222.490,1239.9174,
2219.579,1241.695,
2216.669,1246.7844,
2213.758,1271.0933,
2210.847,1281.9354,
2207.937,1309.7756,
2205.026,1327.7651,
2202.116,1305.1011,
2199.205,1337.1748,
2196.294,1351.991,
2193.384,1392.5581,
2190.473,1434.1884,
2187.563,1442.8363,
2184.652,1440.5983,
2181.742,1484.6946,
2178.831,1515.0735,
2175.920,1538.8586,
2173.010,1564.0258,
2170.099,1588.6726,
2167.189,1598.0903,
2164.278,1636.8258,
2161.368,1702.8733,
2158.457,1748.8893,
2155.546,1792.4645,
2152.636,1832.2952,
2149.725,1868.1703,
2146.815,1921.2399,
2143.904,1942.4884,
2140.993,1987.4463,
2138.083,2020.1212,
2135.172,2021.7323,
2132.262,2035.7456,
2129.351,2014.9956,
2126.441,1996.506,
2123.530,1922.572,
2120.619,1890.3706,
2117.709,1835.8347,
2114.798,1750.7401,
2111.888,1691.0381,
2108.977,1629.5571,
2106.067,1576.0902,
2103.156,1522.1236,
2100.245,1490.8574,
2097.335,1463.8383,
2094.424,1462.4978,
2091.514,1435.5175,
2088.603,1410.6677,
2085.692,1403.9715,
2082.782,1425.6501,
2079.871,1432.9823,
2076.961,1414.2311,
2074.050,1413.7598,
2071.140,1393.4841,
2068.229,1392.8946,
2065.318,1370.0233,
2062.408,1381.2313,
2059.497,1380.6547,
2056.587,1388.0608,
2053.676,1406.1243,
2050.766,1372.8772,
2047.855,1370.875,
2044.944,1366.3526,
2042.034,1345.4069,
2039.123,1367.4339,
2036.213,1360.855,
2033.302,1383.266,
2030.391,1413.9763,
2027.481,1390.8875,
2024.570,1443.9305,
2021.660,1390.9549,
2018.749,1391.1029,
2015.839,1397.0095,
2012.928,1402.0126,
2010.017,1419.7708,
2007.107,1414.8955,
2004.196,1418.3751,
2001.286,1447.3343,
1998.375,1408.3395,
1995.465,1395.1679,
1992.554,1373.2105,
1989.643,1399.8035,
1986.733,1394.1259,
1983.822,1381.2982,
1980.912,1390.024,
1978.001,1396.452,
1975.090,1376.0323,
1972.180,1383.2208,
1969.269,1365.5158,
1966.359,1368.9562,
1963.448,1375.336,
1960.538,1367.7599,
1957.627,1373.0081,
1954.716,1356.3921,
1951.806,1372.5834,
1948.895,1350.6806,
1945.985,1362.5221,
1943.074,1336.1185,
1940.164,1336.1826,
1937.253,1342.6616,
1934.342,1355.798,
1931.432,1317.4334,
1928.521,1323.1496,
1925.611,1311.9272,
1922.700,1312.1637,
1919.790,1336.4065,
1916.879,1323.1305,
1913.968,1286.918,
1911.058,1379.1002,
1908.147,1331.7713,
1905.237,1288.4045,
1902.326,1325.8202,
1899.415,1326.4835,
1896.505,1335.0497,
1893.594,1335.0579,
1890.684,1349.3978,
1887.773,1334.2637,
1884.863,1345.6791,
1881.952,1335.5803,
1879.041,1326.6575,
1876.131,1327.0606,
1873.220,1305.9546,
1870.310,1312.1575,
1867.399,1339.4432,
1864.489,1338.0572,
1861.578,1318.2486,
1858.667,1320.1145,
1855.757,1321.6328,
1852.846,1361.8391,
1849.936,1364.4545,
1847.025,1404.4103,
1844.114,1369.4256,
1841.204,1376.7212,
1838.293,1400.875,
1835.383,1405.7935,
1832.472,1409.875,
1829.562,1398.3766,
1826.651,1406.9181,
1823.740,1425.5225,
1820.830,1423.7017,
1817.919,1399.8868,
1815.009,1428.2681,
1812.098,1427.5915,
1809.188,1470.9602,
1806.277,1386.8447,
1803.366,1459.7585,
1800.456,1451.9957,
1797.545,1432.4497,
1794.635,1396.7441,
1791.724,1453.341,
1788.813,1478.8853,
1785.903,1504.0747,
1782.992,1475.4368,
