,PLACEA~1,
Raman shift [1/cm],Intensity,
2184.652,1396.3483,
2181.742,1439.8537,
2178.831,1463.1075,
2175.920,1499.4265,
2173.010,1588.8047,
2170.099,1627.2232,
2167.189,1693.8977,
2164.278,1741.4562,
2161.368,1829.4784,
2158.457,1922.2992,
2155.546,1969.9722,
2152.636,2062.3961,
2149.725,2131.9068,
2146.815,2162.8241,
2143.904,2257.1194,
2140.993,2247.117,
2138.083,2262.6371,
2135.172,2271.6082,
2132.262,2251.0933,
2129.351,2236.8698,
2126.441,2194.2171,
2123.530,2119.3904,
2120.619,2002.5061,
2117.709,1931.8484,
2114.798,1843.6054,
2111.888,1765.4886,
2108.977,1677.6846,
2106.067,1575.6461,
2103.156,1532.6291,
2100.245,1487.6093,
2097.335,1459.1329,
2094.424,1426.4445,
2091.514,1400.4072,
2088.603,1384.1826,
2085.692,1386.2197,
2082.782,1373.7135,
2079.871,1358.0532,
2076.961,1358.4958,
2074.050,1359.8311,
2071.140,1329.774,
2068.229,1347.1003,
2065.318,1331.1938,
2062.408,1339.2385,
2059.497,1337.0357,
2056.587,1327.1485,
2053.676,1337.1407,
2050.766,1315.7035,
2047.855,1331.3117,
2044.944,1320.226,
2042.034,1320.232,
2039.123,1323.8641,
2036.213,1313.7406,
2033.302,1305.0164,
2030.391,1311.506,
2027.481,1343.9174,
2024.570,1323.1258,
2021.660,1321.3885,
2018.749,1337.4988,
2015.839,1358.1453,
2012.928,1354.8314,
2010.017,1366.5349,
2007.107,1345.1128,
2004.196,1330.3631,
2001.286,1341.3776,
1998.375,1354.9291,
1995.465,1349.1188,
1992.554,1319.5782,
1989.643,1355.2079,
1986.733,1304.3206,
1983.822,1315.4965,
1980.912,1315.0018,
1978.001,1343.2094,
1975.090,1349.2571,
1972.180,1317.3165,
1969.269,1328.8923,
1966.359,1338.7059,
1963.448,1317.4757,
1960.538,1329.6667,
1957.627,1319.3587,
1954.716,1313.7399,
1951.806,1299.0721,
1948.895,1315.1492,
1945.985,1356.8211,
1943.074,1312.7358,
1940.164,1301.5385,
1937.253,1312.4988,
1934.342,1301.9924,
1931.432,1290.666,
1928.521,1291.6768,
1925.611,1303.5989,
1922.700,1279.3419,
1919.790,1294.8791,
1916.879,1264.2057,
1913.968,1280.6016,
1911.058,1267.5139,
1908.147,1331.3111,
1905.237,1295.2353,
1902.326,1294.108,
1899.415,1306.297,
1896.505,1293.4863,
1893.594,1283.7104,
1890.684,1282.2329,
1887.773,1300.0812,
1884.863,1326.7275,
1881.952,1292.6579,
1879.041,1298.5632,
1876.131,1309.6969,
1873.220,1321.9569,
1870.310,1283.7103,
1867.399,1305.2252,
1864.489,1318.9504,
1861.578,1280.1468,
1858.667,1307.5591,
1855.757,1327.6143,
1852.846,1343.8968,
1849.936,1351.1836,
1847.025,1345.3282,
1844.114,1352.3944,
1841.204,1355.4502,
1838.293,1358.6416,
1835.383,1352.4505,
1832.472,1360.3693,
1829.562,1398.1203,
1826.651,1388.9063,
1823.740,1376.353,
1820.830,1386.6566,
1817.919,1389.625,
1815.009,1409.3184,
1812.098,1432.373,
1809.188,1381.16,
1806.277,1437.275,
1803.366,1433.6749,
1800.456,1434.3718,
1797.545,1398.8518,
1794.635,1429.077,
1791.724,1423.4113,
1788.813,1443.0191,
1785.903,1436.1152,
1782.992,1459.1391,
1780.082,1428.9641,
1777.171,1441.9537,
1774.261,1423.53,
1771.350,1441.0168,
1768.439,1477.4345,
1765.529,1475.7139,
1762.618,1487.2644,
1759.708,1498.2988,
1756.797,1493.3068,
1753.887,1503.3174,
1750.976,1489.8835,
1748.065,1491.2993,
1745.155,1511.3991,
1742.244,1516.6386,
1739.334,1549.1756,
1736.423,1559.6792,
1733.512,1559.0803,
1730.602,1575.3334,
1727.691,1566.0394,
1724.781,1556.9055,
1721.870,1578.1585,
1718.960,1605.8253,
1716.049,1617.3368,
1713.138,1604.0901,
1710.228,1597.2735,
1707.317,1633.777,
1704.407,1625.149,
1701.496,1641.856,
1698.586,1683.3563,
1695.675,1683.8179,
1692.764,1695.9324,
1689.854,1720.5423,
1686.943,1715.8274,
1684.033,1726.3518,
1681.122,1730.557,
1678.211,1762.3204,
1675.301,1775.5849,
1672.390,1834.6998,
1669.480,1860.2427,
1666.569,1936.8154,
1663.659,1951.7393,
1660.748,1958.9528,
1657.837,1977.5495,
1654.927,2063.789,
1652.016,2070.8194,
1649.106,2080.8038,
1646.195,2169.3753,
1643.285,2241.0579,
1640.374,2258.3916,
1637.463,2203.3632,
1634.553,2354.1915,
1631.642,2459.5696,
1628.732,2546.0161,
1625.821,2611.7434,
1622.911,2791.605,
1620.000,2910.1258,
1617.089,3040.018,
1614.179,3195.1974,
1611.268,3365.2304,
1608.358,3547.9627,
1605.447,3636.7685,
1602.536,3674.241,
1599.626,3740.1004,
1596.715,3747.4402,
1593.805,3739.576,
1590.894,3659.3647,
1587.984,3671.1434,
1585.073,3620.1727,
1582.162,3593.9273,
1579.252,3563.6211,
1576.341,3537.5984,
1573.431,3529.4923,
1570.520,3540.855,
1567.610,3523.7619,
1564.699,3451.3723,
1561.788,3409.0195,
1558.878,3332.6659,
1555.967,3267.5918,
1553.057,3200.229,
1550.146,3156.2614,
1547.235,3104.7118,
1544.325,3046.7829,
1541.414,3028.9455,
1538.504,3021.3213,
1535.593,2995.0437,
1532.683,2951.9801,
1529.772,2909.4127,
1526.861,2851.9782,
1523.951,2806.8883,
1521.040,2818.0985,
1518.130,2767.2268,
1515.219,2742.9446,
1512.309,2745.2286,
1509.398,2720.0773,
1506.487,2752.0897,
1503.577,2732.6895,
1500.666,2680.3572,
1497.756,2631.8455,
1494.845,2646.9052,
1491.934,2653.3415,
1489.024,2566.7172,
1486.113,2556.2073,
1483.203,2490.7888,
1480.292,2478.3824,
1477.382,2454.1858,
1474.471,2423.3015,
1471.560,2412.7223,
1468.650,2399.3261,
1465.739,2378.8937,
1462.829,2356.8982,
1459.918,2337.6802,
1457.008,2374.3025,
1454.097,2392.6685,
1451.186,2355.3078,
1448.276,2350.2664,
1445.365,2360.0176,
1442.455,2344.5989,
1439.544,2318.4579,
1436.633,2346.4899,
1433.723,2386.3667,
1430.812,2393.2127,
1427.902,2239.3162,
1424.991,2310.3984,
1422.081,2236.4744,
1419.170,2209.7516,
1416.259,2245.508,
1413.349,2207.0448,
1410.438,2207.7199,
1407.528,2226.8561,
1404.617,2220.7082,
1401.707,2217.4543,
1398.796,2211.2964,
1395.885,2192.4242,
1392.975,2203.4592,
1390.064,2232.2673,
1387.154,2195.6985,
1384.243,2114.8284,
1381.332,2038.9008,
1378.422,2160.9191,
1375.511,2302.373,
1372.601,2387.5663,
1369.690,2433.2,
1366.780,2586.1515,
1363.869,2582.4893,
1360.958,2598.9756,
1358.048,2632.831,
1355.137,2683.5256,
1352.227,2745.6186,
1349.316,2824.6733,
1346.406,2922.5734,
1343.495,2968.6424,
1340.584,2967.5526,
1337.674,3033.4474,
1334.763,3051.5537,
1331.853,3128.5139,
1328.942,3175.2087,
1326.032,3196.9374,
1323.121,3273.9805,
1320.210,3319.6026,
1317.300,3309.5571,
1314.389,3349.5844,
1311.479,3372.664,
1308.568,3384.3974,
1305.657,3488.7301,
1302.747,3543.8929,
1299.836,3579.1902,
1296.926,3659.8807,
1294.015,3772.9575,
1291.105,3816.3688,
1288.194,3989.361,
1285.283,4076.0172,
1282.373,4099.3203,
1279.462,4175.0942,
1276.552,4271.7905,
1273.641,4306.2737,
1270.731,4285.5683,
1267.820,4271.1179,
1264.909,4272.7671,
1261.999,4217.9884,
1259.088,4282.749,
1256.178,4175.2857,
1253.267,4124.4028,
1250.356,4070.6035,
1247.446,3964.5496,
1244.535,3888.2724,
1241.625,3861.9361,
1238.714,3806.5252,
1235.804,3695.7465,
1232.893,3623.5017,
1229.982,3612.5893,
1227.072,3522.9634,
1224.161,3527.5515,
1221.251,3422.4157,
1218.340,3339.6304,
1215.430,3294.2552,
1212.519,3248.1956,
1209.608,3202.3481,
1206.698,3201.7531,
1203.787,3248.5496,
1200.877,3221.0857,
1197.966,3309.2033,
1195.055,3396.3901,
1192.145,3491.7701,
1189.234,3567.9332,
1186.324,3640.9931,
1183.413,3699.0565,
1180.503,3718.2289,
1177.592,3702.7461,
1174.681,3681.1764,
1171.771,3641.6469,
1168.860,3555.9103,
1165.950,3502.4728,
1163.039,3480.4506,
1160.129,3450.8511,
1157.218,3406.223,
1154.307,3379.5932,
1151.397,3364.292,
1148.486,3309.0227,
1145.576,3319.9652,
1142.665,3258.6992,
1139.754,3253.625,
1136.844,3196.9005,
1133.933,3177.317,
1131.023,3190.0669,
1128.112,3213.4803,
