,PLA2D2~1,
Raman shift [1/cm],Intensity,
2173.010,754.5754,
2170.099,733.96924,
2167.189,769.46412,
2164.278,766.2608,
2161.368,784.78471,
2158.457,795.33295,
2155.546,793.27214,
2152.636,819.22336,
2149.725,816.51343,
2146.815,841.56567,
2143.904,847.69703,
2140.993,854.00248,
2138.083,881.72197,
2135.172,859.93702,
2132.262,873.13292,
2129.351,867.43788,
2126.441,837.99506,
2123.530,850.29797,
2120.619,826.03238,
2117.709,784.97262,
2114.798,764.46517,
2111.888,724.76293,
2108.977,721.22186,
2106.067,717.6746,
2103.156,681.18643,
2100.245,678.49184,
2097.335,663.09163,
2094.424,647.4148,
2091.514,657.79036,
2088.603,659.80417,
2085.692,645.22496,
2082.782,637.37953,
2079.871,645.53617,
2076.961,664.3376,
2074.050,659.06364,
2071.140,650.01728,
2068.229,655.39191,
2065.318,668.84499,
2062.408,657.97731,
2059.497,656.49404,
2056.587,643.86064,
2053.676,665.63174,
2050.766,645.65546,
2047.855,655.56019,
2044.944,625.49519,
2042.034,640.86997,
2039.123,646.4596,
2036.213,649.57559,
2033.302,653.0653,
2030.391,637.55115,
2027.481,647.8657,
2024.570,665.29969,
2021.660,640.21475,
2018.749,653.99388,
2015.839,664.75131,
2012.928,658.78692,
2010.017,665.78664,
2007.107,648.943,
2004.196,663.66669,
2001.286,665.06185,
1998.375,672.63386,
1995.465,631.87679,
1992.554,657.18791,
1989.643,633.53691,
1986.733,632.69386,
1983.822,664.87002,
1980.912,626.09419,
1978.001,636.83025,
1975.090,628.17784,
1972.180,603.77526,
1969.269,641.63516,
1966.359,660.9594,
1963.448,657.03897,
1960.538,632.15471,
1957.627,638.09134,
1954.716,610.36181,
1951.806,609.34453,
1948.895,627.2854,
1945.985,637.45752,
1943.074,628.93912,
1940.164,628.21155,
1937.253,620.03064,
1934.342,617.08128,
1931.432,628.80915,
1928.521,614.26511,
1925.611,624.24007,
1922.700,624.37707,
1919.790,625.94505,
1916.879,625.56975,
1913.968,647.47295,
1911.058,632.54806,
1908.147,651.13787,
1905.237,592.03682,
1902.326,616.74298,
1899.415,594.74879,
1896.505,600.80115,
1893.594,601.22259,
1890.684,607.40198,
1887.773,616.629,
1884.863,614.65718,
1881.952,595.24763,
1879.041,600.84735,
1876.131,636.26077,
1873.220,618.22114,
1870.310,611.71525,
1867.399,611.5,
1864.489,605.42211,
1861.578,603.2198,
1858.667,604.31435,
1855.757,623.71002,
1852.846,616.5205,
1849.936,630.01151,
1847.025,641.26155,
1844.114,640.61289,
1841.204,639.24825,
1838.293,633.55155,
1835.383,622.17398,
1832.472,650.95391,
1829.562,651.19557,
1826.651,652.654,
1823.740,633.66088,
1820.830,635.53158,
1817.919,647.45814,
1815.009,675.18702,
1812.098,666.03544,
1809.188,633.54658,
1806.277,685.28275,
1803.366,637.26527,
1800.456,681.95043,
1797.545,670.65612,
1794.635,653.79002,
1791.724,664.97569,
1788.813,684.10849,
1785.903,700.65123,
1782.992,665.28091,
1780.082,658.9101,
1777.171,648.82494,
1774.261,632.10029,
1771.350,662.249,
1768.439,676.73505,
1765.529,684.22684,
1762.618,694.5444,
1759.708,704.92388,
1756.797,705.80303,
1753.887,697.08892,
1750.976,712.85536,
1748.065,736.02995,
1745.155,740.77741,
1742.244,720.97377,
1739.334,710.5,
1736.423,734.5224,
1733.512,730.67476,
1730.602,736.72025,
1727.691,745.87362,
1724.781,707.38459,
1721.870,759.2718,
1718.960,728.455,
1716.049,742.83027,
1713.138,762.88992,
1710.228,760.27822,
1707.317,815.228,
1704.407,799.14167,
1701.496,748.18797,
1698.586,737.95609,
1695.675,809.54956,
1692.764,787.04507,
1689.854,792.19685,
1686.943,797.33137,
1684.033,819.92877,
1681.122,860.80331,
1678.211,854.56662,
1675.301,829.57709,
1672.390,884.52393,
1669.480,893.10967,
1666.569,967.62398,
1663.659,900.31662,
1660.748,949.61569,
1657.837,956.2217,
1654.927,989.99946,
1652.016,1051.9168,
1649.106,1028.4021,
1646.195,1024.7398,
1643.285,1036.4824,
1640.374,1121.061,
1637.463,1101.8511,
1634.553,1176.6083,
1631.642,1250.9343,
1628.732,1290.9207,
1625.821,1361.4967,
1622.911,1356.5282,
1620.000,1470.0511,
1617.089,1550.8881,
1614.179,1612.7515,
1611.268,1749.2951,
1608.358,1770.704,
1605.447,1832.7862,
1602.536,1832.7725,
1599.626,1870.2172,
1596.715,1838.1036,
1593.805,1836.2887,
1590.894,1855.8747,
1587.984,1849.8391,
1585.073,1815.3181,
1582.162,1783.6185,
1579.252,1751.4961,
1576.341,1770.333,
1573.431,1698.1826,
1570.520,1703.2532,
1567.610,1683.9309,
1564.699,1641.1486,
1561.788,1629.9084,
1558.878,1590.217,
1555.967,1572.8213,
1553.057,1533.3108,
1550.146,1492.0637,
1547.235,1463.9709,
1544.325,1459.2864,
1541.414,1468.2804,
1538.504,1450.4341,
1535.593,1456.7934,
1532.683,1473.9339,
1529.772,1454.1689,
1526.861,1444.9023,
1523.951,1461.8997,
1521.040,1485.0466,
1518.130,1476.8116,
1515.219,1464.9009,
1512.309,1438.1982,
1509.398,1459.5817,
1506.487,1462.3668,
1503.577,1409.8513,
1500.666,1418.6872,
1497.756,1378.2879,
1494.845,1352.4605,
1491.934,1375.4559,
1489.024,1361.981,
1486.113,1332.7563,
1483.203,1322.5065,
1480.292,1332.5306,
1477.382,1323.1845,
1474.471,1308.2219,
1471.560,1241.367,
1468.650,1218.1833,
1465.739,1208.2522,
1462.829,1221.0013,
1459.918,1244.5498,
1457.008,1234.7151,
1454.097,1197.0894,
1451.186,1197.3723,
1448.276,1219.5378,
1445.365,1194.4629,
1442.455,1177.7733,
1439.544,1170.1993,
1436.633,1135.9072,
1433.723,1114.9834,
1430.812,1155.1254,
1427.902,1174.598,
1424.991,1136.6875,
1422.081,1151.0971,
1419.170,1170.6453,
1416.259,1162.1591,
1413.349,1200.283,
1410.438,1174.3123,
1407.528,1185.1809,
1404.617,1178.1891,
1401.707,1132.8233,
1398.796,1097.0595,
1395.885,1083.6063,
1392.975,1064.9786,
1390.064,1011.1292,
1387.154,920.73196,
1384.243,822.9452,
1381.332,751.24658,
1378.422,820.40762,
1375.511,954.3673,
1372.601,1018.2452,
1369.690,1077.505,
1366.780,1144.3186,
1363.869,1177.6619,
1360.958,1166.6742,
1358.048,1189.5388,
1355.137,1260.3886,
1352.227,1303.1274,
1349.316,1315.4978,
1346.406,1345.4828,
1343.495,1367.9809,
1340.584,1390.7496,
1337.674,1417.7848,
1334.763,1404.241,
1331.853,1423.7128,
1328.942,1452.0734,
1326.032,1491.3873,
1323.121,1540.253,
1320.210,1517.8744,
1317.300,1566.1962,
1314.389,1620.7224,
1311.479,1621.0729,
1308.568,1595.3364,
1305.657,1574.3668,
1302.747,1586.6146,
1299.836,1566.0652,
1296.926,1644.7474,
1294.015,1714.616,
1291.105,1778.2574,
1288.194,1826.4372,
1285.283,1878.7442,
1282.373,1901.8281,
1279.462,1927.4604,
1276.552,1965.0119,
1273.641,1984.0835,
1270.731,1979.0881,
1267.820,1968.4511,
1264.909,1929.0281,
1261.999,1975.5347,
1259.088,1949.0831,
1256.178,1920.0934,
1253.267,1890.1825,
1250.356,1883.8545,
1247.446,1888.0204,
1244.535,1850.8573,
1241.625,1833.511,
1238.714,1847.5728,
1235.804,1808.7427,
1232.893,1818.3891,
1229.982,1752.3535,
1227.072,1688.9817,
1224.161,1702.1506,
1221.251,1653.3844,
1218.340,1598.5747,
1215.430,1543.2657,
1212.519,1513.1417,
1209.608,1522.84,
1206.698,1545.5426,
1203.787,1558.5101,
1200.877,1598.0602,
1197.966,1623.2366,
1195.055,1702.9989,
1192.145,1717.2513,
1189.234,1775.8913,
1186.324,1840.7759,
1183.413,1859.6675,
1180.503,1850.5235,
1177.592,1864.4901,
1174.681,1893.4452,
1171.771,1864.8406,
1168.860,1836.2618,
1165.950,1824.6308,
1163.039,1814.8176,
1160.129,1801.4725,
1157.218,1800.2688,
1154.307,1807.2421,
1151.397,1799.8976,
1148.486,1783.892,
1145.576,1829.7654,
1142.665,1789.8093,
1139.754,1819.8588,
1136.844,1791.0843,
1133.933,1770.2214,
1131.023,1761.3069,
1128.112,1743.0018,
1125.202,1718.5676,
1122.291,1712.7507,
1119.380,1714.7512,
1116.470,1740.3445,
1113.559,1690.1458,
1110.649,1672.5355,
1107.738,1659.712,
1104.828,1651.5805,
1101.917,1647.695,
1099.006,1636.5823,
1096.096,1661.0375,
1093.185,1669.8176,
1090.275,1710.1542,
1087.364,1733.2225,
1084.453,1758.6238,
1081.543,1792.7817,
1078.632,1804.9642,
1075.722,1780.8851,
1072.811,1794.8795,
1069.901,1786.1469,
1066.990,1782.2667,
1064.079,1774.0143,
1061.169,1763.3201,
1058.258,1732.9378,
1055.348,1725.0744,
1052.437,1781.5803,
1049.527,1756.5,
1046.616,1756.5,
1043.705,1758.0415,
1040.795,1747.6454,
1037.884,1756.6721,
1034.974,1772.2448,
1032.063,1771.3539,
1029.153,1764.7077,
1026.242,1766.4376,
1023.331,1775.6661,
1020.421,1780.2884,
1017.510,1763.5712,
1014.600,1767.2631,
1011.689,1799.1969,
1008.778,1820.8458,
1005.868,1834.7857,
1002.957,1866.6188,
1000.047,1973.42,
997.136,2027.3578,
994.226,2035.8231,
991.315,2011.4926,
988.404,1952.313,
985.494,1893.8095,
982.583,1862.9735,
979.673,1853.3785,
976.762,1853.2613,
973.852,1854.942,
970.941,1854.6109,
968.030,1853.1012,
965.120,1856.4499,
962.209,1844.5143,
959.299,1853.1237,
956.388,1865.8995,
953.477,1874.9662,
950.567,1883.9899,
947.656,1901.0597,
944.746,1912.9535,
941.835,1919.9785,
938.925,1929.3966,
936.014,1948.6748,
933.103,1957.4974,
930.193,1952.0932,
927.282,1973.6293,
924.372,1957.5627,
921.461,1895.8516,
918.551,1872.7572,
915.640,1888.4977,
912.729,1889.7631,
909.819,1830.6112,
906.908,1831.4536,
903.998,1814.002,
901.087,1825.4127,
898.176,1828.7737,
895.266,1820.5956,
892.355,1828.9077,
889.445,1895.2098,
886.534,1912.1974,
883.624,1914.8272,
880.713,1926.7485,
877.802,1924.6043,
874.892,1888.7561,
871.981,1845.9932,
869.071,1866.8785,
866.160,1858.7707,
863.250,1882.8554,
860.339,1906.2782,
857.428,1903.1783,
854.518,1913.4649,
851.607,1877.6859,
848.697,1859.8071,
845.786,1843.0827,
842.875,1845.4333,
839.965,1877.0439,
837.054,1911.9373,
834.144,1950.8886,
831.233,1962.4997,
828.323,1947.6846,
825.412,1936.6173,
822.501,1952.032,
819.591,1966.0808,
816.680,1904.8012,
813.770,1895.765,
810.859,1887.7677,
807.949,1875.1537,
805.038,1881.6903,
802.127,1899.7991,
799.217,1838.8872,
796.306,1828.2839,
793.396,1839.6145,
790.485,1843.4471,
787.574,1842.0533,
784.664,1909.3025,
781.753,1936.9326,
778.843,1943.5198,
775.932,1931.6977,
773.022,1908.2608,
770.111,1913.1663,
767.200,1884.5701,
764.290,1889.9469,
761.379,1887.1085,
758.469,1858.7571,
755.558,1828.1628,
752.648,1783.3596,
749.737,1755.5691,
746.826,1707.7361,
743.916,1609.2135,
741.005,1437.7046,
738.095,1182.7753,
735.184,860.75564,
732.274,757.12154,
729.363,957.12529,
726.452,1377.8848,
723.542,1645.794,
720.631,1772.1227,
717.721,1819.1026,
714.810,1849.0567,
711.899,1877.9851,
708.989,1858.6189,
706.078,1888.9495,
703.168,1897.7144,
700.257,1885.7103,
697.347,1865.7611,
694.436,1858.9545,
691.525,1838.8593,
688.615,1884.184,
685.704,1901.4126,
682.794,1888.0744,
679.883,1896.7523,
676.973,1902.3619,
674.062,1895.2049,
671.151,1910.6632,
668.241,1904.813,
665.330,1806.8656,
662.420,1877.9528,
659.509,1900.7541,
656.598,1925.4065,
653.688,1959.0914,
650.777,1985.4451,
647.867,2013.3166,
644.956,1997.8297,
642.046,1955.0635,
639.135,1910.5655,
636.224,1899.5,
633.314,1899.5,
630.403,1911.3242,
627.493,1896.8396,
624.582,1864.5611,
621.672,1882.777,
618.761,1867.5413,
615.850,1882.3356,
612.940,1893.377,
610.029,1888.8924,
607.119,1921.2673,
604.208,1921.6599,
601.297,1903.0519,
598.387,1880.054,
595.476,1864.5687,
592.566,1844.105,
589.655,1835.3169,
586.745,1823.8206,
583.834,1805.6929,
580.923,1781.0782,
578.013,1711.2369,
575.102,1738.3871,
572.192,1797.5099,
569.281,1846.2962,
566.371,1867.427,
563.460,1892.7805,
560.549,1900.5509,
557.639,1925.0878,
554.728,1997.6971,
551.818,2000.8183,
548.907,1985.0458,
545.996,1961.2812,
543.086,1949.8947,
540.175,1993.4989,
537.265,1965.356,
534.354,1971.0592,
531.444,1989.6146,
528.533,1990.2375,
525.622,1958.4237,
522.712,1966.6688,
519.801,1979.555,
516.891,1988.0996,
513.980,2005.9084,
511.070,2003.2739,
508.159,2004.843,
505.248,2018.5145,
502.338,2048.9292,
499.427,2063.5941,
496.517,2047.1364,
493.606,2038.5663,
490.695,2049.6114,
487.785,2028.8271,
484.874,2044.2405,
481.964,2039.1347,
479.053,2019.3386,
476.143,2027.0182,
473.232,2051.9597,
470.321,2035.7115,
467.411,2014.8315,
464.500,2033.0346,
461.590,2014.6568,
458.679,1996.2929,
455.769,2008.4997,
452.858,2057.6251,
449.947,2049.2219,
447.037,2046.2865,
444.126,2049.9364,
441.216,2059.352,
438.305,2070.0191,
435.395,2061.0098,
432.484,2052.166,
429.573,2040.9324,
426.663,2012.8072,
423.752,1993.0645,
420.842,1952.6186,
417.931,1926.8591,
415.020,1973.8773,
412.110,2050.8562,
409.199,2101.4829,
406.289,2106.8056,
403.378,2049.5333,
400.468,2059.3612,
397.557,2033.7076,
394.646,2011.3482,
391.736,2019.7193,
388.825,1870.3815,
385.915,1779.667,
383.004,1771.0519,
380.094,1855.6479,
377.183,1917.351,
374.272,2021.3449,
371.362,2094.5,
368.451,2098.7856,
365.541,2169.336,
362.630,2183.0376,
359.719,2170.8048,
356.809,2153.2249,
353.898,2165.2057,
350.988,2144.6306,
348.077,2134.9547,
345.167,2161.8245,
342.256,2187.9718,
339.345,2163.0826,
336.435,2153.6539,
333.524,2203.0772,
330.614,2189.6644,
327.703,2201.929,
324.793,2216.4688,
321.882,2213.6875,
318.971,2291.0055,
316.061,2327.2663,
313.150,2336.8071,
310.240,2334.5808,
307.329,2343.7903,
304.418,2342.0286,
301.508,2312.4599,
298.597,2225.8312,
295.687,2138.5856,
292.776,2134.2502,
289.866,2223.8478,
286.955,2424.7812,
284.044,2624.2748,
281.134,2795.3358,
278.223,2932.8049,
275.313,3037.4383,
272.402,3127.4657,
269.492,3213.5718,
266.581,3294.9189,
263.670,3314.7687,
260.760,3348.1863,
257.849,3390.694,
254.939,3439.8642,
252.028,3462.2153,
249.117,3467.3022,
246.207,3451.5671,
243.296,3405.4488,
240.386,3334.5478,
237.475,3280.2907,
234.565,3249.0399,
231.654,3246.1183,
228.743,3223.636,
225.833,3193.7797,
222.922,3161.7186,
220.012,3144.9618,
217.101,3101.2242,
214.191,3041.1739,
211.280,2973.5198,
208.369,2954.3709,
205.459,2927.9367,
202.548,2898.7507,
199.638,2900.202,
196.727,2876.8751,
193.816,2855.5867,
190.906,2844.4938,
187.995,2787.2959,
185.085,2774.5928,
182.174,2777.7988,
179.264,2760.4524,
176.353,2758.5,
173.442,2761.763,
170.532,2760.8634,
167.621,2703.9064,
164.711,2617.5484,
161.800,2514.1777,
158.890,2399.0212,
155.979,2244.9175,
153.068,2088.5137,
150.158,1914.6491,
147.247,1656.9042,
144.337,1358.5998,
141.426,1054.8085,
138.516,760.88305,
135.605,557.1523,
132.694,379.14158,
129.784,235.7024,
126.873,164.90454,
123.963,114.07951,
121.052,75.73501,
118.141,48.606734,
115.231,43.526008,
112.320,38.534549,
109.410,33.272803,
106.499,26.863406,
103.589,23.819237,
100.678,21.685135,
97.767,19.552322,
94.857,23.657934,
91.946,21.468891,
89.036,15.274204,
86.125,13.855794,
83.215,15.623681,
80.304,16.542269,
77.393,13.70959,
74.483,12.18973,
71.572,12.587056,
68.662,14.5,
65.751,14.5,
62.840,11.128086,
59.930,8.9982896,
57.019,14.638945,
54.109,16.097161,
51.198,14.388735,
48.288,9.5056624,
45.377,10.209041,
42.466,11.324439,
39.556,12.154644,
36.645,10.048074,
33.735,12.615491,
30.824,15.941774,
27.914,17.344124,
25.003,20.613187,
22.092,25.729046,
19.182,32.98054,
16.271,47.669833,
13.361,209.43945,
10.450,562.92012,
7.539,1372.9659,
4.629,2000.6906,
1.718,2270.9072,
-1.192,1877.7177,
-4.103,1152.3792,
-7.013,499.42803,
-9.924,2.5,
