,PLA93A~1,
Wavenumbers [1/cm],Intensity,
2196.294,1529.624,
2193.384,1536.184,
2190.473,1560.8075,
2187.563,1578.6305,
2184.652,1610.3196,
2181.742,1662.6168,
2178.831,1720.7412,
2175.920,1754.6385,
2173.010,1853.0057,
2170.099,1903.8973,
2167.189,2021.9449,
2164.278,2100.5211,
2161.368,2245.4944,
2158.457,2402.4391,
2155.546,2537.9809,
2152.636,2685.2072,
2149.725,2799.8959,
2146.815,2927.6292,
2143.904,3051.8048,
2140.993,3084.9177,
2138.083,3170.8191,
2135.172,3233.6935,
2132.262,3265.493,
2129.351,3252.6827,
2126.441,3158.4997,
2123.530,3049.9511,
2120.619,2899.6015,
2117.709,2769.5189,
2114.798,2595.8917,
2111.888,2426.4287,
2108.977,2251.4072,
2106.067,2140.6217,
2103.156,1995.8037,
2100.245,1917.4586,
2097.335,1840.1806,
2094.424,1759.1754,
2091.514,1747.6961,
2088.603,1697.5646,
2085.692,1687.3215,
2082.782,1654.5043,
2079.871,1639.1429,
2076.961,1636.6937,
2074.050,1638.5909,
2071.140,1586.3272,
2068.229,1600.6146,
2065.318,1572.2655,
2062.408,1570.5454,
2059.497,1566.2976,
2056.587,1583.9416,
2053.676,1570.268,
2050.766,1553.5007,
2047.855,1541.1583,
2044.944,1532.8253,
2042.034,1554.737,
2039.123,1555.1599,
2036.213,1547.4244,
2033.302,1544.4782,
2030.391,1551.4322,
2027.481,1543.5733,
2024.570,1551.4569,
2021.660,1577.9626,
2018.749,1580.576,
2015.839,1576.1778,
2012.928,1539.8675,
2010.017,1560.3437,
2007.107,1570.4065,
2004.196,1555.7262,
2001.286,1558.3975,
1998.375,1517.3976,
1995.465,1529.3241,
1992.554,1530.6118,
1989.643,1537.2235,
1986.733,1528.7675,
1983.822,1529.4092,
1980.912,1504.9555,
1978.001,1504.3052,
1975.090,1488.7412,
1972.180,1469.6037,
1969.269,1491.9742,
1966.359,1508.9054,
1963.448,1491.4287,
1960.538,1516.3374,
1957.627,1496.7508,
1954.716,1505.1553,
1951.806,1510.1587,
1948.895,1489.8562,
