,PL84A9~1,
Raman shift [1/cm],Intensity,
2170.099,933.73017,
2167.189,957.34442,
2164.278,1009.8422,
2161.368,1049.1415,
2158.457,1105.8066,
2155.546,1166.8625,
2152.636,1219.5371,
2149.725,1251.6443,
2146.815,1312.9979,
2143.904,1333.2156,
2140.993,1374.492,
2138.083,1384.9058,
2135.172,1381.0168,
2132.262,1377.7482,
2129.351,1368.6931,
2126.441,1349.2135,
2123.530,1328.8888,
2120.619,1227.0093,
2117.709,1182.2234,
2114.798,1123.5038,
2111.888,1087.7638,
2108.977,1023.3973,
2106.067,999.96649,
2103.156,960.28725,
2100.245,909.99373,
2097.335,899.15707,
2094.424,890.84585,
2091.514,882.56988,
2088.603,887.59444,
2085.692,862.89982,
2082.782,861.20469,
2079.871,833.85532,
2076.961,859.6752,
2074.050,814.30909,
2071.140,840,
2068.229,837.82292,
2065.318,832.7655,
2062.408,837.44705,
2059.497,821.16068,
2056.587,814.38362,
2053.676,814.55015,
2050.766,828.76831,
2047.855,800.31327,
2044.944,814.05929,
2042.034,820.96514,
2039.123,790.56229,
2036.213,824.0556,
2033.302,817.34814,
2030.391,807.08455,
2027.481,812.48779,
2024.570,824.79969,
2021.660,827.94087,
2018.749,821.84804,
2015.839,815.71325,
2012.928,801.22987,
2010.017,803.29859,
2007.107,803.06915,
2004.196,817.42863,
2001.286,809.62195,
1998.375,791.60827,
1995.465,792.57321,
1992.554,790.37061,
1989.643,778.41476,
1986.733,776.60526,
1983.822,802.31979,
1980.912,784.86129,
1978.001,778.1781,
1975.090,782.36032,
1972.180,780.13965,
1969.269,773.45406,
1966.359,773.9188,
1963.448,764.61691,
1960.538,755.69641,
1957.627,764.6997,
1954.716,752.40218,
1951.806,766.31094,
1948.895,738.20844,
1945.985,763.11928,
1943.074,756.69359,
1940.164,758.7207,
1937.253,721.13915,
1934.342,738.65828,
1931.432,720.05362,
1928.521,722.8722,
1925.611,736.83768,
1922.700,724.91989,
1919.790,705.63602,
1916.879,716.95376,
1913.968,701.0209,
1911.058,714.1982,
1908.147,715.93722,
1905.237,711.5809,
1902.326,723.05481,
1899.415,715.83047,
1896.505,695.39157,
1893.594,705.0854,
1890.684,705.15693,
1887.773,691.53457,
1884.863,693.46469,
1881.952,726.6897,
1879.041,702.93197,
1876.131,699.95817,
1873.220,682.82293,
1870.310,705.06274,
1867.399,673.54378,
1864.489,711.01253,
1861.578,736.1868,
1858.667,733.30542,
1855.757,704.40573,
1852.846,705.28716,
1849.936,725.48849,
1847.025,722,
1844.114,727.63296,
1841.204,737.8042,
1838.293,734.50915,
1835.383,735.55799,
1832.472,743.96522,
1829.562,744.08359,
1826.651,758.0431,
1823.740,735.1532,
1820.830,744.06317,
1817.919,750.81438,
1815.009,737.30026,
1812.098,745.77165,
1809.188,745.12404,
1806.277,788.0262,
1803.366,778.14973,
1800.456,787.05496,
1797.545,785.97173,
1794.635,774.25613,
1791.724,819.43704,
1788.813,767.20154,
1785.903,784.42821,
1782.992,813.46494,
1780.082,788.32651,
1777.171,794.99571,
1774.261,797.98038,
1771.350,825.85525,
1768.439,819.70237,
1765.529,812.45275,
1762.618,790.37123,
1759.708,813.73948,
1756.797,837.85606,
1753.887,826.05102,
1750.976,833.02421,
1748.065,837.54224,
1745.155,840.47094,
1742.244,854.91846,
1739.334,848.6753,
1736.423,822.51031,
1733.512,835.82933,
1730.602,848.4881,
1727.691,866.88853,
1724.781,881.43892,
1721.870,923.43356,
1718.960,868.04366,
1716.049,880.84719,
1713.138,880.01503,
1710.228,844.18812,
1707.317,867.30628,
1704.407,933.8878,
1701.496,921.8575,
1698.586,935.70774,
1695.675,890.21457,
1692.764,941.90987,
1689.854,940.21653,
1686.943,942.89882,
1684.033,941.04967,
1681.122,934.11895,
1678.211,943.90483,
1675.301,990.85508,
1672.390,982.26319,
1669.480,1069.639,
1666.569,1025.6348,
1663.659,1075.9309,
1660.748,1131.0359,
1657.837,1082.4593,
1654.927,1104.9915,
1652.016,1187.0037,
1649.106,1147.9058,
1646.195,1183.0649,
1643.285,1146.0482,
1640.374,1192.777,
1637.463,1275.3515,
1634.553,1241.5812,
1631.642,1347.304,
1628.732,1375.6696,
1625.821,1488.0517,
1622.911,1566.5548,
1620.000,1662.7779,
1617.089,1742.408,
1614.179,1903.375,
1611.268,1986.9514,
1608.358,2090.0836,
1605.447,2172.3149,
1602.536,2205.8885,
1599.626,2230.9983,
1596.715,2274.7497,
1593.805,2185.0952,
1590.894,2185.4487,
1587.984,2155.8207,
1585.073,2117.8181,
1582.162,2152.0745,
1579.252,2074.0784,
1576.341,2066.2149,
1573.431,2069,
1570.520,2020.8442,
1567.610,2016.4315,
1564.699,1991.7238,
1561.788,1971.8452,
1558.878,1924.3032,
1555.967,1888.144,
1553.057,1809.8283,
1550.146,1790.28,
1547.235,1754.0029,
1544.325,1722.2621,
1541.414,1692.6767,
1538.504,1645.4479,
1535.593,1604.0889,
1532.683,1558.9491,
1529.772,1539.8999,
1526.861,1527.2743,
1523.951,1498.7272,
