,PLC09D~1,
Raman shift [1/cm],Intensity,
3014.167,-2.75,
3011.256,3.0000537,
3008.346,167.4701,
3005.435,202.40548,
3002.525,224.5151,
2999.614,218.53701,
2996.704,231.24175,
2993.793,239.39228,
2990.882,229.07441,
2987.972,225.42153,
2985.061,258.3633,
2982.151,260.77269,
2979.240,276.46577,
2976.329,275.23908,
2973.419,280.51162,
2970.508,296.36656,
2967.598,290.91908,
2964.687,300.90693,
2961.777,297.25,
2958.866,328.58135,
2955.955,335.80309,
2953.045,334.91892,
2950.134,354.88849,
2947.224,362.39234,
2944.313,374.44088,
2941.403,378.03558,
2938.492,373.11179,
2935.581,381.58864,
2932.671,401.52463,
2929.760,384.40771,
2926.850,395.14549,
2923.939,418.28736,
2921.028,434.18536,
2918.118,408.26889,
2915.207,411.0223,
2912.297,417.25846,
2909.386,439.82665,
2906.476,442.34268,
2903.565,434.94408,
2900.654,415.85062,
2897.744,440.01113,
2894.833,421.25,
2891.923,426.1154,
2889.012,425.20954,
2886.102,424.27027,
2883.191,427.24906,
2880.280,417.28828,
2877.370,424.45346,
2874.459,416.72168,
2871.549,424.43434,
2868.638,441.79638,
2865.727,435.71927,
2862.817,435.82218,
2859.906,439.79416,
2856.996,453.67075,
2854.085,457.16594,
2851.175,456.41568,
2848.264,448.03917,
2845.353,462.9912,
2842.443,450.05209,
2839.532,446.69777,
2836.622,456.09831,
2833.711,450.51687,
2830.801,436.35809,
2827.890,449.39863,
2824.979,462.608,
2822.069,462.22726,
2819.158,467.85109,
2816.248,472.77895,
2813.337,454.29145,
2810.427,477.89738,
2807.516,478.67453,
2804.605,472.22836,
2801.695,467.11842,
2798.784,484.77154,
2795.874,466.96504,
2792.963,466.89287,
2790.052,482.24678,
2787.142,453.26335,
2784.231,463.31523,
2781.321,474.55854,
2778.410,465.07995,
2775.500,457.82552,
2772.589,483.25,
2769.678,475.82341,
2766.768,486.72964,
2763.857,482.35597,
2760.947,480.70272,
2758.036,478.33283,
2755.126,484.34829,
2752.215,478.3773,
2749.304,499.44063,
2746.394,495.94353,
2743.483,497.30002,
2740.573,503.00889,
2737.662,486.29141,
2734.751,497.50268,
2731.841,489.60165,
2728.930,523.678,
2726.020,522.69907,
2723.109,525.36342,
2720.199,501.62182,
2717.288,506.44343,
2714.377,508.47492,
2711.467,522.23352,
2708.556,525.72874,
2705.646,526.94015,
2702.735,537.22937,
2699.825,521.16274,
2696.914,535.7741,
2694.003,518.76382,
