,PLA2D5~1,
Raman shift [1/cm],Intensity,
3014.167,-2.125,
3011.256,-2.6750107,
3008.346,219.03707,
3005.435,247.60645,
3002.525,246.11997,
2999.614,267.77631,
2996.704,282.73376,
2993.793,277.35196,
2990.882,290.35594,
2987.972,279.9204,
2985.061,300.84546,
2982.151,328.20442,
2979.240,331.04039,
2976.329,337.875,
2973.419,337.19772,
2970.508,355.57498,
2967.598,366.39709,
2964.687,370.24728,
2961.777,368.56714,
2958.866,407.87945,
2955.955,391.25112,
2953.045,413.29561,
2950.134,447.93915,
2947.224,458.84653,
2944.313,467.31304,
2941.403,461.49362,
2938.492,488.57689,
2935.581,484.28359,
2932.671,476.15829,
2929.760,483.78652,
2926.850,500.51635,
2923.939,502.71142,
2921.028,522.58096,
2918.118,516.9745,
2915.207,522.88145,
2912.297,533.85807,
2909.386,540.62684,
2906.476,534.58004,
2903.565,536.71352,
2900.654,539.875,
2897.744,530.875,
2894.833,527.57609,
2891.923,526.9295,
2889.012,543.29696,
2886.102,537.95607,
2883.191,526.89294,
2880.280,500.39652,
2877.370,503.91561,
2874.459,493.22721,
2871.549,523.73062,
2868.638,564.96777,
2865.727,563.55961,
2862.817,566.33222,
2859.906,564.24252,
2856.996,572.38632,
2854.085,562.83297,
2851.175,584.4684,
2848.264,572.9485,
2845.353,587.31426,
2842.443,553.88893,
2839.532,555.06895,
2836.622,538.48177,
2833.711,542.92681,
2830.801,549.27059,
2827.890,535.44323,
2824.979,553.60307,
2822.069,555.76128,
2819.158,548.91543,
2816.248,537.43869,
2813.337,574.81282,
2810.427,541.79374,
2807.516,557.96828,
2804.605,565.24038,
2801.695,565.0987,
2798.784,578.20969,
2795.874,567.29451,
2792.963,582.30372,
2790.052,555.88143,
2787.142,551.19069,
2784.231,538.03649,
2781.321,583.42345,
2778.410,550.19479,
2775.500,550.27983,
2772.589,539.83601,
2769.678,551.83395,
2766.768,579.74491,
2763.857,574.4511,
2760.947,559.42859,
2758.036,568.72214,
2755.126,582.29808,
2752.215,585.70668,
2749.304,602.04403,
2746.394,578.64912,
2743.483,597.82503,
2740.573,588.43914,
2737.662,580.78919,
2734.751,601.78271,
2731.841,582.57646,
2728.930,599.20129,
2726.020,603.54861,
2723.109,615.96767,
2720.199,610.05327,
2717.288,601.92611,
2714.377,609.39172,
2711.467,626.90796,
2708.556,618.35374,
2705.646,622.94544,
2702.735,613.55026,
2699.825,632.63504,
2696.914,629.30316,
2694.003,637.94818,
2691.093,626.21435,
2688.182,640.85796,
2685.272,619.67158,
2682.361,630.45142,
2679.450,660.47983,
2676.540,643.73273,
2673.629,638.53418,
2670.719,646.37131,
2667.808,632.7018,
2664.898,648.06955,
2661.987,669.67513,
2659.076,653.92674,
2656.166,665.97031,
2653.255,665.68283,
2650.345,677.03471,
2647.434,675.78926,
2644.524,678.73593,
2641.613,678.70341,
2638.702,684.73297,
2635.792,684.24888,
2632.881,689.98814,
2629.971,685.25753,
2627.060,686.37344,
2624.149,697.95625,
2621.239,702.88686,
2618.328,673.08694,
2615.418,677.21136,
2612.507,713.72861,
2609.597,684.20035,
2606.686,691.73242,
2603.775,692.95834,
2600.865,709.22655,
2597.954,707.69573,
2595.044,731.98128,
2592.133,722.55031,
2589.223,722.06762,
2586.312,731.55841,
2583.401,739.36407,
2580.491,748.5048,
2577.580,738.8948,
2574.670,745.89373,
2571.759,728.47089,
2568.848,732.28388,
2565.938,746.06546,
2563.027,744.94775,
2560.117,755.12737,
2557.206,772.91559,
2554.296,757.621,
2551.385,769.12298,
2548.474,762.65269,
2545.564,784.11527,
2542.653,776.80117,
2539.743,787.28258,
2536.832,776.75163,
2533.922,785.73308,
2531.011,779.62477,
2528.100,792.20603,
2525.190,803.99016,
2522.279,783.20329,
2519.369,790.78061,
2516.458,782.31197,
2513.548,795.72015,
2510.637,805.52238,
2507.726,788.30995,
2504.816,805.4387,
2501.905,790.96219,
2498.995,811.9195,
2496.084,813.12597,
2493.173,831.63758,
2490.263,822.45919,
2487.352,805.91833,
2484.442,833.29255,
2481.531,848.72068,
2478.621,844.89392,
2475.710,857.72931,
2472.799,840.84807,
2469.889,842.51211,
2466.978,837.875,
2464.068,856.07083,
2461.157,845.14742,
2458.247,850.77197,
2455.336,851.74586,
2452.425,851.63443,
2449.515,875.94983,
2446.604,850.69526,
2443.694,859.94491,
2440.783,887.16554,
2437.872,875.67723,
2434.962,896.34966,
2432.051,899.26397,
2429.141,891.0634,
2426.230,872.78768,
2423.320,907.04679,
2420.409,902.08634,
2417.498,920.07163,
2414.588,922.50997,
2411.677,918.05429,
2408.767,925.91043,
2405.856,934.875,
2402.946,932.82138,
2400.035,926.48063,
2397.124,930.24396,
2394.214,954.6042,
2391.303,965.41632,
2388.393,950.50749,
2385.482,956.17001,
2382.571,961.01391,
2379.661,977.08421,
2376.750,992.24196,
2373.840,967.85326,
2370.929,974.71255,
2368.019,984.10407,
2365.108,989.57134,
2362.197,993.31879,
2359.287,998.84993,
2356.376,987.89966,
2353.466,1001.8441,
2350.555,1010.27,
2347.645,1003.1783,
2344.734,1012.0594,
2341.823,1038.4936,
2338.913,1015.3616,
2336.002,1032.808,
2333.092,1034.4269,
2330.181,1050.5092,
2327.270,1013.4602,
2324.360,1023.0589,
2321.449,1064.1675,
2318.539,1061.768,
2315.628,1070.8238,
2312.718,1064.5094,
2309.807,1068.0799,
2306.896,1068.6074,
2303.986,1071.0114,
2301.075,1061.2793,
2298.165,1068.6254,
2295.254,1087.5734,
2292.344,1090.2941,
2289.433,1101.9059,
2286.522,1096.0135,
2283.612,1080.8048,
2280.701,1111.0319,
2277.791,1097.396,
2274.880,1111.587,
2271.969,1127.9326,
2269.059,1137.7306,
2266.148,1140.1705,
2263.238,1148.2727,
2260.327,1152.2888,
2257.417,1160.9589,
2254.506,1172.0887,
2251.595,1182.4386,
2248.685,1163.0962,
2245.774,1162.8858,
2242.864,1198.486,
2239.953,1192.4198,
2237.043,1202.9539,
2234.132,1205.9062,
2231.221,1209.9293,
2228.311,1203.8273,
2225.400,1213.4661,
2222.490,1235.1747,
2219.579,1245.6617,
2216.669,1257.3631,
2213.758,1254.6567,
2210.847,1276.0563,
2207.937,1305.8571,
2205.026,1333.7636,
2202.116,1340.6128,
2199.205,1351.4242,
2196.294,1390.9169,
2193.384,1408.875,
2190.473,1412.3069,
2187.563,1448.136,
2184.652,1502.4774,
2181.742,1531.2872,
2178.831,1617.3771,
2175.920,1660.9497,
2173.010,1739.2055,
2170.099,1812.6697,
2167.189,1942.2553,
2164.278,2007.7876,
2161.368,2118.0136,
2158.457,2256.2866,
2155.546,2368.0395,
2152.636,2443.6834,
2149.725,2553.4185,
2146.815,2579.608,
2143.904,2701.4661,
2140.993,2685.2294,
2138.083,2709.4403,
2135.172,2696.0849,
2132.262,2648.9692,
2129.351,2617.7508,
2126.441,2549.1467,
2123.530,2401.0107,
2120.619,2310.9765,
2117.709,2202.2526,
2114.798,2104.1938,
2111.888,1982.8652,
2108.977,1861.5703,
2106.067,1771.2718,
2103.156,1709.8832,
2100.245,1641.8367,
2097.335,1575.0949,
2094.424,1534.0717,
2091.514,1514.9931,
2088.603,1480.0455,
2085.692,1493.9679,
2082.782,1491.8068,
2079.871,1488.875,
2076.961,1450.5227,
2074.050,1430.9235,
2071.140,1434.6104,
2068.229,1438.5339,
2065.318,1432.6918,
2062.408,1440.7911,
2059.497,1396.6428,
2056.587,1414.2466,
2053.676,1394.0269,
2050.766,1370.2607,
2047.855,1416.3941,
2044.944,1372.5256,
2042.034,1416.112,
2039.123,1405.9928,
2036.213,1385.3172,
2033.302,1385.3315,
2030.391,1376.5023,
2027.481,1403.8625,
2024.570,1385.3758,
2021.660,1383.6385,
2018.749,1424.1029,
2015.839,1425.436,
2012.928,1410.2072,
2010.017,1444.4863,
2007.107,1409.8955,
2004.196,1387.2678,
2001.286,1390.1259,
1998.375,1395.5709,
1995.465,1389.5821,
1992.554,1386.9985,
1989.643,1386.875,
1986.733,1362.3197,
1983.822,1386.6054,
1980.912,1374.5479,
1978.001,1367.0865,
1975.090,1391.2429,
1972.180,1378.774,
1969.269,1392.0677,
1966.359,1414.4425,
1963.448,1400.3783,
1960.538,1358.734,
1957.627,1350.7666,
1954.716,1374.1856,
1951.806,1356.6202,
1948.895,1370.6199,
1945.985,1366.8325,
1943.074,1356.0706,
1940.164,1347.8077,
1937.253,1366.105,
1934.342,1400.4392,
1931.432,1362.8466,
1928.521,1337.0184,
1925.611,1364.6605,
1922.700,1340.6347,
1919.790,1352.5453,
1916.879,1327.9675,
1913.968,1351.843,
1911.058,1335.5747,
1908.147,1385.8823,
1905.237,1365.1323,
1902.326,1343.3683,
1899.415,1360.3616,
1896.505,1336.9593,
1893.594,1344.5031,
1890.684,1356.228,
1887.773,1332.8151,
1884.863,1345.0253,
1881.952,1354.9925,
1879.041,1356.6575,
1876.131,1355.4319,
1873.220,1343.5431,
1870.310,1379.005,
1867.399,1361.2109,
1864.489,1396.5773,
1861.578,1339.875,
1858.667,1346.9169,
1855.757,1391.0635,
1852.846,1398.5981,
1849.936,1397.6878,
1847.025,1400.1232,
1844.114,1354.348,
1841.204,1388.6617,
1838.293,1413.865,
1835.383,1420.968,
1832.472,1420.0959,
1829.562,1441.8719,
1826.651,1383.7621,
1823.740,1388.0015,
1820.830,1445.8596,
1817.919,1436.0725,
1815.009,1435.1562,
1812.098,1478.9616,
1809.188,1467.9293,
1806.277,1475.6758,
1803.366,1462.8251,
1800.456,1457.7317,
1797.545,1425.2081,
1794.635,1466.714,
1791.724,1469.9331,
1788.813,1510.6555,
1785.903,1468.8691,
1782.992,1512.3653,
