,PL21A3~1,
Wavenumbers [1/cm],Intensity,
2219.579,2008.9007,
2216.669,2011.8702,
2213.758,2038.3142,
2210.847,2060.7415,
2207.937,2057.1193,
2205.026,2094.0972,
2202.116,2099.0215,
2199.205,2118.1868,
2196.294,2157.0409,
2193.384,2179.4275,
2190.473,2171.4372,
2187.563,2255.759,
2184.652,2244.2252,
2181.742,2331.0135,
2178.831,2405.2915,
2175.920,2490.4251,
2173.010,2594.1057,
2170.099,2705.9321,
2167.189,2813.9226,
2164.278,2982.3524,
2161.368,3178.5821,
2158.457,3373.2031,
2155.546,3545.3088,
2152.636,3757.3002,
2149.725,3953.3514,
2146.815,4155.8686,
2143.904,4285.8303,
2140.993,4424.0654,
2138.083,4468.8779,
2135.172,4543.6987,
2132.262,4590.5361,
2129.351,4543.1953,
2126.441,4423.0397,
2123.530,4291.8322,
2120.619,4087.3806,
2117.709,3874.2816,
2114.798,3627.0741,
2111.888,3394.8171,
2108.977,3167.0868,
2106.067,2993.0108,
2103.156,2850.8956,
2100.245,2693.8242,
2097.335,2599.629,
2094.424,2505.9865,
2091.514,2476.9042,
2088.603,2407.3497,
2085.692,2414.9679,
2082.782,2363.3292,
2079.871,2315.2309,
2076.961,2335.1314,
2074.050,2321.7417,
2071.140,2275.2087,
2068.229,2257.1341,
2065.318,2259.7132,
2062.408,2231.9506,
2059.497,2238.2976,
2056.587,2237.3635,
2053.676,2246.1243,
2050.766,2203.6471,
2047.855,2203.4226,
2044.944,2162.7868,
2042.034,2222.534,
2039.123,2211.5518,
2036.213,2186.9506,
2033.302,2195.3315,
2030.391,2189.7226,
2027.481,2212.9113,
2024.570,2204.1755,
2021.660,2246.0368,
2018.749,2245.4951,
2015.839,2233.5883,
2012.928,2207.8414,
2010.017,2191.9771,
2007.107,2240.0619,
2004.196,2237.6845,
2001.286,2226.8538,
1998.375,2215.1329,
1995.465,2198.2893,
1992.554,2168.5811,
1989.643,2212.1814,
1986.733,2169.1057,
1983.822,2184.6682,
1980.912,2150.0634,
1978.001,2163.0698,
1975.090,2171.8597,
1972.180,2172.0825,
1969.269,2156.8175,
1966.359,2139.4965,
1963.448,2161.6346,
1960.538,2151.5873,
1957.627,2180.7574,
1954.716,2142.139,
1951.806,2128.1795,
1948.895,2123.2919,
1945.985,2177.607,
1943.074,2150.0118,
1940.164,2120.4137,
1937.253,2128.5578,
1934.342,2111.8151,
1931.432,2119.3072,
1928.521,2133.7714,
1925.611,2118.5765,
1922.700,2060.4316,
1919.790,2100.2732,
1916.879,2115.3868,
1913.968,2141.843,
1911.058,2145.4035,
1908.147,2150.8823,
1905.237,2123.1837,
1902.326,2077.0602,
1899.415,2082.7103,
1896.505,2026.3148,
1893.594,2062.4056,
1890.684,2117.6918,
1887.773,2115.8843,
1884.863,2105.1666,
1881.952,2142.6572,
1879.041,2140.2322,
1876.131,2104.743,
1873.220,2110.0786,
1870.310,2108.162,
1867.399,2114.763,
1864.489,2152.8625,
1861.578,2126.1004,
1858.667,2112.8361,
1855.757,2137.6686,
1852.846,2148.1417,
1849.936,2151.2244,
1847.025,2160.218,
1844.114,2201.6562,
1841.204,2178.382,
1838.293,2181.3326,
1835.383,2170.806,
1832.472,2170.5272,
1829.562,2208.7615,
1826.651,2229.8154,
1823.740,2216.6757,
1820.830,2227.6232,
1817.919,2202.7431,
1815.009,2239.5429,
1812.098,2234.3081,
1809.188,2269.4563,
1806.277,2243.5168,
1803.366,2283.8417,
