,PLD3A7~1,
Raman shift [1/cm],Intensity,
2173.010,688.75142,
2170.099,704.29068,
2167.189,695.77569,
2164.278,716.03807,
2161.368,711.76796,
2158.457,726.57008,
2155.546,756.91251,
2152.636,763.32181,
2149.725,769.4505,
2146.815,768.69174,
2143.904,791.81832,
2140.993,773.99539,
2138.083,778.10823,
2135.172,793.6334,
2132.262,791.99912,
2129.351,799.17677,
2126.441,771.58607,
2123.530,781.37807,
2120.619,757.42326,
2117.709,737.82387,
2114.798,712.30182,
2111.888,694.03766,
2108.977,679.81705,
2106.067,670.59149,
2103.156,665.22582,
2100.245,667.61496,
2097.335,651.86584,
2094.424,654.5824,
2091.514,648.32922,
2088.603,636.84618,
2085.692,644.39822,
2082.782,644.21135,
2079.871,639.51765,
2076.961,662.94597,
2074.050,651.15833,
2071.140,658.08505,
2068.229,639.89713,
2065.318,646.36626,
2062.408,652.67039,
2059.497,642.4107,
2056.587,658.90373,
2053.676,645.57635,
2050.766,666.46954,
2047.855,640.82435,
2044.944,645.36379,
2042.034,634.89095,
2039.123,652.70581,
2036.213,667.25836,
2033.302,666.92948,
2030.391,664.13335,
2027.481,662.90552,
2024.570,654.88232,
2021.660,669.6198,
2018.749,669.38481,
2015.839,686.33825,
2012.928,673.69379,
2010.017,670.56093,
2007.107,668.04747,
2004.196,687.48212,
2001.286,695.5225,
1998.375,697.66634,
1995.465,689.11875,
1992.554,690.25439,
1989.643,666.48909,
1986.733,671.90921,
1983.822,690.53416,
1980.912,670.17982,
1978.001,691.26879,
1975.090,704.02347,
1972.180,702.69415,
1969.269,698.92672,
1966.359,684.65186,
1963.448,688.58273,
1960.538,683.69839,
1957.627,701.24111,
1954.716,695.85481,
1951.806,698.51921,
1948.895,713.96713,
1945.985,696.08905,
1943.074,683.52516,
1940.164,705.59591,
1937.253,710.58969,
1934.342,741.60789,
1931.432,739.625,
1928.521,720.14313,
1925.611,724.76121,
1922.700,696.59324,
1919.790,704.85024,
1916.879,713.2065,
1913.968,721.61516,
1911.058,713.14453,
1908.147,731.70235,
1905.237,715.60296,
