,PL2D64~1,
Wavenumbers [1/cm],Intensity,
2219.579,2094.7495,
2216.669,2124.5715,
2213.758,2146.0281,
2210.847,2142.1247,
2207.937,2127.8665,
2205.026,2193.3889,
2202.116,2194.5977,
2199.205,2208.7494,
2196.294,2230.616,
2193.384,2255.552,
2190.473,2280.5176,
2187.563,2303.6257,
2184.652,2341.8502,
2181.742,2434.5483,
2178.831,2507.967,
2175.920,2569.3871,
2173.010,2699.458,
2170.099,2826.8899,
2167.189,2967.4185,
2164.278,3117.2437,
2161.368,3311.2068,
2158.457,3529.4677,
2155.546,3734.2214,
2152.636,3937.2922,
2149.725,4121.1509,
2146.815,4265.4624,
2143.904,4481.2471,
2140.993,4613.4257,
2138.083,4688.5485,
2135.172,4740.7943,
2132.262,4723.566,
2129.351,4702.2759,
2126.441,4592.1793,
2123.530,4473.997,
2120.619,4225.4278,
2117.709,4007.0463,
2114.798,3787.4989,
2111.888,3502.943,
2108.977,3277.3277,
2106.067,3114.8774,
2103.156,2964.6021,
2100.245,2765.4862,
2097.335,2729.6519,
2094.424,2622.995,
2091.514,2565.8142,
2088.603,2493.5507,
2085.692,2472.4035,
2082.782,2421.0384,
2079.871,2371.8197,
2076.961,2377.5959,
2074.050,2378.1364,
2071.140,2306.0162,
2068.229,2353.0964,
2065.318,2302.748,
2062.408,2336.7806,
2059.497,2329.8571,
2056.587,2331.8137,
2053.676,2286.2365,
2050.766,2286.4993,
2047.855,2272.8482,
2044.944,2219.4263,
2042.034,2244.1879,
2039.123,2269.6414,
2036.213,2286.5956,
2033.302,2298.1086,
2030.391,2269.0772,
2027.481,2256.1951,
2024.570,2260.1857,
2021.660,2366.8184,
2018.749,2310.8922,
2015.839,2291.1955,
2012.928,2270.396,
2010.017,2294.7986,
2007.107,2291.6383,
2004.196,2279.4047,
2001.286,2279.1254,
1998.375,2275.2372,
1995.465,2243.3955,
1992.554,2246.894,
1989.643,2236.9148,
1986.733,2248.3561,
1983.822,2262.5126,
1980.912,2244.6575,
1978.001,2203.5594,
1975.090,2197.1168,
1972.180,2210.2912,
1969.269,2203.1953,
1966.359,2215.8788,
1963.448,2248.3798,
1960.538,2221.8511,
1957.627,2231.4412,
1954.716,2196.5916,
1951.806,2203.0529,
1948.895,2197.3056,
1945.985,2204.0408,
1943.074,2156.3413,
1940.164,2164.904,
1937.253,2167.0306,
1934.342,2138.3631,
1931.432,2125.9637,
1928.521,2157.0734,
1925.611,2149.4353,
1922.700,2139.7086,
1919.790,2137.7775,
1916.879,2139.3605,
1913.968,2126.516,
1911.058,2177.6021,
1908.147,2130.0723,
1905.237,2168.1837,
1902.326,2122.7637,
1899.415,2095.6158,
1896.505,2029.8854,
1893.594,2038.305,
1890.684,2119.2317,
1887.773,2149.7074,
1884.863,2138.9647,
1881.952,2164.5173,
1879.041,2148.7793,
1876.131,2135.6137,
1873.220,2146.7036,
1870.310,2129.0068,
1867.399,2112.7399,
1864.489,2134.1092,
1861.578,2191.1214,
1858.667,2123.9012,
1855.757,2151.8914,
1852.846,2173.8128,
1849.936,2193.8734,
1847.025,2174.1983,
1844.114,2197.2341,
1841.204,2194.4825,
1838.293,2232.4651,
1835.383,2239.8375,
1832.472,2205.9643,
1829.562,2228.8281,
1826.651,2226.5678,
1823.740,2256.2664,
1820.830,2267.6417,
1817.919,2261.6137,
1815.009,2257.9313,
1812.098,2271.8622,
1809.188,2278.1899,
1806.277,2293.168,
1803.366,2255.3817,
1800.456,2309.4235,
1797.545,2338.2591,
1794.635,2302.1761,
1791.724,2344.131,
1788.813,2348.2817,
1785.903,2283.7617,
1782.992,2220.6757,
1780.082,2057.5488,
1777.171,1905.493,
1774.261,1917.0958,
1771.350,2100.8293,
1768.439,2326.1871,
1765.529,2396.5019,
1762.618,2440.8694,
1759.708,2430.0322,
1756.797,2418.2348,
1753.887,2425.7551,
1750.976,2428.7794,
1748.065,2479.5952,
1745.155,2476.6744,
1742.244,2470.1078,
1739.334,2479.2929,
1736.423,2503.4028,
1733.512,2508.1341,
1730.602,2536.4207,
1727.691,2577.9741,
1724.781,2578.8477,
1721.870,2591.7906,
1718.960,2575.7664,
1716.049,2609.2539,
1713.138,2666.0898,
1710.228,2703.2198,
1707.317,2651.772,
1704.407,2646.2968,
1701.496,2707.5737,
1698.586,2725.5118,
1695.675,2765.7998,
1692.764,2779.8607,
1689.854,2804.4173,
1686.943,2766.849,
1684.033,2857.1654,
1681.122,2914.5484,
1678.211,2913.519,
1675.301,2986.2749,
1672.390,2999.8051,
1669.480,3101.7888,
1666.569,3137.8809,
1663.659,3168.4146,
1660.748,3226.0452,
1657.837,3356.6372,
1654.927,3407.008,
1652.016,3390.3393,
1649.106,3545.161,
1646.195,3574.497,
1643.285,3699.5762,
1640.374,3833.6742,
1637.463,3937.1213,
1634.553,4028.2191,
1631.642,4211.8453,
1628.732,4426.6969,
1625.821,4627.7041,
1622.911,4937.7418,
1620.000,5212.0228,
1617.089,5627.1418,
1614.179,5942.5885,
1611.268,6358.7737,
1608.358,6708.1119,
1605.447,6971.5306,
1602.536,7038.6857,
1599.626,7133.5734,
1596.715,7146.9456,
1593.805,7021.3992,
1590.894,6994.1706,
1587.984,7002.027,
1585.073,6863.1152,
1582.162,6741.6532,
1579.252,6741.3209,
1576.341,6661.3883,
1573.431,6644.4159,
1570.520,6588.1717,
1567.610,6480.3417,
1564.699,6451.6751,
1561.788,6396.8667,
1558.878,6297.7133,
1555.967,6169.3463,
1553.057,6015.6045,
1550.146,5887.9002,
1547.235,5771.1189,
1544.325,5671.4298,
1541.414,5556.1917,
1538.504,5445.8268,
1535.593,5341.2011,
1532.683,5264.3933,
1529.772,5221.0192,
1526.861,5160.1882,
1523.951,5124.791,
1521.040,5100.8249,
1518.130,5054.0657,
1515.219,5001.1403,
1512.309,4971.4414,
1509.398,4883.6544,
1506.487,4785.0912,
1503.577,4734.3817,
1500.666,4729.8745,
1497.756,4647.3975,
1494.845,4570.4583,
1491.934,4497.4843,
1489.024,4492.6718,
1486.113,4411.8322,
