,PL7E40~1,
Raman shift [1/cm],Intensity,
2173.010,769.72761,
2170.099,785.84127,
2167.189,828.65485,
2164.278,871.77701,
2161.368,909.65923,
2158.457,956.47283,
2155.546,1012.0097,
2152.636,1092.7259,
2149.725,1135.5159,
2146.815,1153.8745,
2143.904,1195.3787,
2140.993,1208.0998,
2138.083,1221.834,
2135.172,1220.9044,
2132.262,1228.6408,
2129.351,1230.0888,
2126.441,1162.1127,
2123.530,1149.6567,
2120.619,1078.8065,
2117.709,1020.0364,
2114.798,974.00176,
2111.888,924.21369,
2108.977,871.03723,
2106.067,819.73125,
2103.156,796.05731,
2100.245,780.35053,
2097.335,736.91951,
2094.424,708.68329,
2091.514,712.72169,
2088.603,700.12152,
2085.692,681.73202,
2082.782,666.78865,
2079.871,669.01794,
2076.961,684.34175,
2074.050,680.69621,
2071.140,666.57047,
2068.229,661.01433,
2065.318,668.47476,
2062.408,682.92795,
2059.497,673.96428,
2056.587,656.18918,
2053.676,665.89072,
2050.766,668.45198,
2047.855,624.4572,
2044.944,661.90705,
2042.034,658.97607,
2039.123,632.25379,
2036.213,625.68169,
2033.302,641.61399,
2030.391,646.7988,
2027.481,649.09448,
2024.570,629.30413,
2021.660,637.60632,
2018.749,638.33701,
2015.839,636.70243,
2012.928,632.375,
2010.017,640.81583,
2007.107,645.39554,
2004.196,650.9227,
2001.286,646.18424,
1998.375,616.54527,
1995.465,639.69285,
1992.554,644.74561,
1989.643,610.58473,
1986.733,618.05395,
1983.822,614.49095,
1980.912,623.95888,
1978.001,620.84069,
1975.090,631.00705,
1972.180,615.47873,
1969.269,615.77156,
1966.359,637.18605,
1963.448,609.3882,
1960.538,621.34331,
1957.627,595.2759,
1954.716,594.28882,
1951.806,609.88466,
1948.895,584.81827,
1945.985,605.51552,
1943.074,591.00974,
1940.164,583.79811,
1937.253,579.05776,
1934.342,571.89639,
1931.432,562.82926,
1928.521,542.03648,
1925.611,544.74503,
1922.700,571.32665,
1919.790,555.84345,
1916.879,548.654,
1913.968,521.4082,
1911.058,545.11073,
1908.147,539.64798,
1905.237,537.50741,
1902.326,577.80314,
1899.415,576.54937,
1896.505,536.75431,
1893.594,527.09153,
1890.684,540.11362,
1887.773,531.21986,
1884.863,546.95814,
1881.952,578.69478,
1879.041,560.38486,
1876.131,544.85997,
1873.220,539.88826,
1870.310,564.43774,
1867.399,535.8708,
1864.489,542.49183,
1861.578,547.80338,
1858.667,568.881,
1855.757,551.38574,
1852.846,546.91344,
1849.936,553.9576,
1847.025,532.8397,
1844.114,562.99619,
1841.204,553.94144,
1838.293,541.36668,
1835.383,570.42098,
1832.472,593.93326,
1829.562,566.3513,
1826.651,578.77743,
1823.740,579.27153,
1820.830,599.83979,
1817.919,552.81177,
1815.009,544.65617,
1812.098,563.32774,
1809.188,589.76254,
1806.277,607.99876,
1803.366,584.67445,
1800.456,602.10021,
1797.545,595.8077,
1794.635,591.59818,
1791.724,658.13241,
1788.813,615.5804,
1785.903,632.375,
1782.992,620.57168,
1780.082,589.58005,
1777.171,599.04524,
1774.261,621.86519,
1771.350,637.97925,
1768.439,644.61005,
1765.529,652.10184,
1762.618,648.89187,
1759.708,658.59249,
1756.797,661.38258,
1753.887,649.16946,
1750.976,637.88875,
1748.065,645.66378,
1745.155,634.85255,
1742.244,648.21192,
1739.334,642.57265,
1736.423,647.79928,
1733.512,641.00505,
1730.602,678.26395,
1727.691,673.18349,
1724.781,687.03941,
1721.870,710.88463,
1718.960,698.10813,
1716.049,701.0868,
1713.138,710.92496,
1710.228,676.69282,
1707.317,687.29729,
1704.407,728.90448,
1701.496,726.08262,
1698.586,745.70266,
1695.675,694.97532,
1692.764,769.00619,
1689.854,920.70579,
1686.943,848.1405,
1684.033,748.83379,
1681.122,738.51094,
1678.211,756.20369,
1675.301,791.26708,
1672.390,769.6322,
1669.480,854.89368,
1666.569,795.78127,
1663.659,828.24062,
1660.748,880.97273,
