,PLB099~1,
Raman shift [1/cm],Intensity,
2181.742,1379.3988,
2178.831,1426.3858,
2175.920,1480.9429,
2173.010,1534.2781,
2170.099,1585.5208,
2167.189,1637.6273,
2164.278,1708.8858,
2161.368,1768.2619,
2158.457,1903.4102,
2155.546,1961.6078,
2152.636,2038.7206,
2149.725,2113.8833,
2146.815,2150.2574,
2143.904,2141.2625,
2140.993,2230.2626,
2138.083,2238.7146,
2135.172,2237.3517,
2132.262,2200.1109,
2129.351,2173.7352,
2126.441,2114.1151,
2123.530,2099.5985,
2120.619,1956.5932,
2117.709,1882.2937,
2114.798,1792.6593,
2111.888,1699.0519,
2108.977,1601.1779,
2106.067,1514.5218,
2103.156,1487.4468,
2100.245,1455.0899,
2097.335,1394.9103,
2094.424,1358.3806,
2091.514,1330.1142,
2088.603,1323.5167,
2085.692,1346.7643,
2082.782,1321.6111,
2079.871,1319.6256,
2076.961,1299.6749,
2074.050,1303.2159,
2071.140,1251.1131,
2068.229,1282.0234,
2065.318,1291.6802,
2062.408,1272.3368,
2059.497,1281.5715,
2056.587,1289.3228,
2053.676,1247.744,
2050.766,1278.8148,
2047.855,1243.0965,
2044.944,1243.9872,
2042.034,1263.2349,
2039.123,1283.0644,
2036.213,1267.8383,
2033.302,1257.2119,
2030.391,1257.4809,
2027.481,1267.5395,
2024.570,1276.182,
2021.660,1282.7702,
2018.749,1279.4792,
2015.839,1265.9498,
2012.928,1283.2055,
2010.017,1287.9165,
2007.107,1294.9138,
2004.196,1262.6726,
2001.286,1267.0861,
1998.375,1266.8159,
1995.465,1280.5768,
1992.554,1271.2251,
1989.643,1270.0904,
1986.733,1248.8206,
1983.822,1257.7395,
1980.912,1244.4127,
1978.001,1275.0823,
1975.090,1271.7876,
1972.180,1243.2633,
1969.269,1279.3177,
1966.359,1282.8814,
1963.448,1258.6283,
1960.538,1254.3135,
1957.627,1278.1993,
1954.716,1276.2686,
1951.806,1265.516,
1948.895,1294.548,
1945.985,1296.8276,
1943.074,1240.5641,
1940.164,1235.2115,
1937.253,1246.2029,
1934.342,1274.1592,
1931.432,1261.961,
1928.521,1235.1889,
1925.611,1245.1443,
1922.700,1218.0932,
1919.790,1235.8241,
1916.879,1226.1712,
1913.968,1204.1508,
1911.058,1201.6926,
1908.147,1253.5863,
1905.237,1261.9338,
1902.326,1267.4094,
1899.415,1264.6323,
1896.505,1206.3901,
1893.594,1237.4757,
1890.684,1257.4453,
1887.773,1272.34,
1884.863,1269.2662,
1881.952,1261.915,
1879.041,1242.6998,
1876.131,1261.3707,
1873.220,1236.616,
1870.310,1251.6182,
1867.399,1251.157,
1864.489,1277.5547,
1861.578,1216.46,
1858.667,1242.7926,
1855.757,1269.5057,
1852.846,1279.0635,
1849.936,1258.8447,
1847.025,1281.3659,
1844.114,1258.9415,
1841.204,1271.6949,
1838.293,1279.13,
1835.383,1278.311,
1832.472,1296.1372,
1829.562,1326.9279,
1826.651,1317.6117,
1823.740,1327.0522,
1820.830,1345.6999,
1817.919,1335.2806,
1815.009,1329.5563,
1812.098,1355.1565,
1809.188,1344.9932,
1806.277,1330.4348,
1803.366,1389.6259,
1800.456,1358.5312,
1797.545,1335.9191,
1794.635,1379.6419,
1791.724,1364.0472,
1788.813,1398.7181,
1785.903,1382.7529,
1782.992,1388.2487,
1780.082,1353.7275,
1777.171,1370.133,
1774.261,1395.7449,
1771.350,1398.4145,
1768.439,1412.4226,
1765.529,1431.038,
1762.618,1445.4962,
1759.708,1424.4184,
1756.797,1424.8068,
1753.887,1446.6644,
1750.976,1423.5144,
1748.065,1414.8715,
1745.155,1431.7895,
1742.244,1426.193,
1739.334,1477.9556,
1736.423,1482.9288,
1733.512,1506.1414,
1730.602,1515.8809,
1727.691,1499.0041,
1724.781,1506.7102,
1721.870,1498.8583,
1718.960,1538.0588,
1716.049,1515.244,
1713.138,1551.8748,
1710.228,1553.0329,
1707.317,1564.509,
1704.407,1576.9058,
1701.496,1581.7712,
1698.586,1605.2246,
1695.675,1565.9538,
1692.764,1583.0062,
1689.854,1700.8416,
1686.943,1632.6881,
1684.033,1690.5852,
1681.122,1688.193,
1678.211,1740.6206,
1675.301,1743.1188,
1672.390,1741.3224,
1669.480,1807.5421,
1666.569,1859.7344,
1663.659,1907.811,
1660.748,1948.4116,
1657.837,1912.956,
1654.927,1950.0313,
1652.016,1948.5063,
1649.106,2046.1814,
1646.195,2127.9811,
1643.285,2123.1504,
1640.374,2168.5675,
1637.463,2237.2239,
1634.553,2297.923,
1631.642,2352.1782,
1628.732,2448.5753,
1625.821,2524.2205,
1622.911,2669.3023,
1620.000,2804.4116,
1617.089,2949.2195,
1614.179,3136.7668,
1611.268,3271.1432,
1608.358,3406.7102,
1605.447,3545.1261,
1602.536,3609.9701,
1599.626,3677.6004,
1596.715,3694.0162,
1593.805,3613.7408,
1590.894,3582.1082,
1587.984,3576.5267,
1585.073,3508.0597,
1582.162,3540.374,
1579.252,3468.9315,
1576.341,3397.4538,
1573.431,3422.5005,
1570.520,3436.9469,
1567.610,3400.8695,
1564.699,3344.6232,
1561.788,3308.4069,
1558.878,3252.3316,
1555.967,3171.9865,
1553.057,3109.5908,
1550.146,3103.4159,
1547.235,3033.2019,
1544.325,2962.7246,
1541.414,2938.7838,
1538.504,2916.7937,
1535.593,2901.7166,
1532.683,2888.9371,
1529.772,2850.9567,
1526.861,2787.3643,
1523.951,2752.834,
1521.040,2740.8302,
1518.130,2672.1328,
1515.219,2625.0046,
1512.309,2635.9133,
1509.398,2622.4805,
1506.487,2617.5897,
1503.577,2606.272,
1500.666,2599.9618,
1497.756,2542.4385,
1494.845,2532.8843,
1491.934,2503.2321,
1489.024,2535.9568,
1486.113,2459.2389,
1483.203,2419.3746,
1480.292,2427.8527,
1477.382,2389.7126,
1474.471,2330.2454,
1471.560,2300.6117,
1468.650,2298.5414,
1465.739,2274.5054,
1462.829,2266.69,
1459.918,2273.8875,
1457.008,2294.9099,
1454.097,2290.4793,
1451.186,2275.7691,
1448.276,2306.8838,
1445.365,2299.9765,
1442.455,2256.7238,
1439.544,2312.2539,
1436.633,2277.4259,
1433.723,2271.1341,
1430.812,2246.5786,
1427.902,2202.9142,
1424.991,2236.0859,
1422.081,2174.7366,
1419.170,2194.1828,
1416.259,2192.4546,
1413.349,2139.0134,
1410.438,2132.6217,
1407.528,2140.3437,
1404.617,2146.2349,
1401.707,2150.1849,
1398.796,2153.9572,
1395.885,2174.9007,
1392.975,2174.2698,
1390.064,2122.4161,
1387.154,2106.6854,
1384.243,2071.2591,
1381.332,1979.7569,
1378.422,2055.7911,
1375.511,2185.0669,
1372.601,2259.0075,
1369.690,2367.9917,
1366.780,2464.3285,
1363.869,2541.0637,
1360.958,2554.2024,
1358.048,2552.4982,
1355.137,2628.7721,
1352.227,2686.0596,
1349.316,2727.7834,
1346.406,2831.2837,
1343.495,2878.1041,
1340.584,2902.3746,
1337.674,2938.6291,
1334.763,3003.5597,
1331.853,3067.5386,
1328.942,3073.6829,
1326.032,3070.8625,
1323.121,3154.5949,
1320.210,3167.477,
1317.300,3198.6705,
1314.389,3220.986,
1311.479,3231.4161,
1308.568,3284.889,
1305.657,3369.2873,
1302.747,3424.8571,
1299.836,3417.5699,
