,PLCB9D~1,
Wavenumbers [1/cm],Intensity,
2175.920,277.00273,
2173.010,283.20068,
2170.099,295.16568,
2167.189,281.5574,
2164.278,291.11407,
2161.368,299.64296,
2158.457,300.04176,
2155.546,326.48369,
2152.636,311.75009,
2149.725,314.9765,
2146.815,313.66684,
2143.904,333.80111,
2140.993,333.24078,
2138.083,328.70058,
2135.172,349.91183,
2132.262,333.58715,
2129.351,342.42084,
2126.441,357.56798,
2123.530,351.56734,
2120.619,354.74782,
2117.709,331.96256,
2114.798,314.94614,
2111.888,312.5,
2108.977,316.31457,
2106.067,290.44002,
2103.156,310.53456,
2100.245,304.49624,
2097.335,297.65707,
2094.424,291.73935,
2091.514,288.20964,
2088.603,297.58749,
2085.692,319.45537,
2082.782,310.19083,
2079.871,310.42882,
2076.961,290.92071,
2074.050,301.4697,
2071.140,316.79914,
2068.229,301.30989,
2065.318,314.17925,
2062.408,315.05295,
2059.497,319.91668,
2056.587,326.91858,
2053.676,327.5,
2050.766,304.42452,
2047.855,299.21198,
2044.944,320.3077,
2042.034,301.86997,
2039.123,316.64141,
2036.213,315.9066,
2033.302,319.78227,
2030.391,326.26304,
2027.481,340.32907,
2024.570,332.32897,
2021.660,340.79045,
2018.749,363.7022,
2015.839,344.30709,
2012.928,344.44295,
2010.017,331.72042,
2007.107,335.89438,
2004.196,331.54763,
2001.286,342.56359,
1998.375,335.27854,
1995.465,326.35357,
1992.554,325.5,
1989.643,348.67047,
1986.733,342.69737,
1983.822,335.8353,
1980.912,364.78586,
1978.001,323.41467,
1975.090,344.71832,
1972.180,327.84576,
1969.269,334.48282,
1966.359,341.66209,
1963.448,343.61361,
1960.538,342.25396,
1957.627,325.45045,
1954.716,328.35637,
1951.806,349.5,
1948.895,344.39886,
1945.985,315.62745,
1943.074,337.53693,
1940.164,328.58645,
1937.253,332.26064,
1934.342,325.82461,
1931.432,322.24133,
1928.521,342.94214,
1925.611,335.96765,
1922.700,338.62293,
1919.790,349.11262,
1916.879,343.058,
1913.968,318.52951,
1911.058,373.12161,
1908.147,335.78026,
1905.237,317.05886,
1902.326,334.48964,
1899.415,301.80119,
1896.505,270.93985,
1893.594,288.40551,
1890.684,296.01634,
1887.773,310.93929,
1884.863,332.34282,
1881.952,371.97967,
1879.041,341.86707,
1876.131,343.78758,
1873.220,324.83619,
1870.310,345.63449,
1867.399,385.87625,
1864.489,356.26634,
1861.578,350.4066,
1858.667,347.73953,
1855.757,334.31146,
1852.846,327.27947,
1849.936,339.96547,
1847.025,326.67762,
1844.114,329.14473,
1841.204,354.93356,
1838.293,361.01912,
1835.383,344.03501,
1832.472,369.15217,
1829.562,369.69713,
1826.651,361.91889,
1823.740,367.86782,
1820.830,354.06679,
1817.919,364.15878,
1815.009,354.65649,
1812.098,365.96456,
1809.188,396.57745,
1806.277,359.38527,
1803.366,370.26709,
1800.456,357.59914,
1797.545,375.67025,
1794.635,369.04802,
1791.724,382.96597,
1788.813,407.30874,
1785.903,416.20943,
1782.992,353.81743,
1780.082,316.67502,
1777.171,221.81958,
1774.261,189.48038,
1771.350,269.99002,
1768.439,368.46108,
1765.529,412.59262,
1762.618,429.78064,
1759.708,420.15201,
1756.797,407.18939,
1753.887,415.70554,
1750.976,432.88285,
1748.065,451.94547,
1745.155,452.75165,
1742.244,429.6359,
1739.334,418.13059,
1736.423,425.27195,
1733.512,449.60169,
1730.602,481.43654,
1727.691,459.56124,
1724.781,480.38991,
1721.870,475.62373,
1718.960,501.27812,
1716.049,465.55126,
1713.138,475.45491,
1710.228,483.72178,
1707.317,487.15371,
1704.407,467.73526,
1701.496,509.25429,
1698.586,499.64023,
1695.675,518.14988,
1692.764,478.79096,
1689.854,458.32282,
1686.943,479.72431,
1684.033,522.43204,
1681.122,536.2791,
1678.211,504.80456,
1675.301,515.46608,
1672.390,524.39831,
1669.480,490.62835,
1666.569,507.04592,
1663.659,549.5,
1660.748,549.65425,
1657.837,557.78431,
1654.927,571.0623,
1652.016,593.45514,
1649.106,552.16099,
1646.195,579.60291,
1643.285,624.24935,
1640.374,613.20732,
1637.463,599.82426,
1634.553,617.97289,
1631.642,649.85831,
1628.732,682.54148,
1625.821,689.54383,
1622.911,756.12245,
1620.000,753.5378,
1617.089,785.84328,
1614.179,787.4718,
1611.268,836.60393,
1608.358,838.5,
1605.447,900.72908,
1602.536,890.52169,
1599.626,916.17805,
1596.715,932.11402,
1593.805,910.24737,
1590.894,906.61933,
1587.984,961.92989,
1585.073,897.32976,
1582.162,907.04192,
1579.252,892.67907,
1576.341,868.47342,
1573.431,872.11492,
1570.520,843.92492,
1567.610,870.26526,
1564.699,855.6739,
1561.788,839.16203,
1558.878,834.45171,
1555.967,805.09142,
1553.057,805.17227,
1550.146,821.48907,
1547.235,794.03204,
1544.325,784.50723,
1541.414,795.58011,
1538.504,823.21773,
1535.593,823.18045,
1532.683,779.50241,
1529.772,779.33719,
1526.861,807.51164,
1523.951,815.71809,
1521.040,834.09198,
1518.130,860.28967,
1515.219,859.58134,
1512.309,820.93246,
1509.398,835.76629,
1506.487,808.04328,
1503.577,806.38531,
1500.666,789.55127,
1497.756,845.95768,
1494.845,849.57895,
1491.934,803.31102,
1489.024,745.56145,
1486.113,790.78799,
1483.203,769.63131,
1480.292,744.4387,
1477.382,821.32482,
1474.471,779.87706,
1471.560,744.08401,
1468.650,725.88435,
1465.739,759.5699,
1462.829,743.9005,
1459.918,753.30693,
1457.008,755.09966,
1454.097,743.36474,
1451.186,765.73791,
1448.276,770.44134,
1445.365,737.45972,
1442.455,684.95988,
1439.544,696.21119,
1436.633,703.41163,
1433.723,674.70699,
1430.812,771.5447,
1427.902,734.97354,
1424.991,754.87656,
1422.081,705.95624,
1419.170,698.04376,
1416.259,721.80189,
1413.349,713.90566,
1410.438,725.59493,
1407.528,720.26891,
1404.617,732.87523,
1401.707,718.41315,
1398.796,688.30771,
1395.885,698.62218,
1392.975,693.87385,
1390.064,655.56668,
1387.154,686.36929,
1384.243,674.56564,
1381.332,590.60264,
1378.422,606.34068,
1375.511,583.85794,
1372.601,620.36281,
1369.690,676.64779,
1366.780,689.46018,
1363.869,713.74726,
1360.958,735.04411,
1358.048,753.36624,
1355.137,757.82021,
1352.227,764.56542,
1349.316,786.60955,
1346.406,797.0717,
1343.495,789.23695,
1340.584,804.42829,
1337.674,824.75122,
1334.763,844.24099,
1331.853,863.71284,
1328.942,884.06821,
1326.032,867.74073,
1323.121,845.71685,
1320.210,886.11445,
1317.300,908.90977,
1314.389,923.40307,
1311.479,943.61646,
1308.568,947.18971,
1305.657,924.04734,
1302.747,910.98692,
1299.836,1009.6031,
1296.926,969.38008,
1294.015,1009.8303,
1291.105,970.11454,
1288.194,1048.368,
1285.283,1028.6878,
