,PL3A49~1,
Wavenumbers [1/cm],Intensity,
2173.010,505.10261,
2170.099,503.88492,
2167.189,503.73565,
2164.278,504.09774,
2161.368,520.89248,
2158.457,530.02088,
2155.546,546.32503,
2152.636,534.75538,
2149.725,563.86406,
2146.815,568.85011,
2143.904,558.85408,
2140.993,566.42199,
2138.083,569.69219,
2135.172,596.68283,
2132.262,587.85123,
2129.351,584.54659,
2126.441,582.33251,
2123.530,596.66021,
2120.619,585.17217,
2117.709,562.22262,
2114.798,549.87295,
2111.888,535.31239,
2108.977,542.20033,
2106.067,520.48191,
2103.156,518.90885,
2100.245,482.75376,
2097.335,491.76047,
2094.424,508.48431,
2091.514,487.45964,
2088.603,478.8007,
2085.692,493.70901,
2082.782,487.78625,
2079.871,507.85851,
2076.961,481.01023,
2074.050,518.36212,
2071.140,508.49731,
2068.229,497.29427,
2065.318,503.72576,
2062.408,518.15166,
2059.497,517.5357,
2056.587,512.75,
2053.676,520.91617,
2050.766,524.59604,
2047.855,468.03479,
2044.944,482.93749,
2042.034,512.01005,
2039.123,498.45034,
2036.213,502.19222,
2033.302,520.14104,
2030.391,521.22494,
2027.481,507.79884,
2024.570,491.42181,
2021.660,490.63174,
2018.749,525.06617,
2015.839,506.94291,
2012.928,503.1292,
2010.017,508.07465,
2007.107,504.56308,
2004.196,505.40478,
2001.286,523.83478,
1998.375,528.96653,
1995.465,501.79197,
1992.554,478.97367,
1989.643,491.23154,
1986.733,465.01754,
1983.822,473.13552,
1980.912,493.29452,
1978.001,488.61456,
1975.090,481.75,
1972.180,488.50797,
1969.269,484.99422,
1966.359,473.50671,
1963.448,500.2401,
1960.538,481.53565,
1957.627,467.61687,
1954.716,472.57764,
1951.806,456.94227,
1948.895,474.13875,
1945.985,445.96242,
1943.074,472.00852,
1940.164,443.15399,
1937.253,444.41978,
1934.342,436.29706,
1931.432,460.22319,
1928.521,463.35967,
1925.611,460.63309,
1922.700,450.66989,
1919.790,423.63467,
1916.879,462.54152,
1913.968,432.79058,
1911.058,482.03227,
1908.147,457.61715,
1905.237,451.19114,
1902.326,426.64037,
1899.415,422.0622,
1896.505,405.56302,
1893.594,386.65248,
1890.684,412.14207,
1887.773,418.55186,
1884.863,426.23064,
1881.952,455.06978,
1879.041,457.1851,
1876.131,445.79183,
1873.220,441.13495,
1870.310,453.74549,
1867.399,461.63804,
1864.489,422.17838,
1861.578,436.29918,
1858.667,464.29495,
1855.757,430.93496,
1852.846,447.75,
1849.936,439.28555,
1847.025,421.16119,
1844.114,443.86772,
1841.204,470.59266,
1838.293,460.26081,
1835.383,454.843,
1832.472,472.35522,
1829.562,476.08437,
1826.651,460.12578,
1823.740,475.86115,
1820.830,462.14351,
1817.919,484.25318,
1815.009,476.19402,
1812.098,453.10434,
1809.188,497.64912,
1806.277,497.8164,
1803.366,508.1511,
1800.456,474.72846,
1797.545,510.2251,
1794.635,522.16996,
1791.724,503.26458,
1788.813,499.35463,
1785.903,509.99809,
1782.992,496.94523,
1780.082,484.80834,
1777.171,421.72856,
1774.261,364.01545,
1771.350,428.86951,
1768.439,497.26463,
1765.529,538.93242,
1762.618,539.36812,
1759.708,517.35851,
1756.797,525.56818,
1753.887,543.80102,
1750.976,549.00523,
1748.065,546.14785,
1745.155,575.24008,
1742.244,560.98103,
1739.334,537.58765,
1736.423,547.46774,
1733.512,555.66058,
1730.602,592.65481,
1727.691,602.44702,
1724.781,584.44532,
1721.870,570.0928,
1718.960,625.30625,
1716.049,586.57254,
1713.138,615.22481,
1710.228,623.49059,
1707.317,565.36829,
1704.407,611.65383,
1701.496,631.42322,
1698.586,639.21789,
1695.675,663.14272,
1692.764,625.93441,
1689.854,617.05315,
