,PL12CC~1,
Wavenumbers [1/cm],Intensity,
2420.409,194.69244,
2417.498,191.2781,
2414.588,189.9601,
2411.677,162.53989,
2408.767,186.95866,
2405.856,190.10231,
2402.946,200.02368,
2400.035,190.30751,
2397.124,199.5,
2394.214,203.3928,
2391.303,206.14092,
2388.393,186.56973,
2385.482,172.89656,
2382.571,163.79064,
2379.661,173.80245,
2376.750,172.91865,
2373.840,196.9718,
2370.929,192.59747,
2368.019,196.19826,
2365.108,205.52356,
2362.197,194.13832,
2359.287,206.86156,
2356.376,241.44717,
2353.466,220.74319,
2350.555,202.78476,
2347.645,199.60463,
2344.734,210.01614,
2341.823,217.4005,
2338.913,216.30296,
2336.002,212.6243,
2333.092,212.91412,
2330.181,212.08053,
2327.270,212.72002,
2324.360,202.26411,
2321.449,225.85374,
2318.539,223.9893,
2315.628,224.89488,
2312.718,230.79956,
2309.807,223.25145,
2306.896,227.95696,
2303.986,216.72083,
2301.075,226.5851,
2298.165,225.30763,
2295.254,214.71543,
2292.344,238.96882,
2289.433,241.37636,
2286.522,224.90166,
2283.612,238.1199,
2280.701,240.96188,
2277.791,233.70037,
2274.880,234.00608,
2271.969,222.14198,
2269.059,240.11309,
2266.148,228.80217,
2263.238,238.59265,
2260.327,231.0518,
2257.417,232.33223,
2254.506,227.46873,
2251.595,245.50366,
2248.685,236.60771,
2245.774,240.80758,
2242.864,243.66706,
2239.953,260.5,
2237.043,259.72072,
2234.132,253.54418,
2231.221,248.7894,
2228.311,255.45875,
2225.400,260.55629,
2222.490,263.05702,
2219.579,265.8419,
2216.669,275.95469,
2213.758,272.45423,
2210.847,258.2456,
2207.937,270.88923,
2205.026,278.61108,
2202.116,279.76221,
2199.205,275.13788,
2196.294,268.624,
2193.384,269.5,
2190.473,265.21009,
2187.563,320.35016,
2184.652,290.55428,
2181.742,296.79549,
2178.831,299.69845,
2175.920,293.75683,
2173.010,300.55102,
2170.099,299.43403,
2167.189,306.69374,
2164.278,334.96734,
2161.368,339.78616,
2158.457,330.5,
2155.546,345.07503,
2152.636,346.0479,
2149.725,349.82214,
2146.815,350.53337,
2143.904,360.89406,
2140.993,353.25124,
2138.083,376.22948,
2135.172,388.40764,
2132.262,386.98239,
2129.351,377.23447,
2126.441,372.08251,
2123.530,373.79182,
2120.619,393.85804,
2117.709,354.01731,
2114.798,336.44994,
2111.888,332.59982,
2108.977,335.22848,
2106.067,313.26542,
2103.156,338.17406,
2100.245,330.48996,
2097.335,313.89791,
2094.424,307.5852,
2091.514,300.78494,
2088.603,314.68888,
2085.692,316.72313,
2082.782,304.37953,
2079.871,316.64352,
2076.961,332.59591,
2074.050,320.5,
2071.140,322.43088,
2068.229,325.15236,
2065.318,313.15501,
2062.408,337.31845,
2059.497,341.08332,
2056.587,331.95355,
2053.676,341.11602,
2050.766,349.03812,
2047.855,339.30388,
2044.944,300.76121,
2042.034,322.37293,
2039.123,344.15993,
2036.213,334.21329,
2033.302,340.97798,
2030.391,326.87369,
2027.481,333.56076,
2024.570,343.18567,
2021.660,351.96784,
2018.749,359.93014,
2015.839,343.75131,
2012.928,332.95973,
2010.017,331.25353,
2007.107,331.61777,
2004.196,330.23806,
2001.286,350.3162,
1998.375,350.31987,
1995.465,324.19464,
1992.554,330.01756,
1989.643,333.43087,
1986.733,323.87456,
1983.822,335.57829,
1980.912,356.70713,
1978.001,318.79684,
1975.090,319.25879,
1972.180,321.50135,
1969.269,316.1236,
1966.359,322.85134,
1963.448,356.10371,
1960.538,352.26981,
1957.627,322.64239,
1954.716,336.98292,
1951.806,345.15869,
1948.895,322.68821,
1945.985,346.74673,
1943.074,346.80641,
1940.164,324.14422,
1937.253,315.32191,
1934.342,314.08128,
1931.432,329.27287,
1928.521,332.20121,
1925.611,343.03235,
1922.700,359.37154,
1919.790,327.18826,
1916.879,332.66301,
1913.968,326.50861,
1911.058,343.83033,
1908.147,346.24159,
1905.237,322.36759,
1902.326,299.47627,
1899.415,325.04998,
1896.505,291.62644,
1893.594,291.5854,
1890.684,304.04901,
1887.773,319.36172,
