,PL2AF3~1,
Wavenumbers [1/cm],Intensity,
691.525,1211.8068,
688.615,1211.7813,
685.704,1224.2473,
682.794,1245.4095,
679.883,1273.4256,
676.973,1266.2133,
674.062,1259.6453,
671.151,1251.49,
668.241,1254.0417,
665.330,1282.5021,
662.420,1256.1439,
659.509,1245.0356,
656.598,1231.364,
653.688,1244.895,
650.777,1335.1019,
647.867,1315.9901,
644.956,1312.9883,
642.046,1272.7048,
639.135,1214.75,
636.224,1214.9688,
633.314,1258.6354,
630.403,1273.2973,
627.493,1280.3589,
624.582,1282.2763,
621.672,1257.7245,
618.761,1273.4687,
615.850,1299.6875,
612.940,1327.3376,
610.029,1346.4348,
607.119,1338.5385,
604.208,1310.7695,
601.297,1324.6759,
598.387,1339.1446,
595.476,1310.5216,
592.566,1286.9096,
589.655,1324.8629,
586.745,1343.8443,
583.834,1334.3583,
580.923,1319.058,
578.013,1370.0657,
575.102,1358.5121,
572.192,1344.752,
569.281,1350.3756,
566.371,1331.5926,
563.460,1367.8453,
560.549,1368.6444,
557.639,1356.5099,
554.728,1366.6515,
551.818,1365.0908,
548.907,1351.3429,
545.996,1345.0827,
543.086,1341.3684,
540.175,1307.108,
537.265,1319.2356,
534.354,1330.7703,
531.444,1346.503,
528.533,1370.536,
525.622,1353.4652,
522.712,1368.5594,
519.801,1341.7982,
516.891,1286.7318,
513.980,1326.2208,
511.070,1341.0196,
508.159,1345.2724,
505.248,1356.0163,
502.338,1389.14,
499.427,1368.3006,
496.517,1391.5985,
493.606,1397.5984,
490.695,1364.6802,
487.785,1356.9822,
484.874,1383.5376,
481.964,1364.6972,
479.053,1316.3823,
476.143,1314.8464,
473.232,1335.6127,
470.321,1345.2097,
467.411,1360.9326,
464.500,1401.5864,
461.590,1355.642,
458.679,1359.8091,
455.769,1356.1064,
452.858,1326.2602,
449.947,1408.0009,
447.037,1393.1985,
444.126,1385.3197,
441.216,1401.4585,
438.305,1370.9812,
435.395,1373.3064,
432.484,1358.4129,
429.573,1333.9925,
