,PL2AF3~1,
Wavenumbers [1/cm],Intensity,
2175.920,257.91576,
2173.010,265.27551,
2170.099,259.08432,
2167.189,257.84328,
2164.278,269.13593,
2161.368,262.6068,
2158.457,273.56264,
2155.546,282.67405,
2152.636,287.14361,
2149.725,294.40771,
2146.815,310.24947,
2143.904,312.55668,
2140.993,322.23156,
2138.083,304.3974,
2135.172,319.17863,
2132.262,312.72887,
2129.351,333.95708,
2126.441,313.71107,
2123.530,308.0755,
2120.619,331.79608,
2117.709,301.80475,
2114.798,295.42682,
2111.888,283.31239,
2108.977,287.65729,
2106.067,268.2738,
2103.156,282.86604,
2100.245,282.74247,
2097.335,269.66623,
2094.424,262.7074,
2091.514,274.68825,
2088.603,285.05417,
2085.692,275.20355,
2082.782,267.09542,
2079.871,268.03588,
2076.961,306.16688,
2074.050,274.89545,
2071.140,279.68088,
2068.229,282.67449,
2065.318,272.93601,
2062.408,287.75,
2059.497,294.36311,
2056.587,298.04071,
2053.676,277.33458,
2050.766,305.05568,
2047.855,295.29433,
2044.944,280.14904,
2042.034,286.77896,
2039.123,301.7904,
2036.213,300.44331,
2033.302,305.16287,
2030.391,294.14039,
2027.481,301.34739,
2024.570,323.76386,
2021.660,281.5882,
2018.749,310.59804,
2015.839,305.67388,
2012.928,296.22147,
2010.017,289.04859,
2007.107,288.40046,
2004.196,292.96432,
2001.286,317.46022,
1998.375,306.17814,
1995.465,308.54911,
1992.554,283.70318,
1989.643,325.1255,
1986.733,288.26842,
1983.822,284.26403,
1980.912,310.83904,
1978.001,308.37709,
1975.090,308.55458,
1972.180,302.40559,
1969.269,298.31609,
1966.359,303.93926,
1963.448,317.70773,
1960.538,333.11114,
1957.627,289.38464,
1954.716,324.54347,
1951.806,311.3029,
1948.895,303.51517,
1945.985,308.75,
1943.074,303.14123,
1940.164,294.79821,
1937.253,305.75,
1934.342,297.68155,
1931.432,309.95505,
1928.521,316.30786,
1925.611,295.89302,
1922.700,318.24171,
1919.790,308.52476,
1916.879,294.58699,
1913.968,289.75492,
1911.058,342.64488,
1908.147,302.33689,
1905.237,319.99261,
1902.326,297.54111,
1899.415,294.17316,
1896.505,274.91858,
1893.594,269.10978,
1890.684,277.26634,
1887.773,279.48271,
1884.863,287.76595,
1881.952,311.27981,
1879.041,341.68822,
1876.131,330.01929,
1873.220,303.95788,
1870.310,319.31499,
1867.399,338.46212,
1864.489,306.16585,
1861.578,297.07377,
1858.667,343.17519,
1855.757,311.54714,
1852.846,317.01153,
1849.936,318.30857,
1847.025,299.39964,
1844.114,302.23476,
1841.204,333.67308,
1838.293,328.2791,
1835.383,334.79598,
1832.472,344.07522,
1829.562,351.44245,
1826.651,348.12578,
1823.740,343.47797,
1820.830,326.00181,
1817.919,342.73817,
1815.009,337.47519,
1812.098,352.80511,
1809.188,366.00579,
1806.277,312.96725,
1803.366,373.61874,
1800.456,310.37717,
1797.545,371.36709,
1794.635,360.71705,
1791.724,380.91505,
1788.813,377.94511,
1785.903,359.93607,
1782.992,361.21203,
1780.082,379.80834,
1777.171,330.40255,
1774.261,268.98982,
1771.350,286.20151,
1768.439,344.68742,
1765.529,379.93618,
1762.618,403.40187,
1759.708,364.5214,
1756.797,366.17424,
1753.887,398.00656,
1750.976,394.44306,
1748.065,385.22005,
1745.155,402.82727,
1742.244,413.42573,
1739.334,377.83001,
1736.423,413.3275,
1733.512,403.46129,
1730.602,418.67861,
1727.691,402.4172,
1724.781,440.37144,
1721.870,446.31187,
1718.960,443.92777,
1716.049,426.13153,
1713.138,458.65982,
1710.228,428.19753,
1707.317,426.28829,
1704.407,442.02275,
1701.496,446.48464,
1698.586,454.14188,
1695.675,488.43551,
1692.764,444.36063,
1689.854,429.31298,
1686.943,452.90686,
1684.033,460.57615,
1681.122,484.34218,
1678.211,490.6929,
1675.301,540.59583,
1672.390,537.54962,
1669.480,471.0789,
1666.569,511.87696,
1663.659,522.17464,
1660.748,547.9621,
1657.837,558.59691,
1654.927,551.56257,
1652.016,542.87523,
1649.106,508.63132,
1646.195,545.54823,
1643.285,618.52213,
1640.374,606.93119,
1637.463,522.95698,
1634.553,589.54801,
1631.642,643.04316,
1628.732,669.66112,
1625.821,654.74346,
1622.911,644.80635,
1620.000,680.29645,
1617.089,719.95398,
1614.179,751.84757,
1611.268,774.89491,
1608.358,797.67307,
1605.447,846.8361,
1602.536,903.79945,
1599.626,914.18953,
1596.715,905.67399,
1593.805,869.87106,
1590.894,878.96005,
1587.984,917.12587,
1585.073,889.56815,
1582.162,873.73137,
1579.252,839.01796,
1576.341,835.75532,
1573.431,829.70143,
1570.520,816.28434,
1567.610,823.18153,
1564.699,778.173,
1561.788,780.17234,
1558.878,799.67421,
1555.967,777.00208,
1553.057,767.8534,
1550.146,752.31368,
1547.235,753.73718,
1544.325,761.61894,
1541.414,746.16845,
1538.504,747.62267,
1535.593,764.1584,
1532.683,739.72695,
1529.772,729.60589,
1526.861,748.4848,
1523.951,754.48595,
1521.040,785.21344,
1518.130,775.11222,
1515.219,774.1108,
1512.309,748.48424,
1509.398,761.69854,
1506.487,783.3252,
1503.577,751.51344,
1500.666,763.9885,
1497.756,781.75,
1494.845,780.66941,
1491.934,754.63031,
1489.024,718.05558,
1486.113,772.38293,
1483.203,740.33513,
1480.292,724.71935,
1477.382,764.77891,
