,PLF7FD~1,
Wavenumbers [1/cm],Intensity,
2173.010,365.125,
2170.099,359.05903,
2167.189,383.13935,
2164.278,382.92399,
2161.368,375.8386,
2158.457,386.73598,
2155.546,392.77598,
2152.636,393.46013,
2149.725,392.62164,
2146.815,427.92372,
2143.904,390.03576,
2140.993,413.33138,
2138.083,410.69032,
2135.172,425.59561,
2132.262,425.36972,
2129.351,450.31137,
2126.441,440.57155,
2123.530,446.22602,
2120.619,450.17108,
2117.709,420.44344,
2114.798,415.19028,
2111.888,402.14995,
2108.977,406.93957,
2106.067,385.61529,
2103.156,386.92335,
2100.245,392.12124,
2097.335,386.48626,
2094.424,392.23654,
2091.514,391.04157,
2088.603,381.56735,
2085.692,393.71607,
2082.782,396.24547,
2079.871,390.55324,
2076.961,413.44597,
2074.050,411.64015,
2071.140,403.89497,
2068.229,411.22006,
2065.318,408.4215,
2062.408,398.82925,
2059.497,407.97027,
2056.587,411.06706,
2053.676,411.84132,
2050.766,406.66386,
2047.855,420.01108,
2044.944,416.52404,
2042.034,415.80704,
2039.123,412.26641,
2036.213,412.85828,
2033.302,426.01585,
2030.391,439.53209,
2027.481,439.82006,
2024.570,436.22516,
2021.660,389.9632,
2018.749,449.44117,
2015.839,431.85597,
2012.928,432.19379,
2010.017,440.74824,
2007.107,440.77546,
2004.196,435.61309,
2001.286,457.48185,
1998.375,465.8622,
1995.465,431.66072,
1992.554,423.125,
1989.643,446.29547,
1986.733,453.98465,
1983.822,421.76754,
1980.912,452.02566,
1978.001,432.48121,
1975.090,431.28226,
1972.180,442.81517,
1969.269,434.86062,
1966.359,423.39514,
1963.448,427.6217,
1960.538,415.70632,
1957.627,435.30768,
1954.716,421.61336,
1951.806,454.72758,
1948.895,445.72219,
1945.985,435.92075,
1943.074,430.91842,
1940.164,431.50987,
1937.253,437.92095,
1934.342,413.07367,
1931.432,428.48462,
1928.521,444.125,
1925.611,459.26121,
1922.700,442.96478,
1919.790,434.54121,
1916.879,433.19475,
1913.968,461.09057,
1911.058,469.74661,
1908.147,439.71189,
1905.237,457.76467,
1902.326,436.125,
1899.415,429.89206,
1896.505,411.25144,
1893.594,414.84456,
1890.684,427.54332,
1887.773,436.09886,
1884.863,451.14095,
1881.952,464.19241,
1879.041,468.88149,
1876.131,457.7237,
1873.220,459.48342,
1870.310,452.699,
1867.399,474.75715,
1864.489,460.11247,
1861.578,438.76758,
1858.667,470.01724,
1855.757,447.71927,
1852.846,455.88397,
1849.936,464.75262,
1847.025,468.18583,
1844.114,479.64507,
1841.204,495.24039,
1838.293,465.14496,
1835.383,450.939,
1832.472,485.30065,
1829.562,503.73698,
1826.651,502.86011,
1823.740,495.38935,
1820.830,502.92824,
1817.919,499.60999,
1815.009,510.96851,
1812.098,515.81791,
1809.188,492.67544,
1806.277,486.23566,
1803.366,501.35791,
1800.456,515.34483,
1797.545,518.57184,
1794.635,510.41596,
1791.724,499.38704,
1788.813,540.13014,
1785.903,545.57275,
1782.992,512.19803,
1780.082,494.03663,
1777.171,425.7813,
1774.261,409.75546,
1771.350,471.28701,
1768.439,518.74393,
1765.529,548.03614,
1762.618,567.88876,
1759.708,542.42902,
1756.797,549.3144,
1753.887,596.2285,
1750.976,582.3593,
1748.065,562.66724,
1745.155,579.64745,
1742.244,580.85509,
1739.334,557.63795,
1736.423,594.34363,
1733.512,603.66562,
1730.602,596.38492,
1727.691,602.03394,
1724.781,636.37464,
1721.870,627.42013,
1718.960,645.32527,
1716.049,626.63371,
1713.138,618.70502,
1710.228,653.80718,
1707.317,635.24157,
1704.407,620.44584,
1701.496,620.9481,
1698.586,645.1486,
1695.675,634.02508,
1692.764,621.76434,
1689.854,629.73524,
1686.943,651.38304,
1684.033,631.64656,
1681.122,682.24139,
1678.211,636.57232,
1675.301,701.92149,
1672.390,694.95453,
1669.480,638.56621,
1666.569,693.65823,
1663.659,734.37371,
1660.748,689.72273,
1657.837,720.27809,
1654.927,728.2496,
1652.016,773.83715,
1649.106,722.07604,
1646.195,721.97118,
1643.285,797.14779,
1640.374,797.14243,
1637.463,752.22389,
1634.553,812.59789,
1631.642,844.57017,
1628.732,884.95909,
1625.821,857.13874,
1622.911,878.00666,
1620.000,902.81003,
1617.089,941.34888,
1614.179,1002.3765,
1611.268,1028.1956,
1608.358,1015.7805,
1605.447,1104.6972,
1602.536,1111.0569,
1599.626,1152.522,
1596.715,1172.4618,
1593.805,1125.8311,
1590.894,1135.9771,
1587.984,1170.1704,
1585.073,1075.5794,
1582.162,1114.8973,
1579.252,1102.3943,
1576.341,1101.1303,
1573.431,1079.4129,
1570.520,1037.9637,
1567.610,1053.2038,
1564.699,1027.3236,
1561.788,1024.6883,
1558.878,1063.2632,
1555.967,1033.5391,
1553.057,1036.2799,
1550.146,1032.0741,
1547.235,1009.4991,
1544.325,990.24883,
1541.414,973.5642,
1538.504,1000.5222,
1535.593,1014.1092,
1532.683,985.93712,
1529.772,981.16241,
1526.861,987.51569,
1523.951,1002.6429,
1521.040,1023.2182,
1518.130,1026.6897,
1515.219,1062.6057,
1512.309,1035.3998,
1509.398,1029.4881,
1506.487,1039.5737,
1503.577,1039.6591,
1500.666,1005.8185,
1497.756,1036.3455,
1494.845,1050.2045,
1491.934,1028.0179,
1489.024,995.29315,
1486.113,1020.087,
1483.203,1009.6907,
1480.292,993.7003,
1477.382,1028.3044,
1474.471,963.45662,
1471.560,938.948,
1468.650,942.90792,
1465.739,964.3397,
1462.829,959.60775,
1459.918,965.14724,
1457.008,983.20199,
1454.097,990.43579,
1451.186,969.42094,
1448.276,937.60088,
1445.365,935.30273,
1442.455,915.01217,
1439.544,890.81711,
1436.633,892.43484,
1433.723,861.35916,
1430.812,895.83464,
1427.902,868.41033,
1424.991,922.43279,
1422.081,883.75601,
1419.170,896.54215,
1416.259,916.13632,
1413.349,912.57259,
1410.438,914.32368,
1407.528,922.56242,
1404.617,931.40915,
1401.707,922.93637,
1398.796,886.63556,
1395.885,865.9794,
1392.975,869.33301,
1390.064,867.48599,
1387.154,906.23777,
1384.243,928.36494,
1381.332,883.93175,
1378.422,826.17331,
1375.511,827.11009,
1372.601,854.77211,
1369.690,851.12444,
1366.780,882.59844,
1363.869,928.90181,
1360.958,928.60024,
1358.048,937.73773,
1355.137,985.92288,
1352.227,1035.5957,
1349.316,1058.6245,
1346.406,1052.3105,
1343.495,1025.132,
1340.584,1026.9816,
1337.674,1058.5154,
1334.763,1023.9005,
1331.853,1123.1142,
1328.942,1053.2995,
1326.032,1114.2684,
1323.121,1122.7154,
1320.210,1117.4613,
1317.300,1139.7343,
1314.389,1150.4721,
1311.479,1160.853,
1308.568,1196.211,
1305.657,1200.6484,
1302.747,1161.3221,
1299.836,1233.6164,
1296.926,1237.9369,
1294.015,1255.404,
1291.105,1238.5142,
1288.194,1278.4584,
1285.283,1286.977,
1282.373,1277.2657,
1279.462,1289.1443,
1276.552,1304.9833,
1273.641,1306.7454,
1270.731,1300.8325,
1267.820,1291.4488,
1264.909,1299.2894,
1261.999,1264.9572,
1259.088,1287.7602,
1256.178,1306.2541,
1253.267,1256.9557,
1250.356,1267.5379,
1247.446,1259.0028,
1244.535,1249.0803,
1241.625,1254.125,
1238.714,1262.5318,
1235.804,1275.227,
1232.893,1255.6227,
1229.982,1264.8678,
1227.072,1227.75,
1224.161,1258.7452,
1221.251,1270.3366,
1218.340,1222.8913,
1215.430,1207.1357,
1212.519,1229.255,
1209.608,1222.7993,
1206.698,1189.5294,
1203.787,1212.6828,
1200.877,1221.4036,
1197.966,1225.8994,
1195.055,1223.5653,
1192.145,1249.422,
1189.234,1295.1062,
1186.324,1357.129,
1183.413,1381.0844,
1180.503,1379.9407,
1177.592,1402.3371,
1174.681,1388.6901,
1171.771,1357.8365,
1168.860,1345.3333,
1165.950,1356.2193,
1163.039,1364.7122,
1160.129,1345.3004,
1157.218,1358.4884,
1154.307,1375.026,
1151.397,1347.7362,
1148.486,1343.8196,
1145.576,1374.8915,
1142.665,1346.4783,
1139.754,1372.602,
1136.844,1377.7244,
1133.933,1386.5091,
1131.023,1363.8551,
1128.112,1343.2661,
1125.202,1357.3956,
1122.291,1334.0024,
1119.380,1340.4628,
1116.470,1374.8814,
1113.559,1342.7823,
1110.649,1349.151,
1107.738,1342.5863,
1104.828,1334.1182,
1101.917,1337.8704,
1099.006,1341.6917,
1096.096,1391.2334,
1093.185,1311.3352,
1090.275,1342.3514,
1087.364,1355.9279,
1084.453,1383.4359,
1081.543,1382.9668,
1078.632,1364.6465,
1075.722,1385.0743,
1072.811,1402.4973,
1069.901,1407.7369,
1066.990,1371.7501,
1064.079,1378.7768,
1061.169,1381.7066,
1058.258,1385.3243,
1055.348,1384.2485,
1052.437,1359.2729,
1049.527,1365.897,
1046.616,1385.8801,
1043.705,1392.7496,
1040.795,1413.9186,
1037.884,1412.9873,
1034.974,1397.0284,
1032.063,1387.0251,
1029.153,1379.7216,
1026.242,1401.3455,
1023.331,1401.2917,
1020.421,1401.125,
1017.510,1407.8483,
1014.600,1438.0779,
1011.689,1465.2833,
1008.778,1450.0309,
1005.868,1461.2331,
1002.957,1473.2781,
1000.047,1491.869,
997.136,1501.0616,
994.226,1520.9709,
991.315,1531.8602,
988.404,1498.667,
985.494,1460.3743,
982.583,1471.5096,
979.673,1453.3705,
976.762,1446.125,
973.852,1449.6611,
970.941,1458.8671,
968.030,1470.7262,
965.120,1474.1608,
962.209,1482.6862,
959.299,1485.5415,
956.388,1484.4451,
953.477,1493.8117,
950.567,1509.9093,
947.656,1514.9103,
944.746,1536.1492,
941.835,1507.9717,
938.925,1534.0275,
936.014,1542.0201,
933.103,1541.5993,
930.193,1553.5294,
927.282,1538.9875,
924.372,1536.4507,
921.461,1527.2882,
918.551,1510.1826,
915.640,1498.4252,
912.729,1498.2719,
909.819,1505.237,
906.908,1513.6613,
903.998,1498.2177,
901.087,1517.0392,
898.176,1523.9215,
895.266,1518.0772,
892.355,1520.7532,
889.445,1524.1103,
886.534,1586.7404,
883.624,1576.9215,
880.713,1573.27,
877.802,1570.0506,
874.892,1543.4034,
871.981,1506.3631,
869.071,1389.4053,
866.160,1329.1073,
863.250,1400.7637,
860.339,1508.2571,
857.428,1555.5076,
854.518,1556.3306,
851.607,1528.8723,
848.697,1491.7976,
845.786,1474.5302,
842.875,1467.9304,
839.965,1490.6598,
837.054,1629.9203,
834.144,1611.6878,
831.233,1643.4558,
828.323,1662.1141,
825.412,1666.3446,
822.501,1663.5929,
819.591,1610.7033,
816.680,1618.7404,
813.770,1617.9925,
810.859,1580.477,
807.949,1562.7568,
805.038,1624.5498,
802.127,1578.4546,
799.217,1604.686,
796.306,1585.6113,
793.396,1587.2627,
790.485,1625.9673,
787.574,1629.8412,
784.664,1648.7037,
781.753,1666.8866,
778.843,1691.768,
775.932,1706.1127,
773.022,1690.7851,
770.111,1649.9062,
767.200,1693.5651,
764.290,1664.2063,
761.379,1643.5472,
758.469,1665.9381,
755.558,1684.6113,
752.648,1700.9033,
749.737,1694.3332,
746.826,1666.2802,
743.916,1649.0602,
741.005,1675.9766,
738.095,1710.0754,
735.184,1674.0817,
732.274,1649.1847,
729.363,1646.1685,
726.452,1647.062,
723.542,1596.8796,
720.631,1652.9945,
717.721,1663.1052,
714.810,1682.6305,
711.899,1722.62,
708.989,1716.1646,
706.078,1720.9328,
703.168,1697.2289,
700.257,1687.3136,
697.347,1695.9076,
694.436,1694.7322,
691.525,1680.2637,
688.615,1682.1563,
685.704,1713.1851,
682.794,1744.274,
679.883,1725.7017,
676.973,1738.5236,
674.062,1748.782,
671.151,1744.7967,
668.241,1734.3632,
665.330,1735.4653,
662.420,1742.6539,
659.509,1758.7284,
656.598,1767.9905,
653.688,1777.4065,
650.777,1805.6921,
647.867,1822.4149,
644.956,1787.7377,
642.046,1742.1513,
639.135,1710.077,
636.224,1706.312,
633.314,1743.6271,
630.403,1741.3008,
627.493,1741.5746,
624.582,1748.0621,
621.672,1716.3824,
618.761,1738.6831,
615.850,1778.6333,
612.940,1833.1308,
610.029,1875.288,
607.119,1804.2212,
604.208,1806.3552,
601.297,1824.582,
598.387,1841.7047,
595.476,1846.6394,
592.566,1830.8981,
589.655,1818.4066,
586.745,1822.2383,
583.834,1826.4396,
580.923,1799.3667,
578.013,1839.3881,
575.102,1832.9174,
572.192,1826.5561,
569.281,1841.2182,
566.371,1858.4359,
563.460,1867.8852,
560.549,1862.354,
557.639,1866.8217,
554.728,1903.583,
551.818,1894.9995,
548.907,1871.7955,
545.996,1847.6277,
543.086,1835.8224,
540.175,1857.6244,
537.265,1859.125,
534.354,1854.6098,
531.444,1847.6171,
528.533,1844.8774,
525.622,1897.6418,
522.712,1858.7645,
519.801,1823.4518,
516.891,1818.9685,
513.980,1818.1942,
511.070,1847.0032,
508.159,1840.0223,
505.248,1831.8935,
502.338,1869.8539,
499.427,1860.5919,
496.517,1883.0139,
493.606,1898.0871,
490.695,1890.018,
487.785,1889.2482,
484.874,1886.5401,
481.964,1863.5305,
479.053,1825.5868,
476.143,1794.1004,
473.232,1826.6564,
470.321,1864.9404,
467.411,1879.475,
464.500,1844.9117,
461.590,1836.4885,
458.679,1851.1841,
455.769,1858.1936,
452.858,1844.6362,
449.947,1859.1509,
447.037,1851.8101,
444.126,1864.7189,
441.216,1892.9658,
438.305,1863.2504,
435.395,1846.0123,
432.484,1849.1271,
429.573,1857.6224,
426.663,1834.0581,
423.752,1773.5418,
420.842,1666.8349,
417.931,1533.9262,
415.020,1406.5221,
412.110,1588.6864,
409.199,1734.3865,
406.289,1825.7021,
403.378,1857.8714,
400.468,1783.028,
397.557,1769.408,
394.646,1799.8646,
391.736,1855.4248,
388.825,1833.5521,
385.915,1840.962,
383.004,1852.5539,
380.094,1850.6643,
377.183,1841.6346,
374.272,1861.9218,
371.362,1897.0187,
368.451,1932.8454,
365.541,1895.3186,
362.630,1899.3273,
359.719,1901.0621,
356.809,1875.5845,
353.898,1850.1254,
350.988,1859.9421,
348.077,1869.1881,
345.167,1857.0493,
342.256,1855.5552,
339.345,1858.845,
336.435,1863.7906,
333.524,1868.7357,
330.614,1888.1097,
327.703,1898.2322,
324.793,1898.7737,
321.882,1889.1845,
318.971,1913.7181,
316.061,1921.6367,
313.150,1922.5107,
310.240,1926.9634,
307.329,1950.708,
304.418,1967.4203,
301.508,1985.7743,
298.597,2022.0547,
295.687,2066.4367,
292.776,2062.3749,
289.866,2031.9274,
286.955,2045.2245,
284.044,2069.2625,
281.134,2091.0119,
278.223,2107.3106,
275.313,2115.416,
272.402,2139.7802,
269.492,2162.1452,
266.581,2168.9766,
263.670,2082.9605,
260.760,2104.0947,
257.849,2154.3371,
254.939,2177.8213,
252.028,2188.9827,
249.117,2160.6902,
246.207,2131.0273,
243.296,2165.433,
240.386,2175.6549,
237.475,2171.4413,
234.565,2162.6911,
231.654,2185.3329,
228.743,2186.6728,
225.833,2156.3794,
222.922,2092.7173,
220.012,2083.9747,
217.101,2090.4486,
214.191,2086.7928,
211.280,2042.4176,
208.369,2047.1988,
205.459,2026.7707,
202.548,1997.8966,
199.638,2042.8869,
196.727,2017.552,
193.816,2003.2628,
190.906,2026.8141,
187.995,1960.9278,
185.085,1927.7222,
182.174,1900.2584,
179.264,1841.7144,
176.353,1807.5715,
173.442,1813.8785,
170.532,1841.8761,
167.621,1753.9171,
164.711,1727.4972,
161.800,1654.8363,
158.890,1448.9942,
155.979,1337.7876,
153.068,1233.8128,
150.158,1121.3975,
147.247,958.42237,
144.337,787.17629,
141.426,613.05979,
138.516,438.13833,
135.605,317.89862,
132.694,223.35296,
129.784,150.11479,
126.873,93.619533,
123.963,66.191036,
121.052,46.75948,
118.141,28.198028,
115.231,23.151008,
112.320,21.548636,
109.410,21.852289,
106.499,20.427979,
103.589,17.323728,
100.678,14.038513,
97.767,11.194763,
94.857,6.2740767,
91.946,9.7685522,
89.036,16.996021,
86.125,9.9039682,
83.215,8.6559204,
80.304,6.0123751,
77.393,-3.1938341,
74.483,2.6763496,
71.572,5.7626479,
68.662,4.84793,
65.751,2.0221257,
62.840,5.4603179,
59.930,8.252138,
57.019,1.2013182,
54.109,0.72216085,
51.198,3.2362649,
48.288,8.1023502,
45.377,5.288838,
42.466,4.9494387,
39.556,6.125,
36.645,6.125,
33.735,4.5672546,
30.824,0.47435631,
27.914,-7.9397466,
25.003,-8.2523625,
22.092,-7.5520954,
19.182,-6.8063514,
16.271,-4.707881,
13.361,11.718945,
10.450,10.769705,
7.539,-119.11695,
4.629,-489.51888,
1.718,-880.35242,
-1.192,-1126.4444,
-4.103,-899.61547,
-7.013,-510.63465,
-9.924,-1.875,
