,PLEA86~1,
Wavenumbers [1/cm],Intensity,
2295.254,102.06889,
2292.344,122.45173,
2289.433,125.16454,
2286.522,120.03566,
2283.612,127.94516,
2280.701,139.26063,
2277.791,132.3941,
2274.880,118.94904,
2271.969,115.35648,
2269.059,123.10934,
2266.148,114.66131,
2263.238,113.57384,
2260.327,131.56448,
2257.417,117.67055,
2254.506,135.13428,
2251.595,132.5987,
2248.685,136.65957,
2245.774,133.66633,
2242.864,131.13435,
2239.953,135.10258,
2237.043,134.70607,
2234.132,137.83082,
2231.221,142.5856,
2228.311,135.0464,
2225.400,149.5654,
2222.490,136.46127,
2219.579,136.47402,
2216.669,148.41554,
2213.758,135.96127,
2210.847,127.42665,
2207.937,142.1828,
2205.026,141.54118,
2202.116,151.99072,
2199.205,150.06206,
2196.294,151.56902,
2193.384,143.033,
2190.473,145.30693,
2187.563,159.92334,
2184.652,168.36888,
2181.742,154.85165,
2178.831,148.59098,
2175.920,160.53803,
2173.010,166.05017,
2170.099,153.00992,
2167.189,182.8463,
2164.278,180.78254,
2161.368,195.87452,
2158.457,193.16619,
2155.546,184.28367,
2152.636,185.30055,
2149.725,185.37164,
2146.815,189.74152,
2143.904,202.67797,
2140.993,203.58936,
2138.083,193.45245,
2135.172,211.3792,
2132.262,211.50088,
2129.351,202.0577,
2126.441,213.89446,
2123.530,208.03214,
2120.619,219.26043,
2117.709,202.08394,
2114.798,188.60949,
2111.888,183.68694,
2108.977,195.23924,
2106.067,175.91556,
2103.156,180.43302,
2100.245,160.87688,
2097.335,167.48756,
2094.424,186.21582,
2091.514,169.74066,
2088.603,175.33126,
2085.692,170.6036,
2082.782,169.63406,
2079.871,164.58912,
2076.961,186.32513,
2074.050,185.5053,
2071.140,196.10503,
2068.229,183.33725,
2065.318,183.82651,
2062.408,200.85987,
2059.497,201.875,
2056.587,196.20067,
2053.676,193.875,
2050.766,192.95198,
2047.855,177.0174,
2044.944,180.94391,
2042.034,170.60905,
2039.123,169.79756,
2036.213,185.58829,
2033.302,201.0485,
2030.391,205.84159,
2027.481,203.31396,
2024.570,202.50366,
2021.660,177.41236,
2018.749,217.15318,
2015.839,196.31922,
2012.928,186.08138,
2010.017,195.51234,
2007.107,171.45631,
2004.196,181.62504,
2001.286,200.33435,
1998.375,195.437,
1995.465,208.18036,
1992.554,197.97513,
1989.643,188.15151,
1986.733,187.875,
1983.822,190.9784,
1980.912,207.36985,
1978.001,194.79893,
1975.090,195.43837,
1972.180,191.53194,
1969.269,180.36641,
1966.359,178.44246,
1963.448,180.44964,
1960.538,192.61312,
1957.627,177.04217,
1954.716,187.50155,
1951.806,204.88144,
1948.895,184.0896,
1945.985,177.7982,
1943.074,190.21834,
1940.164,171.41365,
1937.253,188.5967,
1934.342,189.36217,
1931.432,190.18415,
1928.521,201.61593,
1925.611,196.7842,
1922.700,209.49516,
1919.790,170.8119,
1916.879,177.82876,
1913.968,161.8959,
1911.058,222.95007,
1908.147,206.8195,
1905.237,184.09557,
1902.326,174.72092,
1899.415,165.11278,
1896.505,139.57385,
1893.594,149.60062,
1890.684,148.74431,
1887.773,156.42643,
1884.863,166.78844,
1881.952,164.38753,
1879.041,165.14447,
1876.131,178.09068,
1873.220,174.77321,
1870.310,203.57898,
1867.399,208.82702,
1864.489,187.18655,
1861.578,194.1278,
1858.667,183.50077,
1855.757,166.86426,
1852.846,176.86475,
1849.936,168.75889,
1847.025,150.82149,
1844.114,159.06334,
1841.204,213.18968,
1838.293,218.37916,
1835.383,198.38702,
1832.472,197.515,
1829.562,204.31979,
1826.651,188.51567,
1823.740,200.80224,
1820.830,193.98511,
1817.919,186.61749,
1815.009,191.86864,
1812.098,186.59154,
1809.188,228.0842,
1806.277,200.56109,
1803.366,218.20955,
1800.456,179.91919,
1797.545,200.9174,
1794.635,230.617,
1791.724,228.04977,
1788.813,223.07397,
1785.903,219.40601,
1782.992,230.48309,
1780.082,247.70304,
1777.171,181.52755,
1774.261,170.48584,
1771.350,219.52574,
1768.439,214.51759,
1765.529,251.78332,
1762.618,254.12189,
1759.708,234.28777,
1756.797,234.76894,
1753.887,242.07908,
1750.976,249.33376,
1748.065,258.57393,
1745.155,260.34594,
1742.244,255.5915,
1739.334,237.49618,
1736.423,259.13664,
1733.512,273.05793,
1730.602,270.88293,
1727.691,292.13716,
1724.781,305.16761,
1721.870,308.48453,
1718.960,294.07482,
1716.049,264.02781,
1713.138,293.07483,
1710.228,305.83738,
1707.317,262.64643,
1704.407,287.4205,
1701.496,305.45976,
1698.586,317.03883,
1695.675,319.74642,
1692.764,271.59219,
1689.854,246.87105,
1686.943,282.59343,
1684.033,290.70115,
1681.122,319.38222,
1678.211,316.90355,
1675.301,343.79175,
1672.390,309.86304,
1669.480,305.98731,
1666.569,320.01465,
1663.659,331.39764,
1660.748,362.64362,
1657.837,351.31239,
1654.927,370.73443,
1652.016,364.14603,
1649.106,334.72811,
1646.195,330.02587,
1643.285,376.66992,
1640.374,367.89591,
1637.463,369.09117,
1634.553,381.20011,
1631.642,403.23331,
1628.732,435.81575,
1625.821,425.88481,
1622.911,440.79047,
1620.000,431.98839,
1617.089,476.95957,
1614.179,520.63416,
1611.268,532.46604,
1608.358,541.45359,
1605.447,589.01824,
1602.536,603.98953,
1599.626,651.79158,
1596.715,655.875,
1593.805,613.8414,
1590.894,622.96572,
1587.984,669.91179,
1585.073,568.82127,
1582.162,584.10533,
1579.252,595.78481,
1576.341,594.47181,
1573.431,588.39278,
1570.520,546.36302,
1567.610,545.05164,
1564.699,532.92434,
1561.788,545.18468,
1558.878,572.67513,
1555.967,536.9498,
1553.057,503.03028,
