,PL5B8D~1,
Wavenumbers [1/cm],Intensity,
2627.060,586.41376,
2624.149,614.34374,
2621.239,615.24111,
2618.328,613.49568,
2615.418,610.07273,
2612.507,623.43771,
2609.597,624.20908,
2606.686,645.91868,
2603.775,648.3492,
2600.865,642.69197,
2597.954,637.80411,
2595.044,645.53476,
2592.133,623.0303,
2589.223,631.09948,
2586.312,652.21233,
2583.401,653.27923,
2580.491,668.10576,
2577.580,658.7401,
2574.670,650.81284,
2571.759,655.10873,
2568.848,669.33567,
2565.938,701.84537,
2563.027,681.92047,
2560.117,667.31072,
2557.206,658.03782,
2554.296,687.377,
2551.385,686.44406,
2548.474,688.82398,
2545.564,695.4651,
2542.653,690.15939,
2539.743,708.3301,
2536.832,676.83036,
2533.922,710.89192,
2531.011,718.10014,
2528.100,712.68379,
2525.190,716.49344,
2522.279,739.96788,
2519.369,706.46682,
2516.458,720.53328,
2513.548,726.75,
2510.637,738.1189,
2507.726,744.99907,
2504.816,737.06116,
2501.905,740.92378,
2498.995,737.58607,
2496.084,749.21689,
2493.173,731.93377,
2490.263,751.06417,
2487.352,739.45787,
2484.442,736.45234,
2481.531,758.38817,
2478.621,777.42775,
2475.710,784.59664,
2472.799,765.98317,
2469.889,765.38711,
2466.978,780.956,
2464.068,775.34255,
2461.157,779.48246,
2458.247,797.41189,
2455.336,813.72848,
2452.425,799.59432,
2449.515,832.31547,
2446.604,804.92974,
2443.694,818.35531,
2440.783,822.03378,
2437.872,836.38535,
2434.962,824.64862,
2432.051,818.75,
2429.141,845.08496,
2426.230,823.03169,
2423.320,850.67807,
2420.409,868.72442,
2417.498,859.56179,
2414.588,860.83743,
2411.677,870.10455,
2408.767,858.06201,
2405.856,888.2904,
2402.946,877.36841,
2400.035,872.84156,
2397.124,875.8623,
2394.214,883.23799,
2391.303,891.39092,
2388.393,879.28487,
2385.482,890.13313,
2382.571,875.3697,
2379.661,897.84295,
2376.750,897.80423,
2373.840,892.75,
2370.929,918.46843,
2368.019,912.94273,
2365.108,917.30759,
2362.197,917.37463,
2359.287,925.72493,
2356.376,942.72534,
2353.466,930.63022,
2350.555,905.40484,
2347.645,917.10362,
2344.734,951.81457,
2341.823,945.949,
2338.913,930.76942,
2336.002,951.42458,
2333.092,952.61225,
2330.181,974.92895,
2327.270,944.11523,
2324.360,967.33022,
2321.449,968.55277,
2318.539,993.53591,
2315.628,977.47302,
2312.718,971.21696,
2309.807,998.36482,
2306.896,999.94717,
2303.986,984.97083,
2301.075,989.28192,
2298.165,982.96145,
2295.254,975.87926,
2292.344,1010.3765,
2289.433,1019.0009,
2286.522,1010.5847,
2283.612,1018.6097,
2280.701,1016.75,
2277.791,1024.3092,
2274.880,1017.1739,
2271.969,1029.3632,
2269.059,1033.2187,
2266.148,1025.8068,
2263.238,1038.8427,
2260.327,1045.5777,
2257.417,1061.2572,
2254.506,1073.3226,
2251.595,1048.6265,
2248.685,1054.8461,
2245.774,1038.4207,
2242.864,1065.3709,
2239.953,1090.7982,
2237.043,1092.295,
2234.132,1073.8384,
2231.221,1092.0421,
2228.311,1103.6198,
2225.400,1101.8344,
2222.490,1102.5219,
2219.579,1099.93,
2216.669,1129.1761,
2213.758,1134.3134,
2210.847,1137.6165,
2207.937,1135.9129,
2205.026,1162.194,
2202.116,1167.7192,
2199.205,1151.1625,
2196.294,1150.626,
2193.384,1167.5125,
2190.473,1149.8685,
2187.563,1204.6485,
2184.652,1184.3524,
2181.742,1189.5229,
2178.831,1181.8784,
2175.920,1169.0815,
2173.010,1208.4529,
2170.099,1221.0169,
2167.189,1195.0585,
2164.278,1238.9239,
2161.368,1246.8927,
2158.457,1232.3813,
2155.546,1235.0972,
2152.636,1253.6596,
2149.725,1269.3943,
2146.815,1289.1827,
2143.904,1278.6533,
2140.993,1287.6812,
2138.083,1298.7743,
2135.172,1311.7584,
2132.262,1310.75,
2129.351,1348.5088,
2126.441,1311.2741,
2123.530,1313.2551,
2120.619,1352.3833,
2117.709,1315.5857,
2114.798,1309.8577,
2111.888,1302.4505,
2108.977,1304.7368,
2106.067,1316.5419,
2103.156,1326.5484,
2100.245,1294.7632,
2097.335,1314.4254,
2094.424,1308.1009,
2091.514,1311.2419,
2088.603,1305.8191,
2085.692,1314.1589,
2082.782,1332.1274,
2079.871,1350.4291,
2076.961,1352.75,
2074.050,1347.5561,
2071.140,1339.0837,
2068.229,1316.1107,
2065.318,1333.9118,
2062.408,1360.6895,
2059.497,1380.381,
2056.587,1401.3894,
2053.676,1382.0681,
2050.766,1362.9047,
2047.855,1384.7468,
2044.944,1413.0305,
2042.034,1375.039,
2039.123,1389.0732,
2036.213,1396.4277,
2033.302,1387.4888,
2030.391,1406.3941,
2027.481,1408.2378,
2024.570,1412.1213,
2021.660,1379.8195,
2018.749,1416.0919,
2015.839,1422.7323,
2012.928,1408.8305,
2010.017,1411.5937,
2007.107,1432.1238,
2004.196,1454.5,
2001.286,1427.8914,
1998.375,1428.8012,
1995.465,1427.1643,
1992.554,1413.2324,
1989.643,1434.9205,
1986.733,1442.3053,
1983.822,1427.894,
1980.912,1477.9862,
1978.001,1427.1563,
1975.090,1444.5622,
1972.180,1448.4388,
1969.269,1458.8822,
1966.359,1433.8037,
1963.448,1458.4673,
1960.538,1470.3155,
1957.627,1440.3258,
1954.716,1435.7787,
1951.806,1504.0609,
1948.895,1472.3876,
1945.985,1480.018,
1943.074,1474.8019,
1940.164,1440.1349,
1937.253,1453.0023,
1934.342,1424.0917,
1931.432,1425.3778,
1928.521,1435.8536,
1925.611,1396.9906,
1922.700,1448.4392,
1919.790,1451.9698,
1916.879,1434.866,
1913.968,1446.734,
1911.058,1496.5698,
1908.147,1470.3997,
1905.237,1489.2352,
1902.326,1438.7945,
1899.415,1441.8561,
1896.505,1449.2136,
1893.594,1432.1037,
1890.684,1458.4624,
1887.773,1471.1033,
1884.863,1462.9937,
1881.952,1486.4397,
1879.041,1495.9675,
1876.131,1482.5343,
1873.220,1487.5952,
1870.310,1463.6873,
1867.399,1488.3182,
1864.489,1474.0351,
1861.578,1506.4038,
1858.667,1507.6153,
1855.757,1481.935,
1852.846,1504.7808,
1849.936,1509.751,
1847.025,1471.6357,
1844.114,1495.7784,
1841.204,1553.75,
1838.293,1528.7916,
1835.383,1519.5985,
1832.472,1538.6804,
1829.562,1513.3651,
1826.651,1522.0498,
1823.740,1558.501,
1820.830,1563.8917,
1817.919,1542.3906,
1815.009,1556.5871,
1812.098,1600.1437,
1809.188,1643.2073,
1806.277,1574.3656,
1803.366,1558.0328,
1800.456,1573.1562,
1797.545,1548.8846,
1794.635,1589.0381,
1791.724,1640.6919,
1788.813,1597.967,
1785.903,1635.9768,
1782.992,1586.1405,
