,PLF965~1,
Wavenumbers [1/cm],Intensity,
2173.010,534.50028,
2170.099,538.4747,
2167.189,535.12614,
2164.278,567.82073,
2161.368,562.15995,
2158.457,568.13158,
2155.546,573.93465,
2152.636,569.36442,
2149.725,576.68707,
2146.815,616.60698,
2143.904,606.77092,
2140.993,601.76383,
2138.083,625.89927,
2135.172,630.45477,
2132.262,642.78081,
2129.351,654.36465,
2126.441,632.67105,
2123.530,623.99846,
2120.619,625.65521,
2117.709,576.313,
2114.798,594.04801,
2111.888,578.21279,
2108.977,569.96771,
2106.067,539.29827,
2103.156,545.71203,
2100.245,522.90323,
2097.335,565.82788,
2094.424,551.11435,
2091.514,549.72982,
2088.603,547.29896,
2085.692,546.5107,
2082.782,561.13193,
2079.871,552.26707,
2076.961,565.7126,
2074.050,578.85682,
2071.140,560.96679,
2068.229,568.88152,
2065.318,566.61626,
2062.408,569.96578,
2059.497,575.29764,
2056.587,564.43344,
2053.676,552.79192,
2050.766,570.33539,
2047.855,551.64717,
2044.944,543.07693,
2042.034,540.48197,
2039.123,553.97601,
2036.213,550.60828,
2033.302,565.39626,
2030.391,562.89274,
2027.481,581.83809,
2024.570,589.66083,
2021.660,587.93413,
2018.749,598.0772,
2015.839,577.33694,
2012.928,576.86326,
2010.017,580.7067,
2007.107,563.68808,
2004.196,572.20838,
2001.286,604.60641,
1998.375,585.56101,
1995.465,559.28929,
1992.554,556.75146,
1989.643,578.1146,
1986.733,553.875,
1983.822,558.1069,
1980.912,574.76535,
1978.001,554.53549,
1975.090,570.304,
1972.180,568.04653,
1969.269,577.875,
1966.359,561.65857,
1963.448,592.32284,
1960.538,594.70235,
1957.627,563.34247,
1954.716,555.01863,
1951.806,587.22918,
1948.895,571.68679,
1945.985,552.73448,
1943.074,563.59456,
1940.164,567.85588,
1937.253,567.83606,
1934.342,539.73811,
1931.432,562.55324,
1928.521,574.64011,
1925.611,545.69339,
1922.700,566.36671,
1919.790,534.25695,
1916.879,539.03801,
1913.968,538.87623,
1911.058,571.0732,
1908.147,574.67209,
1905.237,575.30879,
1902.326,556.875,
1899.415,539.16034,
1896.505,489.95316,
1893.594,505.30806,
1890.684,531.86857,
1887.773,518.60771,
1884.863,551.12785,
1881.952,575.15244,
1879.041,589.97885,
1876.131,590.61748,
1873.220,585.51658,
1870.310,591.37275,
1867.399,618.44317,
1864.489,555.42021,
1861.578,571.67698,
1858.667,591.68643,
1855.757,558.04564,
1852.846,581.57759,
1849.936,547.82896,
1847.025,545.16452,
1844.114,573.92209,
1841.204,601.66171,
1838.293,592.92156,
1835.383,565.968,
1832.472,591.18978,
1829.562,612.34662,
1826.651,613.50745,
1823.740,591.76385,
1820.830,594.67824,
1817.919,606.83314,
1815.009,595.17526,
1812.098,604.54428,
1809.188,625.57263,
1806.277,593.62748,
1803.366,622.15964,
1800.456,582.62286,
1797.545,631.53449,
1794.635,644.39195,
1791.724,626.65162,
1788.813,657.07654,
1785.903,654.37118,
1782.992,625.04637,
1780.082,587.774,
1777.171,505.19404,
1774.261,478.52054,
1771.350,550.99451,
1768.439,629.17823,
1765.529,690.42225,
1762.618,683.99934,
1759.708,651.59226,
1756.797,674.375,
1753.887,695.84876,
1750.976,691.8233,
1748.065,706.77822,
1745.155,722.53946,
1742.244,714.95654,
1739.334,675.32442,
1736.423,690.25627,
1733.512,713.78966,
1730.602,705.90673,
1727.691,735.65206,
1724.781,731.71662,
1721.870,724.65593,
1718.960,785.54241,
1716.049,744.34164,
1713.138,741.56996,
1710.228,769.85421,
1707.317,765.91386,
1704.407,756.78943,
1701.496,749.49417,
1698.586,764.58274,
1695.675,799.56051,
1692.764,773.47335,
1689.854,733.60726,
1686.943,779.22244,
1684.033,779.89984,
1681.122,843.77049,
1678.211,800.30328,
1675.301,875.64066,
1672.390,858.71051,
1669.480,804.34027,
1666.569,862.25588,
1663.659,891.89133,
1660.748,893.5113,
1657.837,925.45948,
1654.927,908.02303,
1652.016,956.36098,
1649.106,975.875,
1646.195,976.30657,
1643.285,995.15105,
1640.374,1049.6659,
1637.463,1040.5776,
1634.553,1079.3627,
1631.642,1112.1139,
1628.732,1134.0587,
1625.821,1164.9097,
1622.911,1217.5763,
1620.000,1294.8923,
1617.089,1329.1984,
1614.179,1359.029,
1611.268,1412.8302,
1608.358,1527.3499,
1605.447,1585.6754,
1602.536,1600.9895,
1599.626,1683.749,
1596.715,1701.7662,
1593.805,1664.4187,
1590.894,1688.0564,
1587.984,1692.7411,
1585.073,1657.1407,
1582.162,1636.6819,
1579.252,1589.6867,
1576.341,1518.9942,
1573.431,1546.9496,
1570.520,1513.7768,
1567.610,1484.9728,
1564.699,1457.3991,
1561.788,1460.8467,
1558.878,1452.9025,
1555.967,1427.0551,
1553.057,1386.8925,
1550.146,1387.0822,
1547.235,1351.8295,
1544.325,1341.3652,
1541.414,1362.7355,
1538.504,1354.0299,
1535.593,1354.0479,
1532.683,1381.1162,
1529.772,1400.8937,
1526.861,1379.126,
1523.951,1364.3564,
1521.040,1415.5224,
1518.130,1450.0269,
1515.219,1475.4751,
1512.309,1463.6993,
1509.398,1438.875,
1506.487,1436.5208,
1503.577,1427.9323,
1500.666,1435.398,
1497.756,1399.7987,
1494.845,1397.9545,
1491.934,1375.8719,
1489.024,1374.9094,
1486.113,1397.1282,
1483.203,1359.7956,
1480.292,1265.7813,
1477.382,1299.9864,
1474.471,1270.4365,
1471.560,1233.2024,
1468.650,1239.5903,
1465.739,1265.4492,
1462.829,1269.9068,
1459.918,1280.2398,
1457.008,1299.9982,
1454.097,1286.1536,
1451.186,1268.3605,
1448.276,1261.1645,
1445.365,1213.1933,
1442.455,1176.9683,
1439.544,1185.9322,
1436.633,1199.1848,
1433.723,1154.4007,
1430.812,1096.6482,
1427.902,1119.6417,
1424.991,1151.8656,
1422.081,1130.8555,
1419.170,1154.7968,
1416.259,1166.9756,
1413.349,1199.0846,
1410.438,1208.875,
1407.528,1177.3317,
1404.617,1182.773,
1401.707,1162.3091,
1398.796,1113.3541,
1395.885,1113.0641,
1392.975,1117.2699,
1390.064,1061.0994,
1387.154,1031.6234,
1384.243,1061.1843,
1381.332,1029.6697,
1378.422,997.08263,
1375.511,1020.5021,
1372.601,1044.8358,
1369.690,1102.5945,
1366.780,1111.083,
1363.869,1181.3433,
1360.958,1174.204,
1358.048,1187.1339,
1355.137,1259.9177,
1352.227,1286.2866,
1349.316,1280.15,
1346.406,1320.0509,
1343.495,1338.145,
1340.584,1333.1956,
1337.674,1390.411,
1334.763,1395.1926,
1331.853,1403.5376,
1328.942,1399.4277,
1326.032,1450.2591,
1323.121,1406.3027,
1320.210,1456.1308,
1317.300,1490.875,
1314.389,1520.6811,
1311.479,1526.1567,
1308.568,1508.3691,
1305.657,1533.6513,
1302.747,1567.3072,
1299.836,1650.2779,
1296.926,1640.7551,
1294.015,1681.2053,
1291.105,1670.5474,
1288.194,1742.3594,
1285.283,1720.7788,
1282.373,1740.9452,
1279.462,1751.9928,
1276.552,1768.9617,
1273.641,1792.1809,
1270.731,1782.581,
1267.820,1783.9524,
1264.909,1785.3469,
1261.999,1738.3077,
1259.088,1750.1653,
1256.178,1773.9993,
1253.267,1718.8009,
1250.356,1686.6527,
1247.446,1707.4512,
1244.535,1699.6206,
1241.625,1679.1416,
1238.714,1689.2523,
1235.804,1684.8168,
1232.893,1673.6254,
1229.982,1673.5615,
1227.072,1723.3537,
1224.161,1695.7764,
1221.251,1646.6935,
1218.340,1604.6669,
1215.430,1612.4469,
1212.519,1603.2567,
1209.608,1572.0013,
1206.698,1573.3217,
1203.787,1566.8097,
1200.877,1571.875,
1197.966,1571.875,
1195.055,1600.0322,
1192.145,1644.6962,
1189.234,1723.403,
1186.324,1763.7846,
1183.413,1778.0324,
1180.503,1841.1261,
1177.592,1904.0964,
1174.681,1787.2688,
1171.771,1797.4313,
1168.860,1821.5448,
1165.950,1817.4247,
1163.039,1804.7006,
1160.129,1799.875,
1157.218,1819.5852,
1154.307,1830.1153,
1151.397,1815.0031,
1148.486,1829.4197,
1145.576,1857.8683,
1142.665,1788.6111,
1139.754,1794.2658,
1136.844,1852.1989,
1133.933,1837.1656,
1131.023,1788.6307,
1128.112,1784.8721,
1125.202,1808.7977,
1122.291,1770.875,
1119.380,1770.6758,
1116.470,1750.3776,
1113.559,1716.945,
1110.649,1712.4589,
1107.738,1718.6257,
1104.828,1714.8013,
1101.917,1695.1113,
1099.006,1676.0811,
1096.096,1696.4663,
1093.185,1706.1243,
1090.275,1709.3028,
1087.364,1733.2032,
1084.453,1758.4991,
1081.543,1744.8964,
1078.632,1730.7385,
1075.722,1775.5168,
1072.811,1797.6411,
1069.901,1766.2037,
1066.990,1745.2834,
1064.079,1737.4724,
1061.169,1730.352,
1058.258,1716.9818,
1055.348,1716.9273,
1052.437,1742.7592,
1049.527,1727.9156,
1046.616,1754.8493,
1043.705,1703.9214,
1040.795,1729.3778,
1037.884,1738.7143,
1034.974,1721.5232,
1032.063,1718.498,
1029.153,1725.4209,
1026.242,1713.3115,
1023.331,1707.8753,
1020.421,1760.5518,
1017.510,1778.8325,
1014.600,1783.7565,
1011.689,1789.6035,
1008.778,1776.9538,
1005.868,1794.4271,
1002.957,1744.5266,
1000.047,1823.507,
997.136,1869.3835,
994.226,1897.6132,
991.315,1904.7389,
988.404,1859.2821,
985.494,1814.3571,
982.583,1791.2301,
979.673,1799.5813,
976.762,1802.1137,
973.852,1813.2513,
970.941,1811.6849,
968.030,1777.3375,
965.120,1813.986,
962.209,1840.4148,
959.299,1791.0481,
956.388,1807.5125,
953.477,1818.5567,
950.567,1808.129,
947.656,1859.6603,
944.746,1880.8992,
941.835,1839.7647,
938.925,1871.3322,
936.014,1910.5789,
933.103,1908.1017,
930.193,1876.6692,
927.282,1896.1958,
924.372,1902.115,
921.461,1891.0926,
918.551,1864.2186,
915.640,1845.3253,
912.729,1829.5306,
909.819,1799.5448,
906.908,1827.3448,
903.998,1824.8982,
