,PLBA93~1,
Raman shift [1/cm],Intensity,
2216.669,2208.0225,
2213.758,2259.6303,
2210.847,2264.3404,
2207.937,2341.2454,
2205.026,2318.7352,
2202.116,2349.6558,
2199.205,2376.1118,
2196.294,2429.5269,
2193.384,2445.7045,
2190.473,2485.956,
2187.563,2588.5573,
2184.652,2583.3605,
2181.742,2655.6733,
2178.831,2721.1776,
2175.920,2769.5977,
2173.010,2864.9555,
2170.099,2950.5516,
2167.189,2987.8018,
2164.278,3166.1788,
2161.368,3284.6216,
2158.457,3416.0509,
2155.546,3551.7587,
2152.636,3645.5823,
2149.725,3779.3095,
2146.815,3893.455,
2143.904,3965.3499,
2140.993,4043.3179,
2138.083,4099.4366,
2135.172,4090.1712,
2132.262,4083.3732,
2129.351,4076.5836,
2126.441,3990.6927,
2123.530,3833.0761,
2120.619,3684.653,
2117.709,3557.9422,
2114.798,3372.0591,
2111.888,3241.0279,
2108.977,3094.0687,
2106.067,2961.4451,
2103.156,2874.7962,
2100.245,2805.588,
2097.335,2744.9391,
2094.424,2711.3229,
2091.514,2642.9099,
2088.603,2617.8924,
2085.692,2595.1714,
2082.782,2589.8499,
2079.871,2589.9109,
2076.961,2581.2708,
2074.050,2587.8008,
2071.140,2568.5678,
2068.229,2549.6315,
2065.318,2525.5495,
2062.408,2531.1409,
2059.497,2550.3988,
2056.587,2524.602,
2053.676,2513.5419,
2050.766,2548.6228,
2047.855,2486.3939,
2044.944,2512.226,
2042.034,2511.047,
2039.123,2519.3657,
2036.213,2532.3739,
2033.302,2530.386,
2030.391,2538.0822,
2027.481,2551.8323,
2024.570,2599.9809,
2021.660,2545.5867,
2018.749,2566.5245,
2015.839,2620.0056,
2012.928,2644.7408,
2010.017,2606.7553,
2007.107,2609.6045,
2004.196,2616.3631,
2001.286,2595.3529,
1998.375,2588.625,
1995.465,2581.5455,
1992.554,2597.1543,
1989.643,2594.7978,
1986.733,2557.6583,
1983.822,2592.9197,
1980.912,2600.4675,
1978.001,2624.9478,
1975.090,2595.0082,
1972.180,2609.8311,
1969.269,2618.625,
1966.359,2630.9495,
1963.448,2622.2842,
1960.538,2643.4048,
1957.627,2636.2504,
1954.716,2693.8727,
1951.806,2678.625,
1948.895,2669.698,
1945.985,2614.7525,
1943.074,2629.0901,
1940.164,2603.5577,
1937.253,2625.7288,
1934.342,2650.5651,
1931.432,2620.5335,
1928.521,2631.549,
1925.611,2607.7033,
1922.700,2616.3681,
1919.790,2630.3764,
1916.879,2659.5325,
1913.968,2629.6643,
1911.058,2680.0034,
1908.147,2710.4367,
1905.237,2690.4191,
1902.326,2695.7346,
1899.415,2682.9262,
1896.505,2652.0648,
1893.594,2664.5335,
1890.684,2689.3765,
1887.773,2723.754,
1884.863,2712.215,
1881.952,2690.8601,
1879.041,2685.8685,
1876.131,2696.2119,
1873.220,2716.9304,
1870.310,2661.1453,
1867.399,2706.8093,
1864.489,2699.5986,
1861.578,2722.5976,
1858.667,2716.8795,
1855.757,2742.8207,
1852.846,2734.0558,
1849.936,2720.8322,
1847.025,2771.9827,
1844.114,2767.9262,
1841.204,2808.5096,
1838.293,2812.6483,
1835.383,2821.0315,
1832.472,2851.4859,
1829.562,2851.3206,
1826.651,2847.9926,
1823.740,2847.1691,
1820.830,2853.5699,
1817.919,2837.7087,
1815.009,2847.3247,
1812.098,2855.0108,
1809.188,2956.9271,
1806.277,2909.8423,
1803.366,2924.7747,
1800.456,2930.0528,
1797.545,2870.1001,
1794.635,2893.5261,
1791.724,2952.1396,
1788.813,2952.435,
1785.903,2998.1637,
1782.992,3020.4088,
1780.082,2949.8174,
1777.171,2958.2985,
1774.261,2992.3852,
1771.350,3020.6848,
1768.439,3043.1785,
1765.529,3039.8055,
1762.618,3022.4456,
1759.708,3046.3427,
1756.797,3088.3068,
1753.887,3097.1891,
1750.976,3085.8318,
1748.065,3094.8293,
1745.155,3096.0444,
1742.244,3116.4483,
1739.334,3148.1121,
1736.423,3155.2119,
1733.512,3214.2918,
