,PL1DEA~1,
Wavenumbers [1/cm],Intensity,
2175.920,145.05168,
2173.010,159.80187,
2170.099,145.47767,
2167.189,159.89653,
2164.278,165.22274,
2161.368,173.73276,
2158.457,160.45137,
2155.546,168.84425,
2152.636,161.93887,
2149.725,170.85485,
2146.815,197.07415,
2143.904,201.06832,
2140.993,179.28777,
2138.083,168.53454,
2135.172,197.24485,
2132.262,204.73856,
2129.351,210.44748,
2126.441,206.80702,
2123.530,195.96479,
2120.619,201.53565,
2117.709,187.66606,
2114.798,185.99034,
2111.888,173.21279,
2108.977,182.13329,
2106.067,171.91556,
2103.156,172.03385,
2100.245,175.87563,
2097.335,176.15249,
2094.424,171.11435,
2091.514,170.44488,
2088.603,175.94409,
2085.692,187.2393,
2082.782,181.09995,
2079.871,179.51794,
2076.961,199.51886,
2074.050,174.53561,
2071.140,170.44951,
2068.229,187.68489,
2065.318,195.19575,
2062.408,174.62464,
2059.497,180.72027,
2056.587,196.58429,
2053.676,195.24177,
2050.766,206.87425,
2047.855,171.33067,
2044.944,185.41186,
2042.034,178.71897,
2039.123,192.63594,
2036.213,190.37717,
2033.302,200.33115,
2030.391,205.41779,
2027.481,205.05785,
2024.570,201.13232,
2021.660,199.875,
2018.749,225.53309,
2015.839,214.18471,
2012.928,197.5646,
2010.017,201.82288,
2007.107,204.20023,
2004.196,204.43453,
2001.286,213.52163,
1998.375,224.1378,
1995.465,192.26429,
1992.554,203.03365,
1989.643,219.39111,
1986.733,217.16272,
1983.822,196.18519,
1980.912,243.76535,
1978.001,211.62082,
1975.090,211.26584,
1972.180,207.63432,
1969.269,219.68828,
1966.359,220.60455,
1963.448,231.8684,
1960.538,226.70235,
1957.627,213.1753,
1954.716,226.4441,
1951.806,229.57693,
1948.895,224.64017,
1945.985,228.44526,
1943.074,217.82711,
1940.164,206.29811,
1937.253,208.875,
1934.342,207.86644,
1931.432,227.08005,
1928.521,235.38104,
1925.611,213.85571,
1922.700,231.40953,
1919.790,228.40112,
1916.879,218.50275,
1913.968,227.8627,
1911.058,264.28941,
1908.147,241.34361,
1905.237,238.07353,
1902.326,245.46758,
1899.415,232.71032,
1896.505,176.31485,
1893.594,187.875,
1890.684,187.875,
1887.773,223.10687,
1884.863,264.18252,
1881.952,254.74018,
1879.041,261.24832,
1876.131,255.28808,
1873.220,238.92804,
1870.310,249.87049,
1867.399,262.68308,
1864.489,235.1476,
1861.578,244.39678,
1858.667,265.35407,
1855.757,240.49075,
1852.846,231.92113,
1849.936,248.59673,
1847.025,231.93095,
1844.114,253.32444,
1841.204,271.73864,
1838.293,265.39745,
1835.383,245.31701,
1832.472,273.67848,
1829.562,278.34974,
1826.651,263.77234,
1823.740,282.98615,
1820.830,244.57538,
1817.919,256.12067,
1815.009,263.58747,
1812.098,262.97736,
1809.188,285.38658,
1806.277,254.60535,
1803.366,262.07646,
1800.456,216.68859,
1797.545,251.37837,
1794.635,283.55296,
1791.724,270.18565,
1788.813,287.88271,
1785.903,299.2123,
1782.992,268.33703,
1780.082,266.14623,
1777.171,161.5238,
1774.261,112.76036,
1771.350,184.24152,
1768.439,261.62188,
1765.529,287.42131,
1762.618,314.61567,
1759.708,298.02677,
1756.797,296.45076,
1753.887,335.77296,
1750.976,341.28534,
1748.065,340.875,
1745.155,330.65572,
1742.244,342.75269,
1739.334,321.06324,
1736.423,323.83199,
1733.512,332.33029,
1730.602,348.58336,
1727.691,352.33968,
1724.781,335.35689,
1721.870,339.72743,
1718.960,369.00866,
1716.049,354.73961,
1713.138,373.10489,
1710.228,355.98787,
1707.317,362.60529,
1704.407,380.94455,
1701.496,358.26321,
1698.586,392.83438,
1695.675,394.93929,
1692.764,382.56762,
1689.854,342.65057,
1686.943,368.89696,
1684.033,425.45933,
1681.122,398.36778,
1678.211,384.99873,
1675.301,407.80408,
1672.390,366.85406,
1669.480,360.21192,
1666.569,402.56058,
1663.659,455.53202,
1660.748,435.49202,
1657.837,466.19704,
1654.927,435.47671,
1652.016,419.77407,
1649.106,455.18953,
1646.195,428.57032,
1643.285,457.01172,
1640.374,462.45688,
1637.463,443.77573,
1634.553,492.37255,
1631.642,459.81964,
1628.732,545.75649,
1625.821,525.86584,
1622.911,511.95389,
1620.000,579.01829,
1617.089,556.35261,
1614.179,593.77516,
1611.268,614.13144,
1608.358,600.57735,
1605.447,669.64699,
1602.536,623.5531,
1599.626,679.67064,
1596.715,703.93462,
1593.805,670.99606,
1590.894,693.2951,
1587.984,692.54454,
1585.073,666.3505,
1582.162,671.05875,
1579.252,663.87369,
1576.341,652.26224,
1573.431,670.23753,
1570.520,667.46685,
1567.610,649.2277,
1564.699,629.3744,
1561.788,628.80453,
1558.878,611.75763,
