,PLB08E~1,
Wavenumbers [1/cm],Intensity,
2170.099,523.20386,
2167.189,551.30137,
2164.278,591.09246,
2161.368,584.2852,
2158.457,605.59068,
2155.546,618.87884,
2152.636,616.60639,
2149.725,620.99328,
2146.815,650.99893,
2143.904,650.60594,
2140.993,663.60319,
2138.083,667.75375,
2135.172,677.05038,
2132.262,668.49648,
2129.351,684.36907,
2126.441,686.46601,
2123.530,650.52753,
2120.619,687.91781,
2117.709,629.41787,
2114.798,630.43852,
2111.888,623.1132,
2108.977,599.73509,
2106.067,585.14109,
2103.156,606.63538,
2100.245,564.02258,
2097.335,597.47121,
2094.424,577.80325,
2091.514,572.21235,
2088.603,569,
2085.692,561.9071,
2082.782,583.15245,
2079.871,586.60677,
2076.961,593.4188,
2074.050,593.58182,
2071.140,600.81642,
2068.229,581.99348,
2065.318,586.938,
2062.408,582.49244,
2059.497,593.82144,
2056.587,592.48851,
2053.676,595.53293,
2050.766,603.46114,
2047.855,592.37346,
2044.944,574.05929,
2042.034,591.63003,
2039.123,585.70034,
2036.213,590.32667,
2033.302,606.67369,
2030.391,599.03444,
2027.481,609.57297,
2024.570,622.05701,
2021.660,604.18259,
2018.749,614,
2015.839,612.38583,
2012.928,604.52853,
2010.017,610.07817,
2007.107,601.90654,
2004.196,619.47626,
2001.286,634.16609,
1998.375,628.21653,
1995.465,592.38929,
1992.554,581.24707,
1989.643,600.30873,
1986.733,592.16053,
1983.822,595.14106,
1980.912,596.22774,
1978.001,601.38962,
1975.090,595.06105,
1972.180,574.8617,
1969.269,588.0575,
1966.359,589.16209,
1963.448,597.68825,
1960.538,603.62302,
1957.627,599.54179,
1954.716,568.89053,
1951.806,610.35418,
1948.895,597.61741,
1945.985,587.8513,
1943.074,561.68263,
1940.164,568.84622,
1937.253,567.11319,
1934.342,565.56417,
1931.432,590.8959,
1928.521,588.41451,
1925.611,581.44154,
1922.700,581.20856,
1919.790,574.97117,
1916.879,576.79075,
1913.968,572.00615,
1911.058,597.009,
1908.147,582.07006,
1905.237,576.59559,
1902.326,579.79111,
1899.415,577.40731,
1896.505,572.30728,
1893.594,585.81405,
1890.684,574.89555,
1887.773,574.32715,
1884.863,587,
1881.952,587,
1879.041,594.5649,
1876.131,616.54509,
1873.220,564.34048,
1870.310,581.99098,
1867.399,612.53619,
1864.489,588.81781,
1861.578,606.10462,
1858.667,576.09283,
1855.757,566.39499,
1852.846,578.28203,
1849.936,593.37238,
1847.025,586.41119,
1844.114,609.11772,
1841.204,643.51049,
1838.293,624.04158,
1835.383,602.8255,
1832.472,629.72174,
1829.562,640.25078,
1826.651,619.22179,
1823.740,606.63218,
1820.830,603.45668,
1817.919,625.80254,
1815.009,628.4313,
1812.098,644.15747,
1809.188,700.40297,
1806.277,637.50497,
1803.366,644.95009,
1800.456,641.39547,
1797.545,635.5175,
1794.635,676.64595,
1791.724,652.51458,
1788.813,653.61106,
1785.903,684.24809,
1782.992,693.46057,
1780.082,745.67349,
1777.171,699.98338,
1774.261,655.88536,
1771.350,682.251,
1768.439,684.36301,
1765.529,701.54631,
1762.618,709.89876,
1759.708,690.52151,
1756.797,700.73485,
1753.887,716.15306,
1750.976,718.79319,
1748.065,723.31336,
1745.155,715.89036,
1742.244,724.91846,
1739.334,724.83765,
1736.423,721.29346,
1733.512,748.65048,
1730.602,752.26785,
1727.691,740.02041,
