,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_mix_1E-4mgL_16h_785nm_133mW_3s_1acc_3_RamanShift__0__44,
Raman shift [1/cm],Intensity,
3014.167,0.5,
3011.256,-3.6000215,
3008.346,47.845836,
3005.435,65.651941,
3002.525,66.802573,
2999.614,51.7286,
2996.704,69.181443,
2993.793,66.26152,
2990.882,68.232767,
2987.972,81.53027,
2985.061,83.066497,
2982.151,82.784038,
2979.240,69.248086,
2976.329,90.770476,
2973.419,84.915662,
2970.508,84.59994,
2967.598,86.738956,
2964.687,90.067256,
2961.777,90.311984,
2958.866,105.52227,
2955.955,92.953518,
2953.045,115.03243,
2950.134,117.59623,
2947.224,126.12991,
2944.313,103.61253,
2941.403,114.96487,
2938.492,118.77642,
2935.581,107.45707,
2932.671,124.81757,
2929.760,108.75769,
2926.850,107.39549,
2923.939,119.74301,
2921.028,121.82954,
2918.118,130.0403,
2915.207,128.96831,
2912.297,124.50846,
2909.386,122.69708,
2906.476,129.56179,
2903.565,136.29037,
2900.654,135.5,
2897.744,104.73887,
2894.833,121.85055,
2891.923,117.0673,
2889.012,128.29191,
2886.102,125.68784,
2883.191,100.52266,
2880.280,103.33731,
2877.370,83.715119,
2874.459,59.959274,
2871.549,103.60549,
2868.638,126.09175,
2865.727,126.21153,
2862.817,130.22861,
2859.906,136.47436,
2856.996,142.4366,
2854.085,145.0567,
2851.175,132.69273,
2848.264,133.58317,
2845.353,132.45687,
2842.443,133.29513,
2839.532,132.0672,
2836.622,136.89323,
2833.711,136.65542,
2830.801,143.99632,
2827.890,128.33216,
2824.979,125.06798,
2822.069,154.35216,
2819.158,142.64016,
2816.248,140.01737,
2813.337,142.18048,
2810.427,152.27961,
2807.516,152.44969,
2804.605,146.93029,
2801.695,157.02633,
2798.784,147.53492,
2795.874,144.06992,
2792.963,154.50021,
2790.052,141.50386,
2787.142,144.27635,
2784.231,148.20963,
2781.321,140.05998,
2778.410,139.72461,
2775.500,150.03172,
2772.589,156.07722,
2769.678,157.71503,
2766.768,153.68835,
2763.857,157.71195,
2760.947,163.46217,
2758.036,157.5,
2755.126,143.30342,
2752.215,149.92715,
2749.304,162.43523,
2746.394,157.04029,
2743.483,162.65002,
2740.573,166.59738,
2737.662,147.74408,
2734.751,157.4758,
2731.841,166.87913,
2728.930,152.37715,
2726.020,154.61748,
2723.109,158.61342,
2720.199,158.44058,
2717.288,163.32482,
2714.377,164.98328,
2711.467,168.90989,
2708.556,163.89368,
2705.646,169.95073,
2702.735,175.84021,
2699.825,177.11998,
2696.914,161.78544,
2694.003,178.5,
2691.093,169.12456,
2688.182,161.31852,
2685.272,175.4559,
2682.361,180.19432,
2679.450,181.82506,
