,PL6F2C~1,
Wavenumbers [1/cm],Intensity,
2173.010,205.57596,
2170.099,209.38343,
2167.189,219.20695,
2164.278,215.59774,
2161.368,233.82088,
2158.457,238.04834,
2155.546,232.73462,
2152.636,218.13303,
2149.725,241.04192,
2146.815,258.84957,
2143.904,256.94518,
2140.993,244.31879,
2138.083,241.61474,
2135.172,251.67023,
2132.262,246.85475,
2129.351,270.72261,
2126.441,249.44408,
2123.530,259.21633,
2120.619,252.12173,
2117.709,228.09581,
2114.798,223.14989,
2111.888,221.08689,
2108.977,222.80628,
2106.067,223.0754,
2103.156,225.25,
2100.245,193.26506,
2097.335,217.97251,
2094.424,217.02691,
2091.514,199.03765,
2088.603,201.77535,
2085.692,220.75546,
2082.782,227.88859,
2079.871,226.07147,
2076.961,219.70205,
2074.050,224.91061,
2071.140,216.31912,
2068.229,212.23697,
2065.318,224.80525,
2062.408,211.86347,
2059.497,213.26787,
2056.587,230.59865,
2053.676,239.33308,
2050.766,227.32773,
2047.855,202.81958,
2044.944,224.51121,
2042.034,234.98405,
2039.123,224.65067,
2036.213,218.4255,
2033.302,232.14085,
2030.391,230.19989,
2027.481,218.96948,
2024.570,219.40717,
2021.660,216.42739,
2018.749,242.75612,
2015.839,227.96325,
2012.928,220.14598,
2010.017,238.38029,
2007.107,221.96961,
2004.196,227.07148,
2001.286,238.43728,
1998.375,221.94094,
1995.465,238.84821,
1992.554,212.82087,
1989.643,205.35369,
1986.733,198.17982,
1983.822,187.71381,
1980.912,233.32873,
1978.001,218.89379,
1975.090,210.92784,
1972.180,188.4561,
1969.269,188.1925,
1966.359,166.33089,
1963.448,201.35041,
1960.538,208.32339,
1957.627,175.04255,
1954.716,167.36491,
1951.806,182.79002,
1948.895,207.14886,
1945.985,180.82843,
1943.074,199.38677,
1940.164,165.8751,
1937.253,180.70638,
1934.342,177.65161,
1931.432,187.60962,
1928.521,187.66451,
1925.611,177.80846,
1922.700,191.49585,
1919.790,178.88602,
1916.879,166.01724,
1913.968,177.23525,
1911.058,214.95569,
1908.147,155.97702,
1905.237,163.47792,
1902.326,155.63369,
1899.415,174.60975,
1896.505,150.10517,
1893.594,132.24091,
1890.684,150.76634,
1887.773,151.82757,
1884.863,157.99032,
1881.952,184.96476,
1879.041,177.85072,
1876.131,179.57941,
1873.220,169.04641,
1870.310,174.676,
1867.399,211.65824,
1864.489,161.1457,
1861.578,185.39819,
1858.667,197.88778,
1855.757,155.82637,
1852.846,179.73719,
1849.936,175.87762,
1847.025,179.66363,
1844.114,175.27354,
1841.204,188.01573,
1838.293,184.26996,
1835.383,185.36599,
1832.472,200.99435,
1829.562,204.8888,
1826.651,192.94201,
1823.740,198.16956,
1820.830,182.18683,
1817.919,190.90878,
1815.009,190.82506,
1812.098,194.73819,
1809.188,231.83131,
1806.277,153.08694,
1803.366,220.2851,
1800.456,165.61316,
1797.545,206.52658,
1794.635,211.44303,
1791.724,226.91019,
1788.813,231.05103,
1785.903,232.84303,
1782.992,224.22614,
1780.082,224.69797,
1777.171,205.55886,
1774.261,135.05542,
1771.350,169.667,
1768.439,183.84807,
1765.529,221.70745,
1762.618,230.58748,
1759.708,208.49988,
1756.797,223.06818,
1753.887,240.17274,
1750.976,261.60536,
1748.065,265.1179,
1745.155,265.83058,
1742.244,240.12958,
1739.334,233.83588,
1736.423,246.02195,
1733.512,249.25,
1730.602,276.17861,
1727.691,240.72569,
1724.781,258.71306,
1721.870,270.46907,
1718.960,300.85036,
1716.049,277.04691,
1713.138,269.54001,
1710.228,287.52624,
1707.317,275.21229,
1704.407,263.36763,
1701.496,308.73894,
1698.586,279.06258,
1695.675,303.38555,
1692.764,281.58195,
1689.854,286.94685,
1686.943,289.18255,
1684.033,300.95197,
1681.122,315.99511,
1678.211,288.51649,
1675.301,287.25308,
1672.390,287.20813,
1669.480,273.52275,
1666.569,307.99906,
1663.659,365.93968,
1660.748,347.0379,
1657.837,337.27788,
1654.927,383.01571,
1652.016,372.69112,
1649.106,349.56453,
1646.195,324.00028,
1643.285,395.47787,
1640.374,404.5183,
1637.463,371.38492,
1634.553,433.30911,
1631.642,437.35858,
1628.732,447.30925,
1625.821,457.27421,
1622.911,494.0415,
1620.000,506.09882,
1617.089,554.27487,
