,PLB9E1~1,
Wavenumbers [1/cm],Intensity,
2173.010,419.92659,
2170.099,434.55754,
2167.189,436.51737,
2164.278,421.33153,
2161.368,430.48083,
2158.457,452.54148,
2155.546,452.35193,
2152.636,454.14097,
2149.725,445.96729,
2146.815,469.75741,
2143.904,464.41684,
2140.993,451.14344,
2138.083,472.98974,
2135.172,483.04523,
2132.262,484.48856,
2129.351,496.99407,
2126.441,491.13953,
2123.530,519.625,
2120.619,513.84543,
2117.709,471.82387,
2114.798,467.27898,
2111.888,477.93784,
2108.977,462.36009,
2106.067,440.18231,
2103.156,458.38055,
2100.245,440.64131,
2097.335,465.78207,
2094.424,457.94955,
2091.514,446.54699,
2088.603,439.42222,
2085.692,432.39458,
2082.782,428.15911,
2079.871,463.30527,
2076.961,468.75416,
2074.050,477.47955,
2071.140,474.94681,
2068.229,477.98567,
2065.318,477.41474,
2062.408,471.60987,
2059.497,478.03572,
2056.587,479.49713,
2053.676,474.54192,
2050.766,477.31708,
2047.855,466.71044,
2044.944,469.09295,
2042.034,465.625,
2039.123,481.60816,
2036.213,493.60936,
2033.302,501.68973,
2030.391,497.06654,
2027.481,494.50291,
2024.570,494.56799,
2021.660,487.0389,
2018.749,504.90318,
2015.839,487.16306,
2012.928,497.52098,
2010.017,510.56093,
2007.107,495.90539,
2004.196,511.27978,
2001.286,529.10554,
1998.375,531.05807,
1995.465,493.22768,
1992.554,473.10744,
1989.643,510.24245,
1986.733,490.92939,
1983.822,483.84435,
1980.912,511.7534,
1978.001,501.76044,
1975.090,518.18837,
1972.180,510.90296,
1969.269,501.21125,
1966.359,498.65186,
1963.448,498.19964,
1960.538,503.05953,
1957.627,499.16679,
1954.716,527.76319,
1951.806,501.37661,
1948.895,499.43063,
1945.985,521.89298,
1943.074,522.84659,
1940.164,500.80788,
1937.253,508.30776,
1934.342,506.18917,
1931.432,520.55245,
1928.521,520.42984,
1925.611,514.02114,
1922.700,499.17058,
1919.790,508.54393,
1916.879,516.2065,
1913.968,507.63607,
1911.058,530.74813,
1908.147,543.03811,
1905.237,522.40443,
1902.326,533.3613,
1899.415,513.92619,
1896.505,478.75757,
1893.594,494.98175,
1890.684,504.49431,
1887.773,508.13343,
1884.863,541.68878,
1881.952,544.37263,
1879.041,546.94639,
1876.131,523.56488,
1873.220,537.67375,
1870.310,564.75949,
1867.399,548.91288,
1864.489,533.8976,
1861.578,543.05338,
1858.667,565.59806,
1855.757,559.22643,
1852.846,553.10194,
1849.936,540.53191,
1847.025,534.51066,
1844.114,540.94978,
1841.204,577.58654,
1838.293,573.14246,
1835.383,569.72949,
1832.472,611.20761,
1829.562,599.21327,
1826.651,591.61677,
1823.740,601.99282,
1820.830,590.50677,
1817.919,596.39752,
1815.009,581.50032,
1812.098,586.70374,
1809.188,606.38465,
1806.277,560.68733,
1803.366,604.34218,
1800.456,588.22953,
1797.545,600.65327,
1794.635,625.91408,
1791.724,656.50856,
1788.813,629.62371,
1785.903,626.09399,
1782.992,626.82023,
1780.082,596.90885,
1777.171,497.93975,
1774.261,461.11066,
1771.350,548.09776,
1768.439,610.79748,
1765.529,651.7195,
1762.618,664.47936,
1759.708,634.72264,
1756.797,633.29924,
1753.887,675.26785,
1750.976,674.21794,
1748.065,670.29934,
1745.155,687.20558,
1742.244,685.3415,
1739.334,659.02971,
1736.423,688.1913,
1733.512,685.70625,
1730.602,695.08137,
1727.691,699.08968,
1724.781,724.58203,
1721.870,725.99163,
1718.960,728.73616,
1716.049,717.87935,
1713.138,725.02995,
1710.228,736.19827,
1707.317,749.12443,
1704.407,751.5234,
1701.496,737.04024,
1698.586,725.46117,
1695.675,764.86047,
1692.764,736.38318,
1689.854,719.3179,
1686.943,756.3097,
1684.033,739.09689,
1681.122,769.09823,
1678.211,749.81535,
1675.301,786.51091,
1672.390,770.67883,
1669.480,788.82555,
1666.569,813.99318,
1663.659,841.92271,
1660.748,800.22273,
1657.837,831.04052,
1654.927,849.67186,
1652.016,851.91659,
1649.106,863.06194,
1646.195,841.17646,
1643.285,864.3086,
1640.374,893.12326,
1637.463,870.868,
1634.553,939.20134,
1631.642,978.05932,
1628.732,1017.5065,
1625.821,997.62827,
1622.911,1002.5968,
1620.000,1033.2344,
1617.089,1097.3315,
1614.179,1130.6944,
1611.268,1161.4725,
1608.358,1210.2838,
1605.447,1226.768,
1602.536,1245.3309,
1599.626,1246.625,
1596.715,1299.2659,
1593.805,1270.6404,
1590.894,1272.7897,
1587.984,1254.571,
1585.073,1215.8907,
1582.162,1208.7901,
1579.252,1217.6263,
1576.341,1218.0229,
1573.431,1158.1038,
1570.520,1158.4413,
1567.610,1158.4092,
1564.699,1163.1503,
1561.788,1188.8642,
1558.878,1155.6109,
1555.967,1125.715,
1553.057,1136.5731,
1550.146,1111.8251,
1547.235,1110.6961,
1544.325,1125.7561,
1541.414,1132.0256,
1538.504,1118.6419,
1535.593,1109.4156,
1532.683,1104.3026,
1529.772,1092.5062,
1526.861,1102.4529,
1523.951,1106.2705,
1521.040,1109.5318,
1518.130,1144.0739,
1515.219,1177.3054,
1512.309,1152.9718,
1509.398,1121.6991,
1506.487,1128.1603,
1503.577,1139.3311,
1500.666,1139.9754,
1497.756,1156.4891,
1494.845,1128.5439,
1491.934,1078.5904,
1489.024,1068.0029,
1486.113,1097.2959,
1483.203,1137.8162,
1480.292,1082.3807,
1477.382,1108.8044,
1474.471,1105.3469,
1471.560,1067.5187,
1468.650,1062.141,
1465.739,1057.9391,
1462.829,1076.9009,
1459.918,1105.8848,
1457.008,1098.8555,
1454.097,1085.7844,
1451.186,1084.803,
1448.276,1074.4112,
1445.365,1060.016,
1442.455,1035.1651,
1439.544,1031.5415,
1436.633,1038.6538,
1433.723,1029.7345,
1430.812,1065.9944,
1427.902,1070.9181,
1424.991,1083.2391,
1422.081,1058.8531,
1419.170,1066.1297,
1416.259,1062.7646,
1413.349,1093.3451,
