,PLDA33~1,
Wavenumbers [1/cm],Intensity,
2173.010,443.05244,
2170.099,439.27678,
2167.189,449.02569,
2164.278,469.875,
2161.368,460.16189,
2158.457,454.51459,
2155.546,478.75384,
2152.636,476.48139,
2149.725,510.82799,
2146.815,508.20869,
2143.904,497.6891,
2140.993,533.03901,
2138.083,529.5802,
2135.172,527.28683,
2132.262,531.6162,
2129.351,543.73371,
2126.441,530.32155,
2123.530,537.74031,
2120.619,524.63652,
2117.709,506.06381,
2114.798,480.14812,
2111.888,479.18784,
2108.977,462.33857,
2106.067,453.84149,
2103.156,468.71203,
2100.245,456.88629,
2097.335,473.30956,
2094.424,456.36996,
2091.514,441.37771,
2088.603,439.22987,
2085.692,449.01616,
2082.782,475.71828,
2079.871,491.73264,
2076.961,477.0374,
2074.050,479.14773,
2071.140,465.19681,
2068.229,462.24871,
2065.318,454.46801,
2062.408,458.92039,
2059.497,466.09525,
2056.587,484.93294,
2053.676,468.64296,
2050.766,479.56633,
2047.855,433.30219,
2044.944,447.20994,
2042.034,451.16991,
2039.123,476.8548,
2036.213,466.47274,
2033.302,476.52686,
2030.391,477.77374,
2027.481,483.75291,
2024.570,499.83185,
2021.660,464.24017,
2018.749,500.00122,
2015.839,477.875,
2012.928,480.86326,
2010.017,493.47218,
2007.107,487.989,
2004.196,479.01788,
2001.286,491.52163,
1998.375,502.1378,
1995.465,474.19732,
1992.554,487.78658,
1989.643,467.70453,
1986.733,482.39342,
1983.822,475.99095,
1980.912,484.54792,
1978.001,474.57816,
1975.090,482.48416,
1972.180,481.28856,
1969.269,474.8175,
1966.359,458.7938,
1963.448,487.47871,
1960.538,498.25198,
1957.627,463.10098,
1954.716,455.96118,
1951.806,493.13627,
1948.895,459.23736,
1945.985,458.55147,
1943.074,474.27719,
1940.164,468.98057,
1937.253,451.58372,
1934.342,439.78944,
1931.432,472.01696,
1928.521,469.10643,
1925.611,476.10201,
1922.700,504.86947,
1919.790,482.31462,
1916.879,442.52548,
1913.968,477.82828,
1911.058,501.63775,
1908.147,463.18163,
1905.237,503.72789,
1902.326,476.19352,
1899.415,467.08108,
1896.505,447.92328,
1893.594,464.32624,
1890.684,437.82947,
1887.773,453.6583,
1884.863,499.99345,
1881.952,500.59756,
1879.041,495.60553,
1876.131,486.73121,
1873.220,492.72016,
1870.310,503.15749,
1867.399,496.00295,
