,PL515B~1,
Wavenumbers [1/cm],Intensity,
3014.167,-3.5,
3011.256,2.2999571,
3008.346,21.581623,
3005.435,1.001769,
3002.525,24.557606,
2999.614,18.015609,
2996.704,23.64124,
2993.793,22.252304,
2990.882,19.370235,
2987.972,34.394056,
2985.061,17.046803,
2982.151,26.784038,
2979.240,18.46386,
2976.329,36.50546,
2973.419,25.946213,
2970.508,32.133287,
2967.598,19.404418,
2964.687,33.737771,
2961.777,32.474166,
2958.866,40.173101,
2955.955,33.776546,
2953.045,44.41723,
2950.134,37.584525,
2947.224,33.870095,
2944.313,43.803419,
2941.403,39.630931,
2938.492,37.201891,
2935.581,37.134344,
2932.671,39.302599,
2929.760,47.688454,
2926.850,34.022557,
2923.939,42.5,
2921.028,48.664768,
2918.118,51.319899,
2915.207,43.436621,
2912.297,49.453456,
2909.386,45.937944,
2906.476,31.671387,
2903.565,46.080741,
2900.654,51.840737,
2897.744,55.449711,
2894.833,50.675273,
2891.923,50.3109,
2889.012,49.956648,
2886.102,60.936481,
2883.191,79.48584,
2880.280,104.01676,
2877.370,81.761768,
2874.459,87.745148,
2871.549,59.276239,
2868.638,56.409277,
2865.727,52.157694,
2862.817,58.78609,
2859.906,41.665235,
2856.996,58.002264,
2854.085,78.626088,
2851.175,52.569312,
2848.264,42.784333,
2845.353,17.427382,
2842.443,51.91323,
2839.532,43.604459,
2836.622,51.955078,
2833.711,56.07771,
2830.801,47.608085,
2827.890,49.293724,
2824.979,62.067982,
2822.069,52.488628,
2819.158,53.780326,
2816.248,53.764474,
2813.337,65.13903,
2810.427,51.154273,
2807.516,60.12578,
2804.605,70.68269,
2801.695,57.881559,
2798.784,51.426077,
2795.874,45.763823,
2792.963,58.78553,
2790.052,51.500643,
2787.142,62.986885,
2784.231,61.113362,
2781.321,56.871397,
2778.410,52.064713,
2775.500,55.436553,
2772.589,54.846329,
2769.678,59.356646,
2766.768,59.876697,
2763.857,72.762041,
2760.947,61.487392,
2758.036,66.277111,
2755.126,66.309829,
2752.215,59.649928,
2749.304,60.606108,
2746.394,71.135073,
2743.483,68.550021,
2740.573,67.161516,
2737.662,55.5,
2734.751,56.058244,
2731.841,59.175825,
2728.930,68.398283,
2726.020,68.719329,
2723.109,69.15975,
2720.199,82.912565,
2717.288,79.481757,
2714.377,74.050158,
2711.467,80.959335,
2708.556,71.712631,
2705.646,72.274637,
2702.735,70.337632,
2699.825,69.609071,
2696.914,74.214558,
2694.003,82.701631,
2691.093,76.303843,
2688.182,81.972592,
2685.272,73.579658,
2682.361,72.923581,
2679.450,70.5,
2676.540,76.296759,
2673.629,66.5,
2670.719,79.346589,
2667.808,86.5,
2664.898,92.240273,
2661.987,79.599767,
2659.076,76.60991,
2656.166,71.612571,
2653.255,71.831635,
2650.345,76.5,
2647.434,80.414261,
2644.524,80.272186,
2641.613,99.329041,
2638.702,89.784059,
2635.792,84.873883,
2632.881,88.303659,
2629.971,84.5,
2627.060,83.999688,
2624.149,88.337497,
2621.239,98.014822,
2618.328,91.669549,
2615.418,95.5,
2612.507,95.5,
2609.597,96.408184,
2606.686,90.11044,
2603.775,94.261908,
2600.865,97.44197,
2597.954,93.883313,
2595.044,94.231616,
2592.133,85.614711,
2589.223,98.415798,
2586.312,99.962329,
2583.401,88.459841,
2580.491,94.389393,
2577.580,91.504951,
2574.670,93.946526,
2571.759,103.51027,
2568.848,92.742992,
2565.938,106.26199,
2563.027,91.938653,
2560.117,84.322423,
2557.206,103.29336,
2554.296,103.98513,
2551.385,101.062,
2548.474,115.27807,
2545.564,107.94318,
2542.653,123.03691,
2539.743,116.56161,
2536.832,90.356066,
2533.922,112.34231,
2531.011,108.54949,
2528.100,107.44071,
2525.190,124.91352,
2522.279,103.10967,
2519.369,112.78318,
2516.458,99.828613,
2513.548,113.91791,
2510.637,116.56148,
2507.726,118.12454,
2504.816,117.24972,
2501.905,120.36951,
2498.995,114.85831,
2496.084,118.66027,
2493.173,105.65761,
2490.263,112.0616,
2487.352,130.2496,
2484.442,121.36725,
2481.531,118.23931,
2478.621,113.2867,
2475.710,128.53067,
2472.799,128.55386,
2469.889,116.5,
2466.978,115.77836,
2464.068,129.86513,
2461.157,118.46248,
2458.247,126.76476,
2455.336,137.77594,
2452.425,122.66979,
2449.515,128.72662,
2446.604,131.50695,
2443.694,115.26726,
2440.783,136.60023,
2437.872,123.60939,
2434.962,123.87328,
2432.051,129.66691,
2429.141,136.38244,
2426.230,122.28229,
2423.320,133.64245,
2420.409,144.82703,
2417.498,145.67136,
2414.588,138.60272,
2411.677,110.7909,
2408.767,144.48819,
2405.856,150.41186,
2402.946,152.28552,
2400.035,152.99531,
2397.124,141.06149,
2394.214,146.1488,
2391.303,142.14092,
2388.393,125.55579,
2385.482,143.48658,
2382.571,136.36109,
2379.661,125.87209,
2376.750,138.07628,
2373.840,140.22503,
2370.929,142.45668,
2368.019,148.62006,
2365.108,155.91885,
2362.197,151.11095,
2359.287,158.28162,
2356.376,178.4683,
2353.466,161.57713,
2350.555,145.45014,
2347.645,145.57948,
2344.734,153.3203,
2341.823,155.51658,
2338.913,168.36864,
2336.002,157.75838,
2333.092,148.05187,
2330.181,160.36184,
2327.270,145.71012,
2324.360,162.5,
2321.449,160.23809,
2318.539,167.2462,
2315.628,176.40767,
2312.718,174.61674,
2309.807,166.93458,
2306.896,181.71283,
2303.986,173.1559,
2301.075,175.56385,
2298.165,182.0771,
2295.254,167.86623,
2292.344,171.86931,
2289.433,166.48454,
2286.522,173.28116,
2283.612,195.92094,
2280.701,188.51796,
2277.791,176.41985,
2274.880,176.63996,
2271.969,182.56584,
2269.059,192.90601,
2266.148,182.34307,
2263.238,165.50387,
2260.327,168.01745,
2257.417,187.78833,
2254.506,199.25505,
2251.595,204.08555,
2248.685,188.08079,
2245.774,174.78592,
2242.864,175.47255,
2239.953,189.72758,
2237.043,192.05857,
2234.132,186.79095,
2231.221,180.5,
2228.311,191.80798,
2225.400,199.72516,
2222.490,207.5,
2219.579,205.79048,
2216.669,201.00715,
2213.758,189.06339,
2210.847,180.27582,
2207.937,213.07487,
2205.026,212.16618,
