,PLFBEA~1,
Wavenumbers [1/cm],Intensity,
2627.060,251.41563,
2624.149,253.31876,
2621.239,247.25296,
2618.328,232.23355,
2615.418,265.08636,
2612.507,260.64724,
2609.597,252.39271,
2606.686,255.6456,
2603.775,267.42857,
2600.865,268.86606,
2597.954,259.7562,
2595.044,278.42848,
2592.133,259.85175,
2589.223,269.36475,
2586.312,294.47869,
2583.401,280.03469,
2580.491,275.40869,
2577.580,271.7302,
2574.670,263.62432,
2571.759,280.90667,
2568.848,278.51791,
2565.938,290.75,
2563.027,285.2614,
2560.117,282.74067,
2557.206,302.119,
2554.296,279.92162,
2551.385,289.94809,
2548.474,311.60205,
2545.564,285.73132,
2542.653,301.76006,
2539.743,300.39171,
2536.832,293.28084,
2533.922,302.73423,
2531.011,306.14963,
2528.100,306.55484,
2525.190,295.16885,
2522.279,310.99963,
2519.369,298.16495,
2516.458,302.08215,
2513.548,299.94092,
2510.637,308.04114,
2507.726,323.06597,
2504.816,302.62373,
2501.905,304.48902,
2498.995,305.64578,
2496.084,324.65595,
2493.173,311.43344,
2490.263,304.51386,
2487.352,313.58307,
2484.442,316.86989,
2481.531,331.59046,
2478.621,314.16227,
2475.710,331.61198,
2472.799,312.02356,
2469.889,316.93008,
2466.978,323.42014,
2464.068,315.04627,
2461.157,334.47758,
2458.247,321.60295,
2455.336,341.21578,
2452.425,333.8113,
2449.515,337.22194,
2446.604,341.75695,
2443.694,336.56416,
2440.783,337.51126,
2437.872,346.82293,
2434.962,345.07259,
2432.051,342.06495,
2429.141,334.80313,
2426.230,339.96771,
2423.320,347.83519,
2420.409,358.02587,
2417.498,339.34832,
2414.588,347.10738,
2411.677,332.1803,
2408.767,345.26772,
2405.856,370.38799,
2402.946,371.16019,
2400.035,371.53874,
2397.124,366.42379,
2394.214,377.26479,
2391.303,376.96003,
2388.393,354.80579,
2385.482,337.36687,
2382.571,329.26921,
2379.661,334.77302,
2376.750,359.64407,
2373.840,371.94683,
2370.929,350.02074,
2368.019,376.67733,
2365.108,392.26047,
2362.197,388.22116,
2359.287,404.09485,
2356.376,390.78522,
2353.466,414.63022,
2350.555,396.5151,
2347.645,395.42153,
2344.734,404.35832,
2341.823,395.949,
2338.913,395.99329,
2336.002,404.34567,
2333.092,399.73866,
2330.181,398.03132,
2327.270,378.01512,
2324.360,413.36319,
2321.449,419.87244,
2318.539,418.38916,
2315.628,421.26279,
2312.718,433.88217,
2309.807,422.15988,
2306.896,429.00978,
2303.986,421.87328,
2301.075,413.92019,
2298.165,413.75954,
2295.254,411.77154,
2292.344,429.06114,
2289.433,441.03954,
2286.522,445.66505,
2283.612,446.25891,
2280.701,453.59751,
2277.791,464.22903,
2274.880,450.89402,
2271.969,447.75,
2269.059,463.94893,
2266.148,447.56803,
2263.238,436.75,
2260.327,473.26691,
2257.417,442.83389,
2254.506,453.96368,
2251.595,459.17543,
2248.685,480.1634,
2245.774,450.70667,
2242.864,464.78739,
2239.953,475.65352,
2237.043,467.59464,
2234.132,462.98383,
2231.221,475.19973,
2228.311,483.01031,
2225.400,506.97516,
2222.490,510.66522,
2219.579,500.9557,
2216.669,505.30485,
2213.758,484.61796,
2210.847,491.03462,
2207.937,499.50569,
2205.026,520.52872,
2202.116,495.27442,
2199.205,505.41189,
2196.294,517.188,
2193.384,525.98651,
2190.473,518.59624,
2187.563,556.62433,
2184.652,533.15979,
2181.742,542.31763,
2178.831,537.46598,
2175.920,543.00137,
2173.010,578.00283,
2170.099,574.41864,
2167.189,593.6926,
2164.278,588.24447,
2161.368,603.32136,
2158.457,610.25715,
2155.546,634.00676,
2152.636,636.99471,
2149.725,634.41443,
2146.815,668.58209,
2143.904,676.0474,
2140.993,673.24202,
2138.083,688.03266,
2135.172,692.7584,
2132.262,690.49824,
2129.351,698.81212,
2126.441,691.14803,
2123.530,678.54797,
2120.619,659.51152,
2117.709,645.68519,
2114.798,629.9154,
2111.888,614.83824,
2108.977,619.73015,
2106.067,596.86462,
2103.156,594.54835,
2100.245,574.75878,
2097.335,587.90707,
2094.424,579.35651,
2091.514,564.24187,
2088.603,562.61631,
2085.692,565.70173,
2082.782,591.26386,
2079.871,573.53414,
2076.961,590.13555,
2074.050,581.94394,
2071.140,584.78456,
2068.229,577.02865,
2065.318,581.23251,
2062.408,593.34834,
2059.497,593.9643,
2056.587,605.13362,
2053.676,579.16841,
2050.766,581.98019,
2047.855,552.8924,
2044.944,558.01602,
2042.034,557.85402,
2039.123,561.95202,
2036.213,578.21221,
2033.302,584.07593,
2030.391,591.4619,
2027.481,607.1157,
2024.570,584.09361,
2021.660,580.63174,
2018.749,606.21813,
2015.839,592.21194,
2012.928,585.99161,
2010.017,573.82817,
2007.107,574.44908,
2004.196,583.23809,
2001.286,595.43902,
1998.375,580.78641,
1995.465,563.67054,
1992.554,589.79682,
1989.643,577.33758,
1986.733,575.57281,
1983.822,557.57127,
1980.912,572.70033,
1978.001,559.79266,
1975.090,537.98358,
1972.180,533.43882,
1969.269,550.67531,
1966.359,535.99298,
1963.448,564.19784,
1960.538,568.20037,
1957.627,541.67568,
1954.716,551.37655,
1951.806,563.10418,
1948.895,548.32696,
1945.985,539.51144,
1943.074,562.73904,
1940.164,543.32689,
1937.253,529.98936,
1934.342,515.24572,
1931.432,529.75947,
1928.521,519.96934,
1925.611,526.76929,
1922.700,532.95856,
1919.790,515.52476,
1916.879,496.93574,
1913.968,508.73402,
1911.058,558.56981,
1908.147,525.62443,
1905.237,513.93384,
1902.326,517.73964,
1899.415,494.23657,
1896.505,467.31015,
1893.594,475.73788,
1890.684,499.75,
1887.773,506.68086,
1884.863,526.4197,
1881.952,540.32994,
1879.041,555.61034,
1876.131,532.8755,
1873.220,511.05967,
1870.310,556.09072,
1867.399,547.94192,
1864.489,502.38563,
1861.578,543.3104,
1858.667,545.37577,
1855.757,524.75358,
1852.846,522.25769,
1849.936,527.95921,
1847.025,520.16607,
1844.114,526.09832,
1841.204,583.1451,
1838.293,561.32567,
1835.383,537.60998,
1832.472,570.57609,
1829.562,583.94401,
1826.651,557.71513,
1823.740,569.501,
1820.830,588.00992,
1817.919,546.77367,
1815.009,554.73091,
1812.098,559.54527,
1809.188,626.34674,
1806.277,575.98938,
1803.366,596.51709,
1800.456,582.25539,
1797.545,580.01918,
1794.635,638.52495,
1791.724,621.53634,
1788.813,641.34434,
1785.903,609.21134,
1782.992,566.57863,
1780.082,555.04648,
1777.171,472.06958,
1774.261,430.97021,
1771.350,497.82302,
1768.439,594.45516,
1765.529,629.6602,
1762.618,641.58126,
1759.708,621.71714,
1756.797,613.34849,
1753.887,643.6742,
1750.976,672.67081,
1748.065,676.37673,
1745.155,679.41446,
1742.244,665.87231,
1739.334,649.21824,
1736.423,654.22849,
1733.512,634.46538,
1730.602,670.63102,
1727.691,673.46743,
1724.781,710.65198,
1721.870,687.14504,
1718.960,716.57268,
1716.049,691.19101,
1713.138,741.17972,
1710.228,702.01337,
1707.317,700.942,
1704.407,704.44519,
1701.496,740.30036,
1698.586,712.33453,
1695.675,783.67098,
1692.764,731.94669,
1689.854,727.79331,
1686.943,715.18843,
1684.033,731.32778,
1681.122,775.98534,
1678.211,737.13069,
1675.301,828.46633,
1672.390,800.70813,
1669.480,786.92648,
1666.569,809.27053,
1663.659,849.50501,
1660.748,835.46343,
1657.837,872.05618,
1654.927,886.71059,
1652.016,925.94813,
1649.106,894.09273,
1646.195,908.68508,
1643.285,947.98047,
1640.374,1000.4782,
1637.463,988.38051,
1634.553,1023.6071,
1631.642,1081.4775,
1628.732,1147.5071,
1625.821,1106.7703,
1622.911,1137.5753,
