,PLB88C~1,
Wavenumbers [1/cm],Intensity,
3014.167,1,
3011.256,0.55001074,
3008.346,35.961312,
3005.435,18.848059,
3002.525,31.962528,
2999.614,40.237664,
2996.704,28.052582,
2993.793,30.371544,
2990.882,36.954177,
2987.972,38.98991,
2985.061,40.546803,
2982.151,29.147886,
2979.240,24.366922,
2976.329,38.027301,
2973.419,45.077022,
2970.508,34.216703,
2967.598,37.330923,
2964.687,39.282608,
2961.777,32.444205,
2958.866,39.008908,
2955.955,37.62388,
2953.045,47.201353,
2950.134,57.606415,
2947.224,51.085406,
2944.313,58.044872,
2941.403,49.963961,
2938.492,58.861791,
2935.581,61.704293,
2932.671,57.201732,
2929.760,54.77306,
2926.850,55.425187,
2923.939,57.724332,
2921.028,53.788344,
2918.118,52.819899,
2915.207,52.588615,
2912.297,70.923836,
2909.386,63.211675,
2906.476,54.294962,
2903.565,70.436302,
2900.654,51.494447,
2897.744,69.987428,
2894.833,64.051638,
2891.923,47.269196,
2889.012,48.208093,
2886.102,47.18784,
2883.191,26.01888,
2880.280,20.052622,
2877.370,-112.23802,
2874.459,-239.90535,
2871.549,-136.51252,
2868.638,-11.082546,
2865.727,4.7384487,
2862.817,34.044097,
2859.906,37.025638,
2856.996,51.470563,
2854.085,72.964313,
2851.175,52.620459,
2848.264,58.715667,
2845.353,49.301938,
2842.443,63,
2839.532,58.343312,
2836.622,71.938152,
2833.711,70.207227,
2830.801,76.697795,
2827.890,68.877646,
2824.979,74.938048,
2822.069,81.965884,
2819.158,78.619946,
2816.248,80.241315,
2813.337,84.597575,
2810.427,67.081259,
2807.516,73.633125,
2804.605,78.978363,
2801.695,72.171047,
2798.784,73.704308,
2795.874,66.704472,
2792.963,63.785423,
2790.052,81.994638,
2787.142,89.881732,
2784.231,86.840086,
2781.321,69.628603,
2778.410,77.755078,
2775.500,79.063447,
2772.589,80.038987,
2769.678,90.320808,
2766.768,84.071832,
2763.857,79.894026,
2760.947,82.050434,
2758.036,95.929972,
2755.126,87.337604,
2752.215,87.168319,
2749.304,92.638494,
2746.394,83.328603,
2743.483,90.350007,
2740.573,79.241108,
2737.662,87.542903,
2734.751,86.815417,
2731.841,83.188641,
2728.930,79.449142,
2726.020,86.561343,
2723.109,80.361001,
2720.199,92.765706,
2717.288,89.156941,
2714.377,96,
2711.467,96.196704,
2708.556,87.096001,
2705.646,88.140872,
2702.735,104.16753,
2699.825,102.55454,
2696.914,100.80955,
2694.003,98.669914,
2691.093,108.66065,
2688.182,104.70889,
2685.272,108.72546,
2682.361,90.058951,
2679.450,93.201611,
2676.540,96.020324,
2673.629,94.345306,
2670.719,96.707953,
2667.808,105.75682,
2664.898,106.93482,
2661.987,113.06651,
2659.076,104.38147,
2656.166,99.692685,
2653.255,95.256805,
2650.345,93.37568,
2647.434,82.515293,
2644.524,115.75298,
2641.613,110.37146,
2638.702,120.84219,
2635.792,111.43769,
2632.881,112.30948,
2629.971,107.02009,
2627.060,106.83032,
2624.149,124.56876,
2621.239,105.72777,
2618.328,102.04239,
2615.418,105.32273,
2612.507,111.2411,
2609.597,117.4491,
2606.686,120.80522,
2603.775,111.35714,
2600.865,109.64508,
2597.954,117.76663,
2595.044,124.74047,
2592.133,108,
2589.223,109.78316,
2586.312,140.0704,
2583.401,114.2664,
2580.491,119.79323,
2577.580,119.97524,
2574.670,107.76737,
2571.759,127.11129,
2568.848,111.48053,
2565.938,119.71431,
2563.027,117,
2560.117,108.7383,
2557.206,131.12177,
2554.296,136.40275,
2551.385,137.9259,
2548.474,147.51896,
2545.564,125.04463,
2542.653,148.24161,
2539.743,144.67868,
2536.832,111.87663,
2533.922,135.01577,
2531.011,137.92484,
2528.100,136.60277,
2525.190,143.64918,
2522.279,148.24963,
2519.369,132.69813,
2516.458,129.22026,
2513.548,143.99067,
2510.637,147.55334,
2507.726,151.0037,
2504.816,137.74972,
2501.905,137.62317,
2498.995,137.11944,
2496.084,138.69338,
2493.173,131.92086,
2490.263,146.94353,
2487.352,158.70627,
2484.442,132.70234,
2481.531,129.88842,
2478.621,145.10436,
2475.710,161.01534,
2472.799,160.78029,
2469.889,148.66758,
2466.978,145.88657,
2464.068,154.6614,
2461.157,158.84503,
2458.247,154,
2455.336,159.27594,
2452.425,147.73583,
2449.515,157.20791,
2446.604,167.00695,
2443.694,149.02301,
2440.783,148.85811,
2437.872,146.65637,
2434.962,160.84793,
2432.051,158.82729,
2429.141,168.84702,
2426.230,160.65191,
2423.320,168.29958,
2420.409,173.89767,
2417.498,169.5562,
2414.588,160.38031,
2411.677,159.60959,
2408.767,172.96457,
2405.856,169.62854,
2402.946,168.47006,
2400.035,176.6878,
2397.124,169.4492,
2394.214,175.5952,
2391.303,177.78455,
2388.393,173.50697,
2385.482,171.08812,
2382.571,139.98719,
2379.661,145,
2376.750,156.57628,
2373.840,184.60929,
2370.929,197.91336,
2368.019,191.8436,
2365.108,183.04712,
2362.197,182.37537,
2359.287,188.39499,
2356.376,199.98063,
2353.466,198.6216,
2350.555,193,
2347.645,188.85563,
2344.734,176.54376,
2341.823,195.63517,
2338.913,200.40148,
2336.002,196.7081,
2333.092,201.87358,
2330.181,204.77237,
2327.270,186.15511,
2324.360,203.5967,
2321.449,201,
2318.539,208.66057,
2315.628,213.90767,
2312.718,210.35022,
2309.807,199.81976,
2306.896,207.72457,
2303.986,199.30521,
2301.075,205.31913,
2298.165,222.36565,
2295.254,215.23697,
2292.344,218.3651,
2289.433,216.89181,
2286.522,210.04894,
2283.612,241.73088,
2280.701,234.01796,
2277.791,228.43895,
2274.880,214.35801,
2271.969,216.25515,
2269.059,225.79292,
2266.148,210.49082,
2263.238,217.4942,
2260.327,223.93103,
2257.417,221.57667,
2254.506,222.25928,
2251.595,219.7237,
2248.685,230.4134,
2245.774,225.28592,
2242.864,239.67582,
2239.953,232.95176,
2237.043,221.71393,
2234.132,222.70905,
2231.221,238.94837,
2228.311,224.73327,
2225.400,241.05629,
2222.490,242.07164,
2219.579,241.07714,
2216.669,243.51669,
2213.758,243.91373,
2210.847,235.52142,
2207.937,263.69703,
2205.026,260.44402,
2202.116,268.32909,
2199.205,256.35012,
2196.294,259.61998,
2193.384,257.60549,
2190.473,255.85798,
2187.563,283.03867,
2184.652,288.4396,
2181.742,270.15861,
2178.831,269.79381,
2175.920,271.09107,
2173.010,287.20181,
2170.099,276.93551,
2167.189,290.85649,
2164.278,275.84221,
2161.368,301.42888,
2158.457,299.6599,
2155.546,311.0452,
2152.636,296.88303,
2149.725,291.49664,
2146.815,325.83209,
2143.904,333.40148,
2140.993,340.95762,
2138.083,353.27052,
2135.172,357.45382,
2132.262,339.21655,
2129.351,337.83801,
2126.441,353.48547,
2123.530,357.12346,
2120.619,363.18369,
2117.709,325.88044,
2114.798,317.26551,
2111.888,324.75045,
2108.977,335.34438,
2106.067,317.42327,
2103.156,318.55802,
2100.245,283.01945,
2097.335,314.24084,
2094.424,315.5213,
2091.514,305.41928,
2088.603,301.39166,
2085.692,312.81785,
2082.782,307.05224,
2079.871,331.28704,
2076.961,323.90409,
2074.050,333.44848,
2071.140,303.48272,
2068.229,311.98697,
2065.318,326.08625,
2062.408,319.06052,
2059.497,324.61906,
2056.587,331,
2053.676,331.81662,
2050.766,338.46114,
2047.855,335.11392,
2044.944,333.94553,
2042.034,307.39893,
2039.123,332.42087,
2036.213,336.13553,
2033.302,344.67369,
2030.391,353.1357,
2027.481,350.2561,
2024.570,360.11402,
2021.660,335.65562,
2018.749,367.24019,
2015.839,346.1168,
2012.928,340.43625,
2010.017,349.33875,
2007.107,327.60562,
2004.196,334,
2001.286,347.29326,
1998.375,351.8248,
1995.465,343.70714,
1992.554,338.49415,
1989.643,369.8594,
1986.733,356.1807,
1983.822,329.64254,
1980.912,358.53421,
1978.001,342.50835,
1975.090,348.79695,
1972.180,351.93085,
1969.269,356.26438,
1966.359,341.78357,
1963.448,354.91546,
1960.538,352.45037,
1957.627,341.08358,
1954.716,341.94255,
1951.806,374.45354,
1948.895,364.25506,
1945.985,367.42974,
1943.074,366.26948,
1940.164,350.42311,
1937.253,356.01298,
1934.342,348.90589,
1931.432,344.35016,
1928.521,356.14335,
1925.611,344.14302,
1922.700,362.53453,
1919.790,357.80359,
1916.879,363.442,
1913.968,351.01598,
1911.058,371.4054,
1908.147,364.32848,
1905.237,367.8382,
1902.326,347.2637,
1899.415,338.48657,
1896.505,315.86743,
1893.594,318.26832,
1890.684,336.29406,
1887.773,363.48229,
1884.863,389.11845,
1881.952,391.81504,
1879.041,378.65265,
1876.131,357.89805,
1873.220,367.07527,
1870.310,398.70398,
1867.399,378.36785,
1864.489,360.67457,
1861.578,399.57162,
1858.667,376.29341,
1855.757,376.8043,
1852.846,373.00513,
1849.936,374.18619,
1847.025,373.52798,
1844.114,390.46121,
1841.204,412.76573,
1838.293,404.02827,
1835.383,382.0815,
1832.472,421.88522,
1829.562,439.22396,
1826.651,416.9569,
1823.740,405.63218,
1820.830,397.05506,
1817.919,399.88626,
1815.009,387.30026,
1812.098,392.1811,
1809.188,438.02315,
1806.277,372.54923,
1803.366,397.41591,
1800.456,422.16487,
1797.545,426.84388,
1794.635,442.80697,
1791.724,426.51458,
1788.813,430.2144,
1785.903,461.86831,
1782.992,427.04772,
1780.082,423.09143,
1777.171,317.64237,
1774.261,253.28053,
1771.350,331.84726,
1768.439,413.91936,
1765.529,452.45369,
1762.618,457.62877,
1759.708,441.41277,
1756.797,440.81818,
1753.887,460.1793,
1750.976,473.92081,
1748.065,470.8679,
1745.155,468.38705,
1742.244,485.90487,
1739.334,472.45883,
1736.423,492.67473,
1733.512,470.80072,
1730.602,502.133,
1727.691,513.92936,
1724.781,523.2255,
1721.870,496.22364,
1718.960,535.86723,
1716.049,528.38153,
1713.138,536.11495,
1710.228,513.63168,
1707.317,490.53943,
1704.407,522.13909,
1701.496,550.61179,
1698.586,553,
1695.675,553.93571,
1692.764,499.09013,
1689.854,479.73621,
1686.943,535.04391,
1684.033,518.47189,
1681.122,563.21835,
1678.211,572.91434,
1675.301,594.93216,
1672.390,536.95215,
1669.480,521.60967,
1666.569,597.29201,
1663.659,619.59169,
1660.748,595.4242,
1657.837,617.503,
1654.927,639.2737,
1652.016,608.44112,
1649.106,587.27301,
1646.195,638.86315,
1643.285,673.88607,
1640.374,667.87109,
1637.463,616.17095,
1634.553,680.17733,
1631.642,692.27145,
1628.732,717.17184,
1625.821,746.00589,
1622.911,754.94928,
1620.000,761.91181,
1617.089,820.80597,
1614.179,847.26677,
1611.268,842.22307,
1608.358,916.3478,
1605.447,944.51448,
1602.536,934.81735,
1599.626,970.79731,
1596.715,981.26081,
1593.805,950.69838,
1590.894,953.16469,
1587.984,996.43851,
1585.073,945.14446,
1582.162,964.22101,
1579.252,942.99606,
1576.341,903.35534,
1573.431,899.69904,
1570.520,886.47684,
1567.610,877.52934,
1564.699,857.87426,
1561.788,864.38015,
1558.878,877.51039,
1555.967,866.46538,
1553.057,836.67264,
1550.146,841.82178,
1547.235,836.47086,
1544.325,852.71106,
1541.414,862.6588,
1538.504,853.5138,
1535.593,833.54959,
1532.683,802.81212,
1529.772,804.9373,
1526.861,815.16042,
1523.951,819.90882,
1521.040,840.88915,
1518.130,847.02141,
1515.219,888.91918,
1512.309,896.43687,
1509.398,833.1407,
1506.487,831.08656,
1503.577,840.99641,
1500.666,868.76883,
1497.756,857.93207,
1494.845,845.64035,
1491.934,860.83622,
1489.024,810.78659,
1486.113,844.23419,
1483.203,803.47978,
1480.292,815.81874,
1477.382,865.87839,
