,PL631F~1,
Wavenumbers [1/cm],Intensity,
2173.010,591.37585,
2170.099,619.7639,
2167.189,622.62198,
2164.278,641.2608,
2161.368,654.3568,
2158.457,666.1599,
2155.546,675.86347,
2152.636,677.10639,
2149.725,708.12414,
2146.815,700.96716,
2143.904,696.02041,
2140.993,746.89681,
2138.083,747.8526,
2135.172,736.04618,
2132.262,729.24824,
2129.351,740.58283,
2126.441,740.08251,
2123.530,741.52245,
2120.619,738.27086,
2117.709,698.11675,
2114.798,672.83841,
2111.888,652.17559,
2108.977,638.22848,
2106.067,613.23191,
2103.156,622.21687,
2100.245,601.50188,
2097.335,605.46335,
2094.424,609.14911,
2091.514,592.06446,
2088.603,584.29722,
2085.692,587.90893,
2082.782,598.10234,
2079.871,600.85706,
2076.961,605.17711,
2074.050,598.93636,
2071.140,601.54645,
2068.229,575.39843,
2065.318,595.00676,
2062.408,593.68155,
2059.497,594.12502,
2056.587,597.53496,
2053.676,586.51722,
2050.766,608.4985,
2047.855,565.87023,
2044.944,576.23879,
2042.034,564.81796,
2039.123,590.80303,
2036.213,606.79105,
2033.302,619.93432,
2030.391,607.50103,
2027.481,594.68285,
2024.570,605.92835,
2021.660,570.80604,
2018.749,608.7022,
2015.839,586.6168,
2012.928,576.56879,
2010.017,592.26548,
2007.107,595.42707,
2004.196,574.5,
2001.286,591.4187,
1998.375,594.1496,
1995.465,565.32857,
1992.554,557.62354,
1989.643,593.22114,
1986.733,568.0886,
1983.822,580.89808,
1980.912,582.97423,
1978.001,545.5167,
1975.090,558.89084,
1972.180,547.05321,
1969.269,528.80172,
1966.359,525.55403,
1963.448,524.5,
1960.538,557.7719,
1957.627,538.75075,
1954.716,535.5,
1951.806,534.00966,
1948.895,506.01011,
1945.985,511.33824,
1943.074,504.19764,
1940.164,486.71197,
1937.253,509.44808,
1934.342,487.95294,
1931.432,499.24133,
1928.521,495.91451,
1925.611,478.85074,
1922.700,476.29144,
1919.790,481.66757,
1916.879,469.47649,
1913.968,458.5123,
1911.058,530.06455,
1908.147,482.96133,
1905.237,488.52939,
1902.326,467.22594,
1899.415,435.11339,
1896.505,402.241,
1893.594,417.85675,
1890.684,426.33664,
1887.773,454.99916,
1884.863,478.22437,
1881.952,476.80251,
1879.041,485.57788,
1876.131,468.95491,
1873.220,471.47348,
1870.310,484.56724,
1867.399,516.98821,
1864.489,450.16204,
1861.578,469.67558,
1858.667,497.12577,
1855.757,477.30072,
1852.846,476.75128,
1849.936,474.47698,
1847.025,463.26643,
1844.114,462.74238,
1841.204,492.8951,
1838.293,518.49667,
1835.383,490.44253,
1832.472,489.22174,
1829.562,523.38646,
1826.651,499.99491,
1823.740,517.98665,
1820.830,482.65706,
1817.919,498.63193,
1815.009,512.34987,
1812.098,524.27165,
1809.188,516.12018,
1806.277,509.63279,
1803.366,509.5,
1800.456,510.2694,
1797.545,526.5424,
1794.635,553.01695,
1791.724,534.28634,
1788.813,560.10206,
1785.903,555.00977,
1782.992,526.889,
1780.082,529.30279,
1777.171,435.81207,
1774.261,377.67043,
1771.350,446.95151,
1768.439,522.88667,
1765.529,572.13893,
1762.618,575.4556,
1759.708,555.88038,
1756.797,580.62121,
1753.887,603.6793,
1750.976,601.5,
1748.065,583.68126,
1745.155,603.79656,
1742.244,598.32522,
1739.334,573.49059,
1736.423,600.70743,
1733.512,612.31707,
1730.602,612.99603,
1727.691,601.98509,
1724.781,652.77378,
1721.870,650.5999,
1718.960,690.0783,
1716.049,644.96664,
1713.138,641.33997,
1710.228,656.42475,
1707.317,657.61543,
1704.407,675.46794,
1701.496,647.41892,
1698.586,663.90367,
1695.675,705.73547,
1692.764,658.32374,
1689.854,641.1496,
1686.943,666.58941,
1684.033,694.80459,
1681.122,699.43203,
1678.211,728.224,
1675.301,746.4445,
1672.390,738.41626,
1669.480,710.76473,
1666.569,744.51567,
1663.659,822.8957,
1660.748,787.07845,
1657.837,816.67496,
1654.927,824.99201,
1652.016,846.37477,
1649.106,882.0141,
1646.195,903.0035,
1643.285,924.82162,
1640.374,981.16551,
1637.463,966.09448,
1634.553,999.35712,
1631.642,1057.0538,
1628.732,1107.7429,
1625.821,1148.5523,
1622.911,1228.0492,
1620.000,1288.7315,
1617.089,1329.6841,
1614.179,1397.5541,
1611.268,1477.4886,
1608.358,1568.1923,
1605.447,1665.8436,
1602.536,1711.5711,
1599.626,1776.1355,
1596.715,1773.3316,
1593.805,1742.0927,
1590.894,1780.7722,
1587.984,1796.027,
1585.073,1731.9871,
1582.162,1692.1139,
1579.252,1622.6725,
1576.341,1590.0755,
1573.431,1579.2346,
1570.520,1536.2236,
1567.610,1533.9315,
1564.699,1494.7232,
1561.788,1467.9367,
1558.878,1474.4242,
1555.967,1414.0942,
1553.057,1383.6896,
1550.146,1386.7291,
1547.235,1339.0932,
1544.325,1324.7281,
1541.414,1338.4199,
1538.504,1350.8589,
1535.593,1344.0234,
1532.683,1329.0127,
1529.772,1331.6188,
1526.861,1347.4211,
1523.951,1383.3454,
1521.040,1389.102,
1518.130,1407.869,
1515.219,1463.1397,
