,PL36EA~1,
Wavenumbers [1/cm],Intensity,
2184.652,79.295104,
2181.742,70.136071,
2178.831,71.97474,
2175.920,76.836974,
2173.010,81.475623,
2170.099,85.366568,
2167.189,99.535878,
2164.278,102.7392,
2161.368,96.785196,
2158.457,104.11098,
2155.546,96.69711,
2152.636,83.351095,
2149.725,97.640924,
2146.815,98.600107,
2143.904,100.49629,
2140.993,91.267199,
2138.083,101.07745,
2135.172,119.5,
2132.262,103.85299,
2129.351,122.44154,
2126.441,125.31552,
2123.530,115.74693,
2120.619,132.13325,
2117.709,98.236312,
2114.798,100.60773,
2111.888,95.762928,
2108.977,102.39405,
2106.067,94.057312,
2103.156,104.33703,
2100.245,65.506273,
2097.335,78.028791,
2094.424,91.95236,
2091.514,77.85753,
2088.603,92.739572,
2085.692,100.81603,
2082.782,101.86141,
2079.871,83.963251,
2076.961,88.854221,
2074.050,112.99697,
2071.140,86.879042,
2068.229,99.057303,
2065.318,94.068761,
2062.408,104.57565,
2059.497,113.92859,
2056.587,107.8956,
2053.676,100.68338,
2050.766,127.26756,
2047.855,87.727833,
2044.944,97.628199,
2042.034,112.21099,
2039.123,111.43939,
2036.213,96.655518,
2033.302,108.32574,
2030.391,107.53444,
2027.481,99.475582,
2024.570,103.87134,
2021.660,112.96784,
2018.749,150.52449,
2015.839,100.09646,
2012.928,100.94799,
2010.017,113.79859,
2007.107,107.28877,
2004.196,102.1786,
2001.286,123.3975,
1998.375,129.71653,
1995.465,105.68839,
1992.554,96.870611,
1989.643,128.3594,
1986.733,97.981579,
1983.822,112.2836,
1980.912,139.98454,
1978.001,115.75418,
1975.090,118.5,
1972.180,116.56915,
1969.269,104.31031,
1966.359,84.175517,
1963.448,117.67835,
1960.538,125.19641,
1957.627,125.28328,
1954.716,120.64363,
1951.806,135.10258,
1948.895,124.69437,
1945.985,106.11275,
1943.074,109.62175,
1940.164,124.24065,
1937.253,132.1568,
1934.342,104.91872,
1931.432,110.50947,
1928.521,138.38429,
1925.611,133.08456,
1922.700,141.74585,
1919.790,113.63331,
1916.879,99.197495,
1913.968,113.48156,
1911.058,151.78227,
1908.147,127.10146,
1905.237,127.87502,
1902.326,135.17112,
1899.415,94.53655,
1896.505,48.674713,
1893.594,66.399449,
1890.684,93.245046,
1887.773,107.43086,
1884.863,117.60251,
1881.952,123.98747,
1879.041,146.68173,
1876.131,151.05686,
1873.220,140.91147,
1870.310,169.20398,
1867.399,141.97981,
1864.489,134.46106,
1861.578,133.5934,
1858.667,132.59283,
1855.757,125.88425,
1852.846,142.24359,
1849.936,133.05857,
1847.025,122.61679,
1844.114,142.99653,
1841.204,156.67483,
1838.293,140.50499,
