,PL565A~1,
Wavenumbers [1/cm],Intensity,
3014.167,-2.625,
3011.256,1.8249893,
3008.346,14.062426,
3005.435,3.4174077,
3002.525,22.375,
2999.614,24.939954,
2996.704,31.604899,
2993.793,12.622696,
2990.882,17.764295,
2987.972,35.289236,
2985.061,21.921803,
2982.151,19.329616,
2979.240,15.85693,
2976.329,23.375,
2973.419,26.190404,
2970.508,29.691644,
2967.598,32.658132,
2964.687,29.359374,
2961.777,26.879126,
2958.866,35.715262,
2955.955,33.963486,
2953.045,41.357093,
2950.134,36.619907,
2947.224,32.830501,
2944.313,41.633546,
2941.403,34.244069,
2938.492,44.375,
2935.581,48.600758,
2932.671,33.937252,
2929.760,40.563454,
2926.850,45.852443,
2923.939,38.856318,
2921.028,45.163344,
2918.118,47.014798,
2915.207,31.248243,
2912.297,49.256523,
2909.386,44.185216,
2906.476,32.251426,
2903.565,40.165371,
2900.654,39.986728,
2897.744,37.500722,
2894.833,41.601911,
2891.923,41.484003,
2889.012,28.54263,
2886.102,47.120923,
2883.191,16.417481,
2880.280,8.9970009,
2877.370,-78.479432,
2874.459,-126.15952,
2871.549,-91.993141,
2868.638,2.7007086,
2865.727,8.1134487,
2862.817,24.304135,
2859.906,16.451913,
2856.996,41.370471,
2854.085,54.698551,
2851.175,41.513624,
2848.264,27.723163,
2845.353,35.676938,
2842.443,46.979178,
2839.532,40.270541,
2836.622,38.830078,
2833.711,44.004517,
2830.801,43.677205,
2827.890,41.168724,
2824.979,50.091009,
2822.069,59.443233,
2819.158,62.334566,
2816.248,58.122105,
2813.337,52.354273,
2810.427,57.757909,
2807.516,47.123441,
2804.605,51.418274,
2801.695,52.585512,
2798.784,37.188154,
2795.874,47.514838,
2792.963,45.23202,
2790.052,49.373499,
2787.142,60.809424,
2784.231,62.795834,
2781.321,33.626441,
2778.410,41.939713,
2775.500,46.077415,
2772.589,61.181583,
2769.678,52.729909,
2766.768,44.518665,
2763.857,45.006985,
2760.947,45.356087,
2758.036,61.859194,
2755.126,58.706198,
2752.215,62.779526,
2749.304,57.885795,
2746.394,51.163309,
2743.483,50.375,
2740.573,61.021064,
2737.662,50.715235,
2734.751,53.700268,
2731.841,49.699175,
2728.930,42.396137,
2726.020,56.604745,
2723.109,42.870169,
2720.199,70.453098,
2717.288,62.955283,
2714.377,62.954022,
2711.467,54.407964,
2708.556,50.023842,
2705.646,64.360944,
2702.735,72.039947,
2699.825,62.549514,
2696.914,71.375477,
2694.003,76.503455,
2691.093,67.106662,
2688.182,71.940187,
2685.272,73.897049,
2682.361,62.069322,
2679.450,55.206265,
2676.540,58.27338,
2673.629,53.043163,
2670.719,63.93693,
2667.808,64.666814,
2664.898,65.270911,
2661.987,68.441512,
2659.076,64.120688,
2656.166,78.292827,
2653.255,60.337585,
2650.345,66.863204,
2647.434,59.489605,
2644.524,64.039235,
2641.613,61.28952,
2638.702,78.169846,
2635.792,70.937314,
2632.881,66.023917,
