,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_mix_1E-2mgL_16h_785nm_133mW_3s_1acc_1_RamanShift__1__36,
Raman shift [1/cm],Intensity,
3014.167,5,
3011.256,-1.6001288,
3008.346,296.28663,
3005.435,350.54064,
3002.525,380.02013,
2999.614,397.10775,
2996.704,389.3103,
2993.793,409.2477,
2990.882,416.08394,
2987.972,427.11099,
2985.061,446.78325,
2982.151,473.94288,
2979.240,468.79847,
2976.329,492.77867,
2973.419,506.49268,
2970.508,522.44983,
2967.598,528.62129,
2964.687,541.47758,
2961.777,549.24794,
2958.866,559.31205,
2955.955,584.20576,
2953.045,601.83446,
2950.134,610.60642,
2947.224,622.22416,
2944.313,668.4943,
2941.403,671.39279,
2938.492,682.6396,
2935.581,694.98409,
2932.671,719.31757,
2929.760,715.55386,
2926.850,724.89549,
2923.939,731.67755,
2921.028,718.42331,
2918.118,763.77707,
2915.207,760.01291,
2912.297,751.09732,
2909.386,782.45254,
2906.476,762.07871,
2903.565,762.16148,
2900.654,754.10618,
2897.744,764.58512,
2894.833,740.65963,
2891.923,769.21801,
2889.012,745.16185,
2886.102,754.35541,
2883.191,756.99339,
2880.280,729.30621,
2877.370,704.21512,
2874.459,711.10706,
2871.549,755.36867,
2868.638,793.91132,
2865.727,778.71153,
2862.817,774.71391,
2859.906,779.91168,
2856.996,793.9683,
2854.085,775.47264,
2851.175,810.90363,
2848.264,794.08317,
2845.353,785.8706,
2842.443,774.01044,
2839.532,771.20892,
2836.622,757.84831,
2833.711,753.84458,
2830.801,778.87721,
2827.890,741.37412,
2824.979,765.24781,
2822.069,792.04549,
2819.158,789.15902,
2816.248,760.81658,
2813.337,781.6183,
2810.427,771.12534,
2807.516,783.36687,
2804.605,793.91345,
2801.695,774.60526,
2798.784,788.66938,
2795.874,771.84431,
2792.963,783.35713,
2790.052,772.00236,
2787.142,769.93419,
2784.231,768,
2781.321,775.88004,
2778.410,779.87057,
2775.500,778.48793,
2772.589,799.5757,
2769.678,785.17745,
2766.768,782.69514,
2763.857,809.68208,
2760.947,806.08826,
2758.036,815.76431,
2755.126,816.42949,
2752.215,816.1273,
2749.304,795.32017,
2746.394,808.51816,
2743.483,810.69997,
2740.573,821.43586,
2737.662,814.61836,
2734.751,811.58694,
2731.841,809.13369,
2728.930,813.428,
2726.020,820.23495,
2723.109,825.56708,
2720.199,829.56876,
2717.288,836.15694,
2714.377,851.7082,
2711.467,846.59011,
2708.556,866.72295,
2705.646,872.85913,
2702.735,862.03095,
2699.825,887.59816,
2696.914,885.42864,
2694.003,868.28455,
2691.093,879.6787,
2688.182,855.50666,
2685.272,888.12376,
2682.361,870.51201,
2679.450,872.44851,
2676.540,889.06097,
2673.629,888.3498,
2670.719,868.15341,
2667.808,863.85409,
2664.898,872.33755,
2661.987,886.93349,
2659.076,897.36422,
2656.166,917.69269,
2653.255,922.88266,
2650.345,913.34301,
2647.434,934.11375,
2644.524,913.61391,
2641.613,934.2577,
2638.702,927.26828,
2635.792,954.93918,
2632.881,929.29783,
2629.971,940.06724,
2627.060,924.66438,
2624.149,941.62188,
2621.239,945.26038,
2618.328,966.61852,
2615.418,954.01818,
2612.507,939.79449,
2609.597,977.77645,
2606.686,982.74094,
2603.775,969.64286,
2600.865,998.11269,
2597.954,1009.9042,
2595.044,1014.2772,
2592.133,1025.7771,
2589.223,1003.6021,
2586.312,1027.4121,
2583.401,1020.3249,
2580.491,1038.0817,
2577.580,1026.9587,
2574.670,1002,
2571.759,1008.6062,
2568.848,1055.1604,
2565.938,1040.238,
2563.027,1045.0478,
2560.117,1037.4486,
2557.206,1040.9041,
2554.296,1057.6201,
2551.385,1035.1401,
2548.474,1078.7413,
2545.564,1038.6777,
2542.653,1058.9161,
2539.743,1067.8028,
2536.832,1063.6112,
2533.922,1062.6781,
2531.011,1100.8753,
2528.100,1085.2021,
2525.190,1087.3246,
2522.279,1099.5779,
2519.369,1091.3019,
2516.458,1083.6608,
2513.548,1101.2724,
2510.637,1098.2007,
2507.726,1087.5613,
2504.816,1085.9369,
2501.905,1079.5652,
2498.995,1099.9707,
