,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_mix_1E-1mgL_16h_785nm_133mW_3s_1acc_0_RamanShift__0__61,
Raman shift [1/cm],Intensity,
3014.167,-0.875,
3011.256,-0.67495705,
3008.346,112.2012,
3005.435,128.89532,
3002.525,114.31236,
2999.614,127.31332,
2996.704,146.11675,
2993.793,141.73502,
2990.882,149.73571,
2987.972,147.10987,
2985.061,142.3516,
2982.151,151.57375,
2979.240,163.75808,
2976.329,150.0977,
2973.419,168.90985,
2970.508,165.29163,
2967.598,181.93384,
2964.687,176.21467,
2961.777,178.65496,
2958.866,185.12797,
2955.955,182.6427,
2953.045,171.52771,
2950.134,202.04048,
2947.224,208.95419,
2944.313,197.73184,
2941.403,205.89918,
2938.492,198.30659,
2935.581,212.60353,
2932.671,206.3224,
2929.760,195.79808,
2926.850,218.97537,
2923.939,218.60161,
2921.028,223.18964,
2918.118,221.00662,
2915.207,236.47946,
2912.297,237.12923,
2909.386,232.30019,
2906.476,227.76825,
2903.565,230.64055,
2900.654,241.96018,
2897.744,227.09986,
2894.833,222.65082,
2891.923,221.5577,
2889.012,234.66835,
2886.102,229.125,
2883.191,225.12878,
2880.280,201.88576,
2877.370,206.39239,
2874.459,193.30731,
2871.549,217.46757,
2868.638,238.48789,
2865.727,254.33271,
2862.817,242.21056,
2859.906,244.80876,
2856.996,248.63179,
2854.085,253.28678,
2851.175,248.38705,
2848.264,250.40933,
2845.353,252.27597,
2842.443,261.12152,
2839.532,261.79666,
2836.622,241.70377,
2833.711,248.23645,
2830.801,242.02426,
2827.890,243.81559,
2824.979,262.97697,
2822.069,251.125,
2819.158,249.22473,
2816.248,258.07868,
2813.337,270.59938,
2810.427,272.08782,
2807.516,275.43422,
2804.605,268.96395,
2801.695,263.67761,
2798.784,276.35085,
2795.874,271.27541,
2792.963,258.33915,
2790.052,257.12457,
2787.142,265.30908,
2784.231,262.47902,
2781.321,275.98775,
2778.410,256.57422,
2775.500,271.06155,
2772.589,252.47133,
2769.678,268.58569,
2766.768,280.06674,
2763.857,270.75699,
2760.947,279.15652,
2758.036,272.26506,
2755.126,275.30877,
2752.215,289.93405,
2749.304,296.72031,
2746.394,282.97176,
2743.483,288.87499,
2740.573,278.70459,
2737.662,291.01849,
2734.751,292.45027,
2731.841,262.58287,
2728.930,289.3073,
2726.020,293.36516,
2723.109,290.27992,
2720.199,303.18442,
2717.288,286.88047,
2714.377,298.28304,
2711.467,300.86237,
2708.556,318.73132,
2705.646,316.89964,
2702.735,301.63274,
2699.825,306.67954,
2696.914,304.93455,
2694.003,309.35427,
2691.093,301.4463,
2688.182,309.58056,
2685.272,312.35544,
2682.361,324.33133,
2679.450,319.40477,
2676.540,320.24694,
2673.629,320.15194,
2670.719,316.47528,
2667.808,307.8059,
2664.898,320.46255,
2661.987,330.52507,
2659.076,335.74353,
2656.166,325.54489,
2653.255,339.82568,
2650.345,344.98888,
2647.434,341.26761,
2644.524,334.44156,
2641.613,340.86793,
2638.702,341.14078,
2635.792,339.00037,
2632.881,335.54763,
2629.971,347.33984,
2627.060,350.62344,
2624.149,363.125,
2621.239,356.36166,
2618.328,336.42171,
2615.418,345.77955,
2612.507,354.22776,
2609.597,344.31861,
2606.686,351.51456,
2603.775,359.84723,
2600.865,370.94754,
2597.954,354.7958,
2595.044,363.16928,
2592.133,367.18884,
2589.223,381.47448,
2586.312,370.85864,
2583.401,394.00095,
2580.491,398.8654,
2577.580,369.14315,
2574.670,372.92983,
2571.759,371.19091,
2568.848,373.60008,
2565.938,381.125,
2563.027,377.10003,
2560.117,380.29325,
2557.206,377.08441,
2554.296,396.86413,
2551.385,382.87702,
2548.474,399.19935,
2545.564,383.82142,
2542.653,384.18876,
2539.743,386.92784,
2536.832,406.14556,
2533.922,422.60461,
2531.011,395.07458,
2528.100,416.12154,
2525.190,419.17213,
2522.279,391.34435,
2519.369,415.82313,
2516.458,412.34526,
2513.548,404.46144,
2510.637,408.92428,
2507.726,416.75324,
2504.816,409.37528,
2501.905,420.05244,
2498.995,404.30416,
2496.084,414.17731,
2493.173,420.72997,
2490.263,417.91145,
2487.352,449.45727,
2484.442,434.125,
2481.531,438.33772,
2478.621,433.67947,
2475.710,439.13267,
2472.799,440.37163,
2469.889,441.125,
2466.978,432.46529,
2464.068,454.98223,
2461.157,447.54751,
2458.247,444.69852,
2455.336,442.80602,
2452.425,454.60615,
2449.515,459.67177,
2446.604,450.58577,
2443.694,460.89226,
2440.783,463.60248,
2437.872,441.36481,
2434.962,469.92224,
2432.051,463.00163,
2429.141,479.51309,
2426.230,484.125,
2423.320,491.31146,
2420.409,468.82355,
2417.498,472.95364,
2414.588,500.45945,
2411.677,477.41187,
2408.767,485.63091,
2405.856,497.44399,
2402.946,490.64243,
2400.035,469.53814,
2397.124,513.0127,
2394.214,504.01501,
2391.303,493.55589,
2388.393,501.36454,
2385.482,504.03688,
2382.571,495.47968,
2379.661,494.56673,
2376.750,517.54365,
2373.840,518.06566,
2370.929,513.15749,
2368.019,525.8122,
2365.108,520.07788,
2362.197,525.52774,
2359.287,532.30996,
2356.376,522.14613,
2353.466,525.70032,
2350.555,531.72999,
2347.645,529.9409,
2344.734,542.52134,
2341.823,554.97575,
2338.913,534.99364,
2336.002,523.64176,
2333.092,531.26275,
2330.181,540.63395,
2327.270,547.73996,
2324.360,544.54478,
2321.449,557.21683,
2318.539,559.80698,
2315.628,579.98152,
2312.718,563.04349,
2309.807,566.21801,
2306.896,581.125,
2303.986,577.64445,
2301.075,577.44413,
2298.165,572.14408,
2295.254,588.71568,
2292.344,582.75569,
2289.433,582.09409,
2286.522,579.77228,
2283.612,596.16583,
2280.701,601.125,
2277.791,588.36732,
2274.880,619.19498,
2271.969,619.25669,
2269.059,609.7735,
2266.148,607.125,
2263.238,608.92423,
2260.327,629.125,
2257.417,628.65056,
2254.506,625.1022,
2251.595,620.41228,
2248.685,615.44232,
2245.774,621.33367,
2242.864,669.34696,
2239.953,657.44225,
2237.043,646.16323,
2234.132,633.22629,
2231.221,644.07337,
2228.311,648.125,
2225.400,660.87169,
2222.490,653.05336,
2219.579,662.93737,
2216.669,673.62738,
2213.758,666.60212,
2210.847,684.08215,
2207.937,675.69505,
2205.026,702.68098,
2202.116,698.46681,
2199.205,707.98829,
2196.294,705.61296,
2193.384,696.23097,
2190.473,722.44426,
2187.563,720.30867,
2184.652,762.04091,
2181.742,778.51067,
2178.831,775.67757,
2175.920,809.52574,
2173.010,832.82568,
2170.099,850.85665,
2167.189,848.26133,
2164.278,870.94008,
2161.368,908.83739,
2158.457,954.90303,
2155.546,973.65482,
2152.636,1019.4494,
2149.725,1020.3129,
2146.815,1079.956,
2143.904,1095.4298,
2140.993,1109.9186,
2138.083,1121.3134,
2135.172,1117.688,
2132.262,1123.2685,
2129.351,1119.0422,
2126.441,1101.8725,
2123.530,1061.8781,
2120.619,1037.5104,
2117.709,1011.3686,
2114.798,976.74415,
2111.888,931.81396,
2108.977,882.95943,
2106.067,873.125,
2103.156,876.64434,
2100.245,834.11622,
2097.335,816.03077,
2094.424,785.6463,
2091.514,784.125,
2088.603,786.02361,
2085.692,807.63046,
2082.782,799.92031,
2079.871,786.19618,
2076.961,787.93127,
2074.050,798.96136,
2071.140,775.32047,
2068.229,773.30208,
2065.318,786.78001,
2062.408,786.32168,
2059.497,769.51785,
2056.587,778.47365,
2053.676,761.07635,
2050.766,774.58539,
2047.855,738.00785,
2044.944,770.65224,
2042.034,784.51803,
2039.123,781.56608,
2036.213,778.85828,
2033.302,761.58153,
2030.391,758.5488,
2027.481,792.08809,
2024.570,771.25444,
2021.660,787.7059,
2018.749,790.31495,
2015.839,794.58694,
2012.928,790.4354,
2010.017,794.61795,
2007.107,808.125,
2004.196,784.5773,
2001.286,789.31576,
1998.375,800.16634,
1995.465,793.97857,
1992.554,780.85452,
1989.643,782.98675,
1986.733,807.98465,
1983.822,770.54819,
1980.912,776.54112,
1978.001,788.43854,
1975.090,782.74942,
1972.180,777.46941,
1969.269,805.33485,
1966.359,783.55692,
1963.448,762.85552,
1960.538,794.77388,
1957.627,805.69157,
1954.716,798.35481,
1951.806,762.01277,
1948.895,802.07838,
1945.985,814.41911,
1943.074,771.7078,
1940.164,797.02858,
1937.253,791.05075,
1934.342,787.91966,
1931.432,753.15654,
1928.521,767.20445,
1925.611,787.77426,
1922.700,776.87915,
1919.790,779.15383,
1916.879,775.47375,
1913.968,769.13238,
1911.058,767.18206,
1908.147,782.25785,
1905.237,785.11031,
1902.326,795.23463,
1899.415,788.98718,
1896.505,754.7273,
1893.594,758.75007,
1890.684,774.92896,
1887.773,785.87458,
1884.863,799.40063,
1881.952,789.6626,
1879.041,761.6738,
1876.131,747.60997,
1873.220,768.78881,
1870.310,794.40299,
1867.399,807.93308,
1864.489,790.57979,
1861.578,779.08639,
1858.667,801.79264,
1855.757,823.52357,
1852.846,820.35066,
1849.936,805.21809,
1847.025,807.35857,
1844.114,809.89439,
1841.204,806.18444,
1838.293,800.64246,
1835.383,806.51998,
1832.472,818.93891,
1829.562,853.25912,
1826.651,837.56857,
1823.740,856.06759,
1820.830,868.35334,
1817.919,833.92119,
1815.009,829.54994,
1812.098,861.5423,
1809.188,846.36535,
1806.277,846.10287,
1803.366,870.27473,
1800.456,878.30064,
1797.545,863.20306,
1794.635,859.15608,
1791.724,898.73657,
1788.813,912.90674,
1785.903,867.38074,
1782.992,890.17563,
1780.082,864.1755,
1777.171,891.12446,
1774.261,903.36029,
1771.350,918.23125,
1768.439,886.52693,
1765.529,884.12876,
1762.618,913.43939,
1759.708,927.29899,
1756.797,952.33712,
1753.887,943.99526,
1750.976,894.28339,
1748.065,907.76247,
1745.155,909.04773,
1742.244,896.46286,
1739.334,922.14382,
1736.423,956.02777,
1733.512,956.39327,
1730.602,966.58931,
1727.691,945.7922,
1724.781,962.50887,
1721.870,942.5677,
1718.960,972.30321,
1716.049,945.72704,
1713.138,955.36992,
1710.228,960.73589,
1707.317,1000.9307,
1704.407,991.75064,
1701.496,966.42476,
1698.586,1005.7043,
1695.675,1009.125,
1692.764,1056.4611,
1689.854,1046.688,
1686.943,1019.0693,
1684.033,1085.4113,
1681.122,1063.5328,
1678.211,1118.592,
1675.301,1108.1589,
1672.390,1096.2446,
1669.480,1136.3336,
1666.569,1162.3154,
1663.659,1177.713,
1660.748,1212.6622,
1657.837,1189.8686,
1654.927,1223.2656,
1652.016,1229.125,
1649.106,1231.1569,
1646.195,1311.6934,
1643.285,1294.9909,
1640.374,1331.9368,
1637.463,1324.4941,
1634.553,1399.6718,
1631.642,1436.7765,
1628.732,1496.3857,
1625.821,1540.1584,
1622.911,1590.8376,
1620.000,1686.9029,
1617.089,1798.8762,
1614.179,1882.7561,
1611.268,2010.2919,
1608.358,2104.7236,
1605.447,2160.0397,
1602.536,2192.9454,
1599.626,2199.7247,
1596.715,2247.3203,
1593.805,2212.7744,
1590.894,2122.7,
1587.984,2139.706,
1585.073,2099.8825,
1582.162,2102.1436,
1579.252,2036.206,
1576.341,1977.8676,
1573.431,1985.138,
1570.520,2013.8207,
1567.610,1970.4576,
1564.699,1946.5997,
1561.788,1927.2238,
1558.878,1848.4349,
1555.967,1816.4463,
1553.057,1816.4871,
1550.146,1779.2524,
1547.235,1737.8249,
1544.325,1707.028,
1541.414,1683.404,
1538.504,1683.8596,
1535.593,1673.6223,
1532.683,1648.6123,
1529.772,1654.1998,
1526.861,1644.7783,
1523.951,1615.6976,
1521.040,1637.319,
1518.130,1646.4512,
1515.219,1618.7663,
1512.309,1571.3998,
1509.398,1559.9026,
1506.487,1552.4712,
1503.577,1571.8311,
1500.666,1565.0884,
1497.756,1525.4301,
1494.845,1530.2456,
1491.934,1557.0148,
1489.024,1523.3275,
1486.113,1441.4572,
1483.203,1459.1055,
1480.292,1480.7923,
1477.382,1453.4116,
1474.471,1404.6865,
1471.560,1399.3817,
1468.650,1398.7086,
1465.739,1366.3815,
1462.829,1383.7404,
1459.918,1393.8652,
1457.008,1390.2328,
1454.097,1398.0493,
1451.186,1410.7691,
1448.276,1410.5214,
1445.365,1398.1992,
1442.455,1425.5653,
1439.544,1403.6382,
1436.633,1389.698,
1433.723,1395.6295,
1430.812,1381.0615,
1427.902,1331.1848,
1424.991,1375.7297,
1422.081,1311.0666,
1419.170,1342.2796,
1416.259,1351.3653,
1413.349,1302.2791,
1410.438,1304.3193,
1407.528,1299.2502,
1404.617,1327.9398,
1401.707,1343.0561,
1398.796,1333.1809,
1395.885,1348.6606,
1392.975,1377.7919,
1390.064,1376.3526,
1387.154,1335.2737,
1384.243,1306.7482,
1381.332,1373.0103,
1378.422,1377.7097,
1375.511,1330.8707,
1372.601,1426.8899,
1369.690,1501.9884,
1366.780,1566.1914,
1363.869,1577.9456,
1360.958,1562.6002,
1358.048,1581.2307,
1355.137,1627.5119,
1352.227,1674.6284,
1349.316,1725.3989,
1346.406,1775.6623,
1343.495,1800.3672,
1340.584,1807.3036,
1337.674,1814.021,
1334.763,1863.5131,
1331.853,1873.7127,
1328.942,1940.8348,
1326.032,1930.3657,
1323.121,1976.5106,
1320.210,2014.7685,
1317.300,1976.1357,
1314.389,1986.3203,
1311.479,2005.4067,
1308.568,1988.3375,
1305.657,2026.7015,
1302.747,2075.5951,
1299.836,2108.9875,
1296.926,2169.5261,
1294.015,2264.2164,
1291.105,2268.125,
1288.194,2304.8672,
1285.283,2359.9492,
1282.373,2414.828,
1279.462,2445.4582,
1276.552,2471.2432,
1273.641,2500.0967,
1270.731,2518.7116,
1267.820,2538.1494,
1264.909,2554.7178,
1261.999,2508.7908,
1259.088,2527.0332,
1256.178,2505.0007,
1253.267,2508.797,
1250.356,2477.9396,
1247.446,2425.7479,
1244.535,2376.3394,
1241.625,2308.9288,
1238.714,2237.341,
1235.804,2212.0425,
1232.893,2189.1157,
1229.982,2228.5492,
1227.072,2152.503,
1224.161,2170.6591,
1221.251,2114.0752,
1218.340,2042.5957,
1215.430,2019.5293,
1212.519,2001.3925,
1209.608,1984.6931,
1206.698,2006.2102,
1203.787,2020.6175,
1200.877,2038.3598,
1197.966,2106.6959,
1195.055,2143.4017,
1192.145,2206.2271,
1189.234,2243.94,
1186.324,2280.3093,
1183.413,2283.1351,
1180.503,2266.5446,
1177.592,2285.3069,
1174.681,2286.3271,
1171.771,2197.445,
1168.860,2167.9731,
1165.950,2176.4131,
1163.039,2163.7601,
1160.129,2148.867,
1157.218,2150.336,
1154.307,2147.3653,
1151.397,2120.7833,
1148.486,2092.929,
1145.576,2070.0116,
1142.665,2090.4336,
1139.754,2093.7523,
1136.844,2059.1099,
1133.933,2037.0869,
1131.023,2028.3482,
1128.112,2042.6937,
1125.202,2077.5743,
1122.291,2076.7355,
1119.380,2039.7919,
1116.470,2107.7466,
1113.559,2093.7008,
1110.649,2089.7444,
1107.738,2096.4832,
1104.828,2086.9776,
1101.917,2076.8887,
1099.006,2102.4033,
1096.096,2112.5875,
1093.185,2103.8074,
1090.275,2122.5475,
1087.364,2099.6801,
1084.453,2066.8763,
1081.543,2092.3178,
1078.632,2150.4527,
1075.722,2158.5518,
1072.811,2142.3804,
1069.901,2131.9012,
1066.990,2134.3583,
1064.079,2173.2338,
1061.169,2194.9911,
1058.258,2210.8296,
1055.348,2231.6525,
1052.437,2239.961,
1049.527,2240.7362,
1046.616,2282.44,
1043.705,2284.8127,
1040.795,2270.0779,
1037.884,2271.2283,
1034.974,2289.4356,
1032.063,2292.487,
1029.153,2255.4486,
1026.242,2283.1272,
