,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_mix_1E-2mgL_16h_785nm_133mW_3s_1acc_2_RamanShift__1__31,
Raman shift [1/cm],Intensity,
3014.167,2.375,
3011.256,0.52492484,
3008.346,428.71848,
3005.435,519.3008,
3002.525,548.22511,
2999.614,566.79192,
2996.704,587.375,
2993.793,582.87039,
2990.882,605.01612,
2987.972,627.33464,
2985.061,627.35531,
2982.151,673.48259,
2979.240,685.45387,
2976.329,726.6564,
2973.419,748.74419,
2970.508,773.19154,
2967.598,792.89709,
2964.687,784.33016,
2961.777,818.89671,
2958.866,821.03474,
2955.955,855.417,
2953.045,874.29223,
2950.134,926.88822,
2947.224,939.43194,
2944.313,957.10506,
2941.403,985.93476,
2938.492,978.54575,
2935.581,1008.278,
2932.671,1054.6453,
2929.760,1018.2058,
2926.850,1017.0543,
2923.939,1060.1694,
2921.028,1083.9986,
2918.118,1084.9959,
2915.207,1094.1408,
2912.297,1111.3073,
2909.386,1114.3677,
2906.476,1116.2121,
2903.565,1076.3409,
2900.654,1107.5985,
2897.744,1098.1738,
2894.833,1086.4986,
2891.923,1102.9167,
2889.012,1064.1207,
2886.102,1092.2682,
2883.191,1096.3797,
2880.280,1071.3989,
2877.370,1078.3111,
2874.459,1082.3122,
2871.549,1103.8225,
2868.638,1124.8307,
2865.727,1157.8443,
2862.817,1150.6611,
2859.906,1156.0075,
2856.996,1146.8682,
2854.085,1153.6565,
2851.175,1152.8991,
2848.264,1152.4485,
2845.353,1124.3966,
2842.443,1130.1666,
2839.532,1122.6288,
2836.622,1109.7402,
2833.711,1103.1756,
2830.801,1096.6699,
2827.890,1124.4974,
2824.979,1122.9309,
2822.069,1120.4773,
2819.158,1126.7146,
2816.248,1126.8576,
2813.337,1155.6531,
2810.427,1142.5003,
2807.516,1119.3897,
2804.605,1142.4832,
2801.695,1145.4013,
2798.784,1140.7097,
2795.874,1143.6705,
2792.963,1123.4462,
2790.052,1109.3767,
2787.142,1120.5462,
2784.231,1121.1825,
2781.321,1091.3808,
2778.410,1121.729,
2775.500,1113.5064,
2772.589,1160.1051,
2769.678,1161.979,
2766.768,1147.7788,
2763.857,1152.9029,
2760.947,1170.9034,
2758.036,1168.5979,
2755.126,1178.4669,
2752.215,1193.2251,
2749.304,1190.5243,
2746.394,1182.9959,
2743.483,1197.6251,
2740.573,1200.5698,
2737.662,1194.8424,
2734.751,1210.375,
2731.841,1205.9153,
2728.930,1199.7013,
2726.020,1215.7274,
2723.109,1198.458,
2720.199,1227.628,
2717.288,1233.5173,
2714.377,1226.3416,
2711.467,1251.3091,
2708.556,1272.0664,
2705.646,1255.2482,
2702.735,1275.5528,
2699.825,1274.1477,
2696.914,1274.3277,
2694.003,1262.0173,
2691.093,1280.2149,
2688.182,1268.3543,
2685.272,1286.8259,
2682.361,1267.6217,
2679.450,1288.3297,
2676.540,1285.3344,
2673.629,1283.375,
2670.719,1268.6014,
2667.808,1307.9432,
2664.898,1318.8429,
2661.987,1313.8087,
2659.076,1319.3922,
2656.166,1329.7949,
2653.255,1336.375,
2650.345,1336.375,
2647.434,1386.746,
2644.524,1369.375,
2641.613,1378.9753,
2638.702,1386.3277,
2635.792,1366.6243,
2632.881,1365.4465,
2629.971,1360.375,
2627.060,1375.2072,
2624.149,1379.3219,
2621.239,1381.6413,
2618.328,1380.5195,
2615.418,1401.3977,
2612.507,1409.9915,
2609.597,1414.1095,
2606.686,1428.9332,
2603.775,1439.2163,
2600.865,1444.904,
2597.954,1457.1833,
2595.044,1457.3396,
2592.133,1481.2732,
2589.223,1499.3992,
2586.312,1493.6414,
2583.401,1496.0867,
2580.491,1505.9375,
2577.580,1514.2743,
2574.670,1466.3816,
2571.759,1512.4863,
2568.848,1509.2037,
2565.938,1483.5178,
2563.027,1513.7681,
2560.117,1513.0572,
2557.206,1535.8658,
2554.296,1502.6061,
2551.385,1518.193,
2548.474,1518.7453,
2545.564,1534.7735,
2542.653,1573.5965,
2539.743,1566.3504,
2536.832,1566.1096,
2533.922,1588.7535,
2531.011,1607.9754,
2528.100,1589.9778,
2525.190,1601.7676,
2522.279,1611.7653,
2519.369,1606.318,
2516.458,1621.2631,
2513.548,1595.2935,
2510.637,1610.6661,
2507.726,1613.2002,
2504.816,1594.5024,
2501.905,1607.7518,
2498.995,1626.957,
2496.084,1631.1068,
2493.173,1638.7955,
2490.263,1654.0937,
2487.352,1664.001,
2484.442,1678.375,
2481.531,1683.1143,
2478.621,1678.1617,
2475.710,1662.5974,
2472.799,1695.5678,
2469.889,1696.7406,
2466.978,1685.0966,
2464.068,1702.6132,
2461.157,1737.1776,
2458.247,1722.1986,
2455.336,1729.3965,
2452.425,1739.0731,
2449.515,1737.9696,
2446.604,1752.9003,
2443.694,1764.0263,
2440.783,1774.6622,
2437.872,1806.2502,
2434.962,1823.8589,
2432.051,1792.2821,
2429.141,1805.9805,
2426.230,1818.375,
2423.320,1814.1753,
2420.409,1795.9456,
2417.498,1813.4958,
2414.588,1825.8351,
2411.677,1834.8371,
2408.767,1824.4222,
2405.856,1833.0917,
2402.946,1840.3276,
2400.035,1897.5206,
2397.124,1867.0274,
2394.214,1875.5146,
2391.303,1903.585,
2388.393,1950.11,
2385.482,1909.1509,
2382.571,1915.2617,
2379.661,1900.3284,
2376.750,1943.9462,
2373.840,1934.647,
2370.929,1957.0284,
2368.019,1931.8553,
2365.108,1974.8855,
2362.197,1991.7504,
2359.287,1968.2318,
2356.376,2020.2711,
2353.466,2015.9077,
2350.555,1984.1401,
2347.645,1995.4796,
2344.734,2010.6193,
2341.823,2039.9273,
2338.913,2063.1585,
2336.002,2044.3869,
2333.092,2047.858,
2330.181,2067.5539,
2327.270,2074.54,
2324.360,2064.1981,
2321.449,2079.79,
2318.539,2089.6961,
2315.628,2104.375,
2312.718,2076.9939,
2309.807,2157.9593,
2306.896,2115.1543,
2303.986,2128.9854,
2301.075,2130.5239,
2298.165,2119.7979,
2295.254,2121.2888,
2292.344,2142.0639,
2289.433,2145.5373,
2286.522,2238.2005,
2283.612,2271.1939,
2280.701,2221.967,
2277.791,2183.5353,
2274.880,2193.5809,
2271.969,2227.5931,
2269.059,2227.5003,
2266.148,2222.8591,
2263.238,2265.958,
2260.327,2301.8919,
2257.417,2279.7617,
2254.506,2305.8564,
2251.595,2280.0987,
2248.685,2292.998,
2245.774,2310.2869,
2242.864,2330.2354,
2239.953,2312.8023,
2237.043,2353.3096,
2234.132,2353.6347,
2231.221,2371.7446,
2228.311,2377.2448,
2225.400,2394.2906,
2222.490,2396.2025,
2219.579,2424.555,
2216.669,2451.8106,
2213.758,2497.3371,
2210.847,2508.7327,
2207.937,2557.2577,
2205.026,2537.8187,
2202.116,2565.7656,
2199.205,2594.7371,
2196.294,2627.6649,
2193.384,2669.4005,
2190.473,2729.8539,
2187.563,2749.8777,
2184.652,2854.5799,
2181.742,2909.5401,
2178.831,3060.4296,
2175.920,3184.4807,
2173.010,3381.761,
2170.099,3583.5581,
2167.189,3777.8029,
2164.278,4017.3409,
2161.368,4316.7969,
2158.457,4556.1982,
2155.546,4787.5521,
2152.636,5047.4224,
2149.725,5241.5561,
2146.815,5394.8702,
2143.904,5555.0999,
2140.993,5617.4702,
2138.083,5607.2322,
2135.172,5605.1399,
2132.262,5596.4481,
2129.351,5475.4468,
2126.441,5347.0737,
2123.530,5141.9731,
2120.619,4903.9541,
2117.709,4675.881,
2114.798,4387.943,
2111.888,4072.031,
2108.977,3825.6663,
2106.067,3608.4578,
2103.156,3445.1166,
2100.245,3276.3418,
2097.335,3206.0347,
2094.424,3064.0566,
2091.514,3018.5928,
2088.603,2989.7254,
2085.692,2971.4715,
2082.782,2968.4112,
2079.871,2933.445,
2076.961,2891.829,
2074.050,2855.8902,
2071.140,2832.6979,
2068.229,2775.2539,
2065.318,2795.534,
2062.408,2759.5112,
2059.497,2747.9702,
2056.587,2723.6777,
2053.676,2715.1916,
2050.766,2733.8354,
2047.855,2732.2009,
2044.944,2757.4487,
2042.034,2738.138,
2039.123,2744.8565,
2036.213,2742.5705,
2033.302,2700.1797,
2030.391,2735.1871,
2027.481,2703.3756,
2024.570,2764.13,
2021.660,2789.7246,
2018.749,2756.1728,
2015.839,2777.0476,
2012.928,2765.7441,
2010.017,2727.0102,
2007.107,2754.5376,
2004.196,2760.0298,
2001.286,2763.958,
1998.375,2731.061,
1995.465,2710.2955,
1992.554,2714.5102,
1989.643,2749.1653,
1986.733,2734.8031,
1983.822,2745.3373,
1980.912,2757.4537,
1978.001,2731.1041,
1975.090,2733.3139,
1972.180,2742.4109,
1969.269,2724.6767,
1966.359,2716.8884,
1963.448,2720.6802,
1960.538,2735.5476,
1957.627,2751.7496,
1954.716,2765.0303,
1951.806,2747.0834,
1948.895,2726.5834,
1945.985,2748.0221,
1943.074,2724.1425,
1940.164,2726.0575,
1937.253,2699.1969,
