,PLD3C3~1,
Wavenumbers [1/cm],Intensity,
3014.167,0.375,
3011.256,0.375,
3008.346,165.79703,
3005.435,169.56935,
3002.525,183.33753,
2999.614,190.02958,
2996.704,201.15335,
2993.793,206.00346,
2990.882,205.63453,
2987.972,225.29933,
2985.061,216.5819,
2982.151,223.49433,
2979.240,224.74192,
2976.329,238.4023,
2973.419,245.5596,
2970.508,250.07498,
2967.598,252.18384,
2964.687,248.375,
2961.777,245.65702,
2958.866,269.38836,
2955.955,268.82852,
2953.045,259.42872,
2950.134,285.16217,
2947.224,275.60275,
2944.313,284.72329,
2941.403,287.24407,
2938.492,305.77878,
2935.581,293.67071,
2932.671,291.29777,
2929.760,303.23654,
2926.850,292.8453,
2923.939,297.89839,
2921.028,307.18109,
2918.118,322.29439,
2915.207,307.36855,
2912.297,328.25652,
2909.386,329.96624,
2906.476,329.59971,
2903.565,308.63278,
2900.654,310.92809,
2897.744,299.55101,
2894.833,310.48846,
2891.923,295.0224,
2889.012,305.53685,
2886.102,299.02502,
2883.191,258.39954,
2880.280,220.31755,
2877.370,13.032442,
2874.459,-76.995825,
2871.549,72.007922,
2868.638,239.38318,
2865.727,268.95957,
2862.817,321.61962,
2859.906,319.48896,
2856.996,327.3433,
2854.085,351.98007,
2851.175,336.2575,
2848.264,334.7425,
2845.353,344.26716,
2842.443,353.74993,
2839.532,348.9871,
2836.622,361.04362,
2833.711,368.27139,
2830.801,354.68456,
2827.890,382.45892,
2824.979,382.16502,
2822.069,376.56833,
2819.158,393.75505,
2816.248,369.72053,
2813.337,393.26159,
2810.427,401.93422,
2807.516,390.49032,
2804.605,377.09617,
2801.695,397.67763,
2798.784,395.44892,
2795.874,406.375,
2792.963,393.51755,
2790.052,400.372,
2787.142,412.19092,
2784.231,415.7306,
2781.321,403.18642,
2778.410,399.54505,
2775.500,406.79948,
2772.589,422.60589,
2769.678,425.30332,
2766.768,440.17308,
2763.857,433.21507,
2760.947,431.46956,
2758.036,439.59789,
2755.126,452.76175,
2752.215,446.41602,
2749.304,459.60881,
2746.394,458.92949,
2743.483,445.67499,
