,PLAE70~1,
Wavenumbers [1/cm],Intensity,
2173.010,162,
2170.099,169.79911,
2167.189,167.06458,
2164.278,179.08141,
2161.368,192.14344,
2158.457,183.38902,
2155.546,190.80289,
2152.636,186.03193,
2149.725,187.16107,
2146.815,205.39936,
2143.904,193.10408,
2140.993,204.62961,
2138.083,210.36474,
2135.172,214.96641,
2132.262,215.24472,
2129.351,219.79659,
2126.441,222,
2123.530,212.93266,
2120.619,205.76152,
2117.709,195.62681,
2114.798,183.94994,
2111.888,176,
2108.977,187.44372,
2106.067,191.72487,
2103.156,184.84115,
2100.245,174.99937,
2097.335,173.75916,
2094.424,167.45236,
2091.514,160.86566,
2088.603,174.0507,
2085.692,174.77322,
2082.782,185.1887,
2079.871,175.85648,
2076.961,185.16049,
2074.050,184.3697,
2071.140,173.44816,
2068.229,176.10157,
2065.318,169.88951,
2062.408,171.15129,
2059.497,176.02978,
2056.587,189.54645,
2053.676,182.83383,
2050.766,197.61435,
2047.855,180.19935,
2044.944,187.53205,
2042.034,185.78606,
2039.123,175.80135,
2036.213,181.92441,
2033.302,182.23899,
2030.391,183.5595,
2027.481,194.13401,
2024.570,199.84283,
2021.660,196.23652,
2018.749,216.16421,
2015.839,193.65485,
2012.928,185.91946,
2010.017,184.13029,
2007.107,185.72339,
2004.196,194.83331,
2001.286,203.71022,
1998.375,197.29921,
1995.465,198.65268,
1992.554,184.3472,
1989.643,182,
1986.733,189.25088,
1983.822,180.6551,
1980.912,198.06842,
1978.001,169.15214,
1975.090,183.01526,
1972.180,177.48271,
1969.269,179.69828,
1966.359,164.13492,
1963.448,182.02907,
1960.538,190.37698,
1957.627,168.6006,
1954.716,168.91382,
1951.806,193.49678,
1948.895,199.93932,
1945.985,176.95752,
1943.074,173.48701,
1940.164,185.35578,
1937.253,177.82191,
1934.342,159.43583,
1931.432,159.50473,
1928.521,180.58549,
1925.611,161.61067,
1922.700,169.99447,
1919.790,169.83243,
1916.879,165.279,
1913.968,161.00492,
1911.058,194.48047,
1908.147,174.59417,
1905.237,180.63232,
1902.326,168.80147,
1899.415,164.3329,
1896.505,124.741,
1893.594,131.27135,
1890.684,132.45099,
1887.773,139.66357,
1884.863,153.01595,
1881.952,175.13482,
1879.041,180.73053,
1876.131,171.04183,
1873.220,155.05304,
1870.310,173.42149,
1867.399,221.2483,
1864.489,148.01253,
1861.578,173.7472,
1858.667,178.79942,
1855.757,162.01432,
1852.846,151.52819,
1849.936,163.46547,
1847.025,144.88566,
1844.114,160.98128,
1841.204,212.41259,
1838.293,209.5158,
1835.383,189.07001,
1832.472,203.1287,
1829.562,206.86276,
1826.651,213.67555,
1823.740,205.44059,
1820.830,200.77166,
1817.919,196.11374,
1815.009,172.73792,
1812.098,187.85038,
1809.188,220.95342,
1806.277,199.53116,
1803.366,186.91682,
1800.456,183.48384,
1797.545,211.39704,
1794.635,232.29096,
1791.724,214.99028,
1788.813,216.99614,
1785.903,197.49618,
1782.992,172.73174,
1780.082,156.33435,
1777.171,99.98928,
1774.261,83.725479,
1771.350,142.80876,
1768.439,196.81226,
1765.529,246.1843,
1762.618,251.37123,
1759.708,211.39102,
1756.797,207.12879,
1753.887,237.71866,
1750.976,251.30694,
1748.065,235.95238,
1745.155,234.21928,
1742.244,227.4194,
1739.334,225.79294,
1736.423,225.88038,
1733.512,232.27644,
1730.602,272.40085,
1727.691,258.89954,
1724.781,280.10333,
1721.870,280.7571,
1718.960,268.31098,
1716.049,271.03385,
1713.138,255.75508,
1710.228,273.88713,
1707.317,269.92343,
1704.407,266.30481,
1701.496,284.23096,
1698.586,299.85977,
1695.675,317.84276,
1692.764,277.34424,
1689.854,242.47242,
1686.943,312.5043,
1684.033,277.94378,
1681.122,290.76211,
1678.211,318.73351,
1675.301,339.93525,
1672.390,329.86243,
1669.480,284.50538,
1666.569,347.0127,
1663.659,347.83668,
1660.748,337.59508,
1657.837,318.09349,
1654.927,367.21086,
1652.016,375.17383,
