,PL4F8F~1,
Wavenumbers [1/cm],Intensity,
2175.920,203.41303,
2173.010,227.05159,
2170.099,207.01983,
2167.189,224.63519,
2164.278,211.09774,
2161.368,230.17792,
2158.457,245.02088,
2155.546,237.78075,
2152.636,237.02126,
2149.725,243.91107,
2146.815,246.68326,
2143.904,251.4526,
2140.993,251.23156,
2138.083,238.86849,
2135.172,260.20382,
2132.262,262.6206,
2129.351,276.60871,
2126.441,276.44901,
2123.530,263.82857,
2120.619,269.2363,
2117.709,253.94887,
2114.798,228.42682,
2111.888,226.04946,
2108.977,232.6639,
2106.067,218.37433,
2103.156,242.90472,
2100.245,228.74247,
2097.335,218.43586,
2094.424,224.52691,
2091.514,213.68825,
2088.603,223.10487,
2085.692,222.25182,
2082.782,231.69776,
2079.871,223.89236,
2076.961,227.36253,
2074.050,216.55606,
2071.140,214.51997,
2068.229,223.47787,
2065.318,223.89825,
2062.408,221.31808,
2059.497,235.98812,
2056.587,236.69206,
2053.676,233.38323,
2050.766,236.51906,
2047.855,227.43673,
2044.944,218.74519,
2042.034,231.75,
2039.123,237.87121,
2036.213,237.36772,
2033.302,243.4888,
2030.391,246.93684,
2027.481,234.28663,
2024.570,236.12134,
2021.660,237.69087,
2018.749,239.44608,
2015.839,234.17126,
2012.928,250.89933,
2010.017,249.23099,
2007.107,225.60792,
2004.196,228.20245,
2001.286,252.18815,
1998.375,246.00787,
1995.465,238.60357,
1992.554,218.46781,
1989.643,263.05638,
1986.733,221.10789,
1983.822,217.50849,
1980.912,256.77906,
1978.001,232.25835,
1975.090,239.74237,
1972.180,248.54254,
1969.269,238.89937,
1966.359,233.88523,
1963.448,220.94814,
1960.538,225.29963,
1957.627,216.15866,
1954.716,215.72127,
1951.806,236.10418,
1948.895,224.51517,
1945.985,233.01798,
1943.074,232.28896,
1940.164,202.3751,
1937.253,210.75,
1934.342,210.75,
1931.432,219.40931,
1928.521,228.34758,
1925.611,231.19154,
1922.700,231.75,
1919.790,191.27069,
1916.879,206.14576,
1913.968,183.77951,
1911.058,247.69294,
1908.147,233.28139,
1905.237,233.77204,
1902.326,221.4863,
1899.415,189.25727,
1896.505,134.53927,
1893.594,159.28967,
1890.684,176.4297,
1887.773,183.48271,
1884.863,215.36503,
1881.952,227.17006,
1879.041,211.88966,
1876.131,225.66633,
1873.220,239.33853,
1870.310,259.31499,
1867.399,250.90994,
1864.489,212.99619,
1861.578,242.72261,
1858.667,228.49554,
1855.757,205.34427,
1852.846,213.00641,
1849.936,215.54079,
1847.025,210.98601,
1844.114,215.39473,
1841.204,252.91083,
1838.293,250.80654,
1835.383,232.05199,
1832.472,248.9013,
1829.562,266.44245,
