,PLB961~1,
Raman shift [1/cm],Intensity,
2210.847,1929.4093,
2207.937,1981.1791,
2205.026,2008.2775,
2202.116,2028.6592,
2199.205,2070.9748,
2196.294,2108.2199,
2193.384,2153.6835,
2190.473,2188.0974,
2187.563,2244.6643,
2184.652,2287.3861,
2181.742,2344.2963,
2178.831,2377.6479,
2175.920,2436.2213,
2173.010,2503.1032,
2170.099,2504.6349,
2167.189,2570.2893,
2164.278,2688.4508,
2161.368,2756.7837,
2158.457,2833.0847,
2155.546,2940.3607,
2152.636,3029.702,
2149.725,3105.0906,
2146.815,3179.331,
2143.904,3217.3252,
2140.993,3285.0184,
2138.083,3297.0168,
2135.172,3288.4328,
2132.262,3300.8812,
2129.351,3252.9031,
2126.441,3176.4221,
2123.530,3036.748,
2120.619,2956.6015,
2117.709,2847.3502,
2114.798,2740.8264,
2111.888,2622.8396,
2108.977,2527.9106,
2106.067,2429.7292,
2103.156,2370.5469,
2100.245,2319.4523,
2097.335,2239.767,
2094.424,2211.782,
2091.514,2200.9193,
2088.603,2169.8365,
2085.692,2156.6375,
2082.782,2164.4478,
2079.871,2158.2853,
2076.961,2147.1458,
2074.050,2142.2273,
2071.140,2159.7181,
2068.229,2160.7162,
2065.318,2123.4758,
2062.408,2160.5537,
2059.497,2170.6607,
2056.587,2143.3142,
2053.676,2126.0674,
2050.766,2137.3453,
2047.855,2130.8417,
2044.944,2136.6475,
2042.034,2105.6099,
2039.123,2136.6616,
2036.213,2160.46,
2033.302,2157.4567,
2030.391,2176.7704,
2027.481,2168.2076,
2024.570,2162.0285,
2021.660,2173.7904,
2018.749,2191.386,
2015.839,2189.4416,
2012.928,2201.4765,
2010.017,2221.5,
2007.107,2216.4757,
2004.196,2200.2857,
2001.286,2193.917,
1998.375,2204.5463,
1995.465,2221.0857,
1992.554,2221.8706,
1989.643,2200.2604,
1986.733,2171.7307,
1983.822,2190.3966,
1980.912,2171.2723,
1978.001,2174.5761,
1975.090,2183.1015,
1972.180,2211.4627,
1969.269,2198.9108,
1966.359,2198.5815,
1963.448,2228.1882,
1960.538,2219.5158,
1957.627,2233.4412,
1954.716,2213.1607,
1951.806,2222.8542,
1948.895,2206.5466,
1945.985,2187.0572,
1943.074,2215.3782,
1940.164,2209.6538,
1937.253,2189.0047,
1934.342,2201.7823,
1931.432,2225.2634,
1928.521,2223.0458,
1925.611,2175.046,
1922.700,2211.692,
1919.790,2186.0207,
1916.879,2193.4538,
1913.968,2175.5234,
1911.058,2258.6321,
1908.147,2255.7175,
1905.237,2226.4853,
1902.326,2227.9074,
1899.415,2212.1244,
1896.505,2228.0724,
1893.594,2251.7683,
1890.684,2272.3757,
1887.773,2255.199,
1884.863,2265.7528,
1881.952,2262.5752,
1879.041,2233.8313,
1876.131,2290.2072,
1873.220,2243.4821,
1870.310,2256.778,
1867.399,2215.2037,
1864.489,2277.1231,
1861.578,2291.7528,
1858.667,2277.3114,
1855.757,2252.2399,
1852.846,2314.2231,
1849.936,2304.546,
1847.025,2322.7336,
1844.114,2338.1447,
1841.204,2352.2063,
1838.293,2378.9609,
1835.383,2371.896,
1832.472,2373.187,
1829.562,2354.4495,
1826.651,2388.886,
1823.740,2397.7567,
1820.830,2398.4449,
1817.919,2354.0805,
1815.009,2405.1488,
1812.098,2408.3189,
1809.188,2449.7092,
1806.277,2470.1016,
1803.366,2471.9344,
1800.456,2438.0054,
1797.545,2425.6279,
1794.635,2394.9821,
1791.724,2454.5775,
1788.813,2502.5026,
1785.903,2506.7481,
1782.992,2494.7683,
1780.082,2497.9101,
1777.171,2498.4973,
1774.261,2490.69,
1771.350,2509.9343,
1768.439,2552.226,
1765.529,2572.0444,
1762.618,2554.3881,
1759.708,2575.196,
1756.797,2600.5833,
1753.887,2605.0904,
1750.976,2607.7827,
1748.065,2623.5476,
1745.155,2636.1387,
1742.244,2642.4592,
1739.334,2639.3376,
1736.423,2674.6532,
1733.512,2724.6993,
1730.602,2726.2797,
1727.691,2748.6005,
1724.781,2806.0543,
1721.870,2837.2049,
1718.960,2836.5666,
1716.049,2907.6518,
1713.138,2876.1852,
1710.228,2811.9307,
1707.317,2806.1537,
1704.407,2866.6926,
1701.496,2924.5467,
1698.586,2982.1671,
1695.675,2946.2645,
1692.764,3054.2665,
1689.854,3006.9252,
1686.943,3067.3078,
1684.033,3074.3758,
1681.122,3167.8857,
1678.211,3210.1098,
1675.301,3268.3212,
1672.390,3260.8021,
1669.480,3362.1337,
1666.569,3442.0489,
1663.659,3563.4636,
1660.748,3623.6403,
1657.837,3733.3748,
1654.927,3773.9995,
1652.016,3838.3224,
1649.106,3914.144,
1646.195,4022.545,
1643.285,4148.6647,
1640.374,4243.4861,
1637.463,4339.9948,
1634.553,4533.7068,
1631.642,4750.095,
1628.732,4988.4613,
1625.821,5317.6688,
1622.911,5574.0461,
1620.000,5859.8716,
1617.089,6182.0323,
1614.179,6456.7165,
1611.268,6840.9634,
1608.358,7196.7373,
1605.447,7328.5295,
1602.536,7557.2891,
1599.626,7511.8645,
1596.715,7596.3525,
1593.805,7544.6854,
1590.894,7462.643,
1587.984,7449.0356,
1585.073,7308.966,
1582.162,7169.2857,
1579.252,7025.3914,
1576.341,6956.0436,
1573.431,6888.3283,
1570.520,6840.3962,
1567.610,6749.2831,
1564.699,6692.4988,
1561.788,6552.628,
1558.878,6416.5684,
1555.967,6306.4875,
1553.057,6179.5526,
1550.146,6049.2238,
1547.235,5954.0449,
1544.325,5856.8983,
1541.414,5822.7017,
1538.504,5802.589,
1535.593,5766.1178,
1532.683,5739.9085,
1529.772,5719.6749,
1526.861,5732.9373,
1523.951,5778.6539,
1521.040,5827.51,
1518.130,5802.6305,
1515.219,5790.1006,
1512.309,5767.0135,
1509.398,5763.1445,
1506.487,5755.3588,
1503.577,5720.3745,
1500.666,5772.3075,
1497.756,5676.0245,
1494.845,5583.0587,
1491.934,5524.6921,
1489.024,5583.4042,
1486.113,5563.2468,
1483.203,5533.9668,
1480.292,5480.4378,
1477.382,5338.9473,
1474.471,5326.6845,
1471.560,5269.367,
1468.650,5231.8345,
1465.739,5262.0079,
1462.829,5311.7441,
1459.918,5372.3843,
1457.008,5390.269,
1454.097,5325.5869,
1451.186,5236.7263,
1448.276,5194.9759,
1445.365,5146.0624,
1442.455,4998.6886,
1439.544,4902.9033,
1436.633,4920.6351,
1433.723,4872.5332,
1430.812,4789.3677,
1427.902,4712.3647,
1424.991,4706.6781,
1422.081,4723.9321,
1419.170,4760.9265,
1416.259,4739.7679,
1413.349,4685.9198,
1410.438,4736.2793,
1407.528,4731.0254,
1404.617,4733.0495,
1401.707,4708.8143,
1398.796,4682.5245,
1395.885,4685.7125,
1392.975,4650.9364,
1390.064,4578.9553,
1387.154,4474.8332,
1384.243,4304.187,
1381.332,4237.492,
1378.422,4265.0449,
1375.511,4488.9356,
