,PL6D1D~1,
Wavenumbers [1/cm],Intensity,
2175.920,276.36271,
2173.010,294.15051,
2170.099,284.49305,
2167.189,292.74698,
2164.278,308.7446,
2161.368,297.62572,
2158.457,286.86127,
2155.546,304.95771,
2152.636,313.23139,
2149.725,305.13507,
2146.815,338.42372,
2143.904,324.625,
2140.993,329.04823,
2138.083,341.43656,
2135.172,353.98645,
2132.262,346.84155,
2129.351,353.76995,
2126.441,362.392,
2123.530,340.84948,
2120.619,356.49673,
2117.709,332.99819,
2114.798,326.02869,
2111.888,304.625,
2108.977,313.52567,
2106.067,304.9742,
2103.156,302.38467,
2100.245,298.61308,
2097.335,282.8763,
2094.424,299.20517,
2091.514,285.27831,
2088.603,306.89687,
2085.692,301.57673,
2082.782,303.8137,
2079.871,308.44647,
2076.961,313.30211,
2074.050,318.84924,
2071.140,305.71679,
2068.229,312.81511,
2065.318,300.3285,
2062.408,299.57961,
2059.497,313.44644,
2056.587,307.14847,
2053.676,306.5247,
2050.766,320.54727,
2047.855,308.14086,
2044.944,291.75801,
2042.034,290.96602,
2039.123,303.64857,
2036.213,322.70493,
2033.302,311.32052,
2030.391,305.09994,
2027.481,315.47849,
2024.570,323.31067,
2021.660,316.09803,
2018.749,318.73897,
2015.839,323.23917,
2012.928,327.18875,
2010.017,308.87147,
2007.107,316.04369,
2004.196,314.06547,
2001.286,315.85467,
1998.375,314.4498,
1995.465,323.6375,
1992.554,316.10744,
1989.643,304.97064,
1986.733,305.41096,
1983.822,302.89457,
1980.912,307.89211,
1978.001,304.26879,
1975.090,316.625,
1972.180,312.28059,
1969.269,303.66234,
1966.359,289.59783,
1963.448,309.92356,
1960.538,299.33726,
1957.627,287.49187,
1954.716,285.65373,
1951.806,347.93594,
1948.895,312.9469,
1945.985,299.93546,
1943.074,315.01623,
1940.164,299.91345,
1937.253,300.77713,
1934.342,307.15494,
1931.432,319.86159,
1928.521,322.72863,
1925.611,307.65111,
1922.700,318.45373,
1919.790,308.84481,
1916.879,304.7645,
1913.968,290.64221,
1911.058,347.64301,
1908.147,319.3593,
1905.237,311.07349,
1902.326,289.10795,
1899.415,280.9579,
1896.505,245.67328,
1893.594,258.89635,
1890.684,276.59876,
1887.773,282.539,
1884.863,291.93252,
1881.952,306.20494,
1879.041,322.99832,
1876.131,326.81062,
