,PL75BA~1,
Wavenumbers [1/cm],Intensity,
2175.920,179.78666,
2173.010,190.17545,
2170.099,193.24157,
2167.189,207.36782,
2164.278,206.66847,
2161.368,212.94588,
2158.457,217.17334,
2155.546,216.34425,
2152.636,220.58777,
2149.725,218.54279,
2146.815,211.60858,
2143.904,223.375,
2140.993,222.9094,
2138.083,225.0224,
2135.172,236.33302,
2132.262,233.23856,
2129.351,249.51995,
2126.441,229.87006,
2123.530,234.57703,
2120.619,250.03565,
2117.709,234.84762,
2114.798,232.59807,
2111.888,222.15041,
2108.977,217.82533,
2106.067,201.41556,
2103.156,215.61121,
2100.245,190.38504,
2097.335,206.97709,
2094.424,203.71582,
2091.514,188.31325,
2088.603,208.17222,
2085.692,207.05533,
2082.782,217.51146,
2079.871,211.05295,
2076.961,215.85838,
2074.050,204.39318,
2071.140,224.69681,
2068.229,223.10938,
2065.318,226.62301,
2062.408,230.61707,
2059.497,233.61312,
2056.587,219.42195,
2053.676,210.00823,
2050.766,237.14256,
2047.855,235.03325,
2044.944,222.84295,
2042.034,219.138,
2039.123,221.09554,
2036.213,217.97274,
2033.302,232.91809,
2030.391,224.10464,
2027.481,243.08198,
2024.570,250.31799,
2021.660,226.7941,
2018.749,263.55146,
2015.839,221.54495,
2012.928,248.83473,
2010.017,251.67359,
2007.107,253.11892,
2004.196,246.25593,
2001.286,254.66826,
1998.375,259.89567,
1995.465,247.3625,
1992.554,244.375,
1989.643,236.65151,
1986.733,248.26798,
1983.822,253.28711,
1980.912,280.79956,
1978.001,232.00209,
1975.090,242.93837,
1972.180,256.40958,
1969.269,248.58187,
1966.359,237.53709,
1963.448,262.8651,
1960.538,270.12896,
1957.627,262.24187,
1954.716,264.28882,
1951.806,261.31888,
1948.895,278.22724,
1945.985,270.57925,
1943.074,269.41193,
1940.164,267.93277,
1937.253,264.04478,
1934.342,254.9135,
1931.432,261.68415,
1928.521,281.55808,
1925.611,274.07648,
1922.700,283.20373,
1919.790,264.98219,
1916.879,264.16575,
1913.968,270.36762,
1911.058,317.13775,
1908.147,272.83633,
1905.237,280.98528,
1902.326,284.60461,
1899.415,287.7396,
1896.505,236.67615,
1893.594,245.72872,
1890.684,259.6953,
1887.773,259.57314,
1884.863,293.35222,
1881.952,308.98001,
1879.041,299.29712,
1876.131,303.70441,
1873.220,304.50332,
1870.310,329.43774,
1867.399,339.24705,
1864.489,291.94662,
1861.578,282.86939,
1858.667,298.40194,
1855.757,302.58144,
1852.846,305.92881,
1849.936,324.98062,
1847.025,290.37744,
1844.114,296.27388,
1841.204,327.68968,
1838.293,328.88581,
1835.383,319.096,
1832.472,324.08457,
1829.562,320.43177,
1826.651,321.529,
1823.740,322.19109,
1820.830,309.80009,
1817.919,329.17754,
1815.009,320.67526,
1812.098,323.76082,
1809.188,342.19666,
1806.277,295.45946,
1803.366,321.009,
1800.456,301.84807,
1797.545,345.02036,
1794.635,349.95598,
1791.724,346.15162,
1788.813,371.1696,
1785.903,349.45062,
1782.992,333.91151,
1780.082,310.97274,
1777.171,220.35678,
1774.261,189.97076,
1771.350,276.34976,
1768.439,319.01479,
1765.529,350.65098,
1762.618,377.17251,
1759.708,353.74427,
1756.797,344.73864,
1753.887,375.4785,
1750.976,400.52683,
1748.065,391.94182,
1745.155,393.78781,
