,PLA0ED~1,
Wavenumbers [1/cm],Intensity,
2178.831,128.4616,
2175.920,143.36817,
2173.010,158.32568,
2170.099,154.69246,
2167.189,154.66088,
2164.278,162.11947,
2161.368,172.91116,
2158.457,159.38873,
2155.546,169.88176,
2152.636,167.99206,
2149.725,171.61157,
2146.815,174.59163,
2143.904,170.92982,
2140.993,178.66738,
2138.083,178.39089,
2135.172,192.19637,
2132.262,182.99912,
2129.351,182.625,
2126.441,200.29496,
2123.530,172.71479,
2120.619,177.73521,
2117.709,161.7345,
2114.798,162.57494,
2111.888,155.13748,
2108.977,168.976,
2106.067,141.73962,
2103.156,162.29906,
2100.245,136.63817,
2097.335,157.74542,
2094.424,158.625,
2091.514,154.33464,
2088.603,154.21944,
2085.692,166.17145,
2082.782,153.78172,
2079.871,136.94589,
2076.961,166.42935,
2074.050,162.625,
2071.140,158.76324,
2068.229,142.43489,
2065.318,162.95926,
2062.408,162.38977,
2059.497,159.65478,
2056.587,156.14847,
2053.676,156.34132,
2050.766,170.54727,
2047.855,138.90979,
2044.944,147.82693,
2042.034,146.65396,
2039.123,167.10648,
2036.213,164.37826,
2033.302,165.99421,
2030.391,170.16779,
2027.481,177.24681,
2024.570,183.46783,
2021.660,158.22149,
2018.749,179.16911,
2015.839,169.37369,
2012.928,173.49916,
2010.017,155.46865,
2007.107,165.53154,
2004.196,160.57737,
2001.286,187.02424,
1998.375,191.70767,
1995.465,169.10625,
1992.554,159.36622,
1989.643,189.51896,
1986.733,163.30395,
1983.822,163.26754,
1980.912,187.83213,
1978.001,154.93854,
1975.090,156.82042,
1972.180,156.21144,
1969.269,164.38078,
1966.359,143.43543,
1963.448,144.42686,
1960.538,157.11708,
1957.627,145.25038,
1954.716,166.93556,
1951.806,174.02886,
1948.895,162.88006,
1945.985,165.23775,
1943.074,170.70982,
1940.164,164.03813,
1937.253,136.33372,
1934.342,143.19772,
1931.432,159.70702,
1928.521,159.78044,
1925.611,156.625,
1922.700,153.45925,
1919.790,155.20879,
1916.879,149.11325,
1913.968,174.59303,
1911.058,200.04841,
1908.147,165.35202,
1905.237,170.86761,
1902.326,149.47092,
1899.415,138.55059,
1896.505,100.92615,
1893.594,115.42996,
1890.684,138.01064,
1887.773,147.90915,
1884.863,179.94846,
1881.952,181.46511,
1879.041,185.70288,
1876.131,180.48121,
1873.220,162.06299,
1870.310,166.12275,
1867.399,181.3851,
1864.489,145.20915,
1861.578,159.9986,
1858.667,164.35853,
1855.757,165.63574,
1852.846,152.87116,
1849.936,151.2296,
1847.025,149.09702,
1844.114,160.32859,
1841.204,206.9222,
1838.293,196.68321,
1835.383,175.28749,
1832.472,188.40413,
1829.562,196.65182,
1826.651,189.00078,
1823.740,174.88935,
1820.830,174.71164,
1817.919,160.96622,
1815.009,144.78149,
1812.098,179.42813,
1809.188,201.44666,
1806.277,170.35535,
1803.366,187.442,
1800.456,176.2403,
1797.545,172.75959,
1794.635,198.33592,
1791.724,166.75116,
1788.813,189.42731,
1785.903,187.9487,
1782.992,170.08703,
1780.082,163.97982,
1777.171,51.274336,
1774.261,5.9703902,
1771.350,73.659514,
1768.439,150.30931,
1765.529,212.72138,
1762.618,244.24312,
1759.708,209.46164,
1756.797,218.89015,
1753.887,238.5215,
1750.976,237.05955,
1748.065,224.57738,
1745.155,223.48299,
1742.244,231.61141,
1739.334,220.985,
1736.423,250.24551,
1733.512,255.16562,
1730.602,267.33336,
1727.691,225.03005,
1724.781,278.27059,
1721.870,253.97237,
1718.960,276.51429,
1716.049,272.71833,
1713.138,257.80006,
1710.228,253.01411,
1707.317,264.12443,
1704.407,264.7266,
1701.496,284.67905,
1698.586,268.14531,
1695.675,295.63197,
1692.764,276.79712,
1689.854,252.66436,
1686.943,287.37715,
1684.033,273.02238,
1681.122,285.4041,
1678.211,288.59645,
1675.301,306.5695,
1672.390,276.63098,
1669.480,279.0261,
1666.569,328.51074,
1663.659,319.674,
1660.748,323.45412,
1657.837,365.625,
1654.927,364.66441,
1652.016,324.7222,
1649.106,329.60424,
1646.195,368.76886,
1643.285,375.24024,
1640.374,400.74696,
1637.463,360.43566,
1634.553,405.20134,
1631.642,443.80958,
1628.732,460.47094,
1625.821,434.63547,
1622.911,450.53484,
1620.000,503.94467,
1617.089,485.02301,
1614.179,548.76373,
1611.268,544.84807,
1608.358,588.47114,
1605.447,605.71084,
1602.536,606.625,
1599.626,659.06117,
1596.715,661.8098,
1593.805,635.68937,
1590.894,639.67036,
1587.984,702.11754,
1585.073,612.93025,
