,PL9A5F~1,
Wavenumbers [1/cm],Intensity,
2175.920,300.96334,
2173.010,307.25085,
2170.099,329.57292,
2167.189,327.46828,
2164.278,340.8152,
2161.368,343.375,
2158.457,337.86785,
2155.546,339.34425,
2152.636,327.56122,
2149.725,340.18035,
2146.815,349.20816,
2143.904,358.17797,
2140.993,363.27979,
2138.083,368.04667,
2135.172,384.90439,
2132.262,380.74912,
2129.351,397.74407,
2126.441,372.45258,
2123.530,371.3301,
2120.619,369.71435,
2117.709,376.72806,
2114.798,346.44028,
2111.888,342.11207,
2108.977,348.83195,
2106.067,321.59016,
2103.156,336.25071,
2100.245,314.38002,
2097.335,321.89333,
2094.424,317.65695,
2091.514,323.95572,
2088.603,328.93265,
2085.692,317.96607,
2082.782,321.90911,
2079.871,331.5897,
2076.961,325.89162,
2074.050,348.55076,
2071.140,335.43223,
2068.229,348.10938,
2065.318,337.844,
2062.408,328.97334,
2059.497,351.83338,
2056.587,340.87549,
2053.676,327.55838,
2050.766,361.52672,
2047.855,336.74846,
2044.944,314.57693,
2042.034,314.82594,
2039.123,339.17635,
2036.213,336.89716,
2033.302,345.09197,
2030.391,338.74869,
2027.481,352.87472,
2024.570,334.71861,
2021.660,347.25154,
2018.749,358.42524,
2015.839,338.67947,
2012.928,359.24916,
2010.017,332.12853,
2007.107,336.6797,
2004.196,349.30356,
2001.286,359.66826,
1998.375,348.89074,
1995.465,333.29554,
1992.554,333.12793,
1989.643,327.58238,
1986.733,339.66272,
1983.822,315.29967,
1980.912,349.78081,
1978.001,338.73121,
1975.090,329.16432,
1972.180,322.75534,
1969.269,320.9986,
1966.359,321.88843,
1963.448,343.21253,
1960.538,328.84122,
1957.627,333.18306,
1954.716,327.57609,
1951.806,327.97114,
1948.895,334.52892,
1945.985,311.99592,
1943.074,350.29018,
1940.164,333.83635,
1937.253,302.01883,
1934.342,293.9905,
1931.432,310.26144,
1928.521,316.92077,
1925.611,327.30349,
1922.700,334.33218,
1919.790,329.34617,
1916.879,305.11874,
1913.968,311.36516,
1911.058,358.13775,
1908.147,320.34587,
1905.237,362.64699,
1902.326,322.32019,
1899.415,319.375,
1896.505,309.19416,
1893.594,300.64332,
1890.684,300.08094,
1887.773,302.34886,
1884.863,323.76908,
1881.952,338.34993,
1879.041,335.32308,
1876.131,335.81814,
1873.220,317.19793,
1870.310,336.65299,
1867.399,353.1351,
1864.489,296.58225,
1861.578,326.4684,
1858.667,327.375,
1855.757,328.17214,
1852.846,331.62628,
1849.936,327.84047,
1847.025,310.67185,
1844.114,327.74686,
1841.204,366.41346,
1838.293,349.89246,
1835.383,342.654,
1832.472,373.24804,
1829.562,355.32447,
1826.651,358.30721,
1823.740,351.17573,
1820.830,326.62681,
1817.919,361.27945,
1815.009,364.38136,
1812.098,349.91044,
1809.188,391.52219,
1806.277,345.48159,
1803.366,361.97573,
1800.456,340.62824,
1797.545,379.46719,
1794.635,383.60005,
1791.724,401.0838,
1788.813,380.97706,
1785.903,387.14051,
1782.992,398.44657,
1780.082,416.01061,
1777.171,351.69297,
1774.261,301.31014,
1771.350,328.41351,
1768.439,366.69629,
1765.529,396.01299,
1762.618,405.40875,
1759.708,390.58138,
1756.797,409.10985,
1753.887,427.34876,
1750.976,432.75785,
1748.065,424.78514,
1745.155,418.20723,
1742.244,413.0915,
1739.334,412.79853,
1736.423,441.22356,
1733.512,434.91154,
1730.602,444.08336,
1727.691,430.95115,
1724.781,441.89311,
1721.870,457.64173,
1718.960,480.10857,
1716.049,439.07037,
1713.138,475.68978,
1710.228,444.21164,
1707.317,424.22186,
1704.407,461.00608,
1701.496,440.76321,
1698.586,460.55063,
1695.675,490.44626,
1692.764,479.12089,
1689.854,451.58758,
1686.943,483.22833,
1684.033,499.97762,
1681.122,477.76583,
1678.211,516.00382,
1675.301,531.32875,
1672.390,470.34509,
1669.480,460.74401,
1666.569,507.26371,
1663.659,576.27701,
1660.748,570.62566,
1657.837,583.94361,
1654.927,609.42186,
1652.016,610.50023,
1649.106,576.01151,
1646.195,601.06331,
1643.285,589.76498,
1640.374,648.83145,
1637.463,623.42904,
1634.553,626.99567,
1631.642,669.02647,
1628.732,728.29204,
1625.821,714.38808,
1622.911,734.2623,
1620.000,785.71987,
1617.089,789.3153,
1614.179,833.10595,
1611.268,862.29684,
1608.358,910.08067,
1605.447,970.83262,
1602.536,997.67218,
1599.626,1018.6936,
1596.715,1056.679,
1593.805,1012.9754,
1590.894,1022.3464,
1587.984,1058.1526,
1585.073,989.35394,
1582.162,971.36568,
1579.252,922.91353,
1576.341,926.79414,
1573.431,931.94135,
1570.520,898.74241,
1567.610,938.29734,
1564.699,925.64878,
1561.788,884.79782,
1558.878,855.30592,
1555.967,830.85838,
1553.057,831.94387,
1550.146,825.69866,
1547.235,796.53292,
1544.325,809.08606,
1541.414,846.57672,
1538.504,834.17107,
1535.593,829.33849,
1532.683,838.89014,
1529.772,833.56862,
1526.861,848.39829,
1523.951,851.76596,
1521.040,858.33727,
1518.130,884.36039,
1515.219,899.29471,
1512.309,890.05061,
1509.398,839.75319,
1506.487,869.65063,
1503.577,862.70117,
1500.666,839.02458,
1497.756,823.88391,
1494.845,863.97369,
1491.934,806.28996,
1489.024,780.30265,
1486.113,808.11868,
1483.203,837.9082,
1480.292,821.85924,
1477.382,812.71726,
1474.471,781.44722,
1471.560,752.05635,
1468.650,738.90881,
1465.739,733.81304,
1462.829,756.84451,
1459.918,780.00489,
1457.008,770.65174,
1454.097,730.03199,
1451.186,726.40595,
1448.276,743.34375,
1445.365,707.05352,
1442.455,695.71553,
1439.544,665.35592,
1436.633,662.39486,
1433.723,681.49962,
1430.812,678.90252,
1427.902,637.17898,
1424.991,712.99997,
1422.081,643.81179,
1419.170,667.61711,
1416.259,700.72721,
1413.349,678.67584,
1410.438,669.375,
1407.528,680.31861,
1404.617,696.35618,
1401.707,645.61149,
1398.796,612.31202,
1395.885,622.45366,
1392.975,603.06228,
1390.064,608.09046,
1387.154,634.49589,
1384.243,603.82299,
1381.332,598.47764,
1378.422,610.97924,
1375.511,525.73217,
1372.601,602.70848,
1369.690,624.805,
1366.780,619.45465,
1363.869,636.2634,
1360.958,655.91911,
1358.048,659.40844,
1355.137,678.92805,
1352.227,690.59718,
1349.316,709.75951,
1346.406,751.50119,
1343.495,739.64502,
1340.584,738.4453,
1337.674,812.4822,
1334.763,813.83371,
1331.853,825.88771,
1328.942,827.26446,
1326.032,837.97807,
1323.121,854.45332,
1320.210,868.69789,
1317.300,895.21359,
1314.389,918.59738,
1311.479,933.36524,
1308.568,943.81176,
1305.657,943.00351,
1302.747,949.94364,
1299.836,1013.5863,
1296.926,1029.5032,
1294.015,1032.2612,
1291.105,1029.7334,
1288.194,1103.6581,
1285.283,1075.1188,
1282.373,1052.5781,
1279.462,1067.3943,
1276.552,1097.6349,
1273.641,1109.1625,
1270.731,1113.5467,
1267.820,1152.375,
1264.909,1143.5499,
1261.999,1078.8757,
1259.088,1065.1939,
1256.178,1137.1738,
1253.267,1068.8195,
1250.356,1062.6609,
1247.446,1070.2015,
1244.535,1050.5447,
1241.625,1028.5491,
1238.714,1025.6204,
1235.804,1036.8944,
1232.893,1064.5044,
1229.982,1045.1416,
1227.072,1067.7744,
1224.161,1045.0004,
1221.251,1029.9519,
1218.340,1012.1231,
1215.430,1018.1384,
1212.519,1034.3554,
1209.608,1021.2387,
1206.698,979.99186,
1203.787,967.91773,
1200.877,1002.3163,
1197.966,985.23228,
1195.055,1009.9725,
1192.145,1042.1747,
1189.234,1111.0639,
1186.324,1151.0121,
1183.413,1154.2836,
1180.503,1156.4456,
1177.592,1162.5668,
1174.681,1143.1216,
1171.771,1141.6223,
1168.860,1152.3393,
1165.950,1142.0869,
1163.039,1128.2006,
1160.129,1114.5272,
1157.218,1133.854,
1154.307,1158.0358,
1151.397,1144.5546,
1148.486,1128.8188,
1145.576,1164.4113,
1142.665,1142.2135,
1139.754,1163.1566,
1136.844,1150.1671,
1133.933,1160.5567,
1131.023,1148.826,
1128.112,1123.5175,
1125.202,1121.5779,
1122.291,1106.5084,
1119.380,1128.323,
1116.470,1123.0279,
1113.559,1093.7648,
1110.649,1111.5688,
1107.738,1116.8019,
1104.828,1118.1131,
1101.917,1113.5104,
1099.006,1078.9831,
1096.096,1102.9023,
1093.185,1062.5142,
1090.275,1109.5498,
1087.364,1111.7693,
1084.453,1128.1862,
1081.543,1141.7457,
1078.632,1138.0616,
1075.722,1143.2049,
1072.811,1167.7545,
1069.901,1159.0219,
1066.990,1121.1918,
1064.079,1145.7202,
1061.169,1145.9106,
1058.258,1137.1864,
1055.348,1139.4354,
1052.437,1128.9312,
1049.527,1111.2743,
1046.616,1108.6678,
1043.705,1102.9796,
1040.795,1112.2296,
1037.884,1110.2832,
1034.974,1109.8235,
1032.063,1116.4137,
1029.153,1101.7372,
1026.242,1138.0654,
1023.331,1100.2108,
1020.421,1142.5663,
1017.510,1164.9353,
1014.600,1177.217,
1011.689,1179.6916,
1008.778,1155.7844,
1005.868,1215.9194,
1002.957,1165.1585,
1000.047,1222.895,
997.136,1245.613,
994.226,1235.8982,
991.315,1220.5037,
988.404,1210.1857,
985.494,1213.7037,
982.583,1183.7242,
979.673,1180.1066,
976.762,1196.2268,
973.852,1192.7887,
970.941,1182.6737,
968.030,1195.0107,
965.120,1153.5361,
962.209,1191.9005,
959.299,1187.043,
956.388,1190.2145,
953.477,1195.1419,
950.567,1211.9361,
947.656,1261.2555,
944.746,1237.4679,
941.835,1233.1357,
938.925,1257.3809,
936.014,1265.3167,
933.103,1252.6069,
930.193,1238.9743,
927.282,1240.5043,
924.372,1224.4377,
921.461,1229.0026,
918.551,1230.2131,
915.640,1225.5505,
912.729,1219.0332,
909.819,1215.4862,
906.908,1216.3286,
903.998,1206.0353,
901.087,1202.102,
898.176,1203.2838,
895.266,1208.8664,
892.355,1215.2756,
889.445,1209.4007,
886.534,1241.1001,
883.624,1259.486,
880.713,1272.0096,
877.802,1274.9011,
874.892,1251.645,
871.981,1175.6192,
869.071,1101.2675,
866.160,1097.3445,
863.250,1139.1176,
860.339,1195.2114,
857.428,1235.9055,
854.518,1242.1584,
851.607,1234.6697,
848.697,1187.2913,
845.786,1188.6905,
842.875,1224.056,
839.965,1250.2973,
837.054,1245.7844,
834.144,1282.2495,
831.233,1323.3725,
828.323,1335.4293,
825.412,1335.8484,
822.501,1347.5239,
819.591,1348.3503,
816.680,1319.5288,
813.770,1311.122,
810.859,1299.094,
807.949,1292.8165,
805.038,1312.375,
802.127,1312.375,
799.217,1283.3047,
796.306,1265.9966,
793.396,1275.5584,
790.485,1292.847,
787.574,1270.8971,
784.664,1337.3262,
781.753,1346.0201,
778.843,1349.7659,
775.932,1345.19,
773.022,1321.9946,
770.111,1319.5419,
767.200,1324.7042,
764.290,1320.0183,
761.379,1324.0401,
758.469,1333.6082,
755.558,1319.8126,
752.648,1334.4755,
749.737,1343.2501,
746.826,1348.7061,
743.916,1355.2841,
741.005,1369.8685,
738.095,1409.6505,
735.184,1365.0359,
732.274,1320.1319,
729.363,1280.5635,
726.452,1252.4912,
723.542,1280.82,
720.631,1295.3722,
717.721,1316.5604,
714.810,1343.8408,
711.899,1367.9394,
708.989,1370.3601,
706.078,1361.5607,
703.168,1359.9822,
700.257,1376.4653,
697.347,1384.3766,
694.436,1330.2659,
691.525,1326.2469,
688.615,1321.6015,
685.704,1332.7575,
682.794,1358.8004,
679.883,1386.5552,
676.973,1390.5621,
674.062,1363.2994,
671.151,1363.5932,
668.241,1393.4284,
665.330,1420.938,
662.420,1390.5862,
659.509,1379.9305,
656.598,1379.9715,
653.688,1396.2574,
650.777,1439.9421,
647.867,1456.6649,
644.956,1447.3728,
642.046,1408.2801,
639.135,1362.9077,
636.224,1357.5023,
633.314,1382.9084,
630.403,1396.4695,
627.493,1390.2368,
624.582,1367.0779,
621.672,1343.318,
618.761,1359.8536,
615.850,1397.8833,
612.940,1434.9626,
610.029,1450.2456,
607.119,1419.45,
604.208,1445.4855,
601.297,1461.3631,
598.387,1463.3686,
595.476,1455.3296,
592.566,1423.0598,
589.655,1438.1075,
586.745,1455.8845,
583.834,1459.7637,
580.923,1443.2186,
578.013,1417.3224,
575.102,1409.8014,
572.192,1435.4568,
569.281,1477.3134,
566.371,1449.1389,
563.460,1498.5796,
560.549,1493.5747,
557.639,1481.2202,
554.728,1522.6998,
551.818,1496.169,
548.907,1508.048,
545.996,1511.2104,
543.086,1494.0132,
540.175,1473.7684,
537.265,1462.2351,
534.354,1470.4156,
531.444,1489.3414,
528.533,1509.1408,
525.622,1533.9711,
522.712,1511.4643,
519.801,1476.9542,
516.891,1455.5397,
513.980,1481.0914,
511.070,1479.1489,
508.159,1485.0161,
505.248,1486.8656,
502.338,1467.7139,
499.427,1479.2914,
496.517,1491.9912,
493.606,1497.356,
490.695,1497.9753,
487.785,1531.0763,
484.874,1498.2478,
481.964,1471.1458,
479.053,1457.7785,
476.143,1438.5795,
473.232,1435.9362,
470.321,1442.6736,
467.411,1466.8369,
464.500,1513.6102,
461.590,1443.9278,
458.679,1476.1027,
455.769,1504.8272,
