,PLDD2F~1,
Wavenumbers [1/cm],Intensity,
2184.652,96.067656,
2181.742,79.965176,
2178.831,72.030668,
2175.920,82.789391,
2173.010,94.300736,
2170.099,89.209322,
2167.189,81.953931,
2164.278,94.04887,
2161.368,104.01748,
2158.457,104.24971,
2155.546,91.07211,
2152.636,79.119708,
2149.725,111.49242,
2146.815,109.20869,
2143.904,109.07203,
2140.993,103.03901,
2138.083,110.88714,
2135.172,128.28683,
2132.262,126.98327,
2129.351,123.65088,
2126.441,123.108,
2123.530,128.95357,
2120.619,132.29717,
2117.709,109.08394,
2114.798,110.37119,
2111.888,105.62545,
2108.977,92.69619,
2106.067,88.599867,
2103.156,87.875,
2100.245,92.873745,
2097.335,91.115837,
2094.424,90.960204,
2091.514,87.73524,
2088.603,88.128476,
2085.692,78.737478,
2082.782,92.838751,
2079.871,108.0897,
2076.961,105.19789,
2074.050,93.632576,
2071.140,87.426839,
2068.229,85.045562,
2065.318,102.31975,
2062.408,103.93552,
2059.497,104.68453,
2056.587,98.654219,
2053.676,100.59132,
2050.766,106.4901,
2047.855,73.530019,
2044.944,96.9391,
2042.034,100.55704,
2039.123,94.635942,
2036.213,97.241638,
2033.302,117.67891,
2030.391,94.859329,
2027.481,101.6064,
2024.570,101.91815,
2021.660,94.229776,
2018.749,127.60907,
2015.839,117.78117,
2012.928,100.40353,
2010.017,111.14753,
2007.107,105.40769,
2004.196,92.922626,
2001.286,105.75131,
1998.375,112.875,
1995.465,101.07589,
1992.554,109.26902,
1989.643,98.324328,
1986.733,101.68114,
1983.822,69.646048,
1980.912,99.260197,
1978.001,66.772967,
1975.090,87.852105,
1972.180,92.530592,
1969.269,90.705469,
1966.359,84.442459,
1963.448,94.485309,
1960.538,108.80161,
1957.627,82.34247,
1954.716,88.587732,
1951.806,87.682725,
1948.895,67.29804,
1945.985,87.75572,
1943.074,94.742287,
1940.164,77.432772,
1937.253,80.431595,
1934.342,74.362166,
1931.432,90.193614,
1928.521,91.185879,
1925.611,95.686576,
1922.700,99.083564,
1919.790,114.37771,
1916.879,71.292724,
1913.968,74.866393,
1911.058,126.38249,
1908.147,65.266261,
1905.237,75.51467,
1902.326,55.720922,
1899.415,48.409127,
1896.505,20.917145,
1893.594,38.317149,
1890.684,70.10371,
1887.773,60.702994,
1884.863,79.490033,
1881.952,84.320125,
1879.041,82.657452,
1876.131,76.545591,
1873.220,65.286465,
1870.310,92.650733,
1867.399,94.875,
1864.489,60.264435,
1861.578,71.742988,
1858.667,86.354065,
1855.757,68.465692,
1852.846,76.362187,
1849.936,65.549679,
1847.025,50.819049,
1844.114,66.442156,
1841.204,119.24912,
1838.293,102.92323,
1835.383,85.351489,
1832.472,104.3637,
1829.562,108.31979,
1826.651,98.669671,
1823.740,100.69877,
1820.830,105.96164,
1817.919,79.186199,
1815.009,62.600193,
1812.098,67.158461,
1809.188,129.78183,
1806.277,112.3619,
1803.366,86.592184,
