,PL98F1~1,
Wavenumbers [1/cm],Intensity,
2175.920,301.375,
2173.010,321.67659,
2170.099,338.90725,
2167.189,321.59027,
2164.278,349.32073,
2161.368,341.94588,
2158.457,344.47883,
2155.546,345.82887,
2152.636,360.55584,
2149.725,365.70386,
2146.815,387.64088,
2143.904,381.38242,
2140.993,395.88298,
2138.083,379.63338,
2135.172,384.76164,
2132.262,380.22447,
2129.351,404.86831,
2126.441,391.63706,
2123.530,396.3301,
2120.619,387.6963,
2117.709,358.63869,
2114.798,358.98653,
2111.888,346.58802,
2108.977,342.36838,
2106.067,324.38204,
2103.156,344.64989,
2100.245,316.37563,
2097.335,317.85667,
2094.424,320.17825,
2091.514,312.08464,
2088.603,315.29201,
2085.692,317.91781,
2082.782,304.30677,
2079.871,316.16146,
2076.961,310.02078,
2074.050,302.45379,
2071.140,288.07586,
2068.229,313.36197,
2065.318,333.96801,
2062.408,333.0036,
2059.497,331.5893,
2056.587,329.99138,
2053.676,319.20883,
2050.766,328.45123,
2047.855,314.9161,
2044.944,330.84776,
2042.034,316.74497,
2039.123,330.83628,
2036.213,324.35936,
2033.302,323.74421,
2030.391,329.20589,
2027.481,337.7407,
2024.570,322.30413,
2021.660,329.66545,
2018.749,337.61519,
2015.839,318.64403,
2012.928,327.96058,
2010.017,342.98628,
2007.107,317.18808,
2004.196,314.44644,
2001.286,334.89794,
1998.375,327.58661,
1995.465,324.88125,
1992.554,313.22805,
1989.643,315.23675,
1986.733,309.73289,
1983.822,303.45329,
1980.912,324.12664,
1978.001,291.88335,
1975.090,298.96889,
1972.180,300.89229,
1969.269,309.9986,
1966.359,294.672,
1963.448,304.29046,
1960.538,306.69443,
1957.627,296.45858,
1954.716,298.28882,
1951.806,291.07693,
1948.895,285.88511,
1945.985,291.41748,
1943.074,297.13149,
1940.164,293.15389,
1937.253,287.76649,
1934.342,273.34933,
1931.432,283.07532,
1928.521,280.68588,
1925.611,288.79044,
1922.700,285.6692,
1919.790,277.34617,
1916.879,267.07249,
1913.968,271.36885,
1911.058,292.78941,
1908.147,275.95461,
1905.237,299.07344,
1902.326,244.05648,
