,PLF62F~1,
Wavenumbers [1/cm],Intensity,
2178.831,127.78943,
2175.920,137.29212,
2173.010,162.97704,
2170.099,157.27678,
2167.189,144.11179,
2164.278,173.35339,
2161.368,154.87476,
2158.457,159.02775,
2155.546,175.25292,
2152.636,169.36442,
2149.725,173.35821,
2146.815,174.90837,
2143.904,173.17982,
2140.993,185.1078,
2138.083,188.06344,
2135.172,187.41279,
2132.262,179.11972,
2129.351,185.18195,
2126.441,192.29249,
2123.530,183.99846,
2120.619,193.22369,
2117.709,180.50181,
2114.798,174.26347,
2111.888,164.62545,
2108.977,162.50414,
2106.067,153.98258,
2103.156,162.19269,
2100.245,150.87563,
2097.335,153.44044,
2094.424,162.48151,
2091.514,155.94759,
2088.603,155.02709,
2085.692,156.01252,
2082.782,163.82276,
2079.871,164.23206,
2076.961,160.13331,
2074.050,184.6447,
2071.140,139.90956,
2068.229,144.12758,
2065.318,168.875,
2062.408,169.85987,
2059.497,179.89287,
2056.587,172.39847,
2053.676,172.59132,
2050.766,193.25841,
2047.855,171.13454,
2044.944,149.33332,
2042.034,170.69001,
2039.123,174.35648,
2036.213,180.47274,
2033.302,185.09216,
2030.391,191.4345,
2027.481,204.2407,
2024.570,192.17547,
2021.660,177.58455,
2018.749,185.10294,
2015.839,188.05019,
2012.928,173.09312,
2010.017,178.68064,
2007.107,177.08623,
2004.196,182.70831,
2001.286,200.64881,
1998.375,194.60727,
1995.465,166.78304,
1992.554,178.5278,
1989.643,196.32198,
1986.733,199.0557,
1983.822,174.91562,
1980.912,211.57697,
1978.001,180.53549,
1975.090,198.29637,
1972.180,179.73805,
1969.269,183.02735,
1966.359,183.49649,
1963.448,208.55665,
1960.538,189.84914,
1957.627,180.20008,
1954.716,183.76009,
1951.806,219.18594,
1948.895,186.10983,
1945.985,184.55147,
1943.074,193.82711,
1940.164,173.40368,
1937.253,166.76181,
1934.342,177.89211,
1931.432,183.91601,
1928.521,186.875,
1925.611,193.36195,
1922.700,196.66644,
1919.790,183.95607,
1916.879,183.7355,
1913.968,176.88361,
1911.058,221.83595,
1908.147,181.79765,
1905.237,191.94112,
1902.326,169.06016,
1899.415,188.48839,
1896.505,137.60373,
1893.594,133.40861,
1890.684,155.32599,
1887.773,167.73672,
1884.863,200.19846,
1881.952,200.32012,
1879.041,185.79712,
1876.131,192.64755,
1873.220,184.41478,
1870.310,202.36824,
1867.399,204.85901,
1864.489,151.74429,
1861.578,200.77038,
1858.667,222.27325,
1855.757,184.27357,
1852.846,187.13141,
1849.936,192.99111,
1847.025,189.40786,
1844.114,197.21155,
1841.204,237.73864,
1838.293,232.39579,
1835.383,195.28252,
1832.472,212.82978,
1829.562,222.26614,
1826.651,212.19122,
1823.740,203.13935,
1820.830,216.07987,
1817.919,228.20439,
1815.009,197.33811,
1812.098,217.00884,
1809.188,245.20052,
1806.277,193.09225,
1803.366,198.94154,
1800.456,203.47953,
1797.545,214.24378,
1794.635,217.35899,
1791.724,219.48657,
1788.813,240.66574,
1785.903,213.04747,
1782.992,223.04492,
1780.082,221.49799,
1777.171,148.85892,
1774.261,103.8403,
1771.350,149.26676,
1768.439,201.43135,
1765.529,244.15004,
1762.618,258.875,
1759.708,235.37476,
1756.797,243.53409,
1753.887,261.97704,
1750.976,249.38875,
1748.065,278.05472,
1745.155,280.35255,
1742.244,274.50996,
1739.334,271.39735,
1736.423,285.12544,
1733.512,275.13918,
1730.602,262.89086,
1727.691,275.46055,
1724.781,271.22266,
1721.870,282.55603,
1718.960,325.34214,
1716.049,281.85857,
1713.138,275.29498,
1710.228,295.89183,
1707.317,282.06814,
1704.407,294.24936,
1701.496,319.57524,
1698.586,312.63516,
1695.675,348.36764,
1692.764,295.01841,
1689.854,262.2175,
1686.943,282.13304,
1684.033,302.37828,
1681.122,346.12733,
1678.211,338.95114,
1675.301,344.8565,
1672.390,323.87201,
1669.480,322.76269,
1666.569,309.50979,
1663.659,358.77701,
1660.748,352.18086,
1657.837,317.0937,
1654.927,327.41387,
1652.016,349.9965,
1649.106,354.40986,
1646.195,336.59429,
1643.285,366.60417,
1640.374,396.28616,
1637.463,323.38822,
1634.553,405.875,
1631.642,406.32017,
1628.732,446.88685,
1625.821,448.86519,
1622.911,433.95953,
1620.000,458.56003,
1617.089,505.91977,
1614.179,483.55182,
1611.268,500.2058,
1608.358,558.06561,
1605.447,592.9324,
1602.536,593.01123,
1599.626,584.5956,
1596.715,617.45624,
1593.805,577.05274,
1590.894,548.97758,
1587.984,619.49283,
1585.073,579.82599,
1582.162,580.05875,
1579.252,572.05539,
1576.341,569.875,
1573.431,531.49947,
1570.520,505.58746,
1567.610,504.60055,
1564.699,529.07595,
1561.788,537.875,
1558.878,529.68184,
1555.967,502.09107,
1553.057,516.66783,
1550.146,524.50047,
1547.235,495.67161,
1544.325,489.05457,
1541.414,490.39431,
1538.504,488.98542,
1535.593,492.38809,
1532.683,507.03501,
1529.772,516.68138,
1526.861,500.2424,
1523.951,500.82029,
1521.040,509.70873,
1518.130,517.19339,
1515.219,555.95529,
1512.309,536.46055,
1509.398,504.86745,
1506.487,492.42626,
1503.577,485.28719,
1500.666,488.25472,
1497.756,536.1289,
1494.845,502.19463,
1491.934,485.8309,
1489.024,472.356,
1486.113,524.72629,
1483.203,490.68379,
1480.292,498.60267,
1477.382,519.46471,
1474.471,483.97129,
1471.560,484.21132,
1468.650,460.1775,
1465.739,460.32529,
1462.829,475.63363,
1459.918,498.55471,
1457.008,499.16713,
1454.097,481.71558,
1451.186,499.33148,
1448.276,496.56086,
1445.365,437.55352,
1442.455,437.14832,
1439.544,437.20197,
1436.633,431.9038,
1433.723,419.61972,
1430.812,434.16536,
1427.902,463.21325,
1424.991,477.42968,
1422.081,406.31179,
1419.170,414.56403,
1416.259,450.89765,
1413.349,439.23873,
1410.438,443.37169,
1407.528,462.68106,
1404.617,459.13244,
1401.707,413.77917,
1398.796,394.56378,
1395.885,421.4499,
1392.975,430.08301,
1390.064,435.0051,
1387.154,475.96812,
1384.243,453.49451,
1381.332,426.63762,
1378.422,455.08771,
1375.511,420.42682,
1372.601,448.44368,
1369.690,438.01666,
1366.780,428.74668,
1363.869,439.95159,
1360.958,435.63197,
1358.048,452.82754,
1355.137,494.68489,
1352.227,502.40431,
1349.316,497.6505,
1346.406,525.98399,
1343.495,522.67461,
1340.584,486.48168,
1337.674,516.6606,
1334.763,516.21584,
1331.853,551.45062,
1328.942,514.62804,
1326.032,546.57793,
1323.121,526.71835,
1320.210,561.49169,
1317.300,588.00662,
1314.389,596.01399,
1311.479,600.875,
1308.568,605.18529,
1305.657,606.13202,
1302.747,607.07212,
1299.836,676.04942,
1296.926,656.13137,
1294.015,661.64732,
1291.105,664.51663,
1288.194,685.64232,
1285.283,655.07484,
1282.373,648.46872,
1279.462,658.9141,
1276.552,688.49715,
1273.641,709.66248,
1270.731,689.0541,
1267.820,677.431,
1264.909,709.03935,
1261.999,672.90965,
1259.088,646.45814,
1256.178,691.9801,
1253.267,666.8856,
1250.356,656.19775,
1247.446,676.99718,
1244.535,657.1876,
1241.625,624.29722,
1238.714,639.08403,
1235.804,667.58857,
1232.893,680.00135,
1229.982,672.58712,
1227.072,634.56401,
1224.161,668.01666,
1221.251,652.53972,
1218.340,625.44064,
1215.430,633.04267,
1212.519,648.32776,
1209.608,648.52062,
1206.698,642.25784,
1203.787,623.84987,
1200.877,613.9337,
1197.966,631.01772,
1195.055,644.67373,
1192.145,667.16127,
1189.234,691.39239,
1186.324,718.87673,
1183.413,728.5755,
1180.503,734.69071,
1177.592,737.57149,
1174.681,668.18321,
1171.771,698.34892,
1168.860,718.88998,
1165.950,698.2989,
1163.039,708.93826,
1160.129,697.58949,
1157.218,721.89167,
1154.307,743.32374,
1151.397,711.61432,
1148.486,714.77127,
1145.576,736.91355,
1142.665,737.80146,
1139.754,737.875,
1136.844,731.57227,
1133.933,760.54633,
1131.023,742.74685,
1128.112,702.87428,
1125.202,714.04891,
1122.291,724.50978,
1119.380,749.64114,
1116.470,725.81288,
1113.559,687.30554,
1110.649,705.03336,
1107.738,708.087,
1104.828,708.27749,
1101.917,721.09978,
1099.006,719.5038,
1096.096,730.47741,
1093.185,707.64935,
1090.275,730.96238,
1087.364,706.6856,
1084.453,710.87386,
1081.543,714.79592,
1078.632,711.59023,
1075.722,737.76457,
1072.811,758.19243,
1069.901,748.58656,
1066.990,721.20006,
1064.079,761.83046,
1061.169,750.18463,
1058.258,732.61517,
1055.348,746.75688,
1052.437,746.0872,
1049.527,731.94213,
1046.616,733.67979,
1043.705,737.72883,
1040.795,749.09107,
1037.884,744.25451,
1034.974,728.28866,
1032.063,722.69025,
1029.153,735.60204,
1026.242,741.65673,
1023.331,733.5422,
1020.421,768.12428,
1017.510,769.30783,
1014.600,773.10048,
1011.689,791.87951,
1008.778,784.96905,
1005.868,773.75917,
1002.957,760.85385,
1000.047,763.243,
997.136,793.65396,
994.226,831.72088,
991.315,840.17452,
988.404,805.63239,
985.494,788.70238,
982.583,780.99337,
979.673,778.41171,
976.762,769.06847,
973.852,779.67139,
970.941,796.13291,
968.030,780.81713,
965.120,758.17215,
962.209,828.93313,
959.299,828.12651,
956.388,814.47554,
953.477,796.36623,
950.567,792.16191,
947.656,826.65218,
944.746,824.95307,
941.835,824.875,
938.925,841.32626,
936.014,860.49735,
933.103,861.69455,
930.193,843.87622,
927.282,838.77511,
924.372,818.48055,
921.461,840.91261,
918.551,834.77073,
915.640,816.22601,
912.729,808.82692,
909.819,822.43524,
906.908,864.55649,
903.998,844.6048,
901.087,846.51307,
898.176,846.58024,
895.266,842.1924,
892.355,842.0897,
889.445,837.89337,
886.534,867.93039,
883.624,867.81951,
880.713,859.26109,
877.802,854.22239,
874.892,844.94728,
871.981,798.17226,
869.071,683.7207,
866.160,679.74407,
863.250,746.10992,
860.339,813.836,
857.428,841.55332,
854.518,852.68243,
851.607,846.02587,
848.697,789.16181,
845.786,751.41981,
842.875,772.73255,
839.965,838.72465,
837.054,861.1541,
834.144,886.01668,
831.233,901.5409,
828.323,910.83157,
825.412,911.01145,
822.501,907.04531,
819.591,930.1845,
816.680,910.04163,
813.770,912.39303,
810.859,906.9477,
807.949,902.3165,
805.038,923.96571,
802.127,941.25139,
799.217,910.82319,
796.306,882.84784,
793.396,894.79129,
790.485,924.39888,
787.574,889.77799,
784.664,913.56125,
781.753,912.50713,
778.843,925.55763,
775.932,950.82547,
773.022,965.8031,
770.111,933.09997,
767.200,967.418,
764.290,959.22715,
761.379,953.14622,
758.469,967.33987,
755.558,973.53145,
752.648,995.52574,
749.737,963.97159,
746.826,970.98338,
743.916,1005.901,
741.005,1024.3773,
738.095,1073.0899,
735.184,1106.0473,
732.274,1044.8271,
729.363,966.08955,
726.452,936.38998,
723.542,922.63029,
720.631,946.34025,
717.721,960.1763,
714.810,961.44889,
711.899,963.02354,
708.989,993.68669,
706.078,986.66327,
703.168,969.08726,
700.257,957.63728,
697.347,964.56974,
694.436,995.26399,
691.525,972.75744,
688.615,965.98827,
685.704,955.80943,
682.794,962.13012,
679.883,1020.9018,
676.973,999.26482,
674.062,992.96075,
671.151,998.44995,
668.241,999.72756,
665.330,976.6481,
662.420,971.85571,
659.509,991.82772,
656.598,1010.799,
653.688,1023.5557,
650.777,1035.767,
647.867,1032.5817,
644.956,1031.2558,
642.046,988.17139,
639.135,933.74405,
636.224,956.10975,
633.314,1002.9521,
630.403,1001.8684,
627.493,999.78834,
624.582,1008.9327,
621.672,1000.2208,
618.761,1008.2343,
615.850,1041.7303,
612.940,1060.0443,
610.029,1044.3761,
607.119,1029.3731,
604.208,1069.7658,
601.297,1087.872,
598.387,1078.2696,
595.476,1052.8406,
592.566,1063.0725,
589.655,1064.2271,
586.745,1074.2902,
583.834,1085.0204,
580.923,1074.9366,
578.013,1085.1381,
575.102,1076.9768,
572.192,1082.4518,
569.281,1104.6254,
566.371,1092.1034,
563.460,1130.3812,
560.549,1133.7185,
557.639,1119.875,
554.728,1119.4316,
551.818,1112.4087,
548.907,1096.8585,
545.996,1086.7086,
543.086,1081.8553,
540.175,1067.8396,
537.265,1066.1507,
534.354,1086.946,
531.444,1096.1714,
528.533,1068.0271,
525.622,1098.2891,
522.712,1095.7737,
519.801,1073.4542,
516.891,1052.9787,
513.980,1083.1762,
511.070,1097.8489,
508.159,1085.205,
505.248,1067.1268,
502.338,1071.5528,
499.427,1094.7077,
496.517,1091.8245,
493.606,1102.0361,
490.695,1131.3817,
487.785,1099.0504,
484.874,1079.0119,
481.964,1077.9347,
479.053,1085.4848,
476.143,1075.5013,
473.232,1087.1049,
470.321,1091.875,
467.411,1090.862,
464.500,1087.8556,
461.590,1087.0899,
458.679,1101.1827,
455.769,1114.4503,
452.858,1117.2387,
449.947,1111.1273,
447.037,1075.2896,
444.126,1069.5114,
441.216,1099.5947,
438.305,1109.4999,
435.395,1125.9546,
432.484,1116.7882,
429.573,1088.7925,
426.663,1071.3092,
423.752,980.60536,
420.842,870.1753,
417.931,746.09062,
415.020,609.58616,
412.110,792.89958,
409.199,962.11939,
406.289,1073.2705,
403.378,1092.542,
400.468,994.26275,
397.557,996.80887,
394.646,1052.3081,
391.736,1116.4786,
388.825,1135.3344,
385.915,1143.0038,
383.004,1138.3075,
380.094,1121.9518,
377.183,1123.4567,
374.272,1105.4205,
371.362,1108.1233,
368.451,1150.4161,
365.541,1126.3989,
362.630,1128.6148,
359.719,1133.5073,
356.809,1126.0626,
353.898,1096.1107,
350.988,1107.947,
348.077,1125.4558,
345.167,1125.3613,
342.256,1095.4786,
339.345,1115.5724,
336.435,1128.1057,
333.524,1094.5931,
330.614,1085.6513,
327.703,1108.5453,
324.793,1134.6795,
321.882,1139.8894,
318.971,1145.837,
316.061,1145.4334,
313.150,1141.9512,
310.240,1138.9827,
307.329,1156.0263,
304.418,1176.0976,
301.508,1204.872,
298.597,1253.7395,
295.687,1259.9067,
292.776,1251.7083,
289.866,1241.9888,
286.955,1256.7633,
284.044,1213.335,
281.134,1217.9792,
278.223,1266.8871,
275.313,1239.6235,
272.402,1247.2358,
269.492,1248.6368,
266.581,1227.4592,
263.670,1179.6725,
260.760,1200.8747,
257.849,1232.875,
254.939,1232.875,
252.028,1219.1219,
249.117,1223.4684,
246.207,1241.1256,
243.296,1265.2828,
240.386,1284.1998,
237.475,1292.4908,
234.565,1293.4855,
231.654,1303.7108,
228.743,1311.0533,
225.833,1290.4833,
222.922,1233.9237,
220.012,1213.5242,
217.101,1242.6973,
214.191,1265.45,
211.280,1217.4375,
208.369,1244.1516,
205.459,1244.9012,
202.548,1228.0115,
199.638,1251.9579,
196.727,1225.1831,
193.816,1216.3241,
190.906,1246.0912,
187.995,1138.2115,
185.085,1111.2778,
182.174,1142.8551,
179.264,1216.5772,
176.353,1176.8166,
173.442,1154.9508,
170.532,1159.1706,
167.621,1118.796,
164.711,1110.5028,
161.800,1047.9931,
158.890,857.98506,
155.979,787.93564,
153.068,716.68908,
150.158,638.33945,
147.247,552.90314,
144.337,475.32287,
141.426,377.75152,
138.516,244.40975,
135.605,179.86813,
132.694,127.17464,
129.784,85.160841,
126.873,55.840517,
123.963,36.786387,
121.052,21.492505,
118.141,7.9283668,
115.231,10.717281,
112.320,11.875,
109.410,12.284066,
106.499,14.420531,
103.589,7.5916918,
100.678,1.875,
97.767,1.875,
94.857,0.4890219,
91.946,4.3092196,
89.036,10.762102,
86.125,10.052897,
83.215,9.875,
80.304,6.5229424,
77.393,-3.3914367,
74.483,1.1160797,
71.572,2.7879437,
68.662,0.9442675,
65.751,1.6507186,
62.840,2.838404,
59.930,2.7512828,
57.019,-1.4792091,
54.109,-5.1108042,
51.198,-3.5056887,
48.288,4.8466878,
45.377,1.3297975,
42.466,-1.7738774,
39.556,-3.4342885,
36.645,0.77885276,
33.735,-1.7597393,
30.824,-4.2414521,
27.914,-1.4367511,
25.003,-1.7476375,
22.092,-2.4479046,
19.182,-3.0334685,
16.271,-0.23550802,
13.361,13.518739,
10.450,-10.830846,
7.539,-253.14628,
4.629,-629.53426,
1.718,-1000.5268,
-1.192,-1252.8931,
-4.103,-978.85958,
-7.013,-543.37951,
-9.924,0.875,
