,PLA0DA~1,
Wavenumbers [1/cm],Intensity,
2175.920,357.74454,
2173.010,359.12472,
2170.099,399.34525,
2167.189,384.85763,
2164.278,400.77714,
2161.368,420.46263,
2158.457,456.02088,
2155.546,456.06827,
2152.636,492.37756,
2149.725,528.72314,
2146.815,526.95021,
2143.904,548.14777,
2140.993,546.24202,
2138.083,562.12688,
2135.172,558.84236,
2132.262,562.14525,
2129.351,566.97412,
2126.441,556.91502,
2123.530,537.77245,
2120.619,533.97043,
2117.709,488.52093,
2114.798,460.80767,
2111.888,456.21257,
2108.977,421.69038,
2106.067,411.85053,
2103.156,383.07594,
2100.245,391.73055,
2097.335,361.59293,
2094.424,362.96301,
2091.514,340.95693,
2088.603,333.02187,
2085.692,341.88752,
2082.782,343.33635,
2079.871,345.21441,
2076.961,353.23338,
2074.050,369.94394,
2071.140,366.99192,
2068.229,339.64191,
2065.318,353.47774,
2062.408,354.55332,
2059.497,339.494,
2056.587,323.58716,
2053.676,328.01647,
2050.766,330.59604,
2047.855,315.12023,
2044.944,330.54326,
2042.034,343.77305,
2039.123,339.99242,
2036.213,344.29214,
2033.302,318.11959,
2030.391,318.0381,
2027.481,332.14012,
2024.570,328.32165,
2021.660,345.56741,
2018.749,340.87622,
2015.839,321.84383,
2012.928,344.50839,
2010.017,353.75,
2007.107,343.70138,
2004.196,351.76198,
2001.286,366.70761,
1998.375,348.83267,
1995.465,350.61607,
1992.554,358.88524,
1989.643,357.81913,
1986.733,334.07105,
1983.822,338.1983,
1980.912,330.11645,
1978.001,332.24165,
1975.090,332.32863,
1972.180,331.09576,
1969.269,336.03453,
1966.359,345.15537,
1963.448,331.33124,
1960.538,334.8651,
1957.627,342.09985,
1954.716,325.26708,
1951.806,330.54485,
1948.895,339.50111,
1945.985,300.63072,
1943.074,319.3957,
1940.164,323.76912,
1937.253,319.91511,
1934.342,314.64733,
1931.432,306.21372,
1928.521,328.23187,
1925.611,325.05534,
1922.700,286.50968,
1919.790,314.78426,
1916.879,291.91223,
1913.968,314.71926,
1911.058,310.89114,
1908.147,301.93835,
1905.237,322.15441,
1902.326,320.27741,
1899.415,318.14146,
1896.505,327.97912,
1893.594,346.11887,
1890.684,319.74357,
1887.773,312.836,
1884.863,328.95501,
1881.952,314.5227,
1879.041,299.69808,
1876.131,312.40882,
1873.220,273.03744,
1870.310,310.37772,
1867.399,322.60606,
1864.489,312.33415,
1861.578,324.97541,
1858.667,307.45659,
1855.757,307.74284,
1852.846,311.7295,
1849.936,303.67992,
1847.025,325.80351,
1844.114,334.86289,
1841.204,320.41783,
1838.293,327.25416,
1835.383,326.3895,
1832.472,315.29609,
1829.562,308.66641,
1826.651,332.99843,
1823.740,323.36682,
1820.830,330.41155,
1817.919,359.18129,
1815.009,352.76272,
1812.098,360.62401,
1809.188,331.73457,
1806.277,316.05985,
1803.366,360.60027,
1800.456,351.3653,
1797.545,346.87046,
1794.635,361.6869,
1791.724,325.3713,
1788.813,350.95283,
1785.903,360.21899,
1782.992,357.9944,
1780.082,359.8005,
1777.171,399.42292,
1774.261,406.68968,
1771.350,394.18426,
1768.439,398.17279,
1765.529,361.29349,
1762.618,348.26687,
1759.708,354.90225,
1756.797,375.73485,
1753.887,376.4672,
1750.976,367.16034,
1748.065,383.33986,
1745.155,380.33719,
1742.244,381.35778,
1739.334,374.79471,
1736.423,383.88082,
1733.512,372.28654,
1730.602,405.3949,
1727.691,394.95252,
1724.781,383.81712,
1721.870,377.11663,
1718.960,381.50562,
1716.049,399.52949,
1713.138,406.16998,
1710.228,388.47376,
1707.317,395.48029,
1704.407,378.78206,
1701.496,434.17751,
1698.586,391.70281,
1695.675,413.94984,
1692.764,411.96311,
1689.854,458.62798,
1686.943,434.66059,
1684.033,417.17222,
1681.122,438.37617,
1678.211,458.55965,
1675.301,426.84867,
1672.390,504.48083,
1669.480,415.2233,
1666.569,473.7627,
1663.659,475.02765,
1660.748,491.59575,
1657.837,483.88122,
1654.927,490.21858,
1652.016,509.6528,
1649.106,506.21514,
1646.195,525.87689,
1643.285,571.18034,
1640.374,547.06359,
1637.463,562.92095,
1634.553,626.26233,
1631.642,593.77172,
1628.732,596.06997,
1625.821,649.77748,
1622.911,691.51332,
1620.000,740.13266,
1617.089,770.15298,
1614.179,831.97334,
1611.268,863.59748,
1608.358,868.56271,
1605.447,956.43643,
1602.536,991.57039,
1599.626,961.55235,
1596.715,967.82601,
1593.805,929.3994,
1590.894,958.21546,
1587.984,943.69597,
1585.073,932.24183,
1582.162,930.75,
1579.252,905.38267,
1576.341,873.31491,
1573.431,856.56874,
1570.520,839.22684,
1567.610,857.10329,
1564.699,858.22473,
1561.788,868.42594,
1558.878,843.70842,
