,PL599A~1,
Wavenumbers [1/cm],Intensity,
2175.920,618.54212,
2173.010,623.2004,
2170.099,657.18801,
2167.189,683.03172,
2164.278,674.96721,
2161.368,707.4102,
2158.457,724.05578,
2155.546,751.18465,
2152.636,775.18349,
2149.725,816.57463,
2146.815,846.35751,
2143.904,841.73465,
2140.993,866.98741,
2138.083,880.05506,
2135.172,893.6124,
2132.262,903.88732,
2129.351,887.22487,
2126.441,893.37747,
2123.530,877.5189,
2120.619,820.68478,
2117.709,806.50825,
2114.798,815.47102,
2111.888,759.20167,
2108.977,732.66143,
2106.067,730.54122,
2103.156,685.89291,
2100.245,696.11935,
2097.335,687.00458,
2094.424,683.01346,
2091.514,662.75663,
2088.603,640.80243,
2085.692,631.21425,
2082.782,660.34568,
2079.871,636.33738,
2076.961,670.21899,
2074.050,671.22197,
2071.140,670.55049,
2068.229,656.58073,
2065.318,655.125,
2062.408,678.76189,
2059.497,670.05947,
2056.587,631.10202,
2053.676,621.67515,
2050.766,634.97029,
2047.855,643.95413,
2044.944,643.17947,
2042.034,668.06709,
2039.123,643.1452,
2036.213,647.77834,
2033.302,658.73358,
2030.391,660.61665,
2027.481,658.8689,
2024.570,665.86768,
2021.660,679.35632,
2018.749,669.84682,
2015.839,683.68602,
2012.928,659.26259,
2010.017,675.07288,
2007.107,675.77546,
2004.196,680.33932,
2001.286,716.31576,
1998.375,700.72341,
1995.465,676.68572,
1992.554,688.14841,
1989.643,680.47064,
1986.733,688.55307,
1983.822,693.86798,
1980.912,673.97599,
1978.001,663.47195,
1975.090,695.28989,
1972.180,699.95347,
1969.269,704.84344,
1966.359,684.34081,
1963.448,681.73531,
1960.538,687.93651,
1957.627,730.9238,
1954.716,676.87734,
1951.806,700.07532,
1948.895,696.19185,
1945.985,681.23121,
1943.074,694.67492,
1940.164,687.01943,
1937.253,687.62968,
1934.342,657.54372,
1931.432,655.05245,
1928.521,687.39961,
1925.611,681.94339,
1922.700,686.78798,
1919.790,684.95743,
1916.879,688.77625,
1913.968,666.15328,
1911.058,690.59647,
1908.147,687.50898,
1905.237,711.16173,
1902.326,687.43316,
1899.415,664.00303,
1896.505,659.05297,
1893.594,686.31095,
1890.684,693.09876,
1887.773,707.70257,
1884.863,706.84937,
1881.952,729.14227,
1879.041,717.94327,
1876.131,723.34068,
1873.220,684.28412,
1870.310,704.11598,
1867.399,715.96506,
1864.489,729.08606,
1861.578,723.54843,
1858.667,685.72675,
1855.757,722.53073,
1852.846,719.14038,
1849.936,723.89277,
1847.025,723.29774,
1844.114,740.125,
1841.204,741.47815,
1838.293,751.61086,
1835.383,776.51998,
1832.472,757.50761,
1829.562,743.42943,
1826.651,754.279,
1823.740,768.77253,
1820.830,760.00677,
1817.919,772.41253,
1815.009,769.27513,
1812.098,766.32973,
1809.188,779.25675,
1806.277,774.25779,
1803.366,791.42445,
1800.456,807.53124,
1797.545,782.42985,
1794.635,801.89995,
1791.724,782.60069,
1788.813,801.13271,
1785.903,827.46995,
1782.992,821.71214,
1780.082,773.0745,
1777.171,725.44779,
1774.261,697.44023,
1771.350,740.87001,
1768.439,797.55339,
1765.529,823.76111,
1762.618,818.25999,
1759.708,813.10325,
1756.797,826.64773,
1753.887,822.2008,
1750.976,809.71466,
1748.065,861.73789,
1745.155,852.60916,
1742.244,853.62405,
1739.334,864.75559,
1736.423,856.35305,
1733.512,883.68606,
1730.602,901.85715,
1727.691,884.16583,
1724.781,861.60689,
1721.870,851.49163,
1718.960,872.32527,
1716.049,913.20091,
1713.138,920.125,
1710.228,887.92401,
1707.317,924.69986,
1704.407,890.59552,
1701.496,923.49846,
1698.586,963.16039,
1695.675,928.69666,
1692.764,948.84632,
1689.854,969.25887,
1686.943,984.61912,
1684.033,945.14329,
1681.122,999.17342,
1678.211,976.35342,
1675.301,1013.0109,
1672.390,1030.131,
1669.480,1032.133,
1666.569,1032.7949,
1663.659,1007.8436,
1660.748,1052.1469,
1657.837,1103.9938,
1654.927,1098.3124,
1652.016,1105.9792,
1649.106,1101.5939,
1646.195,1159.4776,
1643.285,1133.763,
1640.374,1161.564,
1637.463,1182.6114,
1634.553,1209.3171,
1631.642,1222.0816,
1628.732,1218.4272,
1625.821,1269.1623,
1622.911,1325.8038,
1620.000,1443.6258,
1617.089,1447.0852,
1614.179,1538.4741,
1611.268,1606.5969,
1608.358,1691.0982,
1605.447,1746.9826,
1602.536,1806.0382,
1599.626,1783.4469,
1596.715,1796.5542,
1593.805,1741.7821,
1590.894,1761.5451,
1587.984,1738.2761,
1585.073,1738.3791,
1582.162,1675.6737,
1579.252,1638.576,
1576.341,1657.958,
1573.431,1639.0634,
1570.520,1617.6018,
1567.610,1595.9875,
1564.699,1595.2002,
1561.788,1595.7166,
1558.878,1563.7179,
1555.967,1539.215,
1553.057,1524.5561,
1550.146,1502.5323,
1547.235,1539.9414,
1544.325,1507.5233,
1541.414,1456.5849,
1538.504,1458.1802,
1535.593,1445.0307,
1532.683,1432.8002,
1529.772,1430.6564,
1526.861,1407.2388,
1523.951,1394.8157,
1521.040,1423.4575,
1518.130,1422.5096,
1515.219,1369.5249,
1512.309,1369.4088,
1509.398,1349.9616,
1506.487,1324.2901,
1503.577,1347.2397,
1500.666,1370.2296,
1497.756,1363.4301,
1494.845,1364.7237,
1491.934,1307.188,
1489.024,1326.4379,
1486.113,1345.6693,
1483.203,1324.9208,
1480.292,1327.2161,
1477.382,1288.5208,
1474.471,1259.9405,
1471.560,1317.258,
1468.650,1317.2104,
1465.739,1277.9434,
1462.829,1281.82,
1459.918,1290.1526,
1457.008,1282.5711,
1454.097,1265.2603,
1451.186,1239.1443,
1448.276,1242.0976,
1445.365,1270.8035,
1442.455,1268.7584,
1439.544,1262.6572,
1436.633,1261.1161,
1433.723,1294.8727,
1430.812,1298.1302,
1427.902,1274.2976,
1424.991,1323.5812,
1422.081,1291.1783,
1419.170,1278.6203,
1416.259,1275.5049,
1413.349,1232.0763,
1410.438,1255.9131,
1407.528,1305.5996,
1404.617,1280.6775,
1401.707,1249.0651,
1398.796,1269.8382,
1395.885,1292.4714,
1392.975,1296.8544,
1390.064,1308.5364,
1387.154,1293.5727,
1384.243,1254.4708,
1381.332,1284.109,
1378.422,1317.5258,
1375.511,1344.6925,
1372.601,1376.4584,
1369.690,1367.9811,
1366.780,1340.7799,
1363.869,1395.8755,
1360.958,1450.8154,
1358.048,1500.3505,
1355.137,1521.5479,
1352.227,1516.9224,
1349.316,1521.6792,
1346.406,1543.4271,
1343.495,1565.1111,
1340.584,1579.4463,
1337.674,1595.1634,
1334.763,1637.3367,
1331.853,1642.9001,
1328.942,1714.2821,
1326.032,1650.5348,
1323.121,1725.2636,
1320.210,1759.1228,
1317.300,1747.7301,
1314.389,1753.0003,
1311.479,1783.1637,
1308.568,1819.8518,
1305.657,1858.2062,
1302.747,1892.9666,
1299.836,1914.5133,
1296.926,1961.706,
1294.015,1995.7209,
1291.105,2027.944,
1288.194,2086.4395,
1285.283,2102.989,
1282.373,2105.3906,
1279.462,2119.3012,
1276.552,2151.0306,
1273.641,2195.6237,
1270.731,2227.3608,
1267.820,2217.3083,
1264.909,2203.5874,
1261.999,2263.7602,
1259.088,2226.3632,
1256.178,2187.2974,
1253.267,2164.2467,
1250.356,2143.5482,
1247.446,2120.2834,
1244.535,2080.384,
1241.625,2051.9324,
1238.714,2029.4615,
1235.804,1973.8483,
1232.893,1962.8738,
1229.982,1966.7758,
1227.072,1926.9421,
1224.161,1842.5961,
1221.251,1840.5262,
1218.340,1828.2819,
1215.430,1833.4389,
1212.519,1827.4674,
1209.608,1803.9987,
1206.698,1802.9336,
1203.787,1806.6074,
1200.877,1783.9638,
1197.966,1813.636,
1195.055,1856.0809,
1192.145,1895.4328,
1189.234,1930.1303,
1186.324,1961.6722,
1183.413,1968.7341,
1180.503,1963.5211,
1177.592,1967.3875,
1174.681,1946.7723,
1171.771,1957.6511,
1168.860,1937.11,
1165.950,1930.2873,
1163.039,1923.5378,
1160.129,1919.3554,
1157.218,1881.5891,
1154.307,1843.6091,
1151.397,1851.5993,
1148.486,1868.6236,
1145.576,1876.9323,
1142.665,1872.4927,
1139.754,1913.6201,
1136.844,1853.0947,
1133.933,1837.7877,
1131.023,1855.2064,
1128.112,1869.9097,
1125.202,1883.5743,
1122.291,1884.8662,
1119.380,1862.584,
1116.470,1909.3581,
1113.559,1929.0435,
1110.649,1936.3992,
1107.738,1946.1623,
1104.828,1930.2395,
1101.917,1914.9896,
1099.006,1942.8573,
1096.096,1885.4475,
1093.185,1890.7155,
1090.275,1912.166,
1087.364,1939.0809,
1084.453,1932.2511,
1081.543,1930.957,
1078.632,1941.1107,
1075.722,1929.7489,
1072.811,1928.9317,
1069.901,1940.2841,
1066.990,1924.15,
1064.079,1982.7323,
1061.169,1981.1961,
1058.258,1983.2281,
1055.348,2022.1827,
1052.437,2025.4851,
1049.527,2016.5208,
1046.616,2000.8819,
1043.705,2029.9556,
1040.795,2026.9934,
1037.884,2025.1824,
1034.974,2034.5941,
1032.063,2045.2249,
1029.153,2051.9053,
1026.242,2025.0916,
1023.331,2064.1224,
1020.421,2081.1873,
1017.510,2089.6072,
1014.600,2089.3186,
1011.689,2105.7903,
1008.778,2156.8996,
1005.868,2138.1868,
1002.957,2145.0696,
1000.047,2256.053,
997.136,2317.0941,
994.226,2333.3557,
991.315,2318.7711,
988.404,2273.7747,
985.494,2246.0483,
982.583,2242.6221,
979.673,2272.8542,
976.762,2233.6342,
973.852,2224.2036,
970.941,2253.2721,
968.030,2249.6858,
965.120,2281.0176,
962.209,2255.4413,
959.299,2266.7065,
956.388,2289.9239,
953.477,2301.8919,
950.567,2312.4119,
947.656,2338.1007,
944.746,2269.2867,
941.835,2260.4563,
938.925,2276.8924,
936.014,2280.5609,
933.103,2276.8905,
930.193,2280.7243,
927.282,2284.454,
924.372,2308.9766,
921.461,2238.485,
918.551,2215.6106,
915.640,2201.5522,
912.729,2180.7351,
909.819,2184.6802,
906.908,2181.3105,
903.998,2180.3296,
901.087,2183.944,
898.176,2189.9426,
895.266,2206.821,
892.355,2237.5803,
889.445,2256.0442,
886.534,2275.3271,
883.624,2273.0695,
880.713,2280.3321,
877.802,2275.8819,
874.892,2227.6149,
871.981,2130.961,
869.071,2081.6717,
866.160,2101.4133,
863.250,2157.1096,
860.339,2238.7239,
857.428,2303.4552,
854.518,2253.9806,
851.607,2248.9882,
848.697,2177.9677,
845.786,2124.8474,
842.875,2165.9464,
839.965,2278.5861,
837.054,2276.7297,
834.144,2330.5986,
831.233,2331.7923,
828.323,2322.1793,
825.412,2334.189,
822.501,2360.295,
819.591,2305.7526,
816.680,2323.3558,
813.770,2283.0168,
810.859,2254.32,
807.949,2253.7787,
805.038,2258.4237,
802.127,2260.8931,
799.217,2256.6527,
796.306,2225.6113,
793.396,2216.3618,
790.485,2226.8066,
787.574,2187.6579,
784.664,2175.3563,
781.753,2226.8037,
778.843,2253.125,
775.932,2258.3718,
773.022,2277.2257,
770.111,2323.01,
767.200,2277.401,
764.290,2252.879,
761.379,2270.5448,
758.469,2304.5675,
755.558,2291.2466,
752.648,2295.3196,
749.737,2288.9443,
746.826,2285.5912,
743.916,2275.7937,
741.005,2251.3259,
738.095,2270.811,
735.184,2271.6949,
732.274,2208.0173,
729.363,2161.5481,
726.452,2191.3342,
723.542,2242.326,
720.631,2278.0002,
717.721,2266.3569,
714.810,2256.9772,
711.899,2270.7587,
708.989,2282.0556,
706.078,2284.5289,
703.168,2282.6961,
700.257,2279.0621,
697.347,2274.6034,
694.436,2269.4742,
691.525,2282.335,
688.615,2254.3084,
685.704,2240.8736,
682.794,2251.5718,
679.883,2266.3773,
676.973,2271.9869,
674.062,2266.7442,
671.151,2305.643,
668.241,2337.2532,
665.330,2263.5956,
662.420,2252.4133,
659.509,2307.9037,
656.598,2343.7215,
653.688,2339.9937,
650.777,2314.3968,
647.867,2263.4319,
644.956,2263.2697,
642.046,2251.0535,
639.135,2228.3172,
636.224,2244.1489,
633.314,2248.9125,
630.403,2279.0943,
627.493,2325.6261,
624.582,2363.5341,
621.672,2342.9423,
618.761,2324.6464,
615.850,2324.6349,
612.940,2347.5679,
610.029,2385.2294,
607.119,2397.8635,
604.208,2406.2251,
601.297,2413.1131,
598.387,2407.6661,
595.476,2389.2503,
592.566,2443.558,
589.655,2403.8854,
586.745,2385.8044,
583.834,2402.6146,
580.923,2422.035,
578.013,2407.125,
575.102,2401.4042,
572.192,2406.5561,
569.281,2419.3904,
566.371,2426.434,
563.460,2435.5906,
560.549,2417.6847,
557.639,2375.5199,
554.728,2326.4116,
551.818,2394.2991,
548.907,2421.3133,
545.996,2423.6819,
543.086,2417.977,
540.175,2431.2139,
537.265,2403.8781,
534.354,2387.1047,
531.444,2386.1408,
528.533,2399.5665,
525.622,2405.774,
522.712,2428.9681,
519.801,2436.2512,
516.891,2434.9848,
513.980,2483.7655,
511.070,2498.6902,
508.159,2505.0353,
505.248,2513.1337,
502.338,2532.6161,
499.427,2583.557,
496.517,2593.7311,
493.606,2594.1534,
490.695,2604.4044,
487.785,2635.196,
484.874,2618.7996,
481.964,2602.1417,
479.053,2592.3671,
476.143,2580.8477,
473.232,2565.7369,
470.321,2573.7491,
467.411,2574.1957,
464.500,2535.1031,
461.590,2613.2086,
458.679,2620.267,
455.769,2622.933,
452.858,2651.705,
449.947,2618.856,
447.037,2633.3616,
444.126,2645.2765,
441.216,2645.9614,
438.305,2668.0574,
435.395,2682.9265,
432.484,2669.5376,
429.573,2646.2075,
426.663,2663.6908,
423.752,2532.6154,
420.842,2391.5515,
417.931,2282.6444,
415.020,2249.2766,
412.110,2476.3883,
409.199,2581.1519,
406.289,2617.6378,
403.378,2662.1378,
400.468,2665.9178,
397.557,2636.276,
394.646,2635.945,
391.736,2714.294,
388.825,2719.5736,
385.915,2733.8976,
383.004,2757.9744,
380.094,2790.3169,
377.183,2794.0793,
374.272,2781.0127,
371.362,2797.6748,
368.451,2865.3499,
365.541,2852.5908,
362.630,2845.3013,
359.719,2848.6363,
356.809,2864.3515,
353.898,2868.0955,
350.988,2862.6152,
348.077,2839.7005,
345.167,2800.228,
342.256,2861.4876,
339.345,2870.6221,
336.435,2867.5665,
333.524,2878.8431,
330.614,2869.9013,
327.703,2871.7456,
324.793,2879.4763,
321.882,2889.0601,
318.971,2862.2962,
316.061,2875.0991,
313.150,2897.2012,
310.240,2894.2327,
307.329,2942.7203,
304.418,2968.5083,
301.508,2971.9896,
298.597,2956.4409,
295.687,2955.125,
292.776,2980.5418,
289.866,3023.1311,
286.955,3056.3737,
284.044,3045.3125,
281.134,3067.2292,
278.223,3119.0472,
275.313,3111.6786,
272.402,3081.0798,
269.492,3061.7093,
266.581,3064.4944,
263.670,3055.6722,
260.760,3073.4979,
257.849,3095.2045,
254.939,3104.0111,
252.028,3143.2126,
249.117,3156.7545,
246.207,3160.4285,
243.296,3180.9255,
240.386,3187.043,
237.475,3195.6562,
234.565,3204.5145,
231.654,3194.2892,
228.743,3150.6985,
225.833,3114.6369,
222.922,3103.416,
220.012,3131.1011,
217.101,3105.7749,
214.191,3077.1189,
211.280,3100.3977,
208.369,3132.4016,
205.459,3145.528,
202.548,3131.4676,
199.638,3063.9822,
196.727,3106.0179,
193.816,3144.1148,
190.906,3138.09,
187.995,3165.6029,
185.085,3158.1022,
182.174,3157.1463,
179.264,3223.6407,
176.353,3245.2221,
173.442,3284.305,
170.532,3326.5239,
167.621,3218.3776,
164.711,3075.6024,
161.800,2937.7349,
158.890,2834.0941,
155.979,2666.1636,
153.068,2460.3564,
150.158,2215.2123,
147.247,1910.0826,
144.337,1583.938,
141.426,1252.6906,
138.516,922.92062,
135.605,660.72602,
132.694,448.1712,
129.784,284.3345,
126.873,182.78606,
123.963,137.65498,
121.052,105.52712,
118.141,71.259821,
115.231,53.360741,
112.320,46.548636,
109.410,44.943316,
106.499,33.548832,
103.589,33.366018,
100.678,31.593918,
97.767,22.351729,
94.857,22.817989,
91.946,21.109446,
89.036,17.786306,
86.125,15.65869,
83.215,12.470398,
80.304,12.279894,
77.393,18.653424,
74.483,20.43527,
71.572,18.588535,
68.662,13.986465,
65.751,12.573563,
62.840,11.161596,
59.930,9.3758552,
57.019,6.5555273,
54.109,7.9164825,
51.198,8.5217814,
48.288,7.1363249,
45.377,8.543081,
42.466,10.361658,
39.556,11.779644,
36.645,9.6730736,
33.735,12.759739,
30.824,12.590808,
27.914,1.3720045,
25.003,2.6155499,
22.092,4.4479046,
19.182,5.28518,
16.271,10.181611,
13.361,35.726647,
10.450,38.43813,
7.539,-134.04577,
4.629,-269.7482,
1.718,-445.31962,
-1.192,-740.21176,
-4.103,-535.41487,
-7.013,-262.73845,
-9.924,3.125,
