,PLC42E~1,
Wavenumbers [1/cm],Intensity,
2173.010,471.00085,
2170.099,514.98712,
2167.189,485.48378,
2164.278,533.8044,
2161.368,539.55195,
2158.457,582.86842,
2155.546,616.3058,
2152.636,648.84836,
2149.725,674.43371,
2146.815,682.95816,
2143.904,703.82389,
2140.993,708.10904,
2138.083,737.32558,
2135.172,734.24256,
2132.262,737.64965,
2129.351,744.34912,
2126.441,721.03755,
2123.530,710.82195,
2120.619,680.40956,
2117.709,649.74175,
2114.798,612.0325,
2111.888,580.00023,
2108.977,563.68128,
2106.067,548.02447,
2103.156,518.72995,
2100.245,511.12124,
2097.335,502.11453,
2094.424,478.44955,
2091.514,478.84548,
2088.603,478.20799,
2085.692,465.53393,
2082.782,457.34995,
2079.871,459.05382,
2076.961,480.70429,
2074.050,466.04621,
2071.140,480.10233,
2068.229,466.47264,
2065.318,486.8905,
2062.408,485.66282,
2059.497,462.0833,
2056.587,438.19493,
2053.676,461.07335,
2050.766,451.43367,
2047.855,448.23892,
2044.944,456.51441,
2042.034,472.32714,
2039.123,441.32702,
2036.213,451.39607,
2033.302,443.47276,
2030.391,451.63335,
2027.481,464.53954,
2024.570,457.16815,
2021.660,474.88329,
2018.749,474.31495,
2015.839,478.72146,
2012.928,475.20554,
2010.017,466.93064,
2007.107,463.24277,
2004.196,472.10119,
2001.286,503.14968,
1998.375,489.33168,
1995.465,485.1375,
1992.554,474.97805,
1989.643,473.125,
1986.733,463.40921,
1983.822,484.99649,
1980.912,477.89726,
1978.001,470.22703,
1975.090,467.07921,
1972.180,485.60771,
1969.269,481.59625,
1966.359,480.07097,
1963.448,481.125,
1960.538,498.1667,
1957.627,492.31694,
1954.716,451.3028,
1951.806,484.97597,
1948.895,477.53398,
1945.985,450.20997,
1943.074,465.00325,
1940.164,463.90389,
1937.253,459.37734,
1934.342,433.99666,
1931.432,445.68021,
1928.521,476.81412,
1925.611,452.13181,
1922.700,463.07665,
1919.790,455.34481,
1916.879,449.404,
1913.968,477.09057,
1911.058,461.97486,
1908.147,486.66367,
1905.237,472.95585,
1902.326,459.81684,
1899.415,458.31523,
1896.505,444.30584,
1893.594,466.48478,
1890.684,478.77203,
1887.773,494.67643,
1884.863,512.6922,
1881.952,480.46037,
1879.041,466.39447,
1876.131,467.93938,
1873.220,451.56299,
1870.310,476.04423,
1867.399,501.74115,
1864.489,492.11247,
1861.578,466.9382,
1858.667,465.125,
1855.757,469.70853,
1852.846,492.1455,
1849.936,490.52141,
1847.025,467.59214,
1844.114,491.97679,
1841.204,500.61451,
1838.293,489.13498,
1835.383,522.47296,
1832.472,525.47283,
1829.562,508.95781,
1826.651,528.21944,
1823.740,523.7495,
1820.830,512.18006,
1817.919,519.89752,
1815.009,512.70643,
1812.098,508.43209,
1809.188,527.82263,
1806.277,502.72256,
1803.366,521.42445,
1800.456,537.14654,
1797.545,505.61424,
1794.635,528.70598,
1791.724,522.09583,
1788.813,535.92346,
1785.903,530.42152,
1782.992,512.83434,
1780.082,483.1755,
1777.171,491.11428,
1774.261,441.2698,
1771.350,481.50877,
1768.439,564.44349,
1765.529,549.94164,
1762.618,549.78752,
1759.708,561.65762,
1756.797,571.19318,
1753.887,572.4836,
1750.976,545.71794,
1748.065,579.28014,
1745.155,564.77693,
1742.244,559.65123,
1739.334,571.49441,
1736.423,560.82034,
1733.512,556.85264,
1730.602,607.99015,
1727.691,609.77179,
1724.781,590.96662,
1721.870,591.14883,
1718.960,610.21411,
1716.049,602.37935,
1713.138,618.93491,
1710.228,605.58936,
1707.317,627.00843,
1704.407,583.40835,
1701.496,642.84489,
1698.586,607.5457,
1695.675,649.03901,
1692.764,659.69877,
1689.854,660.125,
1686.943,676.55166,
1684.033,603.98772,
1681.122,652.25839,
