,PL037C~1,
Raman shift [1/cm],Intensity,
2234.132,3076.7532,
2231.221,3082.553,
2228.311,3077.0412,
2225.400,3139.0695,
2222.490,3175.443,
2219.579,3192.4885,
2216.669,3234.4785,
2213.758,3263.1347,
2210.847,3291.3148,
2207.937,3332.412,
2205.026,3356.2213,
2202.116,3390.9151,
2199.205,3424.6619,
2196.294,3483.0839,
2193.384,3569.4456,
2190.473,3587.4261,
2187.563,3711.4254,
2184.652,3820.8387,
2181.742,3964.9799,
2178.831,4063.8057,
2175.920,4245.49,
2173.010,4456.4348,
2170.099,4627.9192,
2167.189,4928.3633,
2164.278,5154.8573,
2161.368,5465.2748,
2158.457,5785.8925,
2155.546,6071.9618,
2152.636,6344.8134,
2149.725,6616.3891,
2146.815,6795.2616,
2143.904,6973.5204,
2140.993,7024.6296,
2138.083,7066.8387,
2135.172,7110.6721,
2132.262,7031.7931,
2129.351,6859.5578,
2126.441,6702.7958,
2123.530,6445.8124,
2120.619,6136.2397,
2117.709,5880.058,
2114.798,5547.1871,
2111.888,5219.1436,
2108.977,4953.8542,
2106.067,4720.0158,
2103.156,4497.5523,
2100.245,4313.9153,
2097.335,4169.6073,
2094.424,4086.8784,
2091.514,4010.1798,
2088.603,3932.1153,
2085.692,3918.4572,
2082.782,3879.7633,
2079.871,3861,
2076.961,3852.5812,
2074.050,3819.2545,
2071.140,3784.3564,
2068.229,3775.8294,
2065.318,3755.1105,
2062.408,3714.9463,
2059.497,3683.7976,
2056.587,3681.5814,
2053.676,3689.1662,
2050.766,3665.1555,
2047.855,3612.6265,
2044.944,3628.5465,
2042.034,3613.1448,
2039.123,3661.6768,
2036.213,3632.6533,
2033.302,3625.6741,
2030.391,3662.7276,
2027.481,3719.2436,
2024.570,3699.6579,
2021.660,3726.9305,
2018.749,3719.2144,
2015.839,3678.8425,
2012.928,3720.1141,
2010.017,3735.4951,
2007.107,3712.4916,
2004.196,3738.6072,
2001.286,3714.6008,
1998.375,3703.6545,
1995.465,3706.2134,
1992.554,3723.5293,
1989.643,3677.7282,
1986.733,3707.8228,
1983.822,3685.1662,
1980.912,3680.8322,
1978.001,3725.6345,
1975.090,3743.1145,
1972.180,3735.1688,
1969.269,3733.6751,
1966.359,3735.0815,
1963.448,3804.8666,
1960.538,3815.0734,
1957.627,3806.7585,
1954.716,3756.4651,
1951.806,3748.5897,
1948.895,3774.7916,
1945.985,3749.0637,
1943.074,3759.0369,
1940.164,3774.9909,
1937.253,3787.1745,
1934.342,3759.5556,
1931.432,3736.5584,
1928.521,3705.2591,
1925.611,3682.7015,
1922.700,3710.8232,
1919.790,3776.8433,
1916.879,3731.1152,
1913.968,3769.9471,
1911.058,3781.1051,
1908.147,3812.5123,
1905.237,3744.5001,
1902.326,3799.5274,
1899.415,3790.8305,
1896.505,3769.2169,
1893.594,3793.4391,
1890.684,3827.098,
1887.773,3809.785,
1884.863,3793.0866,
1881.952,3795.4875,
1879.041,3783.3832,
1876.131,3844.9647,
1873.220,3817.2874,
1870.310,3805.4305,
1867.399,3817.7921,
1864.489,3809.8178,
1861.578,3831.4944,
1858.667,3850.2545,
1855.757,3880.3807,
1852.846,3894.9641,
1849.936,3893.3473,
1847.025,3914.7154,
1844.114,3883.6683,
1841.204,3952.4196,
1838.293,3994.5341,
1835.383,3945.582,
1832.472,3954.0243,
1829.562,3965.7792,
