,PLF76C~1,
Wavenumbers [1/cm],Intensity,
3014.167,-4.125,
3011.256,0.92490337,
3008.346,116.45603,
3005.435,138.18242,
3002.525,132.11997,
2999.614,144.35033,
2996.704,155.4152,
2993.793,145.37039,
2990.882,146.61547,
2987.972,159.94563,
2985.061,170.3282,
2982.151,163.23298,
2979.240,187.62309,
2976.329,197.12363,
2973.419,195.55228,
2970.508,193.20827,
2967.598,191.4007,
2964.687,209.99389,
2961.777,230.6529,
2958.866,216.87945,
2955.955,200.25112,
2953.045,221.91081,
2950.134,239.875,
2947.224,213.04222,
2944.313,246.13355,
2941.403,243.08942,
2938.492,237.64196,
2935.581,248.49343,
2932.671,246.15829,
2929.760,253.78652,
2926.850,258.19568,
2923.939,278.83293,
2921.028,272.00427,
2918.118,259.47702,
2915.207,282.93838,
2912.297,266.96386,
2909.386,257.8677,
2906.476,260.51825,
2903.565,267.00538,
2900.654,257.10956,
2897.744,260.11387,
2894.833,258.25683,
2891.923,232.1186,
2889.012,235.49928,
2886.102,239.08311,
2883.191,213.89954,
2880.280,134.56397,
2877.370,-12.740989,
2874.459,-56.30731,
2871.549,50.231417,
2868.638,210.65637,
2865.727,236.40573,
2862.817,241.40308,
2859.906,258.24252,
2856.996,264.89311,
2854.085,267.91703,
2851.175,297.7575,
2848.264,291.74734,
2845.353,289.76716,
2842.443,287.27082,
2839.532,291.65111,
2836.622,298.57161,
2833.711,294.24548,
2830.801,278.38603,
2827.890,279.41696,
2824.979,296.28289,
2822.069,292.82951,
2819.158,288.11489,
2816.248,298.08158,
2813.337,302.23597,
2810.427,299.01413,
2807.516,301.55109,
2804.605,308.58412,
2801.695,294.70395,
2798.784,306.13577,
2795.874,303.72988,
2792.963,312.9466,
2790.052,300.87843,
2787.142,299.78296,
2784.231,307.58463,
2781.321,310.61779,
2778.410,294.36484,
2775.500,304.76776,
2772.589,290.1074,
2769.678,322.30159,
2766.768,311.39536,
2763.857,300.08888,
2760.947,317.30881,
2758.036,312.80497,
2755.126,320.48825,
2752.215,324.17486,
2749.304,322.59801,
2746.394,319.14515,
2743.483,309.02506,
2740.573,317.27996,
2737.662,330.31139,
2734.751,326.54973,
2731.841,330.55083,
2728.930,328.20129,
2726.020,336.99769,
2723.109,320.16409,
2720.199,327.10929,
2717.288,328.54287,
2714.377,316.39172,
2711.467,359.15411,
2708.556,345.08763,
2705.646,345.64964,
2702.735,352.20489,
2699.825,348.875,
2696.914,360.20865,
2694.003,366.61809,
2691.093,352.82086,
2688.182,353.91278,
2685.272,369.52935,
2682.361,341.12173,
2679.450,361.82971,
2676.540,344.20019,
2673.629,357.88398,
2670.719,352.59034,
2667.808,353.77773,
2664.898,359.69309,
2661.987,364.875,
2659.076,375.34913,
2656.166,348.95717,
2653.255,363.54337,
2650.345,354.17083,
2647.434,379.84613,
2644.524,376.59686,
2641.613,371.73169,
2638.702,375.68563,
2635.792,363.06045,
2632.881,388.69031,
2629.971,377.55274,
2627.060,366.04094,
2624.149,375.09062,
2621.239,365.34832,
2618.328,383.89229,
2615.418,401.89772,
2612.507,387.53114,
2609.597,387.59955,
2606.686,383.8228,
2603.775,388.99405,
2600.865,390.46205,
2597.954,373.92911,
2595.044,400.82186,
2592.133,411.04059,
2589.223,412.54974,
2586.312,418.07097,
2583.401,425.67063,
2580.491,413.35581,
2577.580,411.84529,
2574.670,399.40974,
2571.759,406.16781,
2568.848,417.16238,
2565.938,402.01778,
2563.027,414.33863,
2560.117,420.68809,
2557.206,425.58718,
2554.296,412.73312,
2551.385,426.9491,
2548.474,440.57872,
2545.564,428.28652,
2542.653,443.5495,
2539.743,424.39348,
2536.832,415.32359,
2533.922,438.875,
2531.011,432.82551,
2528.100,433.93429,
2525.190,438.59754,
2522.279,440.20329,
2519.369,443.25258,
2516.458,440.99044,
2513.548,438.59328,
2510.637,444.07572,
2507.726,428.75232,
2504.816,428.62585,
2501.905,453.35305,
