,PLB673~1,
Raman shift [1/cm],Intensity,
3014.167,-0.75,
3011.256,2.1000752,
3008.346,310.21438,
3005.435,375.52209,
3002.525,409.06264,
2999.614,403.29028,
2996.704,427.83453,
2993.793,432.48848,
2990.882,431.08212,
2987.972,434.3509,
2985.061,456.9101,
2982.151,475.22144,
2979.240,490.61692,
2976.329,505.78003,
2973.419,532.98838,
2970.508,547.34994,
2967.598,551.39699,
2964.687,574.72758,
2961.777,568.90806,
2958.866,596.57541,
2955.955,606.49115,
2953.045,611.22095,
2950.134,650.73981,
2947.224,664.84785,
2944.313,703.22721,
2941.403,700.04699,
2938.492,717.82453,
2935.581,722.77147,
2932.671,745.33156,
2929.760,734.00382,
2926.850,734.3094,
2923.939,760.60981,
2921.028,768.18536,
2918.118,798.95151,
2915.207,801.24355,
2912.297,813.16961,
2909.386,793.21352,
2906.476,807.27243,
2903.565,800.38038,
2900.654,790.48456,
2897.744,795.18714,
2894.833,789.01291,
2891.923,793.7372,
2889.012,794.45809,
2886.102,790.41757,
2883.191,791.24622,
2880.280,784.45573,
2877.370,752.25,
2874.459,800.37568,
2871.549,803.75027,
2868.638,808.79434,
2865.727,834.27692,
2862.817,852.2794,
2859.906,815.64315,
2856.996,848.68433,
2854.085,843.88442,
2851.175,837.25,
2848.264,841.103,
2845.353,853.68926,
2842.443,827.8507,
2839.532,821.8172,
2836.622,798.43554,
2833.711,806.78374,
2830.801,788.35809,
2827.890,829.25,
2824.979,842.08991,
2822.069,836.86335,
2819.158,817.31201,
2816.248,847.72105,
2813.337,838.13659,
2810.427,846.33126,
2807.516,851.19969,
2804.605,844.22836,
2801.695,830.63156,
2798.784,813.06315,
2795.874,830.26057,
2792.963,833.75032,
2790.052,842.24979,
2787.142,822.06592,
2784.231,819.92859,
2781.321,825.99856,
2778.410,822.25,
2775.500,820.71828,
2772.589,835.71177,
2769.678,831.35925,
2766.768,841.72964,
2763.857,861.82996,
2760.947,859.68381,
2758.036,869.58133,
2755.126,867.5812,
2752.215,870.59088,
2749.304,876.10071,
2746.394,879.86294,
2743.483,879.34995,
2740.573,885.70131,
2737.662,872.13314,
2734.751,871.04122,
2731.841,871.46612,
2728.930,872.27114,
2726.020,895.93403,
2723.109,892.40492,
2720.199,892.4062,
2717.288,895.89963,
2714.377,894.86246,
2711.467,921.43022,
2708.556,930.4201,
2705.646,940.16551,
2702.735,935.067,
2699.825,925.60821,
2696.914,918.48771,
2694.003,940.55245,
2691.093,925.8216,
2688.182,923.37667,
2685.272,947.45342,
2682.361,944.16157,
2679.450,946.17184,
2676.540,955.18903,
2673.629,953.24551,
2670.719,966.1696,
2667.808,942.7577,
2664.898,924.14591,
2661.987,972.65073,
2659.076,974.19183,
2656.166,972.07251,
2653.255,971.73129,
2650.345,984.01044,
2647.434,1009.7067,
2644.524,998.6553,
2641.613,996.96402,
2638.702,1012.9186,
2635.792,1014.9978,
2632.881,1020.1252,
2629.971,1010.3775,
2627.060,1017.9187,
2624.149,1012.7344,
2621.239,995.43923,
2618.328,1021.6739,
2615.418,1033.2409,
2612.507,1035.3883,
2609.597,1026.9845,
2606.686,1049.7179,
2603.775,1033.0079,
2600.865,1043.8337,
2597.954,1044.8791,
2595.044,1073.9462,
2592.133,1078.868,
2589.223,1064.8521,
2586.312,1096.7374,
2583.401,1090.2098,
2580.491,1083.0721,
2577.580,1074.3309,
2574.670,1117.992,
2571.759,1108.6541,
2568.848,1110.6036,
2565.938,1091.9642,
2563.027,1104.5909,
2560.117,1105.8762,
2557.206,1135.5636,
2554.296,1128.623,
2551.385,1137.878,
2548.474,1137.7314,
2545.564,1136.25,
2542.653,1153.8171,
2539.743,1165.4595,
2536.832,1125.5958,
2533.922,1164.6127,
2531.011,1180.6506,
2528.100,1169.1141,
2525.190,1156.0668,
2522.279,1170.9217,
2519.369,1170.8911,
2516.458,1161.2323,
2513.548,1190.6039,
2510.637,1180.6804,
2507.726,1184.1273,
2504.816,1180.0629,
2501.905,1206.5976,
2498.995,1179.5345,
2496.084,1221.4381,
2493.173,1202.0132,
2490.263,1201.059,
2487.352,1224.0815,
2484.442,1206.0787,
2481.531,1216.1384,
2478.621,1203.7144,
2475.710,1234.457,
2472.799,1260.7567,
2469.889,1253.9176,
2466.978,1259.0746,
2464.068,1247.9272,
2461.157,1259.5175,
2458.247,1244.9999,
2455.336,1268.2246,
2452.425,1303.0802,
2449.515,1315.9673,
2446.604,1320.4943,
2443.694,1294.6217,
2440.783,1278.9628,
2437.872,1314.6511,
2434.962,1321.0472,
2432.051,1306.8117,
2429.141,1297.1324,
2426.230,1343.7949,
2423.320,1303.692,
2420.409,1349.9741,
2417.498,1354.2921,
2414.588,1330.3527,
2411.677,1369.9313,
2408.767,1378.6378,
2405.856,1356.8166,
2402.946,1364.9345,
2400.035,1403.9097,
2397.124,1381.5976,
2394.214,1399.3868,
2391.303,1404.6037,
2388.393,1402.9686,
2385.482,1421.5009,
2382.571,1394.8697,
2379.661,1416.9709,
2376.750,1428.4593,
2373.840,1452.6437,
2370.929,1418.6832,
2368.019,1439.1773,
2365.108,1446.0641,
2362.197,1451.4172,
2359.287,1480.1999,
2356.376,1485.2518,
2353.466,1464.9451,
2350.555,1478.4245,
2347.645,1459.6182,
2344.734,1490.4068,
