,PLEB4C~1,
Raman shift [1/cm],Intensity,
2207.937,1731.9479,
2205.026,1758.1668,
2202.116,1761.5308,
2199.205,1785.9245,
2196.294,1812.236,
2193.384,1830.184,
2190.473,1860.8134,
2187.563,1865.7997,
2184.652,1935.7837,
2181.742,2003.1844,
2178.831,2078.0021,
2175.920,2155.3816,
2173.010,2257.8305,
2170.099,2416.2183,
2167.189,2543.7772,
2164.278,2734.5864,
2161.368,2879.9209,
2158.457,3111.7875,
2155.546,3301.753,
2152.636,3479.8082,
2149.725,3663.8153,
2146.815,3763.0307,
2143.904,3914.7193,
2140.993,3966.8544,
2138.083,3996.1717,
2135.172,4018.4832,
2132.262,4015.493,
2129.351,3958.1273,
2126.441,3882.1891,
2123.530,3732.5695,
2120.619,3539.1065,
2117.709,3340.0262,
2114.798,3138.3378,
2111.888,2934.6551,
2108.977,2730.043,
2106.067,2600.6622,
2103.156,2422.5289,
2100.245,2307.4611,
2097.335,2238.1545,
2094.424,2166.5488,
2091.514,2097.344,
2088.603,2072.6521,
2085.692,2051.7678,
2082.782,2019.709,
2079.871,1998.3565,
2076.961,1995.5,
2074.050,1983.9667,
2071.140,1966.0983,
2068.229,1926.9557,
2065.318,1938.1308,
2062.408,1951.6059,
2059.497,1946.3036,
2056.587,1919.8377,
2053.676,1896.2507,
2050.766,1910.1143,
2047.855,1907.9304,
2044.944,1892.7564,
2042.034,1911.9681,
2039.123,1881.4394,
2036.213,1884.3445,
2033.302,1904.1955,
2030.391,1897.9749,
2027.481,1869.6709,
2024.570,1864.1857,
2021.660,1886.14,
2018.749,1903.7782,
2015.839,1890.477,
2012.928,1917.9027,
2010.017,1918.7324,
2007.107,1919.4233,
2004.196,1888.8572,
2001.286,1898.6661,
1998.375,1887.8455,
1995.465,1894.7259,
1992.554,1902.7588,
1989.643,1870.6752,
1986.733,1882.2693,
1983.822,1867.9764,
1980.912,1904.6181,
1978.001,1871.9916,
1975.090,1878.0557,
1972.180,1886.3285,
1969.269,1862.3477,
1966.359,1843.0675,
1963.448,1849.4577,
1960.538,1864.0496,
1957.627,1857.5836,
1954.716,1882.7244,
1951.806,1885.2212,
1948.895,1827.2186,
1945.985,1853.5768,
1943.074,1844.8024,
1940.164,1875.8076,
1937.253,1842.6874,
1934.342,1815.0214,
1931.432,1812.3044,
1928.521,1804.6036,
1925.611,1828.4478,
1922.700,1813.174,
1919.790,1786.691,
1916.879,1823.5008,
1913.968,1823.5037,
1911.058,1805.0195,
1908.147,1826.7657,
1905.237,1827.1103,
1902.326,1820.9726,
1899.415,1815.5634,
1896.505,1805.5421,
1893.594,1818.3994,
1890.684,1822.5262,
1887.773,1796.371,
1884.863,1799.6185,
1881.952,1801.6175,
1879.041,1856.9933,
1876.131,1816.0504,
1873.220,1838.2391,
1870.310,1798.0158,
1867.399,1811.2281,
1864.489,1783.0967,
1861.578,1825.4888,
1858.667,1851.1258,
1855.757,1825.92,
1852.846,1813.3,
1849.936,1840.0816,
1847.025,1858.4902,
1844.114,1876.347,
1841.204,1853.7378,
1838.293,1865.0141,
1835.383,1878.9065,
1832.472,1912.3261,
1829.562,1918.0284,
1826.651,1920.9702,
1823.740,1932.2356,
1820.830,1947.0749,
1817.919,1908.9668,
1815.009,1926.8995,
1812.098,1912.6496,
1809.188,1967.7169,
1806.277,1993.991,
1803.366,1960.3503,
1800.456,1950.9504,
1797.545,1943.3439,
1794.635,1966.4021,
1791.724,2000.1602,
1788.813,2006.9044,
1785.903,2014.1686,
1782.992,1998.8651,
1780.082,2008.3785,
1777.171,1989.1627,
1774.261,2005.1606,
1771.350,2051.3765,
1768.439,2050.2886,
1765.529,2062.5907,
1762.618,2057.1519,
1759.708,2044.326,
1756.797,2039.1894,
1753.887,2048.2697,
1750.976,2070.6001,
1748.065,2085.5722,
1745.155,2083.6678,
1742.244,2111.9583,
1739.334,2128.1847,
1736.423,2120.0215,
1733.512,2117.2276,
1730.602,2153.4048,
1727.691,2193.9034,
1724.781,2204.0732,
1721.870,2241.5193,
1718.960,2243.9221,
1716.049,2213.9749,
1713.138,2257.2348,
1710.228,2239.3911,
1707.317,2305.3811,
1704.407,2333.3663,
1701.496,2297.215,
1698.586,2354.483,
1695.675,2352.95,
1692.764,2368.5943,
1689.854,2401.0709,
1686.943,2416.9941,
1684.033,2403.8477,
1681.122,2473.2935,
1678.211,2492.3287,
1675.301,2467.5771,
1672.390,2557.8888,
1669.480,2687.0989,
1666.569,2638.7061,
1663.659,2733.7086,
1660.748,2807.1363,
1657.837,2840.5935,
1654.927,2890.0857,
1652.016,2916.3224,
1649.106,2990.1365,
1646.195,3017.0824,
1643.285,3082.4115,
1640.374,3123.2979,
1637.463,3208.761,
1634.553,3278.6822,
1631.642,3359.563,
1628.732,3548.5192,
1625.821,3719.6073,
1622.911,3882.5758,
1620.000,4128.3755,
1617.089,4334.3806,
1614.179,4619.3499,
1611.268,4819.1016,
1608.358,5012.3695,
1605.447,5258.1591,
1602.536,5410.4193,
1599.626,5512.4933,
1596.715,5506.886,
1593.805,5489.402,
1590.894,5475.1706,
1587.984,5460.5086,
1585.073,5370.0151,
1582.162,5311.9208,
1579.252,5298.5902,
1576.341,5301.5053,
1573.431,5226.5321,
1570.520,5190.9768,
1567.610,5154.4603,
1564.699,5073.1721,
1561.788,5058.4717,
1558.878,4980.2029,
1555.967,4916.3947,
1553.057,4840.9834,
1550.146,4801.1982,
1547.235,4665.6765,
1544.325,4565.017,
1541.414,4574.7017,
1538.504,4518.1091,
1535.593,4434.458,
1532.683,4373.7763,
1529.772,4309.269,
1526.861,4262.337,
1523.951,4201.4913,
1521.040,4133.5301,
1518.130,4039.2615,
1515.219,3978.7404,
1512.309,3942.9639,
1509.398,3883.1006,
1506.487,3924.2324,
1503.577,3913.0627,
1500.666,3874.7845,
1497.756,3816.4655,
1494.845,3753.659,
1491.934,3709.2417,
1489.024,3630.3173,
1486.113,3652.5348,
1483.203,3563.9069,
1480.292,3577.1068,
1477.382,3515.2236,
1474.471,3507.9412,
1471.560,3501.792,
1468.650,3445.2047,
1465.739,3411.5331,
1462.829,3411.8714,
1459.918,3407.7651,
1457.008,3399.4692,
1454.097,3384.5596,
1451.186,3379.8965,
1448.276,3387.8586,
1445.365,3377.143,
1442.455,3364.2874,
1439.544,3345.5691,
1436.633,3405.9072,
1433.723,3377.6307,
1430.812,3360.6581,
1427.902,3312.7029,
1424.991,3321.2328,
1422.081,3255.4416,
1419.170,3185.5595,
1416.259,3181.9805,
1413.349,3170.6609,
1410.438,3160.202,
1407.528,3198.6995,
1404.617,3206.2347,
1401.707,3196.0299,
1398.796,3221.9894,
1395.885,3255.8741,
1392.975,3271.6462,
1390.064,3263.8382,
1387.154,3215.3415,
1384.243,3226.2226,
1381.332,3192.4759,
1378.422,3246.683,
1375.511,3366.591,
1372.601,3533.4611,
1369.690,3511.4967,
1366.780,3629.0575,
1363.869,3686.9267,
1360.958,3800.8142,
1358.048,3904.9315,
1355.137,3922.1524,
1352.227,3980.6181,
1349.316,4096.4957,
1346.406,4183.2878,
1343.495,4304.8938,
1340.584,4407.9278,
1337.674,4474.5433,
1334.763,4590.7943,
1331.853,4572.2497,
1328.942,4712.9248,
1326.032,4732.1312,
1323.121,4833.2712,
1320.210,4857.1793,
1317.300,4894.5869,
1314.389,4987.7096,
1311.479,5106.0433,
1308.568,5192.9941,
1305.657,5232.3242,
1302.747,5317.703,
1299.836,5470.1512,
1296.926,5519.5158,
1294.015,5713.4931,
1291.105,5831.5677,
1288.194,5922.3806,
1285.283,6096.1567,
1282.373,6215.0857,
1279.462,6362.6939,
1276.552,6468.1142,
1273.641,6521.3587,
1270.731,6593.2627,
1267.820,6600.5672,
1264.909,6568.676,
1261.999,6585.0326,
1259.088,6599.6265,
1256.178,6500.2946,
1253.267,6389.9022,
1250.356,6215.2132,
1247.446,6018.1802,
1244.535,5847.7279,
1241.625,5666.5929,
1238.714,5460.0958,
1235.804,5292.8594,
1232.893,5160.8929,
1229.982,5075.9737,
1227.072,4971.8628,
1224.161,4876.2471,
1221.251,4817.8075,
1218.340,4741.3101,
1215.430,4638.1325,
1212.519,4570.6338,
1209.608,4551.4756,
1206.698,4535.6488,
1203.787,4541.1282,
1200.877,4650.1746,
1197.966,4693.3342,
1195.055,4817.5146,
1192.145,4932.4179,
1189.234,5044.599,
1186.324,5092.8641,
1183.413,5138.896,
1180.503,5182.3823,
1177.592,5143.2168,
1174.681,5069.363,
1171.771,4997.7691,
1168.860,4922.7496,
