,PLD703~1,
Raman shift [1/cm],Intensity,
2173.010,630.02494,
2170.099,621.08432,
2167.189,633.91504,
2164.278,660.85854,
2161.368,682.75024,
2158.457,695.54234,
2155.546,720.31058,
2152.636,712.38832,
2149.725,737.04528,
2146.815,736.95021,
2143.904,769.4526,
2140.993,777.14681,
2138.083,781.38526,
2135.172,770.83397,
2132.262,757.6206,
2129.351,750.46376,
2126.441,739.91502,
2123.530,700.7051,
2120.619,692.34652,
2117.709,660.79469,
2114.798,633.43443,
2111.888,605.70009,
2108.977,589.12747,
2106.067,586.81702,
2103.156,557.95577,
2100.245,544.7224,
2097.335,503.03795,
2094.424,516.63846,
2091.514,505.67741,
2088.603,499.00348,
2085.692,498.4786,
2082.782,484.78625,
2079.871,500.75116,
2076.961,491.71867,
2074.050,519.16818,
2071.140,503.72733,
2068.229,481.11719,
2065.318,483.63951,
2062.408,495.24244,
2059.497,495.14881,
2056.587,505.38936,
2053.676,484.43488,
2050.766,487.05717,
2047.855,497.92411,
2044.944,476.66665,
2042.034,512.2701,
2039.123,482.7702,
2036.213,491.38336,
2033.302,495.40224,
2030.391,477.58089,
2027.481,491.32297,
2024.570,481.8933,
2021.660,498.50829,
2018.749,487.24388,
2015.839,498.94291,
2012.928,491.91107,
2010.017,489.97042,
2007.107,494.98177,
2004.196,496.91669,
2001.286,469.91261,
1998.375,456.79626,
1995.465,470.18928,
1992.554,487.64987,
1989.643,464.64866,
1986.733,468.67982,
1983.822,457.0853,
1980.912,495.60099,
1978.001,471.9281,
1975.090,460.17137,
1972.180,461.40424,
1969.269,462.1264,
1966.359,450.85806,
1963.448,448.01948,
1960.538,439.6349,
1957.627,481.44044,
1954.716,460.52562,
1951.806,432.88616,
1948.895,469.79662,
1945.985,444.79248,
1943.074,445.17816,
1940.164,432.86554,
1937.253,449.62383,
1934.342,447.69011,
1931.432,437.86356,
1928.521,429.90544,
1925.611,439.72389,
1922.700,422.58978,
1919.790,444.31038,
1916.879,417.12148,
1913.968,461.69221,
1911.058,448.49474,
1908.147,431.54709,
1905.237,434.96322,
1902.326,433.55147,
1899.415,437.28413,
1896.505,406.26801,
1893.594,415.9208,
1890.684,424.84159,
1887.773,421.41357,
1884.863,427.75,
1881.952,438.2124,
1879.041,438.21106,
