,PLB6EA~1,
Raman shift [1/cm],Intensity,
2577.580,991.00495,
2574.670,992.33958,
2571.759,994.60616,
2568.848,1000.8232,
2565.938,1015.3811,
2563.027,1002.1954,
2560.117,1003.4579,
2557.206,1030.0258,
2554.296,1015.4622,
2551.385,1040.942,
2548.474,1026.9996,
2545.564,1052.8921,
2542.653,1025.651,
2539.743,1055.5678,
2536.832,1049.2449,
2533.922,1068.6846,
2531.011,1057.7993,
2528.100,1066.6062,
2525.190,1065.8586,
2522.279,1056.7035,
2519.369,1069.7925,
2516.458,1060.8846,
2513.548,1063.2817,
2510.637,1104.9096,
2507.726,1070.8141,
2504.816,1076.6888,
2501.905,1064.7104,
2498.995,1081.0749,
2496.084,1100.1464,
2493.173,1102.2368,
2490.263,1095.2136,
2487.352,1093.5425,
2484.442,1109.1328,
2481.531,1119.633,
2478.621,1115.8578,
2475.710,1140.9233,
2472.799,1126.8072,
2469.889,1125.1496,
2466.978,1132.6701,
2464.068,1113.7618,
2461.157,1140.8075,
2458.247,1138.7206,
2455.336,1157.4443,
2452.425,1136.7971,
2449.515,1154.0291,
2446.604,1180.4816,
2443.694,1161.2558,
2440.783,1168.9065,
2437.872,1185.6564,
2434.962,1195.9078,
2432.051,1211.1118,
2429.141,1215.971,
2426.230,1212.3481,
2423.320,1223.486,
2420.409,1217.1858,
2417.498,1226.0084,
2414.588,1249.3421,
2411.677,1217.7172,
2408.767,1231.435,
2405.856,1230.9475,
2402.946,1244.8928,
2400.035,1224.1197,
2397.124,1244.2674,
2394.214,1262.7532,
2391.303,1235.8232,
2388.393,1240.7465,
2385.482,1253.4272,
2382.571,1293.8098,
2379.661,1310.0696,
2376.750,1312.1602,
2373.840,1316.7656,
2370.929,1305.1624,
2368.019,1311.4581,
2365.108,1314.0916,
2362.197,1331.5836,
2359.287,1341.185,
2356.376,1341.0035,
2353.466,1306.7105,
2350.555,1326.8399,
2347.645,1340.3536,
2344.734,1356.1521,
2341.823,1364.8673,
2338.913,1336.9269,
2336.002,1371.2249,
2333.092,1374.4368,
2330.181,1408.7058,
2327.270,1383.1452,
2324.360,1376.5117,
2321.449,1409.7381,
2318.539,1400.4037,
2315.628,1411.3437,
2312.718,1405.6344,
2309.807,1428.6395,
2306.896,1439.158,
2303.986,1414.0066,
2301.075,1416.5107,
2298.165,1419.5771,
2295.254,1439.6122,
2292.344,1439.6307,
2289.433,1447.0309,
2286.522,1457.5669,
2283.612,1491.0523,
2280.701,1486.8251,
2277.791,1493.2386,
2274.880,1482.7039,
2271.969,1505.9712,
2269.059,1510.2888,
2266.148,1520,
2263.238,1531.695,
2260.327,1511.4828,
2257.417,1523.6933,
2254.506,1546.0456,
2251.595,1538.8692,
2248.685,1551.8326,
2245.774,1579.8238,
2242.864,1589.8604,
2239.953,1562.1861,
2237.043,1580.4032,
2234.132,1590.3481,
2231.221,1590.4212,
2228.311,1607.527,
2225.400,1623.2252,
2222.490,1638.2412,
2219.579,1665.2133,
2216.669,1674.4118,
2213.758,1679.9542,
2210.847,1710.078,
2207.937,1744.9006,
2205.026,1760.8877,
2202.116,1796.4575,
2199.205,1808.5875,
2196.294,1828.7939,
2193.384,1844.2895,
2190.473,1886.0411,
2187.563,1956.1885,
2184.652,2004.4886,
2181.742,2080.4573,
2178.831,2167.8562,
2175.920,2247.1385,
2173.010,2377.4082,
2170.099,2519.255,
2167.189,2639.0548,
2164.278,2802.0211,
2161.368,2963.5639,
2158.457,3168.7171,
2155.546,3315.1626,
2152.636,3436.5318,
2149.725,3516.0939,
2146.815,3613.0302,
2143.904,3679.6134,
2140.993,3714.328,
2138.083,3707.7751,
2135.172,3659.6973,
2132.262,3607.2095,
2129.351,3502.3995,
2126.441,3442.1941,
2123.530,3336.7103,
2120.619,3118.6245,
2117.709,2975.3921,
2114.798,2807.6148,
2111.888,2653.8405,
2108.977,2525.4238,
2106.067,2401.7866,
2103.156,2316.8107,
2100.245,2200.9674,
2097.335,2140.4503,
2094.424,2066.5112,
2091.514,2012.1235,
2088.603,1997.0875,
2085.692,2009.4982,
2082.782,1982.3817,
2079.871,1944.2486,
2076.961,1932.3875,
2074.050,1930.8545,
2071.140,1928.6436,
2068.229,1930.9115,
2065.318,1938.717,
2062.408,1930.8858,
2059.497,1892.9762,
2056.587,1878.6164,
2053.676,1909.4813,
2050.766,1881.9253,
2047.855,1834.5159,
2044.944,1823.8525,
2042.034,1861.052,
2039.123,1877.0438,
2036.213,1907.8089,
2033.302,1890.2175,
2030.391,1860.7463,
2027.481,1867.5974,
2024.570,1890.0139,
2021.660,1875.1235,
2018.749,1910.114,
2015.839,1909.0991,
2012.928,1890.6661,
2010.017,1909.7535,
2007.107,1911.7925,
2004.196,1909.1547,
2001.286,1895.6042,
1998.375,1884.1703,
1995.465,1889.2259,
1992.554,1870.9649,
1989.643,1894.0668,
1986.733,1849.4816,
1983.822,1855.743,
1980.912,1854.9812,
1978.001,1892.7291,
1975.090,1866.6473,
1972.180,1846.0692,
1969.269,1859.8506,
1966.359,1880.4325,
1963.448,1854.3184,
1960.538,1877.0834,
1957.627,1859.1424,
1954.716,1856,
1951.806,1872.0929,
1948.895,1889.0466,
1945.985,1854.4428,
1943.074,1833.974,
1940.164,1856.2884,
1937.253,1861.8868,
1934.342,1863.9401,
1931.432,1846.6088,
1928.521,1843.5458,
1925.611,1842.3961,
1922.700,1808.5511,
1919.790,1835.3117,
1916.879,1847.5118,
1913.968,1814.0418,
1911.058,1808.8409,
1908.147,1845.4131,
1905.237,1822.1985,
1902.326,1831.4385,
1899.415,1842.2061,
1896.505,1820.3073,
1893.594,1843.808,
1890.684,1839.7322,
1887.773,1841.8356,
1884.863,1861.9134,
1881.952,1833.7053,
1879.041,1845.2077,
1876.131,1861.1438,
1873.220,1856.8982,
1870.310,1826.296,
1867.399,1886.9764,
1864.489,1882.4687,
1861.578,1823.5492,
1858.667,1859.6138,
1855.757,1880.7578,
1852.846,1912.9231,
1849.936,1881.6036,
1847.025,1911.9416,
1844.114,1903.9647,
1841.204,1905.3741,
1838.293,1942.4593,
1835.383,1958.256,
1832.472,1955.7443,
1829.562,1971.776,
1826.651,1957.8029,
1823.740,1929.0728,
1820.830,1940.5198,
1817.919,1950.8863,
1815.009,1987.1056,
1812.098,1928.3701,
1809.188,1971.651,
1806.277,1941.7525,
1803.366,1983.268,
1800.456,1941.7037,
1797.545,1977.5458,
1794.635,2034.0019,
1791.724,1995.8444,
1788.813,2062.1823,
1785.903,2025.5251,
1782.992,2062.3934,
1780.082,2008.8454,
1777.171,2019.659,
1774.261,2024.2157,
1771.350,2080.0212,
1768.439,2068.4882,
1765.529,2069.275,
1762.618,2084,
1759.708,2113.6307,
1756.797,2120.4848,
1753.887,2114.9752,
1750.976,2086.0825,
1748.065,2105.6974,
1745.155,2136.9161,
1742.244,2114.8252,
1739.334,2144.767,
1736.423,2142.8038,
1733.512,2141.2764,
1730.602,2213.5656,
1727.691,2216.2732,
1724.781,2229.6644,
1721.870,2218.9047,
1718.960,2232.2669,
1716.049,2241.0338,
1713.138,2293.2997,
1710.228,2229.7653,
1707.317,2298.6114,
1704.407,2282.0481,
1701.496,2340.9852,
1698.586,2310.0406,
1695.675,2350.9783,
1692.764,2344.5328,
1689.854,2405.2284,
1686.943,2436.022,
1684.033,2438.9503,
1681.122,2418.3568,
1678.211,2504.172,
1675.301,2546.8705,
1672.390,2537.3649,
1669.480,2659.6097,
1666.569,2735.4063,
1663.659,2767.9473,
1660.748,2825.0964,
1657.837,2831.8371,
1654.927,2915.9915,
1652.016,2999.972,
1649.106,3040.885,
1646.195,3116.4076,
1643.285,3133.8659,
1640.374,3171.6272,
1637.463,3203.9904,
1634.553,3368.2413,
1631.642,3452.3572,
1628.732,3576.3496,
1625.821,3635.1243,
1622.911,3823.9293,
1620.000,4107.3968,
1617.089,4238.4129,
1614.179,4448.965,
1611.268,4742.8838,
1608.358,4952.2608,
1605.447,5140.2014,
1602.536,5200.39,
1599.626,5259.196,
1596.715,5326.6245,
1593.805,5279.3401,
1590.894,5269.4773,
1587.984,5162.4707,
1585.073,5171.5245,
1582.162,5159.3023,
1579.252,5092.1725,
1576.341,4990.6841,
1573.431,5044.9679,
1570.520,5033.1318,
1567.610,4961.901,
1564.699,4922.8743,
1561.788,4837.8317,
1558.878,4777.6895,
1555.967,4742.5374,
1553.057,4657.6387,
1550.146,4567.451,
1547.235,4480.3287,
1544.325,4414.9855,
1541.414,4374.4778,
1538.504,4309.7302,
1535.593,4273.7645,
1532.683,4231.0885,
1529.772,4150.5941,
1526.861,4078.3299,
1523.951,4028.3815,
1521.040,4033.2518,
1518.130,3961.6164,
1515.219,3915.4004,
1512.309,3906.4505,
1509.398,3908.1771,
1506.487,3851.1025,
1503.577,3843.4373,
1500.666,3866.2699,
1497.756,3798.3731,
1494.845,3813.3591,
1491.934,3773.7008,
1489.024,3682.264,
1486.113,3685.4905,
1483.203,3673.5657,
1480.292,3616.8468,
1477.382,3555.2721,
1474.471,3524.5829,
1471.560,3546.5753,
1468.650,3528.9858,
1465.739,3475.6491,
1462.829,3466.13,
1459.918,3463.3977,
1457.008,3465.1694,
1454.097,3449.1948,
1451.186,3424.6538,
1448.276,3444.7001,
1445.365,3459.4637,
1442.455,3462.9328,
1439.544,3486.6158,
1436.633,3456.1152,
1433.723,3399.7508,
1430.812,3398.7388,
1427.902,3405.4068,
1424.991,3296.4141,
1422.081,3249.8786,
1419.170,3265.8734,
1416.259,3275.4805,
1413.349,3286.8181,
1410.438,3246.6137,
1407.528,3208.044,
1404.617,3225.7693,
1401.707,3232.2215,
1398.796,3244.0734,
1395.885,3278.0276,
1392.975,3295.792,
1390.064,3305.8797,
1387.154,3261.4182,
1384.243,3146.9653,
1381.332,3151.1852,
1378.422,3229.1542,
1375.511,3309.7174,
1372.601,3557.0593,
1369.690,3588.2867,
1366.780,3742.8628,
1363.869,3759.0263,
1360.958,3785.6517,
1358.048,3841.3786,
1355.137,3921.6711,
1352.227,3993.876,
1349.316,4085.9344,
1346.406,4213.545,
1343.495,4266.007,
1340.584,4278.0344,
1337.674,4363.3584,
1334.763,4386.7049,
1331.853,4484.0642,
1328.942,4506.6787,
1326.032,4571.8028,
1323.121,4636.3856,
1320.210,4667.3184,
1317.300,4701.7409,
1314.389,4762.1119,
1311.479,4832.893,
1308.568,4889.8044,
1305.657,4948.9053,
1302.747,5048.0168,
1299.836,5136.951,
1296.926,5211.0338,
1294.015,5276.3057,
1291.105,5366.1736,
1288.194,5500.2077,
1285.283,5616.2044,
1282.373,5678.4765,
1279.462,5750.9989,
1276.552,5813.2599,
1273.641,5855.5356,
1270.731,5888.1194,
1267.820,5863.613,
1264.909,5820.0106,
1261.999,5790.9001,
1259.088,5788.1638,
1256.178,5728.0481,
1253.267,5615.963,
1250.356,5536.2377,
1247.446,5476.6229,
1244.535,5419.7813,
1241.625,5323.0039,
1238.714,5167.2185,
1235.804,5034.3447,
1232.893,5024.7612,
1229.982,4971.4856,
1227.072,4897.25,
1224.161,4831.4837,
1221.251,4726.1918,
1218.340,4627.2754,
1215.430,4554.1141,
1212.519,4478.7241,
1209.608,4422.5825,
1206.698,4414.8935,
1203.787,4405.9196,
1200.877,4442.1233,
1197.966,4508.6611,
1195.055,4581.9664,
1192.145,4680.4045,
1189.234,4819.9435,
1186.324,4944.9153,
1183.413,5007.3909,
1180.503,4987.3097,
1177.592,4926.7677,
1174.681,4916.4966,
1171.771,4848.3831,
1168.860,4734.9608,
1165.950,4665.1409,
1163.039,4621.6671,
1160.129,4553.5536,
1157.218,4496.2513,
1154.307,4451.1413,
1151.397,4395.4447,
1148.486,4364.9424,
1145.576,4407.957,
1142.665,4360.8976,
1139.754,4354.5591,
1136.844,4278.3673,
1133.933,4226.0588,
1131.023,4247.4072,
1128.112,4263.7891,
1125.202,4229.2464,
1122.291,4251.3733,
1119.380,4247.3378,
1116.470,4281.7564,
1113.559,4330.0752,
1110.649,4363.9551,
1107.738,4369.6418,
1104.828,4352.9331,
1101.917,4336.8876,
1099.006,4338.1237,
1096.096,4331.7961,
1093.185,4295.798,
1090.275,4351.2675,
1087.364,4290.2126,
1084.453,4281.3109,
1081.543,4291.3591,
1078.632,4280.567,
1075.722,4287.3851,
1072.811,4304.9785,
1069.901,4346.895,
1066.990,4360.5083,
1064.079,4426.9683,
1061.169,4475.7782,
1058.258,4460.0856,
1055.348,4462.6817,
1052.437,4556.553,
1049.527,4491.3566,
1046.616,4578.2396,
1043.705,4574.897,
1040.795,4588.2396,
1037.884,4614.1836,
1034.974,4637.8209,
1032.063,4646.9463,
1029.153,4634,
1026.242,4634,
1023.331,4653.1654,
1020.421,4690.4609,
1017.510,4740.2974,
1014.600,4788.3006,
1011.689,4825.9775,
1008.778,4862.8755,
1005.868,4933.5676,
1002.957,5108.2195,
1000.047,5341.7521,
997.136,5512.3848,
994.226,5564.6156,
991.315,5507.5075,
988.404,5400.084,
985.494,5320.0271,
982.583,5187.2609,
979.673,5139.4658,
976.762,5066.7672,
973.852,5053.4987,
970.941,5087.5543,
968.030,5072.341,
965.120,5045.9785,
962.209,5040.8633,
959.299,5041.4165,
956.388,5047.0397,
953.477,5042.3684,
950.567,5050.9139,
947.656,5113.1195,
944.746,5136.9071,
941.835,5152.5766,
938.925,5126.3877,
936.014,5151.9719,
