,PL1EBD~1,
Raman shift [1/cm],Intensity,
2184.652,1431.4824,
2181.742,1475.0225,
2178.831,1509.7531,
2175.920,1558.5,
2173.010,1615.0544,
2170.099,1653.8314,
2167.189,1725.9808,
2164.278,1798.5161,
2161.368,1848.9267,
2158.457,1920.1193,
2155.546,1980.7568,
2152.636,2072.2391,
2149.725,2137.2919,
2146.815,2201.4979,
2143.904,2265.1878,
2140.993,2247.3729,
2138.083,2287.2295,
2135.172,2291.4748,
2132.262,2306.3917,
2129.351,2274.2308,
2126.441,2223.5096,
2123.530,2147.6133,
2120.619,2061.2435,
2117.709,1972.3201,
2114.798,1845.969,
2111.888,1766.9394,
2108.977,1676.5463,
2106.067,1582.5211,
2103.156,1582.616,
2100.245,1448.4975,
2097.335,1439.9241,
2094.424,1405.3033,
2091.514,1399.7123,
2088.603,1379.4125,
2085.692,1374.0947,
2082.782,1393.3955,
2079.871,1358.8909,
2076.961,1355.1771,
2074.050,1350.7727,
2071.140,1337.6263,
2068.229,1337.7852,
2065.318,1322.1172,
2062.408,1321.5,
2059.497,1319.6964,
2056.587,1320.6279,
2053.676,1318.2335,
2050.766,1313.8079,
2047.855,1290.3259,
2044.944,1317.4359,
2042.034,1306.945,
2039.123,1317.9444,
2036.213,1340.7155,
2033.302,1305.261,
2030.391,1285.9071,
2027.481,1309.2558,
2024.570,1313.6002,
2021.660,1320.9678,
2018.749,1310.3615,
2015.839,1358.5761,
2012.928,1360.4429,
2010.017,1335.7085,
2007.107,1326.6178,
2004.196,1327.2857,
2001.286,1311.2491,
1998.375,1308.5876,
1995.465,1311.0732,
1992.554,1292.2178,
1989.643,1325.2211,
1986.733,1290.393,
1983.822,1287.3715,
1980.912,1285.9658,
1978.001,1302.9323,
1975.090,1297.5076,
1972.180,1291.6037,
1969.269,1292.4627,
1966.359,1318.203,
1963.448,1313.6981,
1960.538,1309.9345,
1957.627,1283.7508,
1954.716,1314.4946,
1951.806,1293.1394,
1948.895,1320.6741,
1945.985,1297.768,
1943.074,1298.4412,
1940.164,1273.904,
1937.253,1288.513,
1934.342,1296.0299,
1931.432,1267.7492,
1928.521,1286.0613,
1925.611,1286.8768,
1922.700,1277.7086,
1919.790,1289.5577,
1916.879,1262.6622,
1913.968,1322.4238,
1911.058,1259.8033,
1908.147,1305.9686,
1905.237,1301.3088,
1902.326,1296.5,
1899.415,1282.3939,
1896.505,1256.6326,
1893.594,1254.686,
1890.684,1271.8005,
1887.773,1311.0944,
1884.863,1302.7278,
1881.952,1291.5,
1879.041,1286.9611,
1876.131,1256.1824,
1873.220,1293.9559,
1870.310,1265.2265,
1867.399,1267.42,
1864.489,1275.8894,
1861.578,1284.3792,
1858.667,1281.5688,
1855.757,1326.1086,
1852.846,1311.4744,
1849.936,1299.2207,
1847.025,1303.0304,
1844.114,1304.133,
1841.204,1316.5594,
1838.293,1331.9825,
1835.383,1323.919,
1832.472,1352.3852,
1829.562,1370.3628,
1826.651,1327.2598,
1823.740,1336.7069,
1820.830,1338.0117,
1817.919,1362.3744,
1815.009,1372.7812,
