,PL469F~1,
Raman shift [1/cm],Intensity,
2205.026,1707.819,
2202.116,1725.4058,
2199.205,1759.2863,
2196.294,1788.995,
2193.384,1786.27,
2190.473,1831.422,
2187.563,1865.5442,
2184.652,1905.6464,
2181.742,1955.7639,
2178.831,2022.4023,
2175.920,2106.5772,
2173.010,2223.6057,
2170.099,2343.2312,
2167.189,2412.4872,
2164.278,2577.0866,
2161.368,2689.0833,
2158.457,2873.9537,
2155.546,3026.4472,
2152.636,3171.9599,
2149.725,3309.5763,
2146.815,3375.7733,
2143.904,3440.8954,
2140.993,3503.4119,
2138.083,3543.0923,
2135.172,3552.249,
2132.262,3551.1021,
2129.351,3499.8403,
2126.441,3434.2486,
2123.530,3288.1516,
2120.619,3158.0824,
2117.709,2968.538,
2114.798,2773.4359,
2111.888,2618.7529,
2108.977,2451.11,
2106.067,2323.8794,
2103.156,2244.3059,
2100.245,2128.3392,
2097.335,2068.8462,
2094.424,2044.6306,
2091.514,2004.5657,
2088.603,1954.9326,
2085.692,1920.9142,
2082.782,1893.359,
2079.871,1903.1615,
2076.961,1882.054,
2074.050,1895.8235,
2071.140,1863.605,
2068.229,1866.3489,
2065.318,1885.7442,
2062.408,1851.0944,
2059.497,1848.3988,
2056.587,1838.6427,
2053.676,1806.8765,
2050.766,1841.9879,
2047.855,1771.9129,
2044.944,1818.2564,
2042.034,1790.4619,
2039.123,1816.4524,
2036.213,1801.1039,
2033.302,1818.8097,
2030.391,1840.7644,
2027.481,1836.9849,
2024.570,1842.489,
2021.660,1844.375,
2018.749,1810.8186,
2015.839,1847.9131,
2012.928,1845.1686,
2010.017,1824.375,
2007.107,1813.9077,
2004.196,1796.3036,
2001.286,1821.17,
1998.375,1821.2825,
1995.465,1836.9732,
1992.554,1816.2046,
1989.643,1833.6146,
1986.733,1822.9504,
1983.822,1767.1712,
1980.912,1791.137,
1978.001,1770.5531,
1975.090,1779.1185,
1972.180,1787.8591,
1969.269,1788.6595,
1966.359,1811.4022,
1963.448,1788.8849,
1960.538,1781.621,
1957.627,1792.1831,
1954.716,1823.4845,
1951.806,1794.835,
1948.895,1768.8183,
1945.985,1786.2475,
1943.074,1770.2273,
1940.164,1784.3268,
1937.253,1749.2712,
1934.342,1743.0932,
1931.432,1779.9207,
1928.521,1763.0486,
1925.611,1749.375,
1922.700,1754.1236,
1919.790,1768.2939,
1916.879,1793.6313,
1913.968,1749.4316,
1911.058,1790.9125,
1908.147,1774.0129,
1905.237,1715.9045,
1902.326,1760.9676,
1899.415,1759.692,
1896.505,1715.0677,
1893.594,1721.0946,
1890.684,1746.1854,
1887.773,1772.1246,
1884.863,1762.0515,
1881.952,1748.6775,
1879.041,1745.349,
1876.131,1745.1894,
1873.220,1742.7599,
1870.310,1779.505,
1867.399,1716.4466,
1864.489,1764.6087,
1861.578,1763.6502,
1858.667,1706.7372,
1855.757,1758.3643,
1852.846,1770.8776,
1849.936,1776.6072,
1847.025,1783.5526,
1844.114,1786.8244,
1841.204,1787.1967,
1838.293,1788.8476,
1835.383,1825.049,
1832.472,1822.9907,
1829.562,1862.7568,
1826.651,1853.3997,
1823.740,1833.1911,
1820.830,1817.7135,
1817.919,1841.0638,
1815.009,1851.6562,
1812.098,1878.4065,
1809.188,1840.1038,
1806.277,1843.2422,
1803.366,1871.2086,
1800.456,1861.5399,
1797.545,1864.5594,
1794.635,1867.536,
1791.724,1884.4525,
1788.813,1929.574,
1785.903,1923.3266,
1782.992,1915.5211,
1780.082,1908.722,
1777.171,1878.041,
1774.261,1887.7853,
1771.350,1931.1413,
1768.439,1970.7589,
1765.529,1976.6472,
1762.618,1977.24,
1759.708,2013.0492,
1756.797,2014.8674,
1753.887,2007.2992,
1750.976,2033.9372,
1748.065,2029.2429,
1745.155,2031.8717,
1742.244,2025.1323,
1739.334,2017.6903,
1736.423,2078.8441,
1733.512,2073.0863,
1730.602,2090.5477,
1727.691,2104.2133,
1724.781,2117.1736,
1721.870,2138.0799,
1718.960,2170.3309,
1716.049,2157.9176,
1713.138,2182.5899,
1710.228,2218.7057,
1707.317,2248.143,
1704.407,2209.1503,
1701.496,2240.8369,
1698.586,2225.8953,
1695.675,2294.5531,
1692.764,2353.3381,
1689.854,2298.0167,
1686.943,2332.0934,
1684.033,2347.0273,
1681.122,2381.7803,
1678.211,2448.7373,
1675.301,2509.19,
1672.390,2483.713,
1669.480,2596.5274,
1666.569,2616.3653,
1663.659,2693.9793,
1660.748,2731.3777,
1657.837,2784.1027,
1654.927,2861.8202,
1652.016,2882.2703,
1649.106,2958.7912,
1646.195,2977.6288,
1643.285,3070.446,
1640.374,3117.0649,
1637.463,3151.0143,
1634.553,3242.5178,
1631.642,3386.5477,
1628.732,3494.7023,
1625.821,3717.4535,
1622.911,3836.6988,
1620.000,4111.8726,
1617.089,4401.564,
1614.179,4537.5961,
1611.268,4845.6268,
1608.358,5050.8699,
1605.447,5198.9761,
1602.536,5314.542,
1599.626,5372.9713,
1596.715,5352.8698,
1593.805,5297.6094,
1590.894,5299.301,
1587.984,5264.8652,
1585.073,5238.1046,
1582.162,5260.2565,
