,PLD19A~1,
Wavenumbers [1/cm],Intensity,
2175.920,1093.7038,
2173.010,1116.0014,
2170.099,1203.4658,
2167.189,1205.3629,
2164.278,1275.8097,
2161.368,1309.1587,
2158.457,1367.2437,
2155.546,1439.6453,
2152.636,1505.7473,
2149.725,1582.7877,
2146.815,1655.8061,
2143.904,1682.2913,
2140.993,1727.9278,
2138.083,1767.2062,
2135.172,1785.0093,
2132.262,1790.1549,
2129.351,1805.1405,
2126.441,1770.5351,
2123.530,1765.123,
2120.619,1688.1415,
2117.709,1605.5811,
2114.798,1536.0709,
2111.888,1442.6273,
2108.977,1363.9942,
2106.067,1300.614,
2103.156,1270.9178,
2100.245,1223.8461,
2097.335,1177.9954,
2094.424,1169.301,
2091.514,1128.5066,
2088.603,1116.9948,
2085.692,1105.3695,
2082.782,1108.1319,
2079.871,1100.91,
2076.961,1127.8085,
2074.050,1105.778,
2071.140,1101.7832,
2068.229,1084.888,
2065.318,1076.9128,
2062.408,1067.223,
2059.497,1063.7143,
2056.587,1076.1657,
2053.676,1079.9581,
2050.766,1060.5686,
2047.855,1066.9637,
2044.944,1041.3285,
2042.034,1074.742,
2039.123,1065.8346,
2036.213,1062.3172,
2033.302,1065.5923,
2030.391,1062.7226,
2027.481,1075.4968,
2024.570,1077.5037,
2021.660,1110.7463,
2018.749,1097.3431,
2015.839,1087.7759,
2012.928,1106.4388,
2010.017,1087.4722,
2007.107,1087.8507,
2004.196,1081.8988,
2001.286,1091.9386,
1998.375,1087.437,
1995.465,1071.0759,
1992.554,1095.0454,
1989.643,1058.3267,
1986.733,1061.818,
1983.822,1109.0788,
1980.912,1075.3202,
1978.001,1071.4761,
1975.090,1096.875,
1972.180,1108.9428,
1969.269,1087.9094,
1966.359,1067.7129,
1963.448,1084.7548,
1960.538,1099.6131,
1957.627,1108.1165,
1954.716,1064.1964,
1951.806,1108.5769,
1948.895,1096.3711,
1945.985,1053.1005,
1943.074,1067.6903,
1940.164,1089.3172,
1937.253,1064.7971,
1934.342,1054.4905,
1931.432,1060.9476,
1928.521,1070.1617,
1925.611,1046.8818,
1922.700,1038.8322,
1919.790,1070.8804,
1916.879,1059.1305,
1913.968,1067.8627,
1911.058,1070.1573,
1908.147,1051.8532,
1905.237,1085.1176,
1902.326,1077.4335,
1899.415,1101.5201,
1896.505,1075.1884,
1893.594,1092.6951,
1890.684,1082.1626,
1887.773,1083.961,
1884.863,1080.9456,
1881.952,1078.665,
1879.041,1075.3361,
1876.131,1074.6894,
1873.220,1027.804,
1870.310,1070.0722,
1867.399,1088.6351,
1864.489,1112.6803,
1861.578,1102.0842,
1858.667,1049.3959,
1855.757,1070.0743,
1852.846,1083.4391,
1849.936,1109.3875,
1847.025,1105.8068,
1844.114,1139.8279,
1841.204,1128.7771,
1838.293,1128.3775,
1835.383,1152.5605,
1832.472,1138.8854,
1829.562,1116.1526,
1826.651,1126.4479,
1823.740,1140.3386,
1820.830,1140.7884,
1817.919,1160.2344,
1815.009,1143.4692,
1812.098,1161.4183,
1809.188,1210.7741,
1806.277,1129.7783,
