,PLCE2F~1,
Wavenumbers [1/cm],Intensity,
2175.920,331.47699,
2173.010,318.00028,
2170.099,367.9028,
2167.189,360.55439,
2164.278,389.19008,
2161.368,409.08956,
2158.457,407.61127,
2155.546,417.85962,
2152.636,433.91752,
2149.725,454.35485,
2146.815,457.375,
2143.904,478.78762,
2140.993,499.36454,
2138.083,476.95245,
2135.172,486.94637,
2132.262,484.00792,
2129.351,492.66124,
2126.441,512.92845,
2123.530,512.10562,
2120.619,484.52195,
2117.709,458.79287,
2114.798,445.82875,
2111.888,411.8759,
2108.977,380.93128,
2106.067,381.95878,
2103.156,382.61533,
2100.245,370.37625,
2097.335,370.56872,
2094.424,357.61435,
2091.514,354.7997,
2088.603,346.00174,
2085.692,330.96243,
2082.782,340.7524,
2079.871,333.58854,
2076.961,370.59815,
2074.050,361.71439,
2071.140,364.51324,
2068.229,344.10287,
2065.318,342.99225,
2062.408,345.82205,
2059.497,337.35117,
2056.587,324.40996,
2053.676,345.24027,
2050.766,323.60744,
2047.855,349.46044,
2044.944,351.84295,
2042.034,346.71602,
2039.123,340.3548,
2036.213,341.02834,
2033.302,351.98358,
2030.391,351.9345,
2027.481,361.76512,
2024.570,354.57531,
2021.660,378.71938,
2018.749,369.9951,
2015.839,358.89534,
2012.928,348.6854,
2010.017,353.51724,
2007.107,361.67592,
2004.196,349.30356,
2001.286,366.31489,
1998.375,365.45767,
1995.465,355.44196,
1992.554,350.86915,
1989.643,346.51325,
1986.733,363.05395,
1983.822,360.19627,
1980.912,376.46404,
1978.001,361.46033,
1975.090,350.517,
1972.180,367.09974,
1969.269,367.73422,
1966.359,364.94246,
1963.448,361.10552,
1960.538,364.62104,
1957.627,360.91679,
1954.716,352.60481,
1951.806,373.97758,
1948.895,362.93173,
1945.985,343.25572,
1943.074,357.81412,
1940.164,358.15389,
1937.253,357.50117,
1934.342,361.95628,
1931.432,374.83872,
1928.521,383.86896,
1925.611,367.91416,
1922.700,356.41782,
1919.790,359.68131,
1916.879,354.7935,
1913.968,373.35164,
1911.058,377.45908,
1908.147,352.89911,
1905.237,372.94855,
1902.326,381.30983,
1899.415,362.07866,
