,PLF753~1,
Raman shift [1/cm],Intensity,
2167.189,387.24397,
2164.278,421.8804,
2161.368,431.85656,
2158.457,461.79234,
2155.546,489.36347,
2152.636,490.60639,
2149.725,520.79192,
2146.815,538.59957,
2143.904,551.99629,
2140.993,552.77766,
2138.083,586.45896,
2135.172,577.59656,
2132.262,574.13644,
2129.351,582.77588,
2126.441,551.31058,
2123.530,550.75307,
2120.619,523.22043,
2117.709,483.83575,
2114.798,462.18063,
2111.888,417.40108,
2108.977,390.82119,
2106.067,394.30864,
2103.156,366.96544,
2100.245,364.98432,
2097.335,339.27749,
2094.424,335.19675,
2091.514,333.63705,
2088.603,326.84791,
2085.692,317.58743,
2082.782,313.24094,
2079.871,314.17853,
2076.961,320.54795,
2074.050,298.87273,
2071.140,314.71275,
2068.229,308.8164,
2065.318,312.91375,
2062.408,314.03026,
2059.497,320.41668,
2056.587,315.36064,
2053.676,301.2006,
2050.766,286.07773,
2047.855,291.1424,
2044.944,298.92627,
2042.034,314.68204,
2039.123,296.85859,
2036.213,279.90443,
2033.302,286.8694,
2030.391,301.79645,
2027.481,279.70755,
2024.570,261.72882,
2021.660,309.86615,
2018.749,283.77206,
2015.839,281.22835,
2012.928,298.32215,
2010.017,290.22042,
2007.107,291.88223,
2004.196,289.6786,
2001.286,294.58304,
1998.375,279.08267,
1995.465,286.37232,
1992.554,294.38232,
1989.643,273.7604,
1986.733,274.09035,
1983.822,262.37297,
1980.912,280.34583,
1978.001,258.21151,
1975.090,283.16489,
1972.180,279.62237,
1969.269,261,
1966.359,260.35134,
1963.448,251.96433,
1960.538,254.68057,
1957.627,242.62538,
1954.716,265.28183,
1951.806,270.11223,
1948.895,234.38259,
1945.985,241.49347,
1943.074,253.67167,
1940.164,242.13466,
1937.253,237.82191,
1934.342,225.48717,
1931.432,214.18612,
1928.521,208.29879,
1925.611,205.39614,
1922.700,236.44889,
1919.790,228.63602,
1916.879,204.60424,
1913.968,208.99262,
1911.058,191.85886,
1908.147,201.87443,
1905.237,194.35298,
1902.326,216.30816,
1899.415,213.87318,
1896.505,217.07816,
1893.594,200.63416,
1890.684,193.6406,
1887.773,188.19814,
1884.863,177.96811,
1881.952,214.63956,
1879.041,234,
1876.131,211.19739,
1873.220,206,
1870.310,196.71751,
1867.399,176.31987,
1864.489,208.76634,
1861.578,203.1868,
1858.667,204.70659,
1855.757,199.01432,
1852.846,191.041,
1849.936,207.44245,
1847.025,195.29196,
1844.114,203.39058,
1841.204,208.21678,
1838.293,210.01164,
1835.383,212.83699,
1832.472,210.32522,
1829.562,191.50156,
1826.651,232.18064,
1823.740,220.51335,
1820.830,221.11823,
1817.919,198.93995,
1815.009,208.41221,
1812.098,225.3622,
1809.188,226.06202,
1806.277,255.33604,
1803.366,227.19963,
1800.456,237.73599,
1797.545,214.70929,
1794.635,207.93409,
1791.724,241.2331,
1788.813,208.20154,
1785.903,220.50382,
1782.992,240.97614,
1780.082,226.38485,
1777.171,215.99893,
1774.261,225.50527,
1771.350,232.37849,
1768.439,218.91656,
1765.529,239.54631,
1762.618,230.50622,
1759.708,226.75012,
1756.797,244.99242,
1753.887,243.10204,
1750.976,245.84489,
1748.065,223.7358,
1745.155,237.93526,
1742.244,267.91846,
1739.334,242.50354,
1736.423,229.41308,
1733.512,239.45938,
1730.602,242.25198,
1727.691,251.21193,
1724.781,276.02414,
1721.870,277.1714,
1718.960,280.11116,
1716.049,225.62767,
1713.138,262.02477,
1710.228,229.96634,
1707.317,229.30743,
1704.407,300.07498,
1701.496,247.83785,
1698.586,305.75493,
1695.675,242.69327,
1692.764,305.21725,
1689.854,275.51573,
1686.943,252.74196,
1684.033,275.40393,
1681.122,276,
1678.211,251.23793,
1675.301,275.92291,
1672.390,297.13458,
1669.480,341.51066,
1666.569,281.64749,
1663.659,332.31032,
1660.748,350.92287,
1657.837,346.93439,
1654.927,344.60916,
1652.016,369.46542,
1649.106,348.02448,
1646.195,349.14386,
1643.285,355.56966,
1640.374,380.08362,
1637.463,383.96397,
1634.553,382.33989,
1631.642,405.48861,
1628.732,450.30812,
1625.821,502.02159,
1622.911,534.81404,
1620.000,589.30707,
1617.089,587.0597,
1614.179,707.50307,
1611.268,672.48712,
1608.358,771.08357,
1605.447,808.0574,
1602.536,768.99697,
1599.626,808.31691,
1596.715,797.47838,
1593.805,756.6494,
1590.894,817.16959,
1587.984,815.6069,
1585.073,768.05589,
1582.162,730.77899,
1579.252,752.82224,
1576.341,761.40319,
1573.431,751.81874,
1570.520,751.29313,
1567.610,742.31358,
1564.699,694.77318,
1561.788,685.7464,
1558.878,650.0825,
1555.967,624.73269,
1553.057,626.74132,
1550.146,631.22909,
1547.235,568.24474,
1544.325,544.92468,
1541.414,563.16023,
1538.504,542.90649,
1535.593,543.42423,
1532.683,557.7309,
1529.772,519.96919,
1526.861,483,
1523.951,502.75419,
1521.040,516.47346,
1518.130,476.5073,
1515.219,470.44004,
1512.309,460.3288,
1509.398,430.99245,
1506.487,422.89748,
1503.577,434.97133,
1500.666,424.41108,
1497.756,388.76281,
1494.845,396.67928,
1491.934,364.9937,
1489.024,363.06871,
1486.113,388.03482,
1483.203,382.00649,
1480.292,352.99912,
1477.382,350.42474,
1474.471,383.9973,
1471.560,361.34503,
1468.650,337.38435,
1465.739,307.02088,
1462.829,319.25997,
1459.918,328.71264,
1457.008,332.15398,
1454.097,302.25441,
1451.186,276.79303,
1448.276,307.84485,
1445.365,299.42654,
1442.455,267.89369,
1439.544,260.66581,
1436.633,300.30089,
1433.723,294.50754,
1430.812,275.15294,
1427.902,251.75195,
1424.991,241.32657,
1422.081,278.61656,
1419.170,205.09863,
1416.259,218.11195,
1413.349,199.07705,
1410.438,190.30022,
1407.528,187.42503,
1404.617,173.67031,
1401.707,183.01798,
1398.796,190.50352,
1395.885,191.74812,
1392.975,212.31272,
1390.064,209.3447,
1387.154,186.94447,
1384.243,196.4452,
1381.332,125.2999,
1378.422,194.51186,
1375.511,243.22447,
1372.601,254.13727,
1369.690,188.99387,
1366.780,257.99555,
1363.869,306.60613,
1360.958,336.80649,
1358.048,357.0863,
1355.137,351.90927,
1352.227,343.74511,
1349.316,370.32974,
1346.406,411.47037,
1343.495,425.48433,
1340.584,447.74938,
1337.674,492.82404,
1334.763,531.30631,
1331.853,486.79922,
1328.942,518.79964,
1326.032,568.67476,
1323.121,601.22893,
1320.210,622.31841,
1317.300,630.7707,
1314.389,646.38917,
1311.479,677.4756,
1308.568,700.35919,
1305.657,700.43808,
1302.747,716.18617,
1299.836,785.35136,
1296.926,799.35836,
1294.015,893.12936,
1291.105,881.15025,
1288.194,902.96229,
1285.283,929.76409,
1282.373,994.95292,
1279.462,1046.1173,
1276.552,1066.5748,
1273.641,1093.1191,
1270.731,1120.1194,
1267.820,1099.3523,
1264.909,1072.0657,
1261.999,1059.0319,
1259.088,1087.3077,
1256.178,1063.3063,
1253.267,1049.0265,
1250.356,1020.2644,
1247.446,982.77073,
1244.535,952.61164,
1241.625,910.12601,
1238.714,861.32957,
1235.804,843.13598,
1232.893,809.63329,
1229.982,771.50938,
1227.072,757.02438,
1224.161,773.65058,
1221.251,753.92022,
1218.340,727.21345,
1215.430,682.86681,
1212.519,670.39382,
1209.608,688.64562,
1206.698,691.0639,
1203.787,712.15078,
1200.877,775.21395,
1197.966,730.25599,
1195.055,742.50523,
1192.145,776.55642,
1189.234,827.87392,
1186.324,856.00058,
1183.413,882.19799,
1180.503,884.7176,
1177.592,843.96985,
1174.681,866.23973,
1171.771,860.79395,
1168.860,851.86305,
1165.950,845.35597,
1163.039,854.47604,
1160.129,824.7884,
1157.218,796.19264,
1154.307,783.20847,
1151.397,775.47426,
1148.486,786.80401,
1145.576,763.15419,
1142.665,766.70584,
1139.754,780.01806,
1136.844,770.39455,
1133.933,763.82699,
1131.023,750.72551,
1128.112,749.49819,
1125.202,766.68601,
1122.291,749.62399,
1119.380,747.07795,
1116.470,755.02071,
1113.559,759.093,
1110.649,771.78722,
1107.738,776.39255,
1104.828,775,
1101.917,775,
1099.006,773.94848,
1096.096,768.94625,
1093.185,768.06824,
1090.275,768.80927,
1087.364,769.68612,
1084.453,773.37479,
1081.543,793.52884,
1078.632,811.92587,
1075.722,800.55521,
1072.811,791.11694,
1069.901,806.83564,
1066.990,803.95834,
1064.079,811.16617,
1061.169,806.16318,
1058.258,813.39851,
1055.348,824.18125,
1052.437,806.27977,
1049.527,823.2014,
1046.616,828.41437,
1043.705,855.97678,
1040.795,885.70916,
1037.884,888.39098,
1034.974,879.74485,
1032.063,885.53061,
1029.153,898.75365,
1026.242,888.37418,
1023.331,900.4992,
1020.421,897.42319,
1017.510,894.43972,
1014.600,893.15414,
1011.689,904.54309,
1008.778,935.12033,
1005.868,930.33205,
1002.957,967.32729,
1000.047,992.65601,
997.136,1053.4466,
994.226,1093.6769,
991.315,1093.9554,
988.404,1083.5953,
985.494,1065.3862,
982.583,1037.9764,
979.673,1044.2431,
976.762,1036.258,
973.852,1039.9343,
970.941,1060.9276,
968.030,1070.0404,
965.120,1041.9678,
962.209,1034.2949,
959.299,1058.497,
956.388,1047.7214,
953.477,1049.9073,
950.567,1071.7715,
947.656,1055.106,
944.746,1040.6636,
941.835,1056.1963,
938.925,1039.6004,
936.014,1052.268,
933.103,1068.2912,
930.193,1051.4056,
927.282,1031.396,
924.372,1001.7998,
921.461,1006.8368,
918.551,994.3148,
915.640,979.17551,
912.729,980.70891,
909.819,999.33361,
906.908,1001.8609,
903.998,974.95762,
901.087,979.45711,
898.176,970.72976,
895.266,962.56977,
892.355,986.81121,
889.445,1017.8641,
886.534,1005.4769,
883.624,1028.5676,
880.713,1055.8003,
877.802,1059.9256,
874.892,1045.9639,
871.981,1067.6449,
869.071,1052.6075,
866.160,1055.5197,
863.250,1064.8146,
