,PL0BF4~1,
Wavenumbers [1/cm],Intensity,
2173.010,586.37443,
2170.099,630.41966,
2167.189,633.71111,
2164.278,649.88028,
2161.368,682.33835,
2158.457,703.74314,
2155.546,720.07887,
2152.636,772.4334,
2149.725,808.93371,
2146.815,804.89195,
2143.904,836.73279,
2140.993,857.95301,
2138.083,875.10823,
2135.172,870.30553,
2132.262,858.63908,
2129.351,885.01478,
2126.441,851.8676,
2123.530,824.56888,
2120.619,818.66174,
2117.709,803.13225,
2114.798,762.25176,
2111.888,719.1259,
2108.977,691.36009,
2106.067,675.24933,
2103.156,672.50484,
2100.245,641.63065,
2097.335,646.53077,
2094.424,615.1889,
2091.514,612.77018,
2088.603,604.75869,
2085.692,604.03757,
2082.782,615.45229,
2079.871,601.83854,
2076.961,620.13971,
2074.050,612.2553,
2071.140,619.31508,
2068.229,596.25129,
2065.318,612.4525,
2062.408,617.14769,
2059.497,590.37496,
2056.587,585.68294,
2053.676,604.50748,
2050.766,597.47179,
2047.855,598.96675,
2044.944,610.89102,
2042.034,614.75798,
2039.123,619.5846,
2036.213,611.20276,
2033.302,612.69011,
2030.391,619.26905,
2027.481,609.21046,
2024.570,615.73902,
2021.660,664.66854,
2018.749,611.38481,
2015.839,627.80019,
2012.928,612.84312,
2010.017,627.52077,
2007.107,636.04369,
2004.196,638.67263,
2001.286,650.29283,
1998.375,639.22834,
1995.465,638.70446,
1992.554,659.03072,
1989.643,631.69648,
1986.733,607.48114,
1983.822,625.02308,
1980.912,640.08048,
1978.001,648.52297,
1975.090,643.30284,
1972.180,616.4867,
1969.269,637.60782,
1966.359,624.03006,
1963.448,616.19964,
1960.538,635.6667,
1957.627,653.89127,
1954.716,656.59627,
1951.806,643.37017,
1948.895,654.56432,
1945.985,633.01225,
1943.074,632.02719,
1940.164,638.47122,
1937.253,644.91628,
1934.342,635.53089,
1931.432,630.39787,
1928.521,643.06714,
1925.611,615.91104,
1922.700,645.57112,
1919.790,654.04121,
1916.879,646.183,
1913.968,655.6127,
1911.058,627.60699,
1908.147,657.35202,
1905.237,663.4632,
1902.326,640.25167,
1899.415,631.32866,
1896.505,626.23343,
1893.594,644.70434,
1890.684,676.91906,
1887.773,672.91842,
1884.863,680.84596,
1881.952,650.86789,
1879.041,644.21586,
1876.131,651.69689,
1873.220,636.93467,
1870.310,651.33349,
1867.399,674.27314,
1864.489,634.94908,
1861.578,664.44942,
1858.667,634.79864,
1855.757,646.80638,
1852.846,668.37884,
1849.936,673.95032,
1847.025,684.44738,
1844.114,690.83206,
1841.204,700.29283,
1838.293,683.66824,
1835.383,687.13597,
1832.472,702.1363,
1829.562,691.15338,
1826.651,697.51411,
1823.740,690.70544,
1820.830,701.28655,
1817.919,715.39752,
1815.009,700.50032,
1812.098,708.39665,
1809.188,727.44666,
1806.277,717.86845,
1803.366,731.12591,
1800.456,702.55927,
1797.545,717.70306,
1794.635,708.23799,
1791.724,703.64444,
1788.813,711.04737,
1785.903,775.46612,
1782.992,742.52957,
1780.082,701.33636,
1777.171,717.63036,
1774.261,735.06995,
1771.350,739.72725,
1768.439,748.94349,
1765.529,748.5352,
1762.618,770.11878,
1759.708,767.74439,
1756.797,781.82197,
1753.887,790.57252,
1750.976,766.01113,
1748.065,783.81701,
1745.155,774.7155,
1742.244,784.46192,
1739.334,774.02971,
1736.423,802.48476,
1733.512,796.06803,
1730.602,816.04964,
1727.691,826.39266,
1724.781,820.33239,
1721.870,822.64883,
1718.960,817.86938,
1716.049,844.31117,
1713.138,864.15993,
1710.228,843.99728,
1707.317,837.08671,
1704.407,843.81218,
1701.496,853.74048,
1698.586,859.24492,
1695.675,853.07504,
1692.764,882.9201,
1689.854,911.41242,
1686.943,862.37873,
1684.033,858.67467,
1681.122,920.55448,
1678.211,927.5679,
1675.301,914.66508,
1672.390,981.54724,
1669.480,955.77742,
1666.569,974.3076,
1663.659,950.57228,
1660.748,1007.9528,
1657.837,1024.3844,
1654.927,1013.2033,
1652.016,997.13154,
1649.106,1058.0167,
1646.195,1074.2004,
1643.285,1097.1237,
1640.374,1075.7922,
1637.463,1084.9761,
1634.553,1158.3147,
1631.642,1138.4176,
1628.732,1210.6013,
1625.821,1206.6669,
1622.911,1270.2644,
1620.000,1331.8439,
1617.089,1410.0529,
1614.179,1465.0739,
1611.268,1517.6546,
1608.358,1602.5514,
1605.447,1715.0545,
1602.536,1767.2875,
1599.626,1748.5466,
1596.715,1759.3314,
1593.805,1739.161,
1590.894,1714.6082,
1587.984,1673.5169,
1585.073,1682.0889,
1582.162,1642.8807,
1579.252,1607.6211,
1576.341,1575.991,
1573.431,1537.5149,
1570.520,1538.5619,
1567.610,1531.1935,
1564.699,1553.7261,
1561.788,1529.8225,
1558.878,1532.0113,
1555.967,1525.0904,
1553.057,1488.2805,
1550.146,1474.0832,
1547.235,1456.1442,
1544.325,1421.7003,
1541.414,1408.8653,
1538.504,1399.2937,
1535.593,1359.384,
1532.683,1369.5923,
1529.772,1377.8131,
1526.861,1315.7621,
1523.951,1315.2793,
1521.040,1329.635,
1518.130,1297.9006,
1515.219,1288.7042,
1512.309,1304.9628,
1509.398,1282.4994,
1506.487,1308.8926,
1503.577,1307.4243,
1500.666,1265.9608,
1497.756,1270.6846,
1494.845,1293.864,
1491.934,1251.6596,
1489.024,1262.2471,
1486.113,1243.1535,
1483.203,1265.6055,
1480.292,1217.7143,
1477.382,1189.227,
1474.471,1193.8335,
1471.560,1211.864,
1468.650,1223.0912,
1465.739,1233.9514,
1462.829,1224.8982,
1459.918,1201.2602,
1457.008,1186.0711,
1454.097,1177.0791,
1451.186,1175.6153,
1448.276,1166.3904,
1445.365,1154.6992,
1442.455,1190.8116,
1439.544,1192.5868,
1436.633,1178.2754,
1433.723,1182.1084,
1430.812,1219.2212,
1427.902,1202.1436,
1424.991,1223.9422,
1422.081,1175.0812,
1419.170,1171.4891,
1416.259,1141.6527,
1413.349,1134.625,
1410.438,1184.3094,
1407.528,1223.6498,
1404.617,1205.4428,
1401.707,1202.0532,
1398.796,1206.7124,
1395.885,1176.1957,
1392.975,1173.0635,
1390.064,1211.4445,
1387.154,1190.7835,
1384.243,1174.5566,
1381.332,1191.281,
1378.422,1214.0742,
1375.511,1242.1776,
1372.601,1282.2525,
1369.690,1274.4811,
1366.780,1285.2976,
1363.869,1305.334,
1360.958,1349.2573,
1358.048,1396.5107,
1355.137,1425.0873,
1352.227,1429.0498,
1349.316,1449.2877,
1346.406,1489.9443,
1343.495,1493.6146,
1340.584,1516.374,
1337.674,1578.4458,
1334.763,1569.5071,
1331.853,1592.6879,
1328.942,1616.7511,
1326.032,1581.2908,
1323.121,1609.6732,
1320.210,1649.2618,
1317.300,1660.2641,
1314.389,1654.5138,
1311.479,1699.9936,
1308.568,1761.829,
1305.657,1782.2254,
1302.747,1839.39,
1299.836,1837.0674,
1296.926,1911.625,
1294.015,1911.625,
1291.105,1910.7445,
1288.194,1984.1094,
1285.283,2021.9571,
1282.373,2070.1249,
1279.462,2100.2131,
1276.552,2130.7117,
1273.641,2170.254,
1270.731,2196.7399,
1267.820,2212.8083,
1264.909,2192.4384,
1261.999,2204.7595,
1259.088,2181.0444,
1256.178,2164.2088,
1253.267,2104.0853,
1250.356,2069.0164,
1247.446,2051.2374,
1244.535,2012.4153,
1241.625,1965.4954,
1238.714,1939.3318,
1235.804,1916.7027,
1232.893,1878.1242,
1229.982,1879.5705,
1227.072,1818.9146,
1224.161,1796.9744,
1221.251,1789.9025,
1218.340,1753.6432,
1215.430,1752.2421,
1212.519,1750.3257,
1209.608,1712.1975,
1206.698,1682.4549,
1203.787,1699.2331,
1200.877,1728.1205,
1197.966,1703.8432,
1195.055,1776.8576,
1192.145,1832.4516,
1189.234,1875.8207,
1186.324,1921.6279,
1183.413,1919.6859,
1180.503,1894.7309,
1177.592,1906.5845,
1174.681,1880.4161,
1171.771,1838.408,
1168.860,1872.3454,
1165.950,1811.9281,
1163.039,1810.5931,
1160.129,1813.0859,
1157.218,1810.1443,
1154.307,1783.2822,
1151.397,1750.0949,
1148.486,1786.2216,
1145.576,1805.5071,
1142.665,1779.7576,
1139.754,1788.2022,
1136.844,1762.6129,
1133.933,1738.8949,
1131.023,1743.8437,
1128.112,1754.3399,
1125.202,1755.8037,
1122.291,1788.5105,
1119.380,1815.3045,
1116.470,1782.651,
1113.559,1806.462,
1110.649,1829.6864,
1107.738,1826.9086,
1104.828,1813.464,
1101.917,1807.9209,
1099.006,1810.728,
1096.096,1818.4749,
1093.185,1783.3548,
1090.275,1791.9548,
1087.364,1827.5589,
1084.453,1819.564,
1081.543,1824.4125,
1078.632,1851.4312,
1075.722,1848.3175,
1072.811,1855.2527,
1069.901,1850.0131,
1066.990,1895.6999,
1064.079,1878.7239,
1061.169,1889.9263,
1058.258,1915.5538,
1055.348,1928.6223,
1052.437,1945.5447,
1049.527,1968.8795,
1046.616,1923.7004,
1043.705,1958.7048,
1040.795,1944.4463,
1037.884,1927.602,
1034.974,1945.7358,
1032.063,1977.4789,
1029.153,1966.1589,
1026.242,1928.9658,
1023.331,1975.122,
1020.421,1987.4134,
1017.510,1996.4689,
1014.600,2028.4237,
1011.689,2059.3489,
1008.778,2047.1589,
1005.868,2039.2505,
1002.957,2108.9392,
1000.047,2183.689,
997.136,2197.0531,
994.226,2186.9481,
991.315,2189.4096,
988.404,2193.3836,
985.494,2146.3155,
982.583,2177.1515,
979.673,2152.3591,
976.762,2121.0764,
973.852,2119.8853,
970.941,2133.6612,
968.030,2135.3419,
965.120,2184.6608,
962.209,2193.1862,
959.299,2179.7518,
956.388,2193.7837,
953.477,2195.239,
950.567,2179.592,
947.656,2194.4049,
944.746,2200.3518,
941.835,2185.2385,
938.925,2173.0703,
936.014,2169.1308,
933.103,2185.1612,
930.193,2207.6323,
927.282,2182.0668,
924.372,2153.3162,
921.461,2111.3322,
918.551,2093.5585,
915.640,2082.976,
912.729,2077.7238,
909.819,2089.0673,
906.908,2069.6915,
903.998,2069.4204,
901.087,2089.9932,
898.176,2118.3268,
895.266,2137.2598,
892.355,2140.1956,
889.445,2148.5883,
886.534,2194.543,
883.624,2194.8782,
880.713,2192.6664,
877.802,2174.8237,
874.892,2121.4465,
871.981,2049.3488,
869.071,2037.653,
866.160,2067.3631,
863.250,2120.9402,
860.339,2139.8002,
857.428,2120.5296,
854.518,2166.1436,
851.607,2149.5022,
848.697,2101.9169,
845.786,2088.3716,
842.875,2139.3672,
839.965,2219.7511,
837.054,2206.5041,
834.144,2195.7303,
831.233,2195.6249,
828.323,2241.1365,
825.412,2264.4096,
822.501,2213.4547,
819.591,2190.3155,
816.680,2187.2211,
813.770,2185.9985,
810.859,2159.0018,
807.949,2134.6177,
805.038,2153.9325,
802.127,2139.9394,
799.217,2120.7356,
796.306,2125.4089,
793.396,2132.8464,
790.485,2128.4663,
787.574,2116.9987,
784.664,2126.84,
781.753,2158.8193,
778.843,2163.3333,
775.932,2150.4645,
773.022,2147.2734,
770.111,2157.9019,
767.200,2160.1476,
764.290,2163.5144,
761.379,2156.1722,
758.469,2143.5084,
755.558,2150.4305,
752.648,2143.9137,
749.737,2152.4168,
746.826,2142.2397,
743.916,2123.5081,
741.005,2119.5245,
738.095,2109.782,
735.184,2078.5925,
732.274,2033.4935,
729.363,2012.367,
726.452,2040.296,
723.542,2099.3817,
720.631,2124.0321,
717.721,2133.4892,
