,PL1C01~1,
Raman shift [1/cm],Intensity,
2187.563,1473.5055,
2184.652,1511.3697,
2181.742,1578.9893,
2178.831,1615.6786,
2175.920,1650.038,
2173.010,1717.18,
2170.099,1786.4365,
2167.189,1831.0854,
2164.278,1930.8423,
2161.368,1972.5139,
2158.457,2086.2998,
2155.546,2179.3876,
2152.636,2254.9121,
2149.725,2304.4958,
2146.815,2372.2728,
2143.904,2423.0813,
2140.993,2438.8406,
2138.083,2448.3993,
2135.172,2456.9212,
2132.262,2460.7632,
2129.351,2393.1228,
2126.441,2365.841,
2123.530,2305.1291,
2120.619,2180.3756,
2117.709,2065.0163,
2114.798,1979.7363,
2111.888,1894.277,
2108.977,1805.6001,
2106.067,1729.3221,
2103.156,1679.9413,
2100.245,1615.3436,
2097.335,1566.0975,
2094.424,1562.5191,
2091.514,1525.0792,
2088.603,1497.9326,
2085.692,1499.9697,
2082.782,1474.7407,
2079.871,1487.4835,
2076.961,1462.5061,
2074.050,1486.5326,
2071.140,1454.2368,
2068.229,1467.8438,
2065.318,1454.5853,
2062.408,1436.2608,
2059.497,1433.2203,
2056.587,1442.7007,
2053.676,1424.8593,
2050.766,1416.7599,
2047.855,1401.5744,
2044.944,1406.7789,
2042.034,1405.3809,
2039.123,1438.7959,
2036.213,1443.395,
2033.302,1431.8534,
2030.391,1403.8332,
2027.481,1426.3381,
2024.570,1430.7895,
2021.660,1462.3055,
2018.749,1411.8186,
2015.839,1448.7785,
2012.928,1449.7659,
2010.017,1439.8299,
2007.107,1417.8142,
2004.196,1408.0536,
2001.286,1411.1453,
1998.375,1433.4262,
1995.465,1446.7348,
1992.554,1426.3399,
1989.643,1430.1331,
1986.733,1406.9636,
1983.822,1414.5537,
1980.912,1402.3853,
1978.001,1409.6551,
1975.090,1390.3674,
1972.180,1412.2008,
1969.269,1418.2227,
1966.359,1413.8616,
1963.448,1419.5665,
1960.538,1423.621,
1957.627,1422.5917,
1954.716,1445.6856,
1951.806,1424.2324,
1948.895,1407.4761,
1945.985,1433.3881,
1943.074,1408.4708,
1940.164,1424.0575,
1937.253,1406.2359,
1934.342,1416.452,
1931.432,1401.7062,
1928.521,1396.0641,
1925.611,1397.3296,
1922.700,1358.9689,
1919.790,1392.4381,
1916.879,1368.6767,
1913.968,1388.3479,
1911.058,1351.9996,
1908.147,1412.3268,
1905.237,1377.7868,
1902.326,1372.4298,
1899.415,1375.375,
1896.505,1379.2907,
1893.594,1383.1037,
1890.684,1378.826,
1887.773,1390.6591,
1884.863,1416.9581,
1881.952,1384.5254,
1879.041,1370.9139,
1876.131,1377.2613,
1873.220,1388.8352,
1870.310,1375.523,
1867.399,1416.6873,
1864.489,1397.9341,
1861.578,1363.5892,
1858.667,1379.1893,
1855.757,1407.5528,
1852.846,1420.0622,
1849.936,1404.5361,
1847.025,1432.9127,
1844.114,1410.2621,
1841.204,1440.9449,
1838.293,1447.8808,
1835.383,1449.84,
1832.472,1489.3646,
1829.562,1498.0437,
1826.651,1453.1348,
1823.740,1465.4938,
1820.830,1507.2414,
1817.919,1491.1293,
1815.009,1479.3814,
1812.098,1486.4537,
1809.188,1472.3673,
1806.277,1486.043,
1803.366,1492.4083,
1800.456,1494.1002,
1797.545,1492.694,
1794.635,1520.4729,
1791.724,1503.0544,
1788.813,1582.5753,
1785.903,1581.499,
1782.992,1553.9144,
1780.082,1517.9697,
1777.171,1556.034,
1774.261,1535.0402,
1771.350,1560.6433,
1768.439,1564.0537,
1765.529,1560.1963,
1762.618,1566.8475,
1759.708,1556.462,
1756.797,1556.6098,
1753.887,1584.9668,
1750.976,1559.8436,
1748.065,1591.12,
1745.155,1613.2138,
1742.244,1595.7536,
1739.334,1631.4032,
1736.423,1605.5695,
1733.512,1645.5865,
1730.602,1662.8869,
1727.691,1649.0924,
1724.781,1678.4112,
1721.870,1634.2604,
1718.960,1663.3088,
1716.049,1710.1289,
1713.138,1698.5651,
1710.228,1723.2245,
1707.317,1741.5281,
1704.407,1728.1022,
1701.496,1733.6674,
1698.586,1737.147,
1695.675,1764.5105,
1692.764,1784.3627,
1689.854,1811.2057,
1686.943,1822.0377,
1684.033,1856.5057,
1681.122,1833.7828,
1678.211,1908.6517,
1675.301,1947.2578,
1672.390,1914.5664,
1669.480,1978.8082,
1666.569,2032.9082,
1663.659,2074.8486,
1660.748,2103.4714,
1657.837,2110.2339,
1654.927,2195.8116,
1652.016,2296.5488,
1649.106,2264.5991,
1646.195,2314.9335,
1643.285,2377.4408,
1640.374,2338.6921,
1637.463,2401.654,
1634.553,2472.2765,
1631.642,2533.9603,
1628.732,2678.8194,
1625.821,2753.4928,
1622.911,2932.3607,
1620.000,3028.1655,
1617.089,3237.1561,
1614.179,3419.2142,
1611.268,3581.315,
1608.358,3731.3047,
1605.447,3832.6615,
1602.536,3934.3594,
1599.626,4020.4892,
1596.715,3999.2394,
1593.805,3976.6997,
1590.894,3946.1936,
1587.984,3861.8284,
1585.073,3828.9554,
1582.162,3862.11,
1579.252,3786.7266,
1576.341,3725.1176,
1573.431,3733.1712,
1570.520,3718.5012,
1567.610,3742.9245,
1564.699,3713.4984,
1561.788,3675.1358,
1558.878,3534.2845,
1555.967,3453.5551,
1553.057,3406.3754,
1550.146,3363.866,
1547.235,3307.8715,
1544.325,3273.2852,
1541.414,3232.6511,
1538.504,3192.1266,
1535.593,3116.1808,
1532.683,3053.1847,
1529.772,3046.8502,
1526.861,2999.419,
1523.951,2971.6748,
1521.040,2967.0248,
1518.130,2905.2884,
1515.219,2871.6154,
1512.309,2861.6047,
1509.398,2860.6413,
1506.487,2835.9969,
1503.577,2848.1134,
1500.666,2816.7714,
1497.756,2770.0198,
1494.845,2834.5329,
1491.934,2742.4474,
1489.024,2764.5848,
1486.113,2706.9604,
1483.203,2660.6311,
1480.292,2638.4048,
1477.382,2587.6884,
1474.471,2546.4472,
1471.560,2556.2423,
1468.650,2508.7131,
1465.739,2495.5443,
1462.829,2502.9718,
1459.918,2479.0654,
1457.008,2466.4828,
1454.097,2499.718,
1451.186,2549.0887,
1448.276,2532.5746,
1445.365,2462.9113,
1442.455,2488.9607,
1439.544,2518.4085,
1436.633,2454.4435,
1433.723,2470.773,
1430.812,2418.2616,
1427.902,2427.6387,
1424.991,2354.661,
1422.081,2335.8604,
1419.170,2336.1031,
1416.259,2328.2744,
1413.349,2299.1863,
1410.438,2292.4743,
1407.528,2316.5497,
1404.617,2315.8711,
1401.707,2278.2882,
1398.796,2264.7036,
1395.885,2326.1549,
1392.975,2362.7903,
1390.064,2305.1409,
1387.154,2286.7099,
1384.243,2212.5474,
1381.332,2212.4897,
1378.422,2211.6063,
1375.511,2332.4511,
1372.601,2461.5517,
1369.690,2535.8095,
1366.780,2646.9635,
1363.869,2681.3662,
1360.958,2743.7945,
1358.048,2783.2747,
1355.137,2847.7259,
1352.227,2920.0483,
1349.316,2967.0936,
1346.406,3037.9028,
1343.495,3117.5963,
1340.584,3150.7673,
1337.674,3197.4151,
1334.763,3265.7158,
1331.853,3300.9506,
1328.942,3343.2903,
1326.032,3380.9998,
1323.121,3459.5076,
1320.210,3501.6889,
1317.300,3505.6531,
1314.389,3566.0985,
1311.479,3611.5207,
1308.568,3627.5757,
1305.657,3714.2564,
1302.747,3789.1239,
1299.836,3853.8174,
1296.926,3931.2806,
1294.015,3993.7946,
1291.105,4066.8183,
1288.194,4226.5387,
1285.283,4293.0151,
1282.373,4343.6092,
1279.462,4407.0017,
1276.552,4471.9657,
1273.641,4497.746,
1270.731,4491.5481,
1267.820,4516.0899,
1264.909,4500.8469,
1261.999,4455.6053,
1259.088,4516.7174,
1256.178,4433.8729,
1253.267,4421.6766,
1250.356,4315.3689,
1247.446,4221.5439,
1244.535,4154.7055,
1241.625,4077.4084,
1238.714,3989.4183,
1235.804,3918.8216,
1232.893,3888.885,
1229.982,3842.2711,
1227.072,3809.6799,
1224.161,3760.3068,
1221.251,3685.8582,
1218.340,3579.1594,
1215.430,3523.4654,
1212.519,3492.737,
1209.608,3460.0594,
1206.698,3446.5451,
1203.787,3444.0986,
1200.877,3497.4486,
1197.966,3595.4569,
1195.055,3640.4777,
1192.145,3706.7311,
1189.234,3810.0692,
1186.324,3883.7414,
1183.413,3929.4562,
1180.503,3944.8965,
1177.592,3924.5569,
1174.681,3927.8579,
1171.771,3853.0054,
1168.860,3750.3001,
1165.950,3712.9612,
1163.039,3658.8836,
1160.129,3617.7301,
1157.218,3577.896,
1154.307,3545.9227,
1151.397,3530.5546,
1148.486,3502.5306,
1145.576,3469.1052,
1142.665,3462.8898,
1139.754,3443.6615,
1136.844,3382.6505,
1133.933,3374.2107,
1131.023,3387.7355,
1128.112,3385.0186,
1125.202,3382.3798,
1122.291,3406.0044,
1119.380,3417.5482,
1116.470,3435.1988,
1113.559,3459.026,
1110.649,3481.0913,
1107.738,3475.9795,
1104.828,3472.2809,
1101.917,3473.0195,
1099.006,3459.5912,
1096.096,3508.6123,
1093.185,3447.1521,
1090.275,3515.2093,
1087.364,3464.4488,
1084.453,3456.9985,
1081.543,3488.9598,
1078.632,3516.0902,
1075.722,3536.4347,
1072.811,3531.5063,
1069.901,3519.2806,
1066.990,3527.2666,
1064.079,3579.0525,
1061.169,3629.9901,
1058.258,3692.6061,
1055.348,3733.265,
1052.437,3703.6387,
1049.527,3725.8449,
1046.616,3738.0085,
1043.705,3737.8335,
1040.795,3765.4692,
1037.884,3781.8807,
1034.974,3764.8711,
1032.063,3747.0592,
1029.153,3783.5441,
1026.242,3776.6245,
1023.331,3803.04,
1020.421,3822.317,
1017.510,3850.786,
1014.600,3873.0272,
1011.689,3896.1941,
1008.778,3954.3556,
1005.868,4048.3403,
1002.957,4155.8846,
1000.047,4331.8071,
997.136,4441.2977,
994.226,4464.329,
991.315,4419.5384,
988.404,4334.8377,
985.494,4248.6462,
982.583,4216.097,
979.673,4146.9901,
976.762,4114.5685,
973.852,4100.4188,
970.941,4088.5967,
968.030,4082.1206,
965.120,4069.4931,
962.209,4097.627,
959.299,4132.1215,
956.388,4119.7366,
953.477,4106.1294,
950.567,4113.3293,
947.656,4116.3912,
944.746,4162.2672,
941.835,4202.4362,
938.925,4172.55,
936.014,4150.8575,
933.103,4170.5607,
930.193,4193.9937,
927.282,4130.9085,
924.372,4103.8491,
921.461,4053.9818,
918.551,4000.7762,
915.640,3981.1741,
912.729,3973.7369,
909.819,3931.7111,
906.908,3956.9839,
903.998,3914.63,
901.087,3913.5591,
898.176,3973.298,
895.266,4033.6446,
892.355,4042.5003,
889.445,4075.2318,
886.534,4154.6878,
883.624,4191.2328,
880.713,4217.196,
877.802,4230.638,
874.892,4221.4919,
871.981,4195.2961,
869.071,4191.9544,
866.160,4192.065,
863.250,4203.3833,
860.339,4209.0793,
857.428,4198.5054,
854.518,4185.3158,
851.607,4148.7048,
848.697,4110.0476,
845.786,4125.475,
842.875,4144.2867,
839.965,4140.6666,
837.054,4201.0401,
834.144,4171.205,
831.233,4202.7056,
828.323,4222.8587,
825.412,4217.6138,
822.501,4194.4386,
819.591,4144.8547,
816.680,4043.2146,
813.770,3996.4474,
810.859,3978.4114,
807.949,3974.5799,
805.038,3975.0984,
802.127,3931.4727,
799.217,3962.4084,
796.306,3936.9153,
793.396,3918.1079,
790.485,3932.1115,
787.574,3927.8732,
784.664,3940.995,
781.753,3936.6652,
778.843,3936.8056,
775.932,3946.5477,
773.022,3962.7842,
770.111,3978.3181,
767.200,3969.4779,
764.290,3972.1538,
761.379,3968.8915,
758.469,3958.8399,
755.558,3962.819,
752.648,3910.6843,
749.737,3887.972,
746.826,3869.2533,
743.916,3808.4652,
741.005,3666.3746,
738.095,3480.4548,
735.184,3305.3522,
732.274,3292.7576,
729.363,3415.3892,
726.452,3606.1653,
723.542,3798.8009,
720.631,3849.8956,
717.721,3846.9082,
714.810,3879.9145,
711.899,3950.87,
708.989,3944.4146,
706.078,3892.2903,
703.168,3861.1584,
700.257,3856.8013,
697.347,3853.6808,
694.436,3804.1568,
691.525,3796.1187,
688.615,3826.4495,
685.704,3831.9925,
682.794,3818.5877,
679.883,3830.3205,
676.973,3784.6424,
674.062,3836.6309,
671.151,3842.8835,
668.241,3807.8045,
665.330,3814.0011,
662.420,3848.3466,
659.509,3851.5654,
656.598,3855.0007,
653.688,3859.1544,
650.777,3847.862,
647.867,3832.7317,
644.956,3867.7623,
642.046,3876.4495,
639.135,3864.1786,
636.224,3897.4745,
633.314,3917.3229,
630.403,3924.7398,
627.493,3923.3024,
624.582,3928.6161,
621.672,3974.5518,
618.761,3992.3337,
615.850,3999.579,
612.940,4021.5255,
610.029,4055.7717,
607.119,4028.1346,
604.208,4030.3451,
601.297,4040.3513,
598.387,4056.4007,
595.476,4073.0324,
592.566,4037.6144,
589.655,4054.699,
586.745,4052.1861,
583.834,4022.0545,
